DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,99.74,101.9,97.6,98.91,5274,63.69
2025-04-15,102.0,103.01,99.49,101.09,15534,56.28
2025-04-16,102.89,104.88,101.95,103.04,7018,55.3
2025-04-17,102.25,104.29,102.25,103.31,4881,52.2
2025-04-21,100.3,108.7,100.3,106.41,5435,73.21
2025-04-22,106.41,114.39,106.21,112.12,16363,51.04
2025-04-23,115.94,115.94,111.06,112.26,8619,58.27
2025-04-24,112.26,113.95,112.23,112.99,1591,74.17
2025-04-25,112.99,113.0,107.0,111.08,10458,56.26
2025-04-28,109.1,110.95,107.01,108.05,3968,53.4
2025-04-29,110.23,110.28,108.51,108.53,1359,59.97
2025-04-30,107.98,115.9,104.01,106.89,4145,63.64
2025-05-02,106.89,107.79,104.52,105.11,1672,77.21
2025-05-05,105.0,106.38,104.02,104.63,1327,51.17
2025-05-06,104.24,107.16,103.01,103.7,1479,48.21
2025-05-07,100.0,104.91,100.0,101.66,3131,72.6
2025-05-08,102.65,105.99,102.51,103.57,5313,57.9
2025-05-09,101.02,104.41,98.82,102.9,5495,66.82
2025-05-12,102.9,107.79,102.9,106.12,5834,67.91
2025-05-13,106.1,108.0,104.81,106.1,4060,57.09
2025-05-14,106.1,107.3,105.49,106.0,6870,86.84
2025-05-15,107.4,107.6,104.3,106.58,4716,62.23
2025-05-16,106.57,115.0,105.15,112.48,23714,38.42
2025-05-19,115.95,115.95,111.02,113.3,9972,52.16
2025-05-20,114.99,115.4,111.1,111.69,7586,41.42
2025-05-21,114.39,114.39,110.91,111.07,8334,79.91
2025-05-22,111.0,111.0,109.38,109.85,2151,83.08
2025-05-23,113.29,113.29,108.42,109.88,4938,41.9
2025-05-26,109.88,113.79,109.75,110.22,9197,43.22
2025-05-27,109.7,112.48,109.32,110.96,2908,58.8
2025-05-28,112.24,129.95,111.5,124.48,66513,41.92
2025-05-29,124.4,125.0,115.8,121.79,30744,45.4
2025-05-30,121.85,121.98,117.0,118.91,7050,30.79
2025-06-02,119.0,121.6,115.0,115.38,8418,62.88
