DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-07-20,115.0,122.0,105.33,107.55,4800833,16.0
2026-07-21,117.92,129.06,115.5,129.05,10338553,35.57
2026-07-22,140.01,140.01,103.24,103.24,18345174,24.73
2026-07-23,101.69,106.4,95.85,103.0,17825215,10.09
2026-07-24,104.0,105.97,101.96,102.62,17809358,3.27
2026-07-27,103.95,104.19,102.0,102.37,10078967,5.92
2026-07-28,103.9,105.79,81.9,81.9,14134979,19.09
2026-07-29,77.99,80.8,74.4,76.09,4227632,22.13
2026-07-30,77.17,77.81,75.27,76.62,1073052,36.35
2026-07-31,77.8,77.8,76.0,76.25,797524,50.89
2026-08-03,76.6,77.4,76.0,76.12,1564318,30.21
2026-08-04,76.88,83.73,76.25,83.72,4012089,22.57
2026-08-05,92.09,92.09,92.08,92.08,4219184,18.64
2026-08-07,78.41,82.7,74.6,74.6,6003229,33.36
2026-08-10,75.5,77.7,70.0,73.51,2615681,27.42
2026-08-11,74.8,74.8,73.01,73.12,916506,31.0
2026-08-12,73.0,76.58,73.0,74.19,977862,34.13
2026-08-13,73.5,75.47,73.1,74.53,314026,50.54
2026-08-14,74.1,75.47,73.5,74.31,321964,50.87
2026-08-17,73.0,74.95,73.0,73.21,592997,55.19
2026-08-18,74.0,74.2,73.0,73.03,433445,47.6
2026-08-19,73.99,74.29,73.0,73.14,534460,33.99
2026-08-20,73.14,74.71,73.02,73.32,283149,44.79
2026-08-21,73.43,73.69,73.0,73.03,174496,64.84
2026-08-24,73.29,73.7,73.0,73.01,268333,67.71
2026-08-25,73.02,75.0,73.0,73.05,312284,53.12
