DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,2060.0,2080.0,1936.0,2028.15,568252,34.96
2025-04-15,2026.8,2026.9,1976.7,2004.8,244805,42.5
2025-04-16,2003.3,2040.0,1988.7,2030.9,138389,54.37
2025-04-17,2030.0,2034.0,1988.1,2024.3,152637,56.3
2025-04-21,2024.3,2199.0,2020.7,2166.3,817238,22.35
2025-04-22,2166.4,2234.0,2147.6,2220.5,282678,35.47
2025-04-23,2220.5,2224.1,2080.0,2119.4,599926,51.55
2025-04-24,2108.0,2168.0,2087.3,2096.2,169622,36.04
2025-04-25,2110.0,2150.0,1984.0,2038.1,458897,41.66
2025-04-28,2047.9,2060.2,1981.6,1991.5,145769,48.34
2025-04-29,1997.1,2087.0,1986.0,1991.2,274564,34.67
2025-04-30,1991.2,1996.6,1922.1,1942.9,195275,55.99
2025-05-02,1931.0,1941.4,1828.0,1844.9,297852,40.76
2025-05-05,1836.5,1842.5,1786.8,1812.4,217513,50.97
2025-05-06,1812.0,1847.1,1745.7,1765.2,166502,36.13
2025-05-07,1740.0,1798.5,1734.0,1789.7,151266,44.24
2025-05-08,1797.1,1824.1,1752.0,1761.3,102570,40.07
2025-05-09,1727.0,1748.2,1704.8,1717.6,175162,52.57
2025-05-12,1771.0,1899.5,1752.1,1874.9,303826,35.01
2025-05-13,1875.0,1875.0,1792.0,1801.0,144193,51.0
2025-05-14,1795.1,1839.3,1775.8,1823.0,214212,55.23
2025-05-15,1823.0,1831.9,1792.1,1800.1,85068,52.09
2025-05-16,1805.1,1807.7,1778.0,1789.6,110090,53.89
2025-05-19,1798.2,1817.7,1772.0,1789.6,104422,46.05
2025-05-20,1799.8,1845.0,1787.5,1802.2,143030,43.01
2025-05-21,1798.0,1811.2,1760.1,1772.0,136165,49.12
2025-05-22,1759.0,1797.0,1755.1,1790.8,102335,29.4
2025-05-23,1790.9,1797.5,1774.0,1783.8,30161,50.01
2025-05-26,1783.8,1783.8,1761.0,1765.5,76621,51.92
2025-05-27,1762.0,1779.0,1758.7,1773.4,39969,50.69
2025-05-28,1779.7,1818.0,1777.9,1806.7,90277,44.62
2025-05-29,1807.0,1825.0,1796.6,1811.4,62491,50.8
2025-05-30,1820.0,1869.5,1794.5,1843.4,209436,68.4
2025-06-02,1838.0,1838.0,1784.1,1802.3,214743,62.68
2025-06-03,1804.7,1822.0,1794.0,1803.9,50981,53.02
2025-06-04,1803.7,1818.7,1796.3,1802.6,63229,53.55
2025-06-05,1798.0,1828.0,1798.0,1812.2,78168,34.35
2025-06-06,1805.0,1934.9,1804.5,1922.3,349207,31.86
2025-06-09,1934.0,1949.8,1901.6,1936.6,181276,37.48
2025-06-10,1937.9,1942.7,1882.6,1894.9,64355,51.5
2025-06-11,1894.9,1910.0,1831.7,1843.3,85467,47.52
2025-06-12,1872.0,1878.2,1812.3,1827.4,73482,39.79
2025-06-13,1790.0,1861.0,1790.0,1850.5,57113,39.74
2025-06-16,1850.9,1895.0,1809.6,1874.5,95502,30.29
2025-06-17,1852.0,1864.5,1818.0,1823.3,69577,44.52
2025-06-18,1823.1,1839.9,1811.4,1822.8,48052,38.4
2025-06-19,1830.1,1868.1,1810.0,1813.4,107442,29.05
2025-06-20,1820.0,1840.1,1798.0,1816.5,208384,64.78
2025-06-23,1799.0,1870.8,1799.0,1839.3,93255,48.14
2025-06-24,1841.9,1908.0,1840.0,1892.8,117028,39.25
2025-06-25,1907.0,1922.0,1871.2,1881.2,66272,40.54
2025-06-26,1885.0,1989.4,1872.1,1942.6,301739,32.86
2025-06-27,1945.0,2007.0,1930.9,1986.2,295316,59.08
2025-06-30,1999.0,2152.9,1994.6,2092.5,1360083,33.5
2025-07-01,2093.1,2125.0,2026.0,2033.5,571338,75.48
