DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,184.0,188.0,183.9,185.33,4469518,47.47
2025-04-15,188.0,191.0,186.69,190.64,3226844,52.45
2025-04-16,191.0,196.34,190.09,195.82,6296910,52.05
2025-04-17,196.0,199.0,195.5,198.18,5630583,50.58
2025-04-21,199.9,204.99,197.85,202.49,6404738,43.71
2025-04-22,203.0,206.99,202.65,203.82,5509241,52.21
2025-04-23,204.95,208.8,200.5,207.98,4082754,41.22
2025-04-24,207.01,208.23,202.02,203.1,3596167,43.41
2025-04-25,202.73,204.2,194.0,195.94,5773192,39.36
2025-04-28,195.0,200.95,195.0,199.42,3069376,35.91
2025-04-29,201.0,203.0,199.1,199.71,3138260,43.88
2025-04-30,199.6,199.7,195.22,196.36,2527340,46.37
2025-05-02,197.0,201.8,195.9,198.08,3173576,40.29
2025-05-05,198.0,200.94,197.59,199.32,2452802,56.59
2025-05-06,198.5,200.78,191.42,191.94,4092349,53.64
2025-05-07,188.93,201.65,188.41,200.75,7202675,47.16
2025-05-08,200.7,204.5,193.0,194.62,4759157,31.57
2025-05-09,190.0,194.88,189.81,193.17,4447930,44.1
2025-05-12,199.4,205.98,199.01,205.54,4882715,44.99
2025-05-13,205.8,210.1,201.2,204.89,5571107,31.26
2025-05-14,206.0,219.99,206.0,218.33,25410327,27.86
2025-05-15,218.0,218.35,212.64,215.4,6750880,43.19
2025-05-16,217.4,218.95,214.47,218.24,5702121,43.16
2025-05-19,218.23,218.95,213.98,215.19,3401327,52.47
2025-05-20,215.9,218.3,213.4,213.84,3304680,46.29
2025-05-21,214.9,221.8,213.1,221.46,5961221,33.78
2025-05-22,222.0,223.41,218.08,221.45,6482702,41.1
2025-05-23,223.7,224.1,220.73,222.29,3115864,42.08
2025-05-26,221.2,223.57,219.01,221.95,3945663,39.19
2025-05-27,222.2,223.25,217.14,221.03,3098047,30.05
2025-05-28,221.85,222.2,218.43,219.02,2125877,39.07
2025-05-29,219.9,223.0,219.25,221.27,4291397,45.34
2025-05-30,221.2,223.9,219.1,222.51,2694513,34.78
2025-06-02,222.0,225.39,218.44,224.16,3047965,41.64
2025-06-03,224.6,227.8,221.72,222.52,5124464,40.68
2025-06-04,223.75,225.71,221.1,225.09,2958622,36.69
2025-06-05,224.1,226.2,222.46,225.2,2373268,48.49
2025-06-06,225.11,233.96,223.22,233.41,7621338,40.01
2025-06-09,235.0,243.29,235.0,240.23,10606849,30.72
2025-06-10,241.75,246.85,240.5,242.66,9938548,41.51
2025-06-11,246.0,251.0,244.52,246.25,21036525,42.84
2025-06-12,246.25,250.98,241.7,242.97,6845799,35.33
2025-06-13,236.0,241.67,236.0,240.37,6619068,46.73
2025-06-16,241.4,249.44,237.39,248.75,6293041,43.18
