DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,1250.0,1250.0,1206.9,1230.75,129159,33.3
2025-04-15,1260.0,1267.9,1243.0,1248.4,105281,42.96
2025-04-16,1248.4,1260.7,1240.0,1246.4,85546,39.94
2025-04-17,1242.0,1254.0,1221.0,1231.2,148521,47.77
2025-04-21,1248.0,1277.8,1237.8,1265.4,275884,34.58
2025-04-22,1270.0,1273.9,1253.3,1256.0,97267,42.35
2025-04-23,1268.0,1273.3,1242.2,1245.9,132877,41.16
2025-04-24,1245.0,1260.0,1238.1,1243.7,108613,35.33
2025-04-25,1245.0,1253.2,1183.1,1203.3,203542,35.33
2025-04-28,1203.0,1215.0,1185.7,1206.2,103461,34.77
2025-04-29,1205.0,1243.7,1205.0,1214.3,97106,34.83
2025-04-30,1205.1,1212.0,1161.5,1168.5,167154,51.51
2025-05-02,1175.0,1191.9,1156.0,1172.4,159180,34.25
2025-05-05,1172.4,1200.1,1171.0,1195.7,86534,40.71
2025-05-06,1195.0,1207.8,1152.1,1158.8,112482,44.43
2025-05-07,1154.9,1184.2,1140.0,1176.5,147736,32.28
2025-05-08,1178.3,1242.1,1168.2,1176.5,395237,25.19
2025-05-09,1153.0,1173.6,1146.1,1150.7,189538,50.44
2025-05-12,1198.0,1233.0,1190.1,1207.6,364153,57.32
2025-05-13,1210.0,1236.1,1195.0,1225.1,314217,54.55
2025-05-14,1233.9,1238.9,1212.0,1215.8,147804,55.13
2025-05-15,1219.0,1238.4,1205.3,1223.5,176060,43.61
2025-05-16,1225.0,1289.0,1225.0,1259.0,505824,41.12
2025-05-19,1273.0,1285.0,1252.9,1278.0,358948,53.37
2025-05-20,1295.0,1300.0,1236.6,1242.7,272824,49.05
2025-05-21,1252.4,1274.9,1245.0,1266.9,179975,41.08
2025-05-22,1266.8,1323.0,1255.0,1270.3,739353,33.93
2025-05-23,1280.1,1295.0,1263.3,1291.8,253231,42.71
2025-05-26,1299.8,1389.0,1299.0,1355.2,1927727,20.23
2025-05-27,1355.2,1355.2,1270.0,1301.4,809649,36.42
2025-05-28,1301.2,1305.0,1245.0,1247.9,635651,51.43
2025-05-29,1250.0,1270.0,1240.1,1247.0,357142,50.13
2025-05-30,1257.0,1267.0,1244.8,1248.7,187630,51.37
2025-06-02,1253.6,1277.0,1240.2,1262.2,212378,48.02
2025-06-03,1268.9,1273.8,1251.0,1253.5,123853,51.03
2025-06-04,1261.0,1272.6,1244.8,1266.2,178033,48.87
2025-06-05,1275.0,1275.7,1250.0,1251.9,125324,51.67
2025-06-06,1258.9,1263.0,1240.5,1242.4,128347,53.79
2025-06-09,1253.0,1269.9,1244.4,1263.3,306089,43.64
2025-06-10,1270.0,1271.5,1249.1,1252.0,135184,53.18
2025-06-11,1254.9,1265.9,1245.0,1257.0,215760,57.35
2025-06-12,1258.0,1260.0,1225.0,1228.9,131936,53.77
2025-06-13,1201.9,1230.0,1193.1,1199.6,225663,55.69
2025-06-16,1199.6,1201.2,1176.0,1187.7,204518,46.35
2025-06-17,1196.3,1211.0,1182.0,1188.3,182684,51.16
2025-06-18,1195.1,1212.8,1181.0,1198.6,154457,46.03
