DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,11.6,11.62,11.14,11.61,43137,74.86
2025-04-15,12.14,12.14,11.65,11.87,31011,66.58
2025-04-16,12.15,12.46,11.83,12.46,61804,50.4
2025-04-17,12.46,13.08,12.31,13.08,86449,73.01
2025-04-21,13.33,13.48,12.75,13.04,94550,63.08
2025-04-22,13.34,13.34,12.86,12.94,36250,75.0
2025-04-23,13.18,13.19,12.87,13.01,28563,57.16
2025-04-24,12.99,13.18,12.7,12.76,50704,60.4
2025-04-25,12.55,13.18,12.16,12.33,29830,53.7
2025-04-28,12.33,12.33,11.82,11.89,16063,63.84
2025-04-29,11.89,12.41,11.7,11.94,35691,61.82
2025-04-30,12.39,12.39,11.34,11.38,85955,65.0
2025-05-02,11.38,11.77,11.12,11.45,31123,65.85
2025-05-05,11.99,11.99,10.95,11.02,146219,70.38
2025-05-06,11.02,11.13,10.46,10.51,90602,67.39
2025-05-07,10.42,10.61,10.16,10.38,43941,55.14
2025-05-08,10.48,10.89,10.4,10.89,21891,72.81
2025-05-09,10.8,11.43,10.34,10.48,93474,66.04
2025-05-12,10.97,11.0,10.68,11.0,7770,73.77
2025-05-13,11.48,11.48,11.1,11.17,67468,82.98
2025-05-14,11.39,11.39,11.0,11.22,38066,79.9
2025-05-15,11.34,11.65,11.26,11.45,66491,78.69
2025-05-16,11.45,11.77,11.45,11.6,71725,61.27
2025-05-19,11.98,11.98,11.53,11.95,58574,77.05
2025-05-20,12.17,12.23,11.9,11.98,50234,70.45
2025-05-21,11.99,12.45,11.77,12.26,38332,60.51
2025-05-22,12.49,12.49,11.75,12.14,47306,59.14
2025-05-23,11.76,11.99,11.56,11.81,70150,54.31
2025-05-26,11.99,11.99,11.31,11.44,40096,67.67
2025-05-27,11.39,11.43,11.05,11.1,72728,77.93
2025-05-28,11.49,11.49,10.9,11.01,104493,77.09
2025-05-29,11.01,11.49,11.0,11.03,37417,78.89
2025-05-30,11.24,11.49,11.03,11.16,30609,58.89
2025-06-02,11.01,11.31,11.0,11.08,70980,69.1
2025-06-03,11.09,11.24,11.09,11.15,13714,63.96
2025-06-04,11.34,11.34,11.12,11.26,20444,65.9
2025-06-05,11.35,11.41,10.93,11.06,29235,58.08
2025-06-06,11.01,11.42,11.0,11.2,26227,56.93
2025-06-09,11.25,11.54,11.11,11.14,81455,61.74
2025-06-10,11.05,11.45,11.05,11.24,29757,71.12
2025-06-11,11.24,11.45,11.13,11.42,52518,74.78
2025-06-12,11.5,12.34,11.46,11.72,128067,51.36
2025-06-13,11.72,11.72,11.05,11.2,72557,60.49
2025-06-16,11.08,11.33,11.01,11.1,51392,55.98
2025-06-17,11.1,11.1,10.7,10.98,30891,81.1
2025-06-18,10.98,11.16,10.61,11.05,49199,17.02
2025-06-19,11.05,11.17,10.8,10.81,46680,51.06
