DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,59.01,60.5,59.01,59.6,35006,61.64
2025-04-15,60.5,61.4,60.01,60.7,31030,57.31
2025-04-16,60.69,63.2,60.43,62.01,59671,59.93
2025-04-17,62.99,62.99,59.76,61.77,64513,61.81
2025-04-21,61.81,62.88,61.8,62.17,75606,65.46
2025-04-22,63.0,64.3,61.9,62.69,156947,45.65
2025-04-23,63.11,63.74,61.5,62.04,37948,56.34
2025-04-24,62.8,62.8,61.83,62.09,31284,58.79
2025-04-25,62.41,62.85,58.46,59.67,68465,57.4
2025-04-28,59.67,60.59,59.1,59.75,24801,63.28
2025-04-29,61.04,61.04,59.2,59.73,23158,68.26
2025-04-30,60.48,60.48,58.55,59.01,23115,62.92
2025-05-02,59.0,59.79,58.57,59.36,18818,51.1
2025-05-05,60.55,60.6,58.6,59.12,27428,57.79
2025-05-06,59.8,59.8,57.97,58.3,30326,70.67
2025-05-07,58.1,58.1,56.65,57.36,37176,66.97
2025-05-08,58.42,58.89,58.0,58.24,21254,67.13
2025-05-09,57.0,57.79,56.3,56.97,32507,66.99
2025-05-12,57.99,59.99,57.99,59.26,133595,61.15
2025-05-13,59.94,63.0,58.84,59.68,107368,40.83
2025-05-14,59.68,60.89,59.68,60.38,31533,66.93
2025-05-15,60.8,61.0,60.0,60.34,54970,60.7
2025-05-16,61.0,61.89,60.16,61.26,59660,72.62
2025-05-19,61.99,62.5,61.59,61.95,51477,64.88
2025-05-20,62.62,62.62,61.0,61.35,35658,62.33
2025-05-21,61.35,64.0,61.01,62.62,92662,61.81
2025-05-22,61.8,63.01,61.8,62.26,41016,57.27
2025-05-23,61.45,62.62,59.41,61.19,60511,55.25
2025-05-26,60.95,62.54,60.26,61.7,68567,67.11
2025-05-27,62.5,62.8,61.59,62.24,61383,61.1
2025-05-28,62.55,63.24,61.05,62.22,75458,60.63
2025-05-29,63.29,63.29,62.11,62.37,29137,70.7
2025-05-30,62.27,62.27,61.41,61.6,37188,73.78
2025-06-02,61.99,62.15,61.01,61.34,44077,55.93
2025-06-03,61.8,61.8,60.2,60.88,30166,67.68
2025-06-04,60.8,61.96,60.61,60.91,25885,76.34
2025-06-05,61.88,61.88,60.8,61.04,25697,57.57
2025-06-06,61.98,61.98,60.5,61.16,37604,59.95
2025-06-09,61.89,62.97,61.2,62.3,61199,67.85
2025-06-10,62.01,62.82,62.01,62.66,48570,69.45
2025-06-11,62.9,64.85,62.16,63.3,86248,65.5
2025-06-12,63.3,63.98,62.31,62.67,32504,63.97
2025-06-13,60.3,62.0,60.15,61.04,33717,62.88
2025-06-16,61.04,62.13,60.1,61.48,41654,58.73
2025-06-17,61.5,62.38,60.64,61.8,27291,53.07
2025-06-18,60.6,62.73,60.6,62.09,53382,66.48
2025-06-19,62.49,62.49,59.12,60.1,59180,64.36
2025-06-20,59.6,60.69,59.1,59.72,39367,63.02
2025-06-23,59.72,60.7,59.19,59.74,43986,67.3
2025-06-24,59.85,61.68,59.85,60.65,33879,64.53
2025-06-25,60.65,61.6,60.12,60.99,36772,65.83
2025-06-26,61.65,61.81,60.57,61.11,38969,56.11
2025-06-27,61.1,61.7,60.6,60.8,29223,67.64
2025-06-30,60.8,61.0,59.6,59.89,50951,71.58
2025-07-01,60.99,60.99,60.0,60.12,30978,68.68
2025-07-02,60.8,60.8,59.5,60.14,39835,60.55
2025-07-03,60.0,60.74,59.99,60.14,38648,61.73
2025-07-04,60.14,61.5,60.11,60.75,38162,52.08
2025-07-07,61.44,61.45,60.14,60.36,20854,64.06
2025-07-08,60.5,61.05,59.75,60.32,32424,70.99
2025-07-09,60.99,61.0,60.18,60.85,27893,61.37
2025-07-10,61.1,62.5,60.62,61.51,68439,61.79
2025-07-11,61.88,62.6,61.21,61.6,53088,54.99
2025-07-14,63.05,64.0,61.45,62.32,85113,50.89
2025-07-15,61.41,63.0,60.75,61.66,47033,61.8
2025-07-16,62.0,62.59,61.23,62.14,72552,65.64
2025-07-17,62.71,62.75,60.5,61.22,109144,57.28
2025-07-18,61.22,63.64,60.9,62.59,86338,53.4
2025-07-21,62.78,62.78,61.61,61.81,42261,59.67
2025-07-22,61.81,62.69,61.2,61.56,36153,66.91
2025-07-23,61.5,62.23,61.11,61.43,38960,59.99
2025-07-24,61.61,62.34,61.21,61.61,22743,61.46
2025-07-25,61.22,62.39,60.31,60.65,36673,62.95
2025-07-28,60.5,61.47,59.0,59.65,35079,64.68
2025-07-29,59.86,60.59,59.0,59.76,32669,57.2
2025-07-30,60.6,60.77,59.65,59.85,16879,59.19
2025-07-31,59.84,61.12,58.5,59.8,38332,64.07
2025-08-01,60.0,61.93,60.0,60.09,47135,51.05
2025-08-04,59.69,59.69,57.1,57.81,103891,57.55
2025-08-05,58.99,59.06,56.87,57.2,61480,61.13
2025-08-06,58.47,59.59,55.7,58.08,108540,53.15
2025-08-07,59.0,59.0,57.22,57.89,24579,56.79
2025-08-08,57.9,58.59,56.13,56.77,39624,62.45
2025-08-11,57.6,57.6,55.7,56.05,50218,71.16
2025-08-12,56.9,57.09,56.21,56.83,21871,73.49
2025-08-13,57.92,58.27,56.37,57.2,34880,51.95
2025-08-14,57.71,58.0,57.0,57.21,18942,68.85
2025-08-18,58.25,60.14,57.21,59.69,81398,66.97
2025-08-19,59.89,59.89,59.0,59.05,21612,58.13
2025-08-20,59.1,60.22,59.1,59.83,35317,60.55
2025-08-21,59.83,68.39,59.14,63.7,711313,37.89
2025-08-22,63.5,64.26,62.1,63.87,98455,60.19
2025-08-25,63.87,64.64,63.1,63.57,40367,63.08
2025-08-26,63.77,63.9,61.21,62.29,62590,53.61
2025-08-28,62.27,62.27,60.06,60.61,45422,51.66
2025-08-29,60.61,61.72,60.0,60.13,37375,60.11
2025-09-01,60.42,62.01,60.3,61.27,44757,58.89
2025-09-02,61.57,62.28,61.57,61.81,24229,70.08
2025-09-03,61.81,62.98,61.43,61.74,32565,50.93
2025-09-04,62.5,63.15,59.45,60.18,124825,55.54
2025-09-05,60.0,60.93,59.65,60.13,60234,69.83
2025-09-08,59.55,61.35,59.55,60.19,32822,55.6
2025-09-09,60.19,61.99,60.19,60.99,50120,40.23
2025-09-10,61.0,61.7,60.5,60.68,26700,66.72
2025-09-11,60.51,60.99,59.72,60.11,36336,67.65
2025-09-12,60.11,60.87,60.03,60.22,28044,67.39
2025-09-15,61.0,61.0,60.0,60.14,19388,60.32
2025-09-16,59.77,61.0,59.77,60.33,18676,52.15
2025-09-17,61.1,63.0,59.3,60.03,115314,50.73
2025-09-18,60.5,60.9,59.55,60.1,48579,69.43
2025-09-19,60.7,60.9,60.06,60.25,23538,70.35
2025-09-22,60.0,60.24,59.71,59.83,32567,80.94
2025-09-23,60.49,61.5,59.57,60.69,44697,69.94
2025-09-24,60.77,60.77,58.15,59.11,49081,71.81
2025-09-25,59.49,59.82,58.48,58.53,34524,64.31
2025-09-26,58.6,61.45,57.15,59.47,83890,56.33
2025-09-29,60.05,60.05,57.7,58.1,29074,70.93
2025-09-30,59.0,59.89,58.01,58.96,34600,59.31
2025-10-01,59.74,59.95,58.5,59.05,23999,64.07
2025-10-03,59.65,60.28,58.8,59.71,27862,49.26
2025-10-06,59.71,59.93,58.54,58.87,27145,69.96
2025-10-07,58.87,59.06,58.48,58.7,22599,61.9
2025-10-08,58.5,59.06,58.25,58.28,30224,74.51
2025-10-09,58.97,60.5,57.05,60.07,90523,64.09
2025-10-10,60.0,60.0,59.05,59.88,41074,56.53
2025-10-13,58.98,59.9,58.36,58.92,37552,55.48
2025-10-14,59.11,59.65,58.5,59.08,31127,79.1
2025-10-15,59.37,59.37,58.1,58.55,27141,78.17
2025-10-16,58.57,59.51,57.75,58.48,36950,56.3
2025-10-17,58.18,58.92,58.18,58.25,28069,81.69
2025-10-20,58.83,60.17,57.0,58.1,61276,61.44
2025-10-21,58.94,58.94,56.3,58.04,38236,65.46
2025-10-22,58.94,58.94,56.3,58.04,38236,65.46
2025-10-23,58.14,58.84,57.44,58.15,34928,73.87
2025-10-24,58.15,58.88,58.15,58.75,22653,66.1
2025-10-27,58.75,59.36,58.75,58.98,31358,85.14
2025-10-28,59.49,59.49,58.42,58.58,13701,62.7
2025-10-29,58.58,59.62,58.4,59.06,28834,64.22
2025-10-30,59.06,60.0,58.67,58.92,30318,67.96
2025-10-31,59.78,59.78,59.01,59.06,18938,72.29
2025-11-03,59.69,59.97,57.0,57.87,33197,69.92
2025-11-04,58.87,58.9,58.12,58.36,23172,60.01
2025-11-05,58.87,58.9,58.12,58.36,23172,60.01
2025-11-06,58.36,58.68,57.55,58.18,23367,69.31
2025-11-07,57.2,58.3,57.15,57.54,26689,66.32
2025-11-10,56.5,58.0,56.0,56.29,62212,74.19
2025-11-11,56.72,56.93,54.62,55.32,61373,60.61
2025-11-12,55.31,56.86,55.0,55.72,31819,63.51
2025-11-13,55.72,57.39,55.55,56.5,35590,63.39
2025-11-14,57.39,57.39,55.86,56.35,24280,68.92
2025-11-17,56.2,57.24,55.36,56.08,41913,62.17
2025-11-18,56.12,56.82,56.0,56.29,11325,76.11
2025-11-19,56.0,56.89,55.9,56.43,18295,72.55
2025-11-20,56.96,59.41,55.0,55.47,139727,35.93
2025-11-21,55.25,55.72,54.75,55.15,25986,74.01
2025-11-24,55.15,55.5,54.81,55.08,17590,75.61
2025-11-25,54.82,56.09,53.16,53.77,63750,66.44
2025-11-26,54.0,54.64,53.5,54.11,37357,65.28
2025-11-27,54.15,54.76,54.15,54.25,24685,56.27
2025-11-28,54.25,58.5,53.89,57.99,142898,60.48
2025-12-01,58.77,59.24,58.0,58.54,144178,64.19
2025-12-02,58.99,59.0,57.57,57.84,48915,71.71
2025-12-03,58.2,59.0,57.55,57.58,30313,59.26
2025-12-04,57.86,58.11,57.27,57.45,24110,61.81
2025-12-05,58.19,58.19,56.72,56.83,13399,66.09
2025-12-08,56.56,56.8,55.02,55.51,31477,69.56
2025-12-09,55.49,56.19,54.5,55.74,24955,51.53
2025-12-10,55.74,58.68,55.73,57.38,98135,54.52
2025-12-11,58.48,58.48,57.5,58.21,36986,71.19
2025-12-12,58.67,58.67,57.52,57.94,34510,65.7
2025-12-15,58.58,58.58,56.95,57.68,27901,68.85
2025-12-16,57.02,57.86,57.02,57.38,16867,46.63
2025-12-17,57.39,57.7,55.76,55.94,33127,73.35
2025-12-18,55.95,56.78,55.86,56.34,20647,68.86
2025-12-19,56.99,58.88,55.5,57.15,63326,33.16
2025-12-22,57.25,57.8,55.6,57.53,40811,37.88
2025-12-23,57.53,58.15,56.81,57.78,23880,76.06
2025-12-24,57.97,58.58,57.02,57.12,32469,77.02
2025-12-25,57.97,58.58,57.02,57.12,32469,77.02
2025-12-26,58.0,58.98,57.99,58.57,73303,68.57
2025-12-29,58.8,58.87,57.4,57.58,39631,73.95
2025-12-30,58.58,58.58,56.93,57.43,24984,75.23
2025-12-31,58.28,58.98,57.62,58.69,40810,72.28
2026-01-01,58.89,59.0,57.99,58.12,16629,71.37
2026-01-02,58.55,58.55,57.16,58.08,35725,77.01
2026-01-05,58.8,58.8,57.0,57.04,47107,71.01
2026-01-06,56.5,57.48,56.5,56.82,21368,69.57
2026-01-07,56.56,57.26,56.56,56.79,18126,73.02
2026-01-08,56.79,57.9,55.93,56.91,37787,72.97
2026-01-09,57.5,57.5,55.12,55.52,51492,70.64
2026-01-12,54.55,55.48,54.16,54.55,43467,63.17
2026-01-13,55.0,55.38,54.67,55.01,21574,73.79
2026-01-14,54.55,56.99,54.55,55.08,35106,45.89
2026-01-15,54.55,56.99,54.55,55.08,35106,45.89
2026-01-16,54.58,55.48,54.5,54.91,29866,55.62
2026-01-19,54.89,61.64,53.91,60.36,416756,44.88
2026-01-20,61.89,61.89,59.5,60.57,243532,62.23
2026-01-21,60.5,60.79,58.02,59.53,141745,57.44
2026-01-22,59.9,60.87,59.63,60.09,82976,73.7
2026-01-23,60.9,65.5,60.15,62.14,500871,59.34
2026-01-26,60.9,65.5,60.15,62.14,500871,59.34
2026-01-27,55.0,57.42,54.5,56.75,235110,47.57
2026-01-28,57.5,58.33,56.5,57.55,98599,52.11
2026-01-29,58.2,58.2,57.34,57.63,59583,58.54
2026-01-30,57.18,57.28,55.22,56.66,43402,53.6
2026-02-02,55.69,56.56,54.0,54.57,69090,75.82
2026-02-03,55.39,56.94,55.07,56.15,101367,62.2
2026-02-04,56.43,57.0,56.02,56.61,50696,62.86
2026-02-05,56.61,56.93,55.9,56.04,37721,71.81
2026-02-06,55.73,56.16,55.6,56.01,20438,62.14
2026-02-09,55.6,57.19,55.6,56.94,57607,81.09
2026-02-10,56.94,58.0,56.57,57.18,65516,68.03
2026-02-11,57.0,57.25,56.2,56.52,28462,55.72
2026-02-12,56.0,56.94,55.57,55.87,25059,63.53
2026-02-13,55.41,57.0,55.41,56.25,56009,69.92
2026-02-16,56.01,56.45,55.39,55.67,25277,61.85
2026-02-17,55.67,56.45,55.58,56.35,21643,63.4
2026-02-18,56.0,56.99,54.88,55.36,74777,62.81
2026-02-19,54.81,56.14,54.81,55.03,25575,67.9
2026-02-20,55.41,55.73,55.0,55.06,14946,73.75
2026-02-23,55.05,55.88,55.0,55.11,26955,60.59
2026-02-24,55.11,55.62,54.5,54.8,20950,73.06
2026-02-25,54.8,56.49,54.7,54.83,18057,64.64
