DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-08-17,1.15,1.27,1.15,1.21,116547,84.22
2026-08-18,1.24,1.26,1.18,1.23,179534,85.77
2026-08-19,1.25,1.25,1.21,1.22,95397,85.54
2026-08-20,1.21,1.25,1.2,1.2,192176,87.11
2026-08-21,1.2,1.22,1.19,1.2,178394,76.22
2026-08-24,1.22,1.23,1.18,1.19,199464,91.93
2026-08-25,1.21,1.23,1.16,1.2,261735,76.58
2026-08-26,1.19,1.22,1.19,1.19,313484,91.59
2026-08-27,1.19,1.21,1.18,1.19,199252,78.37
2026-08-28,1.21,1.23,1.18,1.19,284503,83.07
2026-08-31,1.21,1.21,1.12,1.16,566958,89.49
2026-09-01,1.17,1.17,1.14,1.15,289220,69.24
2026-09-02,1.16,1.26,1.11,1.15,899571,55.2
2026-09-03,1.17,1.17,1.1,1.13,325275,79.12
2026-09-04,1.15,1.16,1.11,1.12,329513,69.94
2026-09-07,1.12,1.13,1.1,1.1,337126,89.82
2026-09-08,1.1,1.1,1.06,1.07,819602,71.51
2026-09-09,1.07,1.09,1.06,1.07,159333,80.94
2026-09-10,1.08,1.09,1.04,1.04,299553,90.55
2026-09-11,1.05,1.05,0.91,1.02,603812,72.85
2026-09-14,1.05,1.05,0.91,1.02,603812,72.85
2026-09-15,1.02,1.02,0.94,0.98,431765,84.59
2026-09-16,0.96,0.99,0.95,0.97,461983,70.08
2026-09-17,0.99,1.01,0.95,0.97,265847,73.41
2026-09-18,0.97,1.0,0.95,0.98,216964,68.21
2026-09-21,0.98,1.03,0.95,0.96,427767,69.06
2026-09-22,0.96,0.98,0.94,0.95,307535,87.4
2026-09-23,0.95,1.14,0.92,1.01,682962,59.29
2026-09-24,1.01,1.03,0.96,0.99,177622,79.46
2026-09-25,0.95,1.01,0.95,0.98,213384,69.76
