DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-07-20,184.1,194.36,181.8,193.07,1030038,62.7
2026-07-21,194.0,197.7,184.5,186.05,795916,70.12
2026-07-22,186.05,188.69,178.0,183.93,323436,62.74
2026-07-23,183.95,190.78,179.11,189.37,338727,59.49
2026-07-24,186.9,190.77,181.73,187.84,882981,77.06
2026-07-27,187.84,193.75,187.1,189.26,351325,63.36
2026-07-28,191.5,192.37,183.1,185.28,130148,59.72
2026-07-29,185.28,188.56,178.0,182.53,155723,52.89
2026-07-30,179.0,191.65,179.0,191.52,530424,69.36
2026-07-31,192.65,201.09,190.1,200.34,994073,57.13
2026-08-03,204.9,206.9,198.0,198.62,587646,64.44
2026-08-04,204.7,204.7,189.0,201.39,1018532,57.81
2026-08-05,199.25,205.05,196.26,200.59,306078,59.01
2026-08-07,199.0,199.5,186.96,194.37,691566,50.84
2026-08-10,196.89,197.98,190.01,190.96,148130,60.94
2026-08-11,192.4,194.95,181.42,182.92,346641,71.65
2026-08-12,182.0,184.8,175.21,183.63,885006,62.09
2026-08-13,183.63,192.81,182.86,191.36,813251,33.96
2026-08-14,191.36,195.0,188.01,192.14,319876,53.11
2026-08-17,191.17,191.17,182.54,182.85,352639,69.58
