DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,81.98,84.95,79.55,83.96,1172838,38.75
2025-04-15,86.0,90.7,85.5,88.65,1096363,39.34
2025-04-16,87.65,90.68,85.6,86.57,966209,60.1
2025-04-17,8.93,10.16,8.92,9.73,5061263,40.08
2025-04-21,9.0,9.0,8.3,8.44,5677503,54.48
2025-04-22,8.6,8.6,7.9,7.95,3121667,65.74
2025-04-23,7.8,8.57,7.8,8.36,4636609,43.99
2025-04-24,8.36,8.53,8.0,8.1,3128066,85.72
2025-04-25,8.39,8.39,7.7,7.77,1543783,59.04
2025-04-28,7.76,7.93,7.55,7.71,3051610,85.58
2025-04-29,7.87,7.92,7.4,7.53,1106570,73.45
2025-04-30,7.63,7.63,7.3,7.37,1131267,54.54
2025-05-02,7.31,7.46,7.13,7.18,612302,45.24
2025-05-05,7.2,7.39,6.92,7.0,2039132,62.93
2025-05-06,7.0,7.12,6.82,6.92,1004419,70.36
2025-05-07,6.75,7.0,6.75,6.86,977023,37.83
2025-05-08,6.95,7.22,6.8,6.88,838489,57.31
2025-05-09,6.7,6.92,6.6,6.75,716609,56.04
2025-05-12,7.1,7.49,7.06,7.44,1391962,69.13
2025-05-13,7.56,7.7,7.0,7.19,2255915,52.79
2025-05-14,7.13,7.28,7.0,7.13,1409962,55.4
2025-05-15,7.13,7.26,7.04,7.14,1064930,50.69
2025-05-16,7.17,7.41,7.14,7.26,1750210,61.66
2025-05-19,7.27,7.44,7.25,7.29,895924,39.05
2025-05-20,7.4,7.58,7.22,7.26,5333452,87.44
2025-05-21,7.3,7.34,7.16,7.17,1568752,71.97
2025-05-22,7.16,7.73,7.04,7.55,10174061,87.24
2025-05-23,7.67,7.89,7.37,7.45,1683636,52.99
2025-05-26,7.5,8.48,7.44,8.13,10008655,52.75
2025-05-27,8.54,8.54,8.0,8.1,5954697,75.25
2025-05-28,8.25,8.25,7.98,8.07,1573573,72.51
2025-05-29,8.15,8.3,8.04,8.06,1323261,61.19
2025-05-30,8.1,8.14,7.93,8.0,1132098,68.73
2025-06-02,8.04,8.5,7.83,8.08,3546513,58.24
2025-06-03,8.15,8.2,7.98,8.02,1570284,65.9
2025-06-04,8.0,8.1,7.92,7.93,2752839,75.44
2025-06-05,8.08,8.8,7.96,8.46,8883684,55.54
2025-06-06,8.4,8.64,8.36,8.45,4293348,68.68
2025-06-09,8.4,8.65,8.4,8.43,1961451,58.82
2025-06-10,8.46,8.56,8.2,8.24,1369685,55.58
2025-06-11,8.34,8.52,8.13,8.34,2401090,55.45
2025-06-12,8.48,8.48,8.1,8.13,3115623,78.33
2025-06-13,8.0,8.24,7.98,8.03,1168228,57.81
2025-06-16,8.0,8.08,7.75,7.85,1784416,53.24
2025-06-17,7.85,7.99,7.75,7.77,1360598,64.45
2025-06-18,7.88,7.89,7.65,7.71,891868,54.42
2025-06-19,7.8,7.86,7.4,7.51,1037409,47.25
2025-06-20,7.45,7.66,7.4,7.59,814150,48.84
2025-06-23,7.5,7.59,7.0,7.43,1347177,50.27
2025-06-24,7.5,7.94,7.5,7.53,1946694,40.69
2025-06-25,7.6,7.81,7.35,7.47,1521074,54.89
2025-06-26,7.51,7.68,7.45,7.49,522509,61.2
2025-06-27,7.6,7.6,6.9,7.29,3743120,62.64
2025-06-30,7.31,7.77,7.31,7.64,2834996,53.74
2025-07-01,7.8,7.92,7.3,7.43,2341168,56.67
2025-07-02,7.5,7.59,7.4,7.46,1304827,61.19
2025-07-03,7.49,7.55,7.42,7.51,736256,49.06
2025-07-04,7.53,7.59,7.4,7.43,1597444,77.56
2025-07-07,7.5,7.5,7.25,7.36,1011675,62.65
2025-07-08,7.37,7.48,7.2,7.27,1815693,72.71
2025-07-09,7.3,7.39,7.21,7.26,724105,55.29
2025-07-10,7.39,7.44,7.25,7.36,1288160,56.9
2025-07-11,7.41,7.41,7.26,7.29,796529,70.13
2025-07-14,7.39,7.39,7.16,7.26,722365,53.27
2025-07-15,7.3,7.4,7.22,7.32,900529,71.19
2025-07-16,7.6,7.99,7.5,7.68,5471393,54.7
2025-07-17,7.8,7.83,7.58,7.61,1213664,75.62
2025-07-18,7.65,7.85,7.43,7.7,1673053,45.53
2025-07-21,7.8,7.8,7.53,7.59,859821,60.09
2025-07-22,7.69,7.7,7.5,7.53,716119,55.04
2025-07-23,7.6,7.6,7.34,7.4,1184317,54.7
2025-07-24,7.43,7.43,7.31,7.35,581233,55.76
2025-07-25,7.36,7.44,7.14,7.19,964450,65.41
2025-07-28,7.18,7.29,7.08,7.13,774679,49.09
2025-07-29,7.16,7.22,7.11,7.17,506892,51.83
2025-07-30,7.22,7.3,7.01,7.1,1163718,54.44
2025-07-31,7.06,7.07,6.9,7.0,835107,66.38
2025-08-01,7.1,7.1,6.81,6.86,804262,64.97
2025-08-04,6.99,6.99,6.87,6.92,703027,62.99
2025-08-05,6.9,6.98,6.85,6.93,1111373,83.71
2025-08-06,6.93,7.02,6.79,6.91,479560,61.34
