DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,842.95,869.95,832.85,862.55,65163,48.03
2025-04-15,927.6,927.6,890.0,905.95,322933,15.82
2025-04-16,905.95,909.95,897.15,904.2,36848,29.82
2025-04-17,907.0,925.1,898.0,923.2,42356,43.04
2025-04-21,925.0,932.0,913.15,918.45,39897,40.85
2025-04-22,913.45,918.45,897.4,902.15,30883,46.18
2025-04-23,909.0,909.0,888.3,892.1,30121,41.04
2025-04-24,891.0,900.95,881.8,887.0,30407,47.7
2025-04-25,887.0,895.6,840.0,858.45,63114,44.25
2025-04-28,836.8,894.4,836.8,870.25,49572,36.76
2025-04-29,875.0,882.6,862.85,875.8,41406,55.15
2025-04-30,877.45,880.65,840.55,848.4,64136,61.63
2025-05-02,849.0,857.9,828.6,845.25,39814,51.66
2025-05-05,845.0,858.0,835.4,851.45,21804,53.51
2025-05-06,850.0,872.0,840.0,847.5,54379,52.31
2025-05-07,834.8,874.0,830.45,853.55,31755,44.03
2025-05-08,864.95,878.75,841.7,852.8,40233,47.4
2025-05-09,828.6,865.15,825.8,855.85,35575,54.41
2025-05-12,888.0,899.0,875.0,892.75,51609,58.91
2025-05-13,892.75,914.95,884.0,901.55,47997,51.77
2025-05-14,905.0,912.55,889.6,904.55,36816,56.44
2025-05-15,915.55,949.45,910.0,934.45,67098,47.07
2025-05-16,935.9,952.25,924.0,929.6,38580,51.31
2025-05-19,952.85,955.0,924.15,929.65,39602,52.85
2025-05-20,929.65,956.6,924.25,927.05,41618,35.76
2025-05-21,919.0,935.9,918.6,929.3,24259,53.44
2025-05-22,929.3,948.0,920.6,934.75,27455,47.45
2025-05-23,935.0,940.0,924.75,936.45,16168,56.61
2025-05-26,945.4,945.4,927.0,933.8,25096,55.26
2025-05-27,942.8,943.8,930.75,934.75,22885,59.55
2025-05-28,938.75,938.75,925.0,931.1,18916,58.26
2025-05-29,935.0,970.1,934.25,966.8,72427,50.3
2025-05-30,970.75,984.85,960.55,973.0,43596,39.76
2025-06-02,996.0,996.0,930.0,937.35,148198,34.84
2025-06-03,950.0,974.95,934.3,938.2,78035,34.82
2025-06-04,942.85,947.0,915.5,928.15,48503,45.25
2025-06-05,927.4,940.8,921.05,932.0,36310,43.18
2025-06-06,935.1,937.15,908.0,911.05,60514,53.77
2025-06-09,910.05,946.85,910.05,939.2,41702,55.03
2025-06-10,943.85,963.4,942.45,953.4,80912,56.48
2025-06-11,953.4,958.65,932.0,939.05,28244,57.36
2025-06-12,940.0,948.65,921.25,924.55,31332,51.0
2025-06-13,900.0,928.45,895.0,920.7,26447,47.37
2025-06-16,916.2,934.0,897.5,932.3,34298,48.98
2025-06-17,928.0,938.95,915.0,917.95,25758,46.54
2025-06-18,922.5,932.6,909.9,915.65,37618,42.88
2025-06-19,915.65,925.9,889.95,895.05,33246,52.5
2025-06-20,901.5,912.9,898.15,908.35,19542,40.07
2025-06-23,905.1,951.0,897.45,943.1,117401,32.51
2025-06-24,969.5,969.5,940.4,949.15,39362,58.61
2025-06-25,953.9,959.9,944.1,949.7,21304,54.88
2025-06-26,949.7,957.65,938.75,942.4,13994,46.7
2025-06-27,942.5,996.9,930.15,986.75,304275,19.33
2025-06-30,999.0,1039.0,999.0,1016.0,242013,33.51
2025-07-01,1019.0,1037.0,1005.0,1014.5,60491,36.97
2025-07-02,1012.0,1014.0,974.9,978.1,48524,45.47
2025-07-03,978.9,988.5,969.0,982.5,21115,42.35
2025-07-04,982.5,992.0,976.6,988.4,14662,50.55
2025-07-07,982.0,988.4,960.0,963.1,28550,54.47
2025-07-08,962.8,965.0,935.2,946.2,63613,31.09
2025-07-09,946.2,1009.9,946.2,998.4,174058,25.01
