DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,12.5,12.5,12.26,12.43,6330,66.9
2025-04-15,12.42,12.9,12.42,12.82,13146,63.87
2025-04-16,12.83,13.5,12.82,13.26,20717,46.2
2025-04-17,13.45,13.45,12.6,12.94,29061,54.58
2025-04-21,12.69,13.54,12.21,12.81,101908,23.81
2025-04-22,12.89,13.45,12.72,13.32,80664,86.37
2025-04-23,13.55,13.55,13.12,13.28,16570,46.17
2025-04-24,13.62,13.62,13.14,13.33,14221,65.9
2025-04-25,13.54,13.54,12.73,12.88,21110,58.42
2025-04-28,12.85,13.87,11.65,12.92,19515,50.15
2025-04-29,13.36,13.4,12.73,12.88,18460,73.99
2025-04-30,12.9,13.07,12.86,12.9,14041,86.95
2025-05-02,13.15,13.15,12.65,12.84,18469,75.15
2025-05-05,12.86,13.1,12.85,12.97,204290,99.11
2025-05-06,13.22,13.22,12.21,12.99,25794,42.16
2025-05-07,13.14,13.14,12.06,12.6,29850,69.36
2025-05-08,13.0,13.0,12.35,12.56,19249,45.87
2025-05-09,13.07,13.07,11.7,12.0,24962,72.21
2025-05-12,12.85,12.85,11.8,12.47,45667,72.54
2025-05-13,12.3,12.76,12.26,12.46,14055,72.17
2025-05-14,12.71,12.8,12.51,12.76,19680,77.92
2025-05-15,13.05,13.05,12.6,12.72,21173,61.09
2025-05-16,12.61,12.99,12.51,12.9,21228,73.4
2025-05-19,12.98,13.49,12.8,13.02,28863,66.41
2025-05-20,13.44,13.5,12.95,13.28,50856,64.46
2025-05-21,13.48,13.85,12.97,13.64,32916,69.82
2025-05-22,13.75,13.79,13.47,13.6,16781,96.06
2025-05-23,13.95,16.32,12.65,14.94,726473,22.97
2025-05-26,15.19,15.42,14.69,15.21,70216,54.53
2025-05-27,14.86,15.47,14.86,15.1,33617,65.47
2025-05-28,15.08,16.0,15.08,15.32,80722,51.06
2025-05-29,15.77,15.78,15.15,15.37,56747,95.49
2025-05-30,15.39,15.65,15.27,15.38,45808,97.25
2025-06-02,15.53,15.53,14.51,14.74,34317,75.11
2025-06-03,14.76,14.99,14.63,14.69,16474,92.67
2025-06-04,14.56,14.61,14.36,14.41,18355,92.01
2025-06-05,14.34,15.0,13.61,13.93,49955,75.79
2025-06-06,14.1,15.0,13.36,13.73,114591,29.74
2025-06-09,13.41,14.33,13.41,13.65,45224,51.34
2025-06-10,13.65,14.27,13.05,13.29,36837,80.06
2025-06-11,14.2,14.2,13.01,13.12,48811,67.87
2025-06-12,13.12,13.64,13.12,13.56,31694,75.38
2025-06-13,13.63,13.63,12.37,12.76,53554,56.96
2025-06-16,12.77,13.36,12.53,12.89,20189,61.93
2025-06-17,13.59,13.59,12.76,13.18,18785,61.71
2025-06-18,13.11,13.8,13.0,13.66,96696,47.36
2025-06-19,14.0,14.0,13.27,13.44,27400,57.36
2025-06-20,13.38,13.72,13.2,13.58,157308,90.71
2025-06-23,13.9,13.9,13.25,13.27,46034,24.28
2025-06-24,13.33,13.89,13.0,13.32,16289,59.98
2025-06-25,13.67,15.98,13.67,14.68,200197,55.2
2025-06-26,14.7,15.29,14.41,14.6,86402,66.23
2025-06-27,14.2,15.19,14.2,14.84,74349,54.48
2025-06-30,14.84,15.04,13.92,14.05,123579,44.46
2025-07-01,14.7,14.7,14.14,14.34,18863,50.33
2025-07-02,14.33,14.33,13.92,13.98,23283,71.14
2025-07-03,13.66,15.3,13.66,14.02,4606993,97.62
2025-07-04,14.99,16.82,14.07,14.53,2585257,30.83
2025-07-07,14.44,14.68,13.83,14.01,402690,70.36
2025-07-08,14.15,14.51,13.89,13.95,166194,57.28
2025-07-09,14.17,14.17,13.72,13.87,81503,55.85
2025-07-10,14.07,14.07,13.75,13.86,69385,35.54
2025-07-11,14.0,14.09,13.81,13.85,44606,56.64
2025-07-14,14.1,14.1,13.01,13.32,120138,51.88
