DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,454.2,454.2,432.0,433.8,252862,36.3
2025-04-15,439.95,477.15,435.8,477.15,1226707,27.16
2025-04-16,477.15,504.4,474.6,499.15,773552,29.4
2025-04-17,501.0,501.0,481.0,486.35,291094,47.91
2025-04-21,483.0,508.85,479.2,501.2,369552,49.38
2025-04-22,509.55,511.6,496.6,505.95,196207,45.75
2025-04-23,506.5,513.1,495.0,505.65,180641,42.46
2025-04-24,508.0,536.95,507.1,529.95,426954,39.16
2025-04-25,535.0,543.0,510.0,530.6,530112,42.29
2025-04-28,530.5,544.7,521.05,524.5,203388,41.73
2025-04-29,522.1,534.25,518.0,524.45,113630,35.75
2025-04-30,523.0,533.8,514.75,522.2,368779,59.27
2025-05-02,519.35,524.0,504.05,517.6,206834,58.14
2025-05-05,517.0,522.15,508.0,519.85,141545,58.68
2025-05-06,517.5,518.2,503.85,512.65,216091,59.46
2025-05-07,498.0,515.35,498.0,512.2,139537,36.73
2025-05-08,519.0,527.95,510.6,515.0,235144,62.59
2025-05-09,502.5,510.0,499.05,504.45,170736,54.1
2025-05-12,510.0,518.55,504.5,507.0,116656,43.08
2025-05-13,504.3,515.6,504.3,513.15,105614,52.64
2025-05-14,512.25,526.25,512.25,519.8,373529,76.39
2025-05-15,524.75,562.5,516.1,558.0,527523,37.98
2025-05-16,560.9,561.75,540.75,546.4,235958,53.38
2025-05-19,546.95,558.0,539.1,552.35,185136,33.55
2025-05-20,552.95,586.95,548.5,564.45,570956,32.1
2025-05-21,561.6,582.0,561.1,568.05,205439,28.41
2025-05-22,565.2,571.45,556.25,563.9,74404,38.24
2025-05-23,561.15,578.0,557.85,566.05,183288,39.39
2025-05-26,567.0,584.4,567.0,581.9,244298,53.1
2025-05-27,595.5,622.95,572.0,577.35,1697374,28.49
2025-05-28,582.0,583.35,568.9,576.45,214861,40.02
2025-05-29,575.55,577.6,567.25,571.1,150558,51.35
2025-05-30,571.15,576.65,565.05,571.4,298855,61.6
2025-06-02,572.0,574.0,560.05,568.65,141469,45.28
2025-06-03,572.8,580.2,561.95,562.55,140188,55.74
2025-06-04,563.0,567.0,551.05,554.05,121056,55.57
2025-06-05,555.3,565.9,552.45,560.8,124458,42.53
2025-06-06,561.9,566.4,556.0,564.15,79382,46.64
2025-06-09,564.0,572.05,562.4,568.3,87273,43.72
2025-06-10,570.0,581.85,560.55,564.2,179060,53.41
2025-06-11,567.0,584.1,565.2,577.85,207794,48.32
2025-06-12,579.05,587.1,566.95,569.35,169718,48.12
2025-06-13,556.6,578.5,555.0,572.3,111344,46.06
2025-06-16,577.0,582.75,558.25,574.7,159298,31.28
2025-06-17,572.0,575.65,559.15,561.65,143264,66.16
2025-06-18,562.0,562.0,550.35,553.9,73615,57.74
2025-06-19,550.35,553.0,537.0,541.05,174565,56.32
2025-06-20,539.1,549.8,535.6,542.7,109086,39.25
2025-06-23,536.0,548.05,532.8,534.95,137033,56.84
2025-06-24,545.0,546.0,532.6,536.05,65207,45.3
2025-06-25,541.0,587.0,540.35,575.5,2050112,16.81
2025-06-26,575.7,592.0,570.65,582.9,343172,39.61
2025-06-27,589.9,597.0,578.0,594.0,209284,50.42
2025-06-30,591.1,595.5,581.0,585.4,200748,53.39
2025-07-01,588.5,590.8,572.4,576.0,208343,65.87
2025-07-02,575.95,586.0,572.2,575.55,324155,71.07
2025-07-03,578.05,584.4,570.5,580.45,174912,56.95
2025-07-04,582.0,583.2,568.55,578.5,130275,57.58
2025-07-07,580.0,583.75,567.4,569.9,370356,75.78
2025-07-08,569.9,575.45,562.2,565.1,139290,47.87
2025-07-09,565.65,572.95,559.2,561.75,177372,68.36
2025-07-10,564.0,564.0,544.5,550.9,233159,65.3
2025-07-11,556.55,592.0,550.0,557.95,1180097,20.2
2025-07-14,558.95,560.0,550.0,550.8,164202,57.31
2025-07-15,553.0,564.4,550.45,556.85,479084,78.96
2025-07-16,556.85,568.7,553.2,561.6,161500,53.83
2025-07-17,569.0,569.8,559.0,560.2,139028,58.79
2025-07-18,561.0,563.0,551.6,552.85,115697,55.44
2025-07-21,553.0,555.0,538.7,544.65,365964,59.32
2025-07-22,544.65,546.85,536.15,537.75,279041,71.23
2025-07-23,537.55,543.65,535.05,540.95,89074,38.44
2025-07-24,540.95,545.25,536.5,537.4,66137,49.96
2025-07-25,538.0,542.4,528.9,530.2,115628,57.35
2025-07-28,530.5,539.75,526.0,529.55,202594,69.92
2025-07-29,535.0,547.65,525.25,545.4,95286,51.08
2025-07-30,546.7,550.95,536.55,539.1,167083,73.39
2025-07-31,530.0,540.0,511.7,519.25,734458,73.93
2025-08-01,520.0,524.85,510.7,513.9,263863,67.12
2025-08-04,511.0,515.05,502.95,505.2,295609,75.42
2025-08-05,509.0,513.7,499.3,502.35,131398,54.07
2025-08-06,502.1,502.1,483.8,487.05,191272,67.95
2025-08-07,486.0,500.0,477.3,490.8,238421,50.09
2025-08-08,495.0,495.0,477.35,480.35,187899,50.58
2025-08-11,485.0,515.0,477.0,479.65,741048,24.06
2025-08-12,485.0,488.55,472.3,481.05,224436,49.41
2025-08-13,483.0,492.35,482.85,487.6,89858,43.63
2025-08-14,488.6,494.9,469.0,470.65,267825,64.23
2025-08-18,475.0,477.65,463.75,474.5,1044508,80.13
2025-08-19,475.0,487.25,474.0,479.4,230560,45.89
2025-08-20,479.6,484.9,476.8,480.45,239529,65.27
2025-08-21,481.0,490.0,477.55,481.8,215751,49.03
2025-08-22,481.8,486.0,476.15,480.05,117269,49.98
2025-08-25,491.95,491.95,470.75,478.35,1174656,80.0
2025-08-26,478.35,481.5,469.6,477.1,427955,66.42
2025-08-28,481.0,481.0,464.15,467.9,453844,72.7
2025-08-29,467.9,469.55,452.2,454.25,235047,58.46
2025-09-01,456.0,470.85,456.0,466.8,243570,63.24
2025-09-02,468.0,477.0,466.05,472.7,76911,50.47
2025-09-03,472.7,479.0,467.7,474.05,77778,47.0
2025-09-04,477.0,482.05,461.1,465.65,125460,59.64
2025-09-05,467.45,474.45,459.1,460.2,189332,63.5
2025-09-08,469.2,469.65,455.0,466.2,263254,60.57
2025-09-09,466.2,469.4,461.1,462.25,177107,68.74
