DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-08-17,3599.0,3599.0,3000.0,3151.2,17,29.41
2026-08-18,3151.0,3151.0,2980.0,2985.6,22,86.36
2026-08-19,2986.0,3100.0,2985.0,3034.9,38,100.0
2026-08-20,3015.0,3015.0,2881.0,3000.0,112,91.07
2026-08-21,2999.0,3098.9,2925.0,2967.8,29,100.0
2026-08-24,3045.0,3045.0,2980.9,2985.0,24,100.0
2026-08-25,2985.0,3000.0,2985.0,2985.0,24,100.0
2026-08-26,2985.0,2985.0,2900.0,2901.8,123,98.37
2026-08-27,2900.9,3000.0,2900.9,2910.8,16,93.75
2026-08-28,2900.0,2900.0,2828.9,2855.0,8,87.5
2026-08-31,2856.0,2995.0,2855.0,2947.3,78,100.0
2026-09-01,2947.3,3049.9,2860.9,2889.8,11,100.0
2026-09-02,2860.9,2980.0,2860.9,2884.0,310,36.45
2026-09-03,2900.0,3025.0,2799.9,2898.3,89,92.13
2026-09-04,2898.0,2900.0,2810.0,2898.9,23,91.3
2026-09-07,2960.0,3020.0,2800.0,2945.0,126,84.13
2026-09-09,2878.0,2900.0,2877.9,2900.0,96,100.0
2026-09-11,2830.0,2979.9,2775.5,2845.0,125,89.43
2026-09-14,2830.0,2979.9,2775.5,2845.0,125,89.43
2026-09-15,2800.9,2880.0,2750.0,2820.0,69,79.71
2026-09-16,2840.0,2860.0,2820.0,2820.0,7,100.0
2026-09-17,2820.0,2820.0,2820.0,2820.0,1,100.0
2026-09-18,2830.0,2830.0,2815.0,2830.0,52,100.0
2026-09-21,2750.5,2828.8,2709.2,2735.0,19,94.74
2026-09-22,2811.0,2811.0,2811.0,2811.0,101,100.0
