DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,24.7,26.05,24.28,25.55,1583914,60.84
2025-04-15,26.0,26.85,25.51,25.82,355143,59.05
2025-04-16,26.35,26.35,23.5,24.08,317767,54.89
2025-04-17,23.69,26.48,23.69,26.48,298794,58.71
2025-04-21,26.6,27.93,25.61,26.08,434835,51.59
2025-04-22,26.5,26.5,24.76,24.93,400157,57.33
2025-04-23,25.4,25.64,24.61,24.92,120159,49.18
2025-04-24,25.01,25.5,24.22,24.35,191938,53.09
2025-04-25,24.12,24.63,22.49,23.14,327572,51.68
2025-04-28,23.0,23.55,22.61,22.87,192091,50.8
2025-04-29,23.0,23.49,22.81,23.0,160386,69.36
2025-04-30,23.31,23.31,22.2,22.39,102032,60.61
2025-05-02,22.83,22.83,21.61,22.24,279084,69.74
2025-05-05,22.57,23.0,21.98,22.57,96308,55.94
2025-05-06,23.0,23.39,21.7,21.81,96371,46.87
2025-05-07,21.04,21.91,21.04,21.36,114834,55.71
2025-05-08,21.79,22.09,20.2,20.77,136919,69.61
2025-05-09,20.99,20.99,19.8,19.99,143833,62.46
2025-05-12,21.3,21.79,20.61,21.0,392947,67.94
2025-05-13,21.0,22.0,20.52,21.09,464528,53.18
2025-05-14,21.38,22.51,21.25,21.76,295772,60.07
2025-05-15,21.8,22.29,21.0,21.52,193117,70.14
2025-05-16,21.64,22.22,21.27,21.9,75961,64.72
2025-05-19,22.0,22.96,21.99,22.36,136088,58.22
2025-05-20,22.89,22.89,21.71,21.79,150450,73.58
2025-05-21,21.73,22.09,21.3,21.5,83346,54.66
2025-05-22,21.84,21.88,20.5,20.98,184489,58.54
2025-05-23,21.03,21.99,21.01,21.32,168309,52.39
2025-05-26,21.32,21.9,20.95,21.06,137532,77.07
2025-05-27,21.38,21.38,19.91,20.16,312464,65.77
2025-05-28,20.4,20.68,19.91,20.18,290523,57.56
2025-05-29,20.44,20.78,20.02,20.26,173974,51.86
2025-05-30,20.5,20.74,20.25,20.6,39726,63.48
2025-06-02,20.6,21.31,20.34,20.66,86501,59.21
2025-06-03,20.66,20.99,20.11,20.29,155420,57.24
2025-06-04,20.55,20.59,19.94,19.99,103407,78.42
2025-06-05,19.85,20.44,19.59,19.89,142998,57.77
2025-06-06,20.15,20.88,19.89,20.39,271403,53.21
2025-06-09,20.7,22.31,20.55,21.41,588435,54.81
2025-06-10,21.7,21.74,21.08,21.51,179316,64.86
2025-06-11,21.7,22.48,20.86,21.44,387996,55.36
2025-06-12,21.31,22.4,21.12,21.35,309418,48.4
2025-06-13,21.11,21.83,20.73,21.19,182401,55.65
2025-06-16,21.55,23.0,20.41,20.74,333837,46.83
2025-06-17,20.9,21.09,20.22,20.67,147809,56.96
2025-06-18,21.0,21.19,19.9,20.04,311651,51.87
2025-06-19,20.26,20.31,19.33,19.46,135268,59.32
2025-06-20,19.2,21.0,19.2,20.55,365267,60.15
2025-06-23,20.1,20.45,20.0,20.06,144669,64.08
2025-06-24,20.06,20.76,19.7,19.93,309817,60.7
2025-06-25,20.02,21.9,19.9,20.92,666164,40.12
2025-06-26,20.7,20.75,19.77,20.05,380273,68.66
2025-06-27,20.4,23.64,19.99,22.71,2160392,46.54
2025-06-30,22.99,26.12,22.98,25.4,2762252,40.9
2025-07-01,25.65,25.93,24.64,25.03,680550,42.32
2025-07-02,25.4,26.6,24.4,24.69,433476,43.44
2025-07-03,24.55,25.69,23.75,23.91,155174,48.94
2025-07-04,23.92,24.47,23.6,23.87,127965,52.69
2025-07-07,23.61,24.25,23.06,23.33,213642,59.52
2025-07-08,23.45,24.95,22.5,23.19,223495,53.08
2025-07-09,23.37,23.54,22.71,22.87,84520,58.58
2025-07-10,22.8,23.71,22.8,23.42,187346,74.77
2025-07-11,23.06,23.73,22.5,23.04,153756,56.46
2025-07-14,22.7,23.58,22.5,22.99,268381,50.21
2025-07-15,22.81,23.5,22.4,22.58,223735,62.73
2025-07-16,22.85,23.0,22.01,22.2,118018,54.66
2025-07-17,22.35,22.7,21.9,22.08,101769,53.91
2025-07-18,22.4,22.51,21.41,21.75,247017,60.66
2025-07-21,21.75,22.18,20.75,21.08,410350,55.07
2025-07-22,20.8,21.8,20.1,20.99,270230,51.27
2025-07-23,21.2,21.6,20.73,21.41,193777,47.77
2025-07-24,21.68,22.5,21.03,22.01,210295,73.85
2025-07-25,22.01,22.14,21.05,21.58,242464,61.86
2025-07-28,21.95,22.39,21.41,21.87,188160,56.17
2025-07-29,22.98,23.0,21.0,21.48,519650,67.59
2025-07-30,21.61,22.89,21.28,21.59,101019,57.16
2025-07-31,21.5,22.34,20.93,21.37,161189,61.96
2025-08-01,21.6,22.11,21.28,21.51,75563,65.0
2025-08-04,21.19,21.55,21.1,21.28,79360,69.31
2025-08-05,21.86,21.86,21.1,21.13,167682,75.16
2025-08-06,21.6,22.0,20.6,21.47,249710,63.32
2025-08-07,21.9,21.9,20.94,21.03,82259,68.48
