DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,25.85,27.08,25.26,25.45,493474,70.65
2025-04-15,25.45,26.07,25.45,25.99,1411013,56.33
2025-04-16,25.98,26.05,25.86,26.0,147715,49.66
2025-04-17,25.97,26.29,25.91,26.25,1971574,89.29
2025-04-21,26.45,26.61,26.08,26.52,3659006,51.59
2025-04-22,26.53,26.69,26.41,26.66,566310,62.6
2025-04-23,26.66,27.0,26.66,26.97,328751,70.38
2025-04-24,26.89,27.14,26.8,27.09,2305123,66.86
2025-04-25,27.09,27.18,26.52,26.7,466590,57.46
2025-04-28,26.7,27.07,26.7,27.03,791616,70.79
2025-04-29,27.03,27.13,26.89,26.9,1364516,74.4
2025-04-30,26.91,27.03,26.5,26.84,521214,75.14
2025-05-02,27.65,27.65,26.71,26.82,2971697,70.92
2025-05-05,27.8,27.8,26.82,27.03,1569831,62.49
2025-05-06,27.12,27.12,26.85,26.89,435589,48.41
2025-05-07,27.02,27.85,26.24,26.91,820722,64.88
2025-05-08,26.91,27.07,26.24,26.58,304379,71.37
2025-05-09,26.63,26.7,26.2,26.47,1458012,56.29
2025-05-12,26.52,27.24,26.52,27.2,520662,63.04
2025-05-13,27.2,27.37,27.04,27.11,526746,61.09
2025-05-14,27.16,27.27,27.05,27.22,934756,78.55
2025-05-15,27.44,27.58,27.15,27.52,390533,62.66
2025-05-16,28.35,28.35,27.38,27.55,1180256,78.02
2025-05-19,27.55,27.67,27.49,27.55,375736,53.98
2025-05-20,27.55,27.74,27.13,27.18,2460878,74.03
2025-05-21,27.19,27.52,27.19,27.43,1356753,87.81
2025-05-22,27.39,27.79,27.1,27.26,815349,85.45
2025-05-23,27.26,27.44,27.22,27.38,201295,49.17
2025-05-26,27.38,27.63,27.37,27.52,406714,50.44
2025-05-27,27.51,27.61,27.23,27.3,1319873,63.5
2025-05-28,27.31,27.46,27.15,27.18,441335,56.96
2025-05-29,27.18,27.32,27.18,27.27,183637,71.91
2025-05-30,27.34,27.39,27.19,27.21,745256,79.48
2025-06-02,27.22,27.29,27.09,27.23,518113,72.04
2025-06-03,27.23,27.4,27.12,27.15,688379,84.85
2025-06-04,27.16,27.31,27.1,27.19,225091,47.03
2025-06-05,27.19,27.44,27.16,27.31,1187596,74.4
2025-06-06,27.36,27.76,27.29,27.49,264568,64.58
2025-06-09,27.49,27.75,27.49,27.58,662057,63.7
2025-06-10,27.64,27.82,27.63,27.74,456074,68.2
2025-06-11,27.74,27.82,27.67,27.75,274599,71.08
2025-06-12,27.75,27.81,27.53,27.58,1490756,83.64
2025-06-13,27.26,28.0,27.04,27.68,352436,49.73
2025-06-16,27.59,27.68,27.36,27.59,5413395,91.61
2025-06-17,27.59,27.68,27.41,27.45,817938,89.69
2025-06-18,27.46,27.57,27.36,27.4,196139,63.06
2025-06-19,27.4,27.54,27.3,27.41,1360514,62.0
2025-06-20,28.09,28.09,27.31,27.61,2297909,69.8
2025-06-23,27.44,28.3,27.29,27.4,737090,80.84
2025-06-24,27.4,27.78,27.4,27.57,213241,65.48
2025-06-25,27.57,27.82,27.46,27.8,293085,57.95
2025-06-26,27.81,27.98,27.75,27.92,331200,66.01
2025-06-27,27.22,28.07,27.22,28.0,884309,76.19
2025-06-30,28.06,28.13,27.89,27.95,457759,67.45
2025-07-01,27.95,28.12,27.86,27.92,1056369,86.0
2025-07-02,27.92,28.12,27.83,27.91,836129,60.97
2025-07-03,27.91,28.06,27.85,27.88,497574,55.68
2025-07-04,27.88,28.09,27.8,27.89,3436316,85.94
2025-07-07,27.9,28.09,27.83,27.94,559633,78.91
2025-07-08,27.93,28.02,27.72,27.99,718659,64.23
2025-07-09,28.16,28.16,27.86,27.94,246319,52.02
2025-07-10,27.94,28.07,27.74,27.75,412658,64.3
2025-07-11,27.58,27.77,27.52,27.56,235743,75.29
2025-07-14,27.56,27.72,27.44,27.6,733300,55.86
2025-07-15,27.6,27.75,27.56,27.72,339784,51.96
2025-07-16,27.75,27.75,27.64,27.68,331696,74.76
2025-07-17,27.68,27.72,27.57,27.61,256981,58.08
2025-07-18,27.62,27.77,27.39,27.45,434843,61.05
2025-07-21,27.46,27.67,27.37,27.57,2306706,80.97
2025-07-22,27.47,27.72,27.38,27.41,894617,77.07
2025-07-23,27.42,27.6,27.4,27.52,1479716,85.88
2025-07-24,27.52,27.68,27.41,27.43,363786,67.12
2025-07-25,27.44,27.63,27.27,27.33,211110,52.69
2025-07-28,27.4,27.5,27.07,27.14,700749,77.37
2025-07-29,27.81,28.13,26.9,27.24,338892,73.03
2025-07-30,27.24,27.37,27.17,27.22,628822,75.22
2025-07-31,27.22,27.38,27.04,27.19,219714,63.92
2025-08-01,27.19,27.31,26.8,26.88,296540,86.72
2025-08-04,26.88,27.17,26.85,27.13,1099339,79.54
2025-08-05,27.13,27.13,26.96,27.07,1337480,94.27
2025-08-06,27.74,27.74,26.75,26.79,341744,51.13
2025-08-07,26.8,26.96,26.65,26.91,243515,49.51
2025-08-08,26.88,26.9,26.67,26.7,960715,50.69
2025-08-11,26.71,26.98,26.64,26.91,213718,42.66
2025-08-12,26.91,26.95,26.8,26.82,676358,52.34
2025-08-13,26.83,27.08,26.82,27.03,139904,47.19
2025-08-14,27.2,27.2,26.98,27.01,178292,66.39
2025-08-18,27.27,27.58,27.22,27.39,965128,65.14
2025-08-19,27.39,27.57,27.3,27.43,179091,56.26
2025-08-20,27.43,27.54,27.3,27.52,2073844,92.85
2025-08-21,27.52,27.66,27.47,27.6,600490,69.43
2025-08-22,27.6,27.7,27.39,27.42,163603,48.62
2025-08-25,27.43,27.66,27.07,27.42,650747,73.12
2025-08-26,27.42,27.55,27.14,27.17,1102966,54.01
2025-08-28,27.17,27.28,26.97,27.02,1049698,87.63
2025-08-29,27.03,27.12,26.91,27.01,215702,46.96
2025-09-01,27.01,27.18,27.01,27.14,1697223,84.98
2025-09-02,27.14,27.28,27.08,27.09,931255,81.76
2025-09-03,27.9,27.9,27.06,27.18,235946,59.82
2025-09-04,27.47,27.71,27.31,27.35,2675602,91.1
2025-09-05,27.49,27.49,27.1,27.21,682062,77.65
2025-09-08,27.22,27.48,26.5,26.95,491510,67.5
2025-09-09,27.32,27.39,27.14,27.34,653642,86.51
2025-09-10,27.34,27.6,27.34,27.51,5823621,97.97
2025-09-11,27.45,27.64,27.44,27.54,272695,56.43
2025-09-12,27.55,27.72,27.54,27.62,172322,66.97
2025-09-15,27.62,27.69,27.3,27.61,197879,65.14
2025-09-16,27.6,27.77,27.6,27.71,257748,75.97
2025-09-17,27.72,27.84,27.7,27.72,181271,72.98
2025-09-18,27.73,27.87,27.73,27.83,183295,65.86
2025-09-19,27.83,27.99,27.71,27.82,238719,65.97
2025-09-22,27.12,27.85,27.12,27.71,2367182,66.16
2025-09-23,27.72,27.86,27.45,27.52,301715,58.8
2025-09-24,27.53,27.6,27.35,27.4,181662,64.19
2025-09-25,26.71,27.54,26.71,27.21,828692,70.5
2025-09-26,27.21,27.27,26.79,26.89,630468,63.3
2025-09-29,26.9,27.03,26.75,26.84,211462,64.83
2025-09-30,26.85,27.0,26.77,26.84,193014,55.87
2025-10-01,26.85,27.1,26.8,27.07,339761,56.55
2025-10-03,27.01,27.07,26.9,27.01,676927,48.99
2025-10-06,27.95,27.95,26.88,27.3,433791,74.08
2025-10-07,27.47,27.47,27.22,27.24,1477263,64.16
2025-10-08,27.24,27.35,26.95,27.19,425411,65.31
2025-10-09,27.2,27.44,27.2,27.37,2380427,79.49
2025-10-10,27.36,27.54,27.31,27.44,1173138,81.25
2025-10-13,27.52,27.52,27.26,27.47,607075,81.17
2025-10-14,27.46,27.57,27.26,27.27,1637918,85.55
2025-10-15,27.28,27.65,27.27,27.59,4379376,98.41
2025-10-16,27.81,27.84,27.13,27.78,4514510,95.45
2025-10-17,27.9,28.0,27.72,27.89,623383,79.81
2025-10-20,27.88,28.12,27.88,28.05,2662987,63.65
2025-10-21,28.04,28.22,27.91,28.03,155048,89.93
2025-10-22,28.04,28.22,27.91,28.03,155048,89.93
2025-10-23,28.03,28.27,27.99,28.02,766706,68.26
2025-10-24,28.06,28.06,27.81,27.9,1953385,85.41
2025-10-27,27.9,28.04,27.84,27.97,15032532,99.0
2025-10-28,27.98,28.27,27.78,27.89,2144172,92.6
2025-10-29,27.89,28.06,27.89,28.02,2104429,95.08
2025-10-30,28.72,28.72,27.76,27.85,1961615,86.5
2025-10-31,27.85,27.94,27.63,27.65,341913,73.15
2025-11-03,27.66,27.78,27.59,27.71,621775,76.59
2025-11-04,27.78,27.85,27.65,27.67,698723,81.07
2025-11-05,27.78,27.85,27.65,27.67,698723,81.07
2025-11-06,27.67,27.81,27.47,27.48,617894,81.05
2025-11-07,27.48,27.61,27.31,27.57,1040224,84.08
2025-11-10,28.25,28.25,27.44,27.7,697411,81.24
2025-11-11,27.65,27.69,27.42,27.53,10068740,97.36
2025-11-12,27.53,27.8,27.53,27.76,670078,78.91
2025-11-13,27.66,27.93,27.66,27.79,514633,71.19
2025-11-14,27.79,27.8,27.53,27.72,345698,60.91
2025-11-17,27.71,27.87,27.71,27.85,409867,78.75
2025-11-18,28.14,28.14,27.67,27.76,480973,57.48
2025-11-19,27.76,27.86,27.66,27.81,533178,55.64
2025-11-20,27.81,28.02,27.79,27.93,2234703,79.88
2025-11-21,27.93,27.93,27.71,27.73,2301510,56.03
2025-11-24,27.74,27.94,27.61,27.64,361356,50.09
2025-11-25,27.65,27.72,27.58,27.59,339247,66.16
2025-11-26,27.67,27.99,27.62,27.95,160070,66.37
2025-11-27,27.95,28.04,27.87,27.96,244860,80.45
2025-11-28,27.97,28.07,27.85,27.89,211184,71.59
2025-12-01,27.9,28.02,27.78,27.88,196427,66.45
2025-12-02,27.88,27.94,27.75,27.84,398049,73.23
2025-12-03,27.83,28.02,27.69,27.77,3551482,97.52
2025-12-04,27.8,27.99,27.77,27.95,232812,68.92
2025-12-05,27.9,28.12,27.87,28.07,322079,77.94
2025-12-08,28.07,28.13,27.78,27.86,656936,85.12
2025-12-09,27.86,27.88,27.61,27.72,1785755,92.77
2025-12-10,27.73,27.89,27.7,27.73,631168,62.32
2025-12-11,27.73,28.14,27.65,27.85,158422,60.11
2025-12-12,27.84,28.08,27.8,27.99,576876,79.05
2025-12-15,27.99,28.11,27.82,27.96,16716139,96.48
2025-12-16,27.95,28.02,27.79,27.8,9263878,97.41
2025-12-17,27.8,27.95,27.67,27.71,847675,90.7
2025-12-18,27.72,27.78,27.6,27.72,227142,65.84
2025-12-19,27.71,27.91,27.71,27.84,993996,92.08
2025-12-22,27.84,28.08,27.65,28.03,2542110,65.86
2025-12-23,28.02,28.12,27.97,28.05,223635,75.94
2025-12-24,28.05,28.14,27.97,28.02,574901,80.94
2025-12-25,28.05,28.14,27.97,28.02,574901,80.94
2025-12-26,28.02,28.14,27.87,27.92,145308,67.86
2025-12-29,27.93,28.03,27.72,27.77,205977,70.81
2025-12-30,27.77,27.88,27.6,27.74,279723,46.25
2025-12-31,27.74,27.94,27.68,27.87,3475293,96.11
2026-01-01,27.86,27.97,27.85,27.94,221719,65.22
2026-01-02,28.63,28.63,27.92,28.03,1123880,71.47
2026-01-05,28.04,28.36,28.03,28.15,452486,75.2
2026-01-06,28.15,28.39,28.15,28.33,870078,59.92
2026-01-07,28.33,28.41,28.24,28.3,342339,70.46
2026-01-08,28.3,28.35,28.0,28.12,1005173,82.09
2026-01-09,28.11,28.15,27.76,27.83,347884,71.27
2026-01-12,28.52,28.52,27.6,27.93,669085,83.68
2026-01-13,27.93,28.08,27.3,27.87,124277,51.53
2026-01-14,27.86,27.87,27.64,27.67,5597541,98.38
2026-01-15,27.86,27.87,27.64,27.67,5597541,98.38
2026-01-16,27.67,27.97,27.59,27.7,825981,73.17
2026-01-19,27.74,27.85,27.6,27.7,1009169,91.78
2026-01-20,27.65,27.85,27.3,27.39,1798506,87.18
2026-01-21,27.36,27.44,27.01,27.19,611684,73.35
2026-01-22,27.22,27.55,27.19,27.39,301313,57.7
2026-01-23,27.39,27.53,27.09,27.14,698092,75.42
2026-01-26,27.39,27.53,27.09,27.14,698092,75.42
2026-01-27,27.14,27.33,27.04,27.25,487681,69.27
2026-01-28,27.25,27.31,27.01,27.25,408968,81.23
2026-01-29,27.93,27.93,26.9,27.04,1809837,94.2
2026-01-30,27.01,27.19,26.81,27.05,492913,69.77
2026-02-02,26.63,27.05,26.46,26.89,559341,83.76
2026-02-03,27.22,27.81,27.1,27.4,1039835,74.9
2026-02-04,26.71,27.65,26.71,27.58,5493772,97.02
2026-02-05,27.59,27.72,27.14,27.47,5772036,98.05
2026-02-06,27.49,27.7,27.33,27.66,488151,74.95
2026-02-09,27.8,27.93,27.66,27.91,261312,51.54
2026-02-10,28.05,28.05,27.48,27.74,1837799,85.45
2026-02-11,27.87,28.07,27.82,28.01,257092,56.26
2026-02-12,28.01,28.26,27.99,28.18,915388,54.68
2026-02-13,28.15,28.18,27.9,27.97,642781,77.28
2026-02-16,27.97,28.25,27.82,28.21,457245,63.19
2026-02-17,27.5,28.28,27.5,28.24,793451,86.24
2026-02-18,28.24,28.43,28.2,28.4,566463,52.8
2026-02-19,28.39,28.45,28.01,28.05,231922,61.93
2026-02-20,28.05,28.4,28.02,28.31,2057580,87.19
2026-02-23,28.32,28.52,28.3,28.49,426852,87.12
2026-02-24,28.46,28.48,28.31,28.37,478971,75.44
2026-02-25,28.37,28.55,28.37,28.46,624012,66.95
2026-02-26,27.74,28.61,27.74,28.49,153576,63.62
2026-02-27,28.49,28.61,28.07,28.15,1651149,84.52
2026-03-02,28.14,28.14,27.52,27.83,520885,54.76
2026-03-03,28.14,28.14,27.52,27.83,520885,54.76
2026-03-04,27.77,27.77,27.06,27.26,976211,76.49
2026-03-05,27.26,27.61,27.2,27.53,627954,62.65
2026-03-06,27.39,27.98,27.21,27.26,1432172,88.05
2026-03-09,27.26,27.26,26.2,26.6,3432802,65.06
2026-03-10,26.61,27.11,26.61,27.03,534697,86.24
2026-03-11,27.02,27.07,26.57,26.59,1654703,71.78
2026-03-12,26.59,26.62,26.15,26.21,1267662,85.45
2026-03-13,26.21,26.21,25.64,25.67,3764030,78.57
2026-03-16,25.86,26.49,25.54,25.93,7103535,66.7
2026-03-17,25.93,26.2,25.85,26.08,784256,56.06
2026-03-18,26.31,26.33,26.08,26.26,1245152,82.89
