DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,27.39,29.0,26.57,27.05,10297,58.05
2025-04-15,27.06,28.08,26.81,27.19,18093,58.25
2025-04-16,28.0,28.0,27.01,27.27,3905,40.72
2025-04-17,27.01,28.1,27.0,27.97,6322,80.84
2025-04-21,28.0,31.4,27.51,30.79,116534,52.46
2025-04-22,31.14,31.14,29.55,29.69,32603,61.4
2025-04-23,29.85,30.97,29.5,29.81,29455,63.75
2025-04-24,30.08,33.0,29.03,30.09,152356,38.25
2025-04-25,30.69,31.16,28.01,28.38,34512,72.17
2025-04-28,29.65,29.65,28.36,28.97,13254,54.5
2025-04-29,29.71,29.8,28.83,29.08,15058,24.13
2025-04-30,28.91,28.91,26.1,26.8,57512,63.63
2025-05-02,28.42,28.42,27.01,27.45,7617,32.55
2025-05-05,28.0,28.0,26.82,27.35,6317,69.19
2025-05-06,27.9,27.9,26.88,27.14,7009,56.53
2025-05-07,27.25,28.54,25.91,26.56,22233,45.1
2025-05-08,26.88,26.88,26.64,26.7,7674,72.28
2025-05-09,26.42,27.31,26.0,26.14,18782,34.65
2025-05-12,27.55,27.55,26.6,27.42,7968,38.05
2025-05-13,27.55,28.0,27.11,27.85,9398,77.69
2025-05-14,28.0,28.41,27.61,28.04,8944,53.32
2025-05-15,28.6,32.3,27.8,30.92,162937,45.47
2025-05-16,31.0,32.08,29.47,29.62,39369,52.2
2025-05-19,30.2,31.05,29.62,29.68,11806,44.97
2025-05-20,29.64,32.89,29.63,30.92,102929,41.01
2025-05-21,31.07,32.39,30.6,30.87,147794,26.74
2025-05-22,30.87,31.79,30.0,30.24,46878,32.25
2025-05-23,30.55,31.48,30.14,30.64,19202,68.45
2025-05-26,31.99,31.99,29.01,29.57,75726,38.45
2025-05-27,29.87,30.9,28.25,30.65,176956,51.36
2025-05-28,31.18,31.18,29.3,30.45,25919,32.06
2025-05-29,31.74,31.74,29.35,30.74,88123,55.0
2025-05-30,30.74,31.4,30.0,30.74,19176,38.64
2025-06-02,29.8,31.08,29.3,29.86,18567,57.56
2025-06-03,30.0,30.48,29.47,29.68,25009,69.19
2025-06-04,29.84,30.03,29.1,29.32,12902,58.8
2025-06-05,29.76,30.09,29.2,29.55,11702,76.16
2025-06-06,29.66,30.0,29.2,29.46,19254,57.81
2025-06-09,29.85,29.85,29.1,29.15,11549,76.79
2025-06-10,29.11,29.98,28.8,28.96,30491,75.92
2025-06-11,28.8,29.68,28.8,29.04,14317,61.17
2025-06-12,29.15,29.48,28.8,29.1,9899,44.32
2025-06-13,29.07,29.48,28.75,29.03,10736,86.61
2025-06-16,29.17,29.58,28.8,28.87,10023,41.22
2025-06-17,28.88,29.75,28.4,28.6,15818,54.85
2025-06-18,28.6,29.22,27.52,28.29,15519,26.93
2025-06-19,28.29,28.8,26.65,26.94,42705,39.3
2025-06-20,27.99,28.8,27.02,28.12,10061,66.08
2025-06-23,28.12,29.13,27.02,28.7,16169,60.86
2025-06-24,29.15,29.4,28.21,28.82,9515,81.7
2025-06-25,29.77,29.77,28.81,29.1,11903,80.44
2025-06-26,29.14,29.5,28.26,29.01,11787,35.75
2025-06-27,29.0,29.37,28.0,28.46,9572,39.88
2025-06-30,29.03,29.19,28.65,29.06,4033,56.78
2025-07-01,29.39,29.78,28.4,28.61,14110,54.64
2025-07-02,28.61,29.0,28.23,28.31,11678,44.99
2025-07-03,29.0,29.31,28.53,28.97,10856,84.12
2025-07-04,29.04,29.04,26.91,27.99,42709,59.69
2025-07-07,28.4,28.55,28.11,28.43,2345,53.77
2025-07-08,28.44,28.8,28.0,28.03,7844,40.52
