DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,1820.0,1837.65,1735.85,1800.4,359645,54.85
2025-04-15,1827.3,1827.4,1765.5,1773.9,83398,51.66
2025-04-16,1773.9,1782.7,1716.5,1732.7,185484,50.75
2025-04-17,1758.9,1758.9,1710.1,1733.9,62667,38.49
2025-04-21,1743.9,1763.0,1714.4,1747.0,74618,56.52
2025-04-22,1750.0,1781.0,1733.0,1764.3,78092,43.14
2025-04-23,1769.0,1798.9,1760.2,1783.1,118488,54.92
2025-04-24,1783.1,1798.0,1754.3,1762.4,50038,56.12
2025-04-25,1775.0,1783.1,1710.0,1759.4,84305,56.09
2025-04-28,1736.3,1760.0,1710.0,1735.6,91913,43.93
2025-04-29,1725.0,1746.2,1690.0,1701.3,65615,58.35
2025-04-30,1701.0,1732.0,1655.8,1701.8,193191,62.88
2025-05-02,1692.2,1730.0,1671.0,1714.1,66920,45.39
2025-05-05,1720.0,1756.3,1712.0,1745.6,95215,55.39
2025-05-06,1749.0,1753.2,1701.6,1707.3,44162,69.02
2025-05-07,1673.0,1725.0,1669.9,1698.2,50248,46.26
2025-05-08,1698.2,1744.0,1680.0,1682.5,39720,52.01
2025-05-09,1660.0,1712.8,1641.0,1703.8,161225,71.22
2025-05-12,1707.0,1742.1,1699.0,1721.1,58199,53.04
2025-05-13,1730.2,1765.0,1715.0,1760.1,56154,60.85
2025-05-14,1765.0,1792.0,1759.0,1787.7,50378,58.5
2025-05-15,1787.7,1815.0,1763.4,1794.1,82522,64.25
2025-05-16,1798.0,1822.0,1777.8,1816.3,52751,64.05
2025-05-19,1818.0,1854.0,1815.0,1831.5,86648,57.27
2025-05-20,1840.1,1847.7,1810.0,1815.9,174876,58.6
2025-05-21,1831.5,1861.8,1810.0,1830.8,45927,52.98
2025-05-22,1830.8,1851.0,1819.9,1844.1,46657,69.03
2025-05-23,1842.0,1892.0,1832.4,1883.3,99209,60.69
2025-05-26,1897.0,1923.0,1867.7,1917.5,90411,67.07
2025-05-27,1924.8,1971.8,1913.2,1936.8,86236,46.46
2025-05-28,1950.0,1973.9,1888.0,1899.4,71406,50.28
2025-05-29,1908.3,1912.3,1860.0,1879.0,135217,80.55
2025-05-30,1875.0,1911.0,1859.8,1876.5,150520,62.3
2025-06-02,1895.3,1990.6,1895.3,1968.4,533317,37.42
2025-06-03,1988.4,1993.0,1950.0,1960.6,80857,64.81
2025-06-04,1970.0,1985.0,1927.9,1972.2,40600,57.65
2025-06-05,1989.0,1990.0,1948.9,1970.7,44213,69.9
