DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,68.0,68.82,67.55,68.12,107591,52.72
2025-04-15,68.6,71.0,68.6,70.61,205236,37.95
2025-04-16,71.01,73.0,70.31,71.59,156715,45.49
2025-04-17,71.7,73.2,70.31,71.43,165522,44.58
2025-04-21,71.93,74.0,70.96,72.57,328685,58.42
2025-04-22,72.9,74.09,72.0,73.34,239299,43.84
2025-04-23,73.99,74.4,71.9,72.94,159164,43.25
2025-04-24,72.94,74.86,72.94,73.84,158243,44.4
2025-04-25,74.2,74.2,69.47,71.03,232062,43.06
2025-04-28,70.4,71.49,69.6,70.95,102332,38.46
2025-04-29,71.3,72.44,70.51,70.65,53047,50.34
2025-04-30,70.41,70.8,69.24,69.81,135145,54.41
2025-05-02,69.81,70.65,68.5,69.29,91889,41.47
2025-05-05,70.0,70.61,69.16,70.42,98006,52.19
2025-05-06,70.42,71.1,68.1,68.9,132731,52.21
2025-05-07,68.02,71.95,68.02,71.2,157098,54.21
2025-05-08,71.2,72.4,69.6,70.28,115507,47.77
2025-05-09,68.6,70.38,68.35,69.19,146020,57.63
2025-05-12,70.1,72.78,70.1,71.25,194964,56.81
2025-05-13,71.25,73.31,71.25,72.2,163680,45.63
2025-05-14,72.6,74.8,72.5,73.68,181935,41.51
2025-05-15,74.39,75.8,74.08,74.75,295331,52.75
2025-05-16,75.1,76.01,74.11,75.43,154004,48.1
2025-05-19,75.8,78.8,75.43,77.6,315334,27.48
2025-05-20,78.0,78.64,75.31,75.63,116906,45.94
2025-05-21,75.62,76.7,74.22,75.03,114535,41.8
2025-05-22,75.32,75.7,74.3,75.47,68994,51.38
2025-05-23,75.49,77.55,74.7,77.22,120542,51.82
2025-05-26,77.21,77.99,75.99,76.47,110935,55.49
2025-05-27,76.7,78.69,76.36,77.49,91270,52.26
2025-05-28,77.78,79.25,77.38,78.07,151046,50.42
2025-05-29,78.38,78.9,75.27,75.59,366205,41.95
2025-05-30,76.35,76.35,74.01,74.23,133697,58.36
2025-06-02,73.61,75.5,73.29,73.99,228240,44.93
2025-06-03,74.4,77.25,73.35,76.38,365810,43.86
2025-06-04,77.0,77.37,74.64,75.62,244819,43.06
2025-06-05,76.0,78.0,75.02,76.55,313717,47.49
2025-06-06,76.98,77.5,76.13,76.62,114811,57.42
2025-06-09,77.21,78.87,76.5,76.89,263373,51.6
2025-06-10,77.3,78.49,76.62,77.48,199934,44.18
2025-06-11,77.89,79.5,76.32,77.36,352544,47.71
2025-06-12,77.36,77.84,74.75,75.17,313494,51.24
2025-06-13,74.7,75.78,73.45,75.17,170018,49.53
2025-06-16,74.5,76.19,74.02,75.75,101050,47.67
2025-06-17,75.75,75.99,74.6,74.9,100592,50.1
2025-06-18,75.0,76.5,74.0,76.09,130992,41.98
2025-06-19,75.4,75.99,74.45,74.83,96379,47.28
