DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-08-17,26.99,27.0,25.21,26.23,66557,80.97
2026-08-18,27.28,27.28,25.35,25.98,36629,69.66
2026-08-19,26.5,26.5,25.72,26.0,28910,64.86
2026-08-20,25.75,26.55,25.75,26.12,27201,94.17
2026-08-21,26.45,26.45,24.51,26.08,69940,90.02
2026-08-24,26.06,26.9,25.0,26.44,53322,59.72
2026-08-25,26.11,26.9,26.11,26.76,63676,88.99
2026-08-26,26.99,30.49,26.54,29.44,918078,58.64
2026-08-27,28.65,29.62,27.56,27.99,278374,67.17
2026-08-28,27.99,28.79,27.75,28.45,101147,79.78
2026-08-31,28.65,28.89,27.8,27.89,95639,64.91
2026-09-01,27.89,28.65,27.8,28.11,100589,66.71
2026-09-02,27.66,28.35,27.51,28.15,123709,64.1
2026-09-03,28.35,28.85,27.81,27.98,80346,68.54
2026-09-04,28.0,28.5,27.79,27.93,42562,73.22
2026-09-07,27.66,28.3,27.11,27.35,65412,81.47
2026-09-08,27.35,27.79,26.8,27.18,60113,78.85
2026-09-09,26.9,27.98,26.53,26.73,70262,57.92
2026-09-10,26.73,27.19,26.55,26.77,35796,69.21
2026-09-11,27.2,27.2,25.81,26.24,64991,75.1
2026-09-14,27.2,27.2,25.81,26.24,64991,75.1
2026-09-15,26.1,26.89,25.31,25.65,63569,75.94
2026-09-16,25.65,26.78,25.11,25.88,59473,70.03
2026-09-17,25.88,26.69,25.1,26.08,88717,48.7
2026-09-18,25.98,26.66,25.75,26.27,49555,78.33
2026-09-21,25.81,26.8,25.81,26.42,75516,77.22
2026-09-22,26.42,26.98,26.03,26.49,31507,63.7
