DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,1.02,1.04,1.0,1.0,167490,86.53
2025-04-15,1.03,1.04,1.01,1.01,161168,76.45
2025-04-16,1.03,1.03,1.01,1.02,61197,93.54
2025-04-17,1.01,1.04,1.01,1.01,196479,77.46
2025-04-21,0.98,1.03,0.98,1.02,219443,67.96
2025-04-22,1.02,1.03,1.01,1.02,162274,58.3
2025-04-23,1.07,1.07,1.04,1.05,389096,85.25
2025-04-24,1.07,1.07,1.04,1.05,257956,87.54
2025-04-25,1.06,1.08,1.0,1.03,772687,53.21
2025-04-28,1.03,1.06,1.02,1.02,142500,79.2
2025-04-29,1.02,1.04,0.99,1.0,521705,77.55
2025-04-30,0.98,1.04,0.98,1.01,336707,76.56
2025-05-02,1.01,1.04,1.0,1.0,144830,71.13
2025-05-05,1.0,1.05,1.0,1.0,114532,81.8
2025-05-06,1.02,1.04,1.0,1.0,172339,77.3
2025-05-07,0.97,1.02,0.97,0.98,311009,63.63
2025-05-08,1.02,1.02,0.97,0.98,168015,77.21
2025-05-09,0.97,1.01,0.94,0.95,221472,69.24
2025-05-12,1.01,1.02,0.97,1.0,184556,74.08
2025-05-13,1.0,1.02,0.97,0.97,509943,75.48
2025-05-14,0.98,1.05,0.98,1.01,587721,57.52
2025-05-15,1.01,1.03,1.0,1.01,308183,78.24
2025-05-16,1.03,1.03,0.99,1.0,288421,63.92
2025-05-19,1.03,1.03,0.99,1.0,512708,57.05
2025-05-20,1.0,1.02,1.0,1.0,208378,66.0
2025-05-21,1.02,1.02,0.99,0.99,144445,74.06
2025-05-22,0.97,1.01,0.97,1.0,296590,94.75
2025-05-23,1.01,1.04,1.0,1.02,383906,70.08
2025-05-26,1.03,1.04,1.01,1.03,185915,68.72
2025-05-27,1.03,1.05,1.02,1.03,132671,82.74
2025-05-28,1.04,1.05,1.02,1.04,357069,85.17
2025-05-29,1.07,1.08,1.04,1.06,609618,78.17
2025-05-30,1.05,1.07,1.03,1.05,507884,52.61
2025-06-02,1.05,1.13,1.02,1.07,514664,71.04
2025-06-03,1.08,1.13,1.06,1.07,419771,79.12
2025-06-04,1.09,1.11,1.05,1.06,288852,75.84
2025-06-05,1.06,1.1,1.05,1.06,444961,76.31
2025-06-06,1.06,1.1,1.05,1.07,370861,66.89
2025-06-09,1.11,1.25,1.08,1.22,1500290,74.4
2025-06-10,1.26,1.37,1.23,1.26,1546808,76.74
2025-06-11,1.35,1.51,1.22,1.51,4301906,69.48
2025-06-12,1.62,1.62,1.35,1.38,4379857,60.64
2025-06-13,1.37,1.41,1.3,1.38,834892,60.65
2025-06-16,1.42,1.42,1.27,1.28,1105090,64.59
2025-06-17,1.31,1.33,1.22,1.24,456476,49.51
2025-06-18,1.24,1.36,1.24,1.36,1614399,71.61
2025-06-19,1.4,1.4,1.26,1.27,1161229,59.54
2025-06-20,1.25,1.28,1.24,1.24,508813,59.31
2025-06-23,1.2,1.28,1.17,1.23,560313,45.16
2025-06-24,1.23,1.34,1.23,1.27,518404,46.09
2025-06-25,1.36,1.38,1.28,1.34,1431153,51.96
2025-06-26,1.4,1.4,1.35,1.35,817666,60.51
2025-06-27,1.38,1.39,1.33,1.35,435679,71.24
2025-06-30,1.34,1.35,1.23,1.3,622794,46.58
2025-07-01,1.3,1.36,1.28,1.29,329785,60.77
2025-07-02,1.34,1.34,1.29,1.3,379623,77.67
2025-07-03,1.34,1.34,1.3,1.3,505226,36.1
2025-07-04,1.3,1.34,1.3,1.3,372557,52.86
2025-07-07,1.3,1.34,1.22,1.27,861683,60.87
2025-07-08,1.25,1.29,1.25,1.26,162473,87.48
2025-07-09,1.26,1.28,1.18,1.24,246708,83.56
2025-07-10,1.22,1.25,1.22,1.23,152517,85.91
2025-07-11,1.26,1.26,1.21,1.22,315528,67.11
2025-07-14,1.22,1.23,1.19,1.21,220171,67.03
2025-07-15,1.19,1.22,1.17,1.18,341016,70.79
2025-07-16,1.2,1.21,1.18,1.18,190411,75.41
2025-07-17,1.2,1.24,1.19,1.21,419367,70.63
2025-07-18,1.26,1.26,1.21,1.23,274322,66.9
2025-07-21,1.23,1.25,1.17,1.2,313139,62.36
2025-07-22,1.19,1.23,1.17,1.17,375015,64.18
2025-07-23,1.19,1.19,1.15,1.16,113866,94.52
2025-07-24,1.15,1.17,1.14,1.14,148315,77.56
2025-07-25,1.13,1.14,1.1,1.11,200019,87.08
2025-07-28,1.11,1.2,1.06,1.18,348724,71.08
2025-07-29,1.2,1.23,1.17,1.19,380919,69.02
2025-07-30,1.22,1.22,1.13,1.14,289258,77.11
2025-07-31,1.13,1.25,1.13,1.24,770366,80.46
2025-08-01,1.25,1.25,1.21,1.21,320366,67.78
2025-08-04,1.21,1.21,1.14,1.17,158822,55.71
2025-08-05,1.16,1.2,1.15,1.16,182896,84.7
2025-08-06,1.18,1.21,1.15,1.16,309219,64.87
2025-08-07,1.16,1.25,1.08,1.18,568609,57.33
2025-08-08,1.2,1.23,1.14,1.16,147931,74.0
2025-08-11,1.17,1.2,1.07,1.13,425884,40.72
2025-08-12,1.13,1.17,1.1,1.15,152210,55.13
2025-08-13,1.17,1.18,1.11,1.12,110894,83.91
2025-08-14,1.16,1.2,1.11,1.14,281262,69.68
2025-08-18,1.16,1.22,1.14,1.14,382915,62.35
2025-08-19,1.14,1.16,1.14,1.15,93187,96.79
2025-08-20,1.14,1.15,1.09,1.12,207537,75.48
2025-08-21,1.12,1.14,1.11,1.13,122771,82.59
2025-08-22,1.13,1.15,1.12,1.14,66507,79.64
2025-08-25,1.12,1.15,1.12,1.12,128275,61.19
2025-08-26,1.13,1.14,1.05,1.11,286224,81.1
2025-08-28,1.13,1.22,1.09,1.13,484961,50.59
2025-08-29,1.14,1.15,1.1,1.14,154237,80.74
2025-09-01,1.14,1.15,1.11,1.13,131810,60.43
2025-09-02,1.12,1.14,1.11,1.11,147636,78.97
2025-09-03,1.11,1.13,1.09,1.1,269739,87.91
2025-09-04,1.1,1.12,1.09,1.1,265273,58.81
2025-09-05,1.12,1.12,1.1,1.1,86829,62.97
2025-09-08,1.1,1.13,1.1,1.1,172073,72.52
2025-09-09,1.11,1.12,1.1,1.1,118990,62.52
2025-09-10,1.12,1.12,1.09,1.09,279599,77.51
2025-09-11,1.09,1.11,1.08,1.08,154919,63.15
2025-09-12,1.08,1.1,1.0,1.07,284138,73.79
2025-09-15,1.07,1.09,1.05,1.06,127358,82.5
2025-09-16,1.06,1.16,1.06,1.11,398596,77.56
2025-09-17,1.15,1.15,1.1,1.12,146332,74.85
2025-09-18,1.11,1.13,1.1,1.1,85696,61.87
2025-09-19,1.1,1.12,1.1,1.11,240312,79.26
2025-09-22,1.11,1.12,1.1,1.1,107476,75.03
2025-09-23,1.1,1.11,1.08,1.08,136944,89.12
2025-09-24,1.09,1.12,1.09,1.09,235776,99.15
2025-09-25,1.09,1.11,1.08,1.08,133461,73.05
2025-09-26,1.09,1.1,1.07,1.07,166410,88.59
2025-09-29,1.07,1.09,1.03,1.05,169257,81.34
2025-09-30,1.05,1.09,1.05,1.07,104587,80.57
2025-10-01,1.09,1.09,1.06,1.07,201943,89.22
2025-10-03,1.09,1.09,1.07,1.08,150093,78.49
2025-10-06,1.09,1.09,1.06,1.06,255733,88.64
2025-10-07,1.06,1.16,0.98,1.1,572743,35.89
2025-10-08,1.1,1.12,1.08,1.1,246920,68.11
2025-10-09,1.08,1.11,1.05,1.07,401737,81.96
2025-10-10,1.09,1.1,1.07,1.09,153042,75.51
2025-10-13,1.09,1.09,1.06,1.07,140990,86.91
2025-10-14,1.06,1.08,1.04,1.04,265206,89.74
2025-10-15,1.04,1.06,1.04,1.04,149751,76.38
2025-10-16,1.06,1.07,1.05,1.05,170890,89.09
2025-10-17,1.05,1.09,1.05,1.05,243326,55.01
2025-10-20,1.06,1.07,1.04,1.05,166671,70.96
2025-10-21,1.05,1.07,1.05,1.06,59297,69.79
2025-10-22,1.05,1.07,1.05,1.06,59297,69.79
2025-10-23,1.05,1.08,1.05,1.07,169889,77.88
