DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,4988.05,5117.5,4956.0,5028.4,243985,66.04
2025-04-15,5075.0,5092.5,5010.5,5056.0,114591,58.71
2025-04-16,5075.0,5075.0,4965.0,4995.5,82741,55.3
2025-04-17,4995.5,5007.5,4890.0,4902.5,81545,63.59
2025-04-21,4947.5,5035.0,4815.0,4977.0,185918,56.71
2025-04-22,5025.0,5348.0,4907.5,5274.0,266056,35.37
2025-04-23,5349.0,5402.0,5190.0,5342.0,158822,51.33
2025-04-24,5379.0,5649.0,5322.0,5504.0,172593,44.46
2025-04-25,5504.0,5572.5,5345.0,5539.5,186819,47.12
2025-04-28,5512.5,5617.0,5425.0,5603.0,92626,44.45
2025-04-29,5635.0,5689.0,5560.0,5604.0,96346,56.04
2025-04-30,5600.0,5648.0,5515.0,5603.0,122564,64.05
2025-05-02,5603.0,5631.5,5460.0,5530.5,55975,46.21
2025-05-05,5550.0,5852.0,5492.5,5798.0,100476,41.75
2025-05-06,5808.0,5849.0,5561.0,5590.5,108746,59.98
2025-05-07,5450.0,5788.5,5435.0,5768.0,85759,48.35
2025-05-08,5810.0,6399.0,5809.5,6031.0,761697,36.49
2025-05-09,5850.0,6203.0,5840.0,6092.0,171961,36.37
2025-05-12,6320.0,6473.5,6234.0,6300.5,207986,56.45
2025-05-13,6350.0,6530.0,6306.5,6511.0,162571,58.94
2025-05-14,6589.5,7085.5,6481.0,6927.5,364668,27.37
2025-05-15,7148.5,8100.0,7051.5,7941.0,670949,19.04
2025-05-16,7950.0,8399.0,7703.0,8228.0,331664,29.79
2025-05-19,8200.0,8200.0,7790.0,7816.0,160266,49.73
2025-05-20,7890.0,7948.5,7361.5,7437.0,149991,58.88
2025-05-21,7490.0,7668.0,7353.0,7491.0,82749,36.66
2025-05-22,7495.0,7669.0,7425.0,7645.0,55869,37.75
2025-05-23,7666.0,7997.0,7586.5,7757.5,109372,35.83
2025-05-26,7761.0,7848.0,7581.0,7622.0,75562,55.14
2025-05-27,7739.0,7757.0,7605.5,7646.0,30346,35.86
2025-05-28,7650.0,7899.0,7630.5,7839.0,78072,48.98
2025-05-29,7900.0,8050.0,7833.5,8001.5,63510,49.77
2025-05-30,8050.0,8194.0,8036.0,8114.0,73555,56.85
2025-06-02,8150.0,8180.0,8005.0,8060.5,34817,42.81
2025-06-03,8132.5,8240.0,7880.0,7963.5,52955,32.78
2025-06-04,7900.0,8017.0,7851.0,7946.0,36461,39.15
2025-06-05,8015.5,8118.0,7930.0,8050.5,37589,45.76
2025-06-06,8057.0,8145.0,7905.0,8104.0,58731,42.76
2025-06-09,8300.0,8350.0,8156.0,8186.0,60678,47.6
2025-06-10,8200.0,8248.0,7992.0,8157.5,47134,45.74
2025-06-11,8158.0,8181.5,7960.0,8131.5,46314,39.34
2025-06-12,8229.5,8248.0,7925.5,7990.5,64376,36.3
2025-06-13,7785.5,7950.0,7685.0,7895.5,91404,36.32
2025-06-16,7849.5,7888.0,7702.5,7736.5,42777,52.37
2025-06-17,7800.0,8063.0,7784.0,7981.5,95361,52.26
2025-06-18,8030.5,8055.0,7805.0,7969.5,43265,40.49
2025-06-19,7967.0,7979.0,7643.5,7761.5,45387,40.39
2025-06-20,7710.5,7999.0,7651.5,7919.0,48502,39.47
2025-06-23,7819.0,7930.0,7795.5,7848.5,39402,38.84
