DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-02-23,1452.0,1488.0,1395.9,1396.5,49371,78.89
2026-02-24,1396.0,1460.0,1391.0,1399.1,61205,73.76
2026-02-25,1426.9,1435.9,1329.2,1330.8,77326,80.47
2026-02-26,1354.9,1354.9,1264.3,1264.3,20082,63.5
2026-02-27,1231.0,1241.0,1201.1,1201.1,8317,91.17
2026-03-02,1141.1,1243.9,1141.1,1141.1,60587,65.19
2026-03-03,1141.1,1243.9,1141.1,1141.1,60587,65.19
2026-03-04,1095.0,1100.2,1084.1,1084.1,5871,99.37
2026-03-05,109.0,113.8,108.9,113.8,98386,86.65
2026-03-06,116.2,119.4,108.2,108.7,1120199,74.13
2026-03-09,103.3,103.3,103.3,103.3,39602,100.0
2026-03-10,98.2,101.0,98.2,98.2,80998,55.19
2026-03-11,93.3,93.3,93.3,93.3,198792,80.17
2026-03-12,88.7,88.7,88.7,88.7,15260,100.0
2026-03-13,84.3,84.3,84.3,84.3,71595,100.0
2026-03-16,80.1,80.1,80.1,80.1,7517,100.0
2026-03-17,76.1,79.4,76.1,76.1,1603579,76.44
2026-03-18,72.3,72.3,72.3,72.3,169717,99.97
2026-03-19,68.7,68.7,68.7,68.7,27423,100.0
2026-03-20,65.3,65.3,65.3,65.3,24543,100.0
2026-03-23,62.1,62.1,62.1,62.1,12167,99.99
2026-03-24,59.1,65.2,59.0,59.0,1278539,26.52
2026-03-25,56.1,56.1,56.1,56.1,33103,100.0
2026-03-26,56.1,56.1,56.1,56.1,33103,100.0
2026-03-27,53.3,53.3,53.3,53.3,8731,100.0
2026-03-30,50.7,50.7,50.7,50.7,8782,99.54
2026-03-31,50.7,50.7,50.7,50.7,8782,99.54
2026-04-01,48.17,48.17,48.17,48.17,16259,100.0
2026-04-02,45.77,45.77,45.77,45.77,9189,100.0
2026-04-03,45.77,45.77,45.77,45.77,9189,100.0
2026-04-06,43.49,43.49,43.49,43.49,26050,100.0
2026-04-07,41.32,41.32,41.32,41.32,19430,100.0
2026-04-08,39.26,43.38,39.26,43.05,4692869,62.95
2026-04-09,44.74,45.2,44.0,45.2,220350,85.75
2026-04-10,47.46,47.46,47.46,47.46,13528,100.0
2026-04-13,46.49,49.83,45.09,45.17,2851615,67.81
2026-04-14,46.49,49.83,45.09,45.17,2851615,67.81
2026-04-15,46.01,47.42,42.92,47.37,4016794,43.36
2026-04-16,48.9,49.09,45.25,45.99,1478318,58.2
2026-04-17,46.99,48.28,43.7,45.43,1771132,42.23
2026-04-20,45.25,47.7,43.21,47.28,1642482,16.33
