DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,84.2,87.18,83.25,84.32,22223,65.14
2025-04-15,85.8,87.79,85.28,86.04,26232,71.4
2025-04-16,88.0,91.76,86.93,90.04,25089,64.96
2025-04-17,91.45,95.73,90.49,94.08,27944,46.72
2025-04-21,95.01,96.66,92.02,92.85,13659,39.67
2025-04-22,92.9,111.42,92.9,99.56,134149,43.69
2025-04-23,101.56,102.8,94.99,96.91,52850,43.24
2025-04-24,97.0,98.58,93.42,95.34,28764,52.78
2025-04-25,94.74,96.88,92.95,93.42,15543,52.3
2025-04-28,91.61,97.87,91.61,96.52,23233,53.65
2025-04-29,95.89,97.06,92.0,92.64,19416,57.48
2025-04-30,91.12,92.64,90.0,90.07,12340,63.97
2025-05-02,90.14,93.8,89.31,90.52,12640,59.73
2025-05-05,93.47,93.47,89.7,91.24,5533,62.21
2025-05-06,92.84,92.84,83.86,84.79,33406,69.7
2025-05-07,84.79,88.99,84.78,86.71,13083,47.06
2025-05-08,88.01,88.5,86.0,86.25,14804,81.53
2025-05-09,85.75,85.75,82.11,82.94,13735,65.56
2025-05-12,85.1,89.75,85.1,88.71,18037,72.51
2025-05-13,88.5,92.01,86.7,91.8,13109,69.24
2025-05-14,92.19,92.79,89.98,90.54,10016,68.73
2025-05-15,91.17,98.61,91.17,95.26,45786,34.26
2025-05-16,94.01,96.97,94.01,95.71,29976,72.37
2025-05-19,94.2,101.7,94.2,99.2,59859,40.69
2025-05-20,99.2,100.57,97.01,97.57,25339,39.52
2025-05-21,98.99,98.99,94.5,98.07,17481,43.72
2025-05-22,97.21,99.3,94.99,96.28,17375,46.09
2025-05-23,98.0,101.39,97.2,98.27,31112,67.27
2025-05-26,99.9,100.78,96.61,97.34,9896,52.58
2025-05-27,99.25,99.25,97.5,97.57,4418,57.06
2025-05-28,100.5,100.5,95.61,95.72,19517,75.44
2025-05-29,96.5,98.15,96.0,96.19,7987,46.73
2025-05-30,95.48,97.89,95.48,96.45,11810,64.18
2025-06-02,96.34,97.39,94.34,96.12,5673,54.89
2025-06-03,96.0,97.52,94.51,95.3,5874,65.36
2025-06-04,96.5,99.48,95.5,96.07,6580,64.98
2025-06-05,97.01,97.51,95.21,95.55,21100,78.54
2025-06-06,96.45,106.98,96.0,101.2,61653,49.97
2025-06-09,103.98,108.45,100.06,107.59,80088,58.73
2025-06-10,108.0,111.5,103.32,107.23,79675,62.3
2025-06-11,110.0,110.79,105.35,106.69,18699,59.21
2025-06-12,106.0,108.09,102.5,106.13,27068,72.79
2025-06-13,105.29,106.63,103.0,105.92,8192,50.54
2025-06-16,105.04,107.59,103.0,104.18,7360,60.12
2025-06-17,106.24,106.42,104.52,105.87,4935,68.79
2025-06-18,108.74,108.74,104.68,105.24,7567,81.1
2025-06-19,107.0,110.98,105.01,108.34,31707,78.23
2025-06-20,107.8,108.3,105.21,107.22,6958,61.22
2025-06-23,104.1,106.79,104.1,104.65,5538,64.66
2025-06-24,107.35,107.99,104.01,104.47,10940,84.95
2025-06-25,104.47,107.0,102.82,104.22,5865,73.98
2025-06-26,104.91,111.0,104.25,107.88,24869,63.63
2025-06-27,109.01,110.16,107.25,108.42,7080,52.19
2025-06-30,107.46,113.0,106.35,109.83,49718,78.44
2025-07-01,107.67,111.57,107.05,108.15,10994,68.37
2025-07-02,107.93,110.4,105.5,107.42,14830,79.78
2025-07-03,107.03,109.99,106.66,109.38,11361,60.62
2025-07-04,108.62,108.81,102.01,104.32,34260,64.39
2025-07-07,104.32,107.0,103.95,105.67,9231,44.09
2025-07-08,104.3,107.0,104.3,105.98,4817,58.96
2025-07-09,105.95,107.5,102.41,104.69,17997,76.27
2025-07-10,105.41,106.48,102.61,103.47,9406,70.19
2025-07-11,102.0,104.57,100.67,101.65,16327,85.7
2025-07-14,102.0,105.75,97.89,104.62,10400,51.13
2025-07-15,106.4,106.4,102.0,102.69,12091,42.28
2025-07-16,102.2,104.6,100.5,103.84,8848,70.71
2025-07-17,103.0,105.6,100.5,104.93,12894,53.78
2025-07-18,105.75,107.6,102.93,104.38,14250,51.24
2025-07-21,104.9,105.1,102.03,102.97,5730,77.21
2025-07-22,103.07,104.49,101.05,101.92,15410,62.86
2025-07-23,101.42,103.49,101.41,102.11,4238,54.08
2025-07-24,104.18,104.3,98.9,101.38,10188,48.06
2025-07-25,99.93,102.01,98.6,100.34,8568,65.2
