DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,995.05,1005.0,972.25,975.55,494938,48.96
2025-04-15,1005.0,1007.9,988.0,994.6,620242,43.84
2025-04-16,999.9,1002.8,992.6,995.8,429287,51.63
2025-04-17,999.9,1033.0,994.1,1019.4,884748,37.91
2025-04-21,1030.0,1038.8,1022.4,1033.4,374486,49.72
2025-04-22,1036.0,1041.0,1012.0,1015.9,589729,51.84
2025-04-23,1021.9,1028.7,1002.1,1009.9,512948,48.41
2025-04-24,1009.9,1018.8,998.0,1000.1,781951,50.64
2025-04-25,998.0,1005.0,969.2,989.2,652240,39.78
2025-04-28,978.0,992.5,970.9,984.5,483425,38.96
2025-04-29,988.8,1007.7,986.1,989.5,357421,40.0
2025-04-30,989.5,991.7,967.8,971.9,503311,63.3
2025-05-02,970.0,982.0,961.5,964.3,625943,42.52
2025-05-05,974.05,980.0,966.9,973.6,422515,48.89
2025-05-06,973.6,985.0,908.9,945.95,578910,42.53
2025-05-07,923.0,948.5,921.15,942.45,457061,43.08
2025-05-08,944.0,1004.5,944.0,963.2,2230553,21.05
2025-05-09,940.0,957.7,933.65,953.8,646531,32.17
2025-05-12,984.95,1004.0,981.0,999.15,673608,47.59
2025-05-13,999.25,1019.6,990.4,1013.85,677931,40.71
2025-05-14,1013.85,1026.5,1006.0,1012.25,570116,50.27
2025-05-15,1014.95,1035.9,1008.25,1019.05,398163,44.2
2025-05-16,1025.0,1055.8,1019.05,1035.75,981546,47.57
2025-05-19,1050.0,1061.9,1030.5,1034.6,632545,46.84
2025-05-20,1043.5,1044.65,1008.05,1012.6,391956,52.69
2025-05-21,1010.5,1021.35,1003.4,1015.3,302057,42.73
2025-05-22,1010.05,1026.95,1005.05,1014.15,325610,40.75
2025-05-23,1014.1,1032.0,1009.0,1023.35,329254,47.2
2025-05-26,1024.0,1060.0,1019.15,1049.85,856163,45.87
2025-05-27,1050.0,1053.5,1035.5,1048.05,439235,45.83
2025-05-28,1051.0,1064.1,1044.25,1057.15,461324,47.57
2025-05-29,1064.8,1094.0,1048.0,1089.4,1232891,46.94
2025-05-30,1040.15,1056.45,1025.0,1030.75,1882630,44.9
2025-06-02,1035.9,1037.0,1015.0,1017.4,693717,46.92
2025-06-03,1018.8,1023.9,1001.5,1005.3,639030,50.15
2025-06-04,1005.3,1014.0,995.4,998.5,499868,51.43
2025-06-05,1004.8,1009.6,998.2,1000.3,502349,50.82
2025-06-06,1004.0,1009.3,994.0,1000.1,424767,47.44
2025-06-09,1005.0,1019.0,1002.9,1011.3,460075,53.26
2025-06-10,1016.2,1020.0,1008.0,1012.6,324858,52.44
2025-06-11,1017.5,1022.7,1004.0,1015.9,441987,52.38
2025-06-12,1020.5,1032.0,1001.1,1007.1,670903,42.53
