DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-07-22,41.9,41.9,37.01,38.4,1226411,33.56
2025-07-23,37.5,39.49,34.69,35.01,228994,54.14
2025-07-24,35.01,36.5,33.35,34.13,162238,39.73
2025-07-25,34.13,35.88,32.52,33.56,137888,37.11
2025-07-28,34.39,34.39,31.55,31.86,32766,49.68
2025-07-29,32.0,32.59,31.43,31.53,17798,53.33
2025-07-30,32.0,33.98,31.56,32.99,93488,22.13
2025-07-31,32.5,34.7,32.5,34.24,79522,21.0
2025-08-01,34.3,37.66,34.3,37.66,334679,56.76
2025-08-04,39.9,41.0,38.21,39.97,991020,50.89
2025-08-05,39.95,39.95,37.97,38.76,128139,50.2
2025-08-06,38.0,38.38,36.82,37.18,219296,62.48
2025-08-07,36.51,37.0,35.32,35.86,106524,74.54
2025-08-08,36.68,37.19,35.5,36.76,61780,51.34
2025-08-11,37.44,37.63,35.5,35.6,52877,65.52
2025-08-12,36.23,36.62,33.92,34.45,52607,29.75
2025-08-13,34.0,35.97,34.0,35.06,68670,28.35
2025-08-14,35.76,35.95,34.2,34.48,53847,39.46
2025-08-18,35.7,35.7,33.22,34.25,69149,35.02
2025-08-19,34.28,35.0,33.41,34.44,61602,14.33
2025-08-20,34.44,34.79,33.0,33.94,97055,51.04
2025-08-21,33.7,34.29,33.12,33.61,58827,30.6
2025-08-22,33.6,34.14,32.82,33.74,56170,28.73
2025-08-25,33.74,34.2,33.02,33.85,565574,91.92
2025-08-26,33.9,34.7,33.37,34.31,61729,40.76
2025-08-28,35.2,35.2,33.58,34.06,61782,28.78
2025-08-29,33.65,34.42,32.55,32.86,77019,29.43
2025-09-01,33.45,33.99,32.51,33.61,73195,35.1
2025-09-02,34.06,35.09,32.0,34.41,280536,31.35
2025-09-03,35.34,36.13,33.47,36.13,2357527,86.65
2025-09-04,36.97,37.93,36.84,37.93,189854,61.25
2025-09-05,39.82,39.82,37.24,38.16,298108,49.89
2025-09-08,38.79,40.06,36.25,39.56,2803460,57.55
2025-09-09,39.56,40.99,38.5,40.35,1380928,58.37
2025-09-10,41.25,42.24,39.17,41.73,2728060,68.3
2025-09-11,41.81,43.0,41.6,42.77,674376,53.35
2025-09-12,42.9,43.94,42.0,43.19,428336,57.19
2025-09-15,43.98,44.0,42.56,43.17,417332,56.96
2025-12-22,65.29,65.9,64.21,65.04,206165,80.36
2025-12-23,65.2,68.0,65.01,67.87,415241,84.13
2025-12-24,68.0,70.93,67.0,68.75,813682,71.2
2025-12-25,68.0,70.93,67.0,68.75,813682,71.2
2025-12-26,69.5,70.0,68.81,69.66,571239,56.98
2025-12-29,71.0,71.0,68.0,68.58,753734,28.72
2025-12-30,68.9,72.0,68.9,70.53,1063461,45.92
2025-12-31,70.85,73.75,70.69,73.12,975578,43.44
2026-01-01,73.9,75.0,73.9,74.89,669299,37.18
2026-01-02,75.1,75.11,73.8,74.78,2501832,52.85
2026-01-05,75.0,76.0,74.0,75.87,2153678,71.15
2026-01-06,76.0,77.67,73.53,74.87,1994779,56.0
2026-01-07,74.97,77.0,74.77,76.28,980620,38.98
2026-01-08,77.0,77.0,75.2,75.71,1619109,63.5
2026-01-09,76.5,79.4,75.22,79.04,1635579,57.33
2026-01-12,80.68,82.7,79.83,81.43,2147775,51.73
2026-01-13,82.0,84.01,80.5,81.73,1204649,39.37
2026-01-14,81.99,82.02,78.32,81.01,798938,31.0
2026-01-15,81.99,82.02,78.32,81.01,798938,31.0
2026-01-16,81.89,81.89,78.76,80.36,1317755,42.66
2026-01-19,79.95,83.0,79.2,82.01,1974721,59.87
2026-01-20,82.42,82.99,78.0,78.34,1486939,25.62
2026-01-21,78.0,78.0,74.43,74.6,1686088,46.57
2026-01-22,74.1,78.33,74.0,78.21,2145879,41.57
2026-01-23,79.0,80.9,76.9,78.34,1290025,30.38
2026-01-26,79.0,80.9,76.9,78.34,1290025,30.38
2026-01-27,79.9,79.95,74.43,75.18,1293720,43.3
2026-01-28,75.2,76.9,71.78,74.82,1689345,47.44
2026-01-29,74.74,78.56,73.6,77.26,2223186,29.46
2026-01-30,77.6,77.6,74.25,75.26,1747125,47.23
2026-02-02,75.5,76.07,72.35,73.79,600130,31.86
2026-02-03,74.53,76.0,72.5,74.71,1555847,57.45
2026-02-04,75.5,75.95,73.68,75.33,1419037,51.25
2026-02-05,76.35,78.0,72.7,77.23,1617556,49.12
2026-02-06,75.1,78.8,75.1,77.7,957450,32.15
2026-02-09,78.5,79.0,75.0,76.47,653773,30.56
2026-02-10,77.4,77.4,75.77,76.78,544688,30.93
2026-02-11,77.45,77.45,75.45,75.78,659209,35.3
2026-02-12,76.22,76.22,74.55,75.62,499635,20.19
2026-02-13,75.6,75.6,73.25,74.0,515598,11.4
2026-02-16,72.0,73.73,71.18,72.39,635071,31.8
2026-02-17,72.8,73.76,71.67,72.73,510659,20.09
2026-02-18,72.0,72.28,69.65,71.31,936354,29.33
2026-02-19,71.35,72.1,70.0,70.56,499998,16.31
2026-02-20,70.0,72.0,69.79,71.21,605274,18.85
2026-02-23,73.5,73.5,68.06,72.16,1064518,15.42
2026-02-24,71.15,71.81,69.5,70.84,790247,6.57
2026-02-25,73.5,73.5,69.1,70.89,771105,13.59
2026-02-26,71.85,73.93,69.05,72.33,980059,17.89
2026-02-27,73.07,73.07,71.15,71.7,805844,5.92
2026-03-02,68.01,71.5,67.99,69.94,917061,27.53
2026-03-03,68.01,71.5,67.99,69.94,917061,27.53
2026-03-04,68.0,76.93,68.0,73.85,1551871,35.28
2026-03-05,75.5,76.3,72.69,75.63,1025690,23.92
2026-03-06,76.18,78.49,74.8,76.96,1161511,31.09
2026-03-09,77.0,79.29,75.01,78.43,1135433,26.34
2026-03-10,80.0,81.95,79.1,81.43,1521155,48.99
2026-03-11,83.0,84.9,79.0,80.28,1364346,35.79
2026-03-12,80.0,82.46,78.12,80.26,1155940,23.99
2026-03-13,79.89,80.0,74.0,75.04,1493491,36.4
2026-03-16,73.2,76.63,73.2,74.35,1120340,32.2
2026-03-17,75.6,76.8,73.51,76.42,1131028,22.86
2026-03-18,77.9,77.9,74.36,75.88,1622388,51.0
2026-03-19,75.38,77.0,74.58,76.24,871405,18.98
2026-03-20,77.8,78.25,75.86,76.95,801759,16.01
2026-03-23,77.49,78.0,74.85,76.44,877301,16.29
2026-03-24,77.5,78.0,75.6,77.37,656085,12.42
2026-03-25,77.96,79.75,77.31,77.98,977796,36.08
2026-03-26,77.96,79.75,77.31,77.98,977796,36.08
2026-03-27,76.5,78.98,74.4,75.47,1350007,27.55
2026-03-30,76.93,76.93,72.0,73.29,924648,19.35
2026-03-31,76.93,76.93,72.0,73.29,924648,19.35
2026-04-01,75.1,76.85,74.31,75.94,703998,19.12
2026-04-02,76.45,77.4,74.01,76.15,793941,11.65
2026-04-03,76.45,77.4,74.01,76.15,793941,11.65
2026-04-06,78.5,78.5,75.38,76.27,965568,25.04
2026-04-07,75.2,77.34,75.2,76.85,658476,8.5
2026-04-08,80.0,87.8,80.0,86.51,3457883,40.49
2026-04-09,88.25,88.94,84.95,86.23,1433435,45.36
2026-04-10,87.86,91.35,86.11,89.26,2572337,51.95
2026-04-13,88.0,95.87,86.0,93.97,2498447,33.22
2026-04-14,88.0,95.87,86.0,93.97,2498447,33.22
2026-04-15,95.0,96.0,92.11,93.19,1483194,34.85
2026-04-16,94.0,94.59,92.22,94.25,1062249,14.7
2026-04-17,94.25,96.25,92.5,94.73,1809129,33.85
2026-04-20,96.9,100.25,95.42,96.42,1727513,50.82
2026-04-21,96.42,98.28,95.44,97.91,1452686,31.5
2026-04-22,98.9,98.9,92.61,94.59,2853745,43.73
2026-04-23,94.59,97.5,93.46,97.05,962188,72.86
2026-04-24,97.4,97.95,94.25,95.16,1127516,17.34
2026-04-27,96.37,97.6,90.21,96.35,1507029,36.46
2026-04-28,96.35,96.9,94.0,95.06,1099842,28.79
2026-04-29,95.99,96.2,94.0,95.42,1188800,27.68
2026-04-30,95.9,95.9,93.0,94.49,967460,12.46
2026-05-01,95.9,95.9,93.0,94.49,967460,12.46
2026-05-04,94.7,96.5,93.74,94.97,790613,13.41
2026-05-05,95.5,95.96,92.0,93.34,738878,50.44
2026-05-06,93.6,95.85,93.0,94.72,1560294,11.86
2026-05-07,96.0,96.56,93.71,95.39,1979280,23.8
2026-05-08,95.0,97.0,94.52,96.49,1738825,13.54
2026-05-11,98.49,99.02,93.3,95.93,2302984,22.29
2026-05-12,97.47,106.2,95.14,99.77,16687847,12.06
2026-05-13,102.33,104.16,92.58,96.02,3773516,20.26
2026-05-14,96.0,97.77,92.4,93.7,1675247,34.35
2026-05-15,94.89,94.89,90.4,91.48,1832832,17.4
2026-05-18,91.42,91.5,86.7,88.31,1649796,17.14
2026-05-19,87.3,89.79,86.53,89.21,1888499,10.15
2026-05-20,89.37,93.44,85.0,91.82,2100553,8.45
2026-05-21,91.5,94.44,89.31,92.51,2201767,14.59
2026-05-22,91.45,95.9,90.0,94.65,3212536,13.42
2026-05-25,94.51,97.8,93.72,96.38,2704600,23.94
2026-05-26,95.1,96.75,92.7,93.37,1943957,21.66
2026-05-27,94.0,97.0,93.5,94.01,1924588,22.45
2026-05-28,94.0,97.0,93.5,94.01,1924588,22.45
2026-05-29,95.65,95.65,91.25,92.51,2665679,17.98
2026-06-01,93.5,93.62,87.3,88.85,2462399,14.51
2026-06-02,88.85,92.0,88.53,90.85,2352938,26.35
2026-06-03,90.77,91.0,88.03,89.94,2397051,16.55
2026-06-04,88.95,90.28,88.1,89.23,2180504,6.49
2026-06-05,88.95,90.28,87.54,89.24,2045035,4.27
2026-06-08,87.76,88.44,86.0,86.97,1791511,10.32
2026-06-09,87.97,88.5,82.99,85.71,2134431,13.46
2026-06-10,83.85,85.51,80.8,82.06,2363234,19.73
2026-06-11,81.4,85.0,80.0,83.14,2475007,18.77
2026-06-12,85.0,85.76,83.0,84.82,3385286,16.14
2026-06-15,85.5,94.86,85.0,92.02,6223442,20.0
2026-06-16,92.5,96.75,91.36,95.62,3416893,26.84
2026-06-17,96.0,100.73,95.85,98.9,3152838,45.93
2026-06-18,99.9,101.9,98.11,99.16,1341090,35.0
2026-06-19,99.73,101.0,96.51,98.88,2257584,21.72
2026-06-22,98.1,99.87,95.0,97.03,2162363,52.35
2026-06-23,96.45,96.82,91.05,93.0,2568316,14.65
2026-06-24,91.94,94.5,90.77,93.13,2760805,15.82
2026-06-25,92.21,94.41,87.7,89.81,2837673,11.43
2026-06-26,92.21,94.41,87.7,89.81,2837673,11.43
2026-06-29,89.0,89.0,81.55,83.27,2788549,18.1
2026-06-30,83.9,86.95,83.03,85.8,2165988,15.79
2026-07-01,86.5,90.95,86.4,89.09,2332372,5.61
2026-07-02,90.14,93.28,89.28,92.54,1908139,16.14
2026-07-03,93.88,93.88,90.91,92.06,2155802,15.99
2026-07-06,92.96,92.96,88.71,91.05,2115134,9.44
2026-07-07,90.0,93.0,88.36,91.23,2535707,7.2
2026-07-08,89.76,91.41,84.11,86.17,2363373,8.17
2026-07-09,86.8,91.0,85.5,88.54,2565078,8.76
2026-07-10,89.48,92.0,87.6,89.65,2885233,7.52
2026-07-13,88.65,89.65,86.25,87.15,2640665,8.33
2026-07-14,87.58,87.58,85.75,86.37,1577386,3.02
2026-07-15,85.5,88.72,85.5,86.56,2237930,6.73
2026-07-16,87.0,89.34,85.67,88.19,2120969,5.6
2026-07-17,88.0,89.16,85.2,85.92,2090108,9.27
2026-07-20,84.52,87.43,84.52,86.02,1981986,5.74
2026-07-21,86.66,88.0,85.22,86.59,1618553,3.46
2026-07-22,86.7,89.9,86.0,88.6,2449530,8.98
2026-07-23,88.95,93.5,86.65,90.34,2845439,15.93
2026-07-24,90.44,92.5,89.0,91.99,1809673,17.67
