DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,154.6,162.4,154.6,160.96,1854944,26.34
2025-04-15,163.75,165.9,162.1,163.6,1585028,21.77
2025-04-16,164.0,166.9,162.33,163.58,2145237,30.32
2025-04-17,164.96,170.45,164.39,168.05,3863840,17.75
2025-04-21,171.0,176.2,169.22,171.77,5907586,28.13
2025-04-22,172.94,177.0,171.12,172.45,4470690,19.0
2025-04-23,174.0,175.28,169.3,172.52,2534238,22.14
2025-04-24,172.5,178.45,170.0,170.7,3635631,22.91
2025-04-25,171.49,173.56,162.52,164.34,1838833,42.51
2025-04-28,165.0,166.87,162.01,163.48,1343955,20.21
2025-04-29,164.44,167.36,158.1,159.3,2281061,30.12
2025-04-30,159.0,159.89,156.08,158.51,1857643,33.57
2025-05-02,160.02,162.69,158.0,158.83,1336555,13.45
2025-05-05,160.0,164.25,158.12,162.64,2378490,13.63
2025-05-06,162.0,164.45,157.3,158.43,1635793,23.84
2025-05-07,155.01,160.37,154.2,158.57,976323,32.2
2025-05-08,159.75,163.49,154.0,155.42,1184009,24.95
2025-05-09,151.9,156.9,149.52,152.41,993670,30.81
2025-05-12,158.0,165.8,158.0,164.16,3399978,27.93
2025-05-13,165.0,168.9,163.0,164.28,3972698,25.15
2025-05-14,165.61,166.47,161.25,162.67,1927069,30.0
2025-05-15,165.11,167.74,163.02,164.06,1000847,37.17
2025-05-16,166.1,167.35,163.59,164.63,1453435,27.24
2025-05-19,165.8,171.79,164.89,166.73,3544694,25.11
2025-05-20,168.4,173.2,167.45,169.49,5627851,25.73
2025-05-21,170.83,175.69,168.75,172.5,2345077,34.98
2025-05-22,173.0,175.0,170.59,173.76,1329920,31.67
2025-05-23,174.0,178.0,171.83,173.4,3345080,25.45
2025-05-26,174.38,175.8,172.52,174.03,946912,43.68
2025-05-27,175.8,182.2,174.01,177.41,3863621,31.04
2025-05-28,177.1,187.9,176.25,186.31,4371336,39.79
2025-05-29,188.6,195.97,187.1,189.62,5013458,31.29
2025-05-30,190.4,190.89,181.4,184.58,2073568,36.78
2025-06-02,184.6,187.0,182.0,183.64,979528,34.98
2025-06-03,184.3,186.37,183.5,184.29,842131,33.96
2025-06-04,185.2,188.9,182.36,185.02,1254533,25.24
2025-06-05,185.7,190.4,183.42,184.06,1839317,24.72
2025-06-06,185.0,198.19,184.67,196.37,6642865,31.41
2025-06-09,199.88,204.4,196.0,196.76,4231401,42.37
2025-06-10,197.0,197.95,192.25,194.07,1484809,33.8
2025-06-11,194.9,199.2,193.77,197.48,2573820,28.11
2025-06-12,197.48,199.27,191.11,192.03,1764311,33.49
2025-06-13,186.39,193.01,185.43,191.2,1264374,37.17
