DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,42.31,45.27,42.31,44.39,609,49.59
2025-04-15,45.44,47.47,44.0,44.8,7775,59.19
2025-04-16,45.99,46.49,43.5,43.95,6695,63.2
2025-04-17,44.8,46.3,43.95,45.85,1770,47.18
2025-04-21,46.77,46.77,43.53,44.57,2673,74.22
2025-04-22,46.99,46.99,44.06,44.52,1723,75.04
2025-04-23,46.79,46.79,44.56,44.66,3431,90.15
2025-04-24,45.27,46.41,45.0,45.97,2866,65.32
2025-04-25,45.96,46.35,44.36,46.22,5582,60.86
2025-04-28,46.82,46.82,45.62,46.45,1914,58.62
2025-04-29,47.57,47.57,44.62,45.87,121,47.93
2025-04-30,46.52,46.52,44.31,44.32,543,95.21
2025-05-02,46.69,46.69,40.0,43.68,9904,49.95
2025-05-05,43.68,45.6,43.68,45.53,100,56.0
2025-05-06,44.99,45.0,43.72,44.09,1373,84.12
2025-05-07,39.68,44.67,39.68,43.74,949,55.64
2025-05-08,44.5,44.95,44.5,44.58,120,100.0
2025-05-09,42.3,47.0,40.25,41.31,48027,44.43
2025-05-12,41.32,44.15,41.32,42.96,7174,58.78
2025-05-13,44.0,44.0,41.85,42.24,7316,79.65
2025-05-14,44.93,44.93,42.4,42.68,6291,28.42
2025-05-15,42.69,44.19,42.23,43.98,6532,47.08
2025-05-16,43.98,44.73,42.8,44.12,4999,82.0
2025-05-19,44.81,44.81,44.41,44.59,5016,59.97
2025-05-20,44.74,46.4,43.66,44.62,8827,67.61
2025-05-21,46.2,46.2,44.25,45.58,3121,54.02
2025-05-22,45.5,46.75,44.67,46.34,6006,81.1
2025-05-23,46.34,46.78,45.63,46.55,1342,53.28
2025-05-26,45.68,46.65,45.0,45.33,2070,96.52
2025-05-27,45.0,47.85,45.0,46.99,6175,58.01
2025-05-28,47.3,47.99,46.23,47.86,3287,78.64
2025-05-29,47.85,48.0,47.03,47.94,2828,75.81
2025-05-30,47.94,49.49,47.75,48.64,2174,78.43
2025-06-02,48.65,50.79,47.7,50.66,3864,80.75
2025-06-03,51.2,51.39,50.06,50.19,2678,63.14
2025-06-04,50.19,52.64,49.17,51.65,4205,74.34
2025-06-05,50.1,52.9,50.1,52.15,5292,89.1
2025-06-06,50.53,62.58,50.53,62.58,76898,84.7
2025-06-09,70.0,70.99,56.43,58.73,181119,43.31
2025-06-10,59.44,60.9,57.36,57.82,29088,39.9
2025-06-11,56.66,58.99,56.66,57.8,14294,53.34
2025-06-12,58.44,58.45,55.5,55.99,5033,68.41
2025-06-13,55.99,64.6,53.12,60.81,45668,73.13
2025-06-16,66.21,72.5,66.0,67.72,839941,18.35
2025-10-06,49.51,51.0,47.5,47.78,2302,70.55
2025-10-07,48.0,48.99,47.05,47.6,1863,59.58
2025-10-08,48.05,48.9,47.6,47.86,358,85.75
2025-10-09,47.86,49.95,47.86,49.8,1005,65.57
2025-10-10,50.04,50.98,49.8,50.8,767,67.93
2025-10-13,49.4,49.99,48.1,49.2,1718,58.27
2025-10-14,48.5,48.5,47.6,47.6,71,100.0
2025-10-15,48.1,52.0,47.6,48.8,6488,42.69
2025-10-16,47.51,49.69,47.51,47.75,955,69.42
2025-10-17,49.96,51.74,48.31,51.03,2976,95.8
2025-10-20,52.0,52.2,49.0,49.65,2156,68.04
2025-10-21,51.9,54.0,50.1,53.12,1472,99.73
2025-10-22,51.9,54.0,50.1,53.12,1472,99.73
2025-10-23,51.2,58.43,50.0,58.43,84214,29.34
2025-10-24,60.01,64.27,60.01,64.27,42050,54.17
2025-10-27,66.97,66.97,61.05,61.05,36901,59.52
2025-10-28,63.6,63.6,57.99,57.99,6051,80.76
2025-10-29,56.1,57.35,55.09,55.4,10381,51.24
2025-10-30,55.1,57.89,54.79,57.52,4851,54.13
2025-10-31,58.55,58.55,55.5,56.74,2170,55.25
2025-11-03,57.9,57.9,53.9,56.79,5934,31.08
2025-11-04,56.9,56.9,54.0,54.32,3603,53.04
2025-11-05,56.9,56.9,54.0,54.32,3603,53.04
2025-11-06,54.32,56.78,54.32,56.26,2251,80.23
2025-11-07,55.0,55.9,55.0,55.0,945,98.73
2025-11-10,56.1,56.1,52.25,53.08,2038,50.88
2025-11-11,54.4,54.65,51.5,52.36,2106,72.79
2025-11-12,52.36,54.0,49.74,50.76,8812,69.51
2025-11-13,51.78,53.29,51.78,52.81,3670,86.78
2025-11-14,54.85,54.85,51.72,53.4,1800,78.94
2025-11-17,55.6,55.6,50.73,52.3,4536,77.51
2025-11-18,50.99,52.4,50.0,50.04,7817,67.51
2025-11-19,50.1,51.98,50.04,50.89,1224,60.87
2025-11-20,50.11,51.97,49.0,49.18,2859,56.73
2025-11-21,49.11,51.63,48.99,51.54,2929,82.08
2025-11-24,52.0,52.9,51.99,51.99,3313,74.31
2025-11-25,51.4,51.4,49.39,49.5,2858,71.66
2025-11-26,51.9,51.9,48.01,49.05,1822,54.77
2025-11-27,48.0,51.5,48.0,50.9,2103,96.43
2025-11-28,50.65,51.0,50.0,50.31,427,65.57
2025-12-01,51.1,51.1,49.33,49.33,1193,100.0
2025-12-02,49.33,49.33,49.32,49.33,882,100.0
2025-12-03,49.33,51.6,48.16,51.34,538,90.52
2025-12-04,49.62,50.01,48.77,49.28,1335,91.61
2025-12-05,46.83,49.88,46.83,48.18,2176,91.68
2025-12-08,47.0,49.2,45.77,45.92,6418,72.92
2025-12-09,47.48,47.48,45.03,46.85,4001,81.0
2025-12-10,46.85,47.25,45.15,45.88,973,74.51
2025-12-11,45.66,47.0,45.66,45.88,189,94.71
2025-12-12,44.96,46.6,44.96,45.49,3897,54.45
2025-12-15,45.75,47.76,45.11,47.7,2523,60.05
2025-12-16,47.7,50.08,47.7,50.08,1948,82.29
2025-12-17,52.5,52.58,50.08,50.21,6494,65.75
2025-12-18,52.5,52.5,47.7,47.7,4259,54.83
2025-12-19,49.9,49.9,46.16,47.05,1227,64.3
2025-12-22,45.51,48.98,45.51,47.23,2000,31.35
2025-12-23,48.17,49.36,47.0,47.35,283,81.27
2025-12-24,49.29,49.5,48.12,48.35,1230,81.95
2025-12-25,49.29,49.5,48.12,48.35,1230,81.95
2025-12-26,48.35,50.35,47.15,48.67,588,52.72
2025-12-29,46.75,48.34,46.75,47.41,610,84.43
2025-12-30,47.16,47.16,46.5,46.51,1470,63.54
2025-12-31,46.0,46.27,46.0,46.27,7,42.86
2026-01-01,46.31,48.5,46.31,47.7,192,58.33
2026-01-02,47.5,49.68,46.5,46.67,4304,55.39
2026-01-05,47.6,48.85,46.53,48.33,343,89.8
2026-01-06,48.39,48.39,48.34,48.35,114,99.12
2026-01-07,48.39,49.44,47.04,47.5,1802,40.34
2026-01-08,47.5,47.5,47.05,47.05,64,57.81
2026-01-12,47.06,47.06,47.05,47.05,12,50.0
2026-01-13,46.3,47.14,46.3,47.0,479,50.31
2026-01-16,45.86,46.54,45.86,45.87,3431,68.14
2026-01-19,44.0,47.88,44.0,44.9,270,40.37
2026-01-20,44.9,44.94,42.66,42.66,8501,93.53
2026-01-21,42.66,43.0,42.66,42.66,361,100.0
2026-01-22,42.7,43.0,42.0,42.58,110,100.0
2026-01-23,42.58,43.0,42.58,43.0,32,100.0
2026-01-26,42.58,43.0,42.58,43.0,32,100.0
2026-01-27,44.95,44.95,43.88,43.88,39,100.0
2026-01-28,43.0,43.88,43.0,43.0,323,94.74
2026-01-29,43.5,43.5,43.5,43.5,2,100.0
2026-01-30,41.34,42.99,41.34,41.99,3140,90.16
2026-02-02,42.0,42.0,40.18,41.33,843,100.0
2026-02-03,41.6,42.95,41.6,42.94,2226,86.52
2026-02-04,44.65,44.65,44.43,44.5,2171,99.95
2026-02-05,45.9,45.9,44.5,44.5,8,100.0
2026-02-06,44.45,44.5,44.45,44.45,673,100.0
2026-02-09,44.32,45.0,41.99,42.59,2183,60.93
2026-02-10,42.52,43.0,42.52,43.0,21,100.0
2026-02-11,44.0,44.0,43.1,43.9,657,99.7
2026-02-12,43.9,44.9,43.9,44.11,113,100.0
2026-02-13,44.11,44.11,39.71,41.38,3194,69.79
2026-02-16,42.1,42.99,41.1,42.71,1397,77.67
2026-02-17,42.71,44.0,42.71,43.0,1288,93.56
2026-02-18,43.21,44.49,40.5,40.68,136,99.26
2026-02-19,43.6,44.2,41.05,42.38,2341,63.05
2026-02-20,43.45,43.45,41.1,42.22,603,59.2
2026-02-23,41.16,42.5,40.02,41.39,1156,66.26
2026-02-24,41.4,42.85,40.05,40.49,1908,46.96
2026-02-25,37.6,43.0,37.6,40.69,838,29.0
2026-02-26,40.71,42.85,38.0,40.0,52854,98.69
2026-02-27,39.0,41.85,39.0,40.46,2314,32.54
2026-03-02,36.7,41.8,36.7,39.48,90,54.44
2026-03-03,36.7,41.8,36.7,39.48,90,54.44
2026-03-04,39.0,40.45,38.25,39.0,611,89.36
2026-03-05,39.21,40.3,39.0,39.12,355,85.07
2026-03-06,40.19,41.0,39.5,39.66,746,89.01
2026-03-09,40.45,40.45,35.7,36.69,12589,74.43
2026-03-10,37.42,37.98,35.24,36.11,2136,83.29
2026-03-11,37.0,37.49,36.11,36.95,910,100.0
2026-03-12,36.0,37.5,35.5,36.46,303,83.17
2026-03-13,35.61,36.27,35.61,35.61,248,53.63
2026-03-16,35.61,37.87,35.61,35.74,263,99.62
2026-03-17,34.3,37.95,34.3,37.85,69,100.0
2026-03-18,37.0,37.85,35.25,37.13,743,83.58
2026-03-19,37.13,37.13,33.45,34.92,242,91.32
2026-03-20,35.0,35.0,34.15,34.29,972,90.53
2026-03-23,34.27,34.27,34.27,34.27,500,100.0
2026-03-24,34.27,35.5,34.27,35.43,268,94.03
2026-03-25,35.4,35.4,32.01,33.43,5797,51.34
2026-03-26,35.4,35.4,32.01,33.43,5797,51.34
