DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,330.0,335.0,320.0,333.1,397541,40.53
2025-04-15,339.0,345.1,333.0,342.55,400632,53.71
2025-04-16,341.6,367.2,339.7,362.95,861746,42.65
2025-04-17,364.0,375.0,362.3,370.05,559603,42.36
2025-04-21,371.95,384.0,368.0,380.35,355176,45.93
2025-04-22,380.9,392.2,372.7,390.1,575166,52.57
2025-04-23,394.0,394.0,384.0,388.15,309464,38.5
2025-04-24,388.7,393.9,382.2,391.15,439477,53.06
2025-04-25,391.95,395.6,378.65,387.75,675991,46.1
2025-04-28,390.6,391.6,379.2,381.2,208508,39.5
2025-04-29,380.0,385.35,378.5,380.75,190441,42.26
2025-04-30,379.0,379.0,357.8,363.8,690289,55.59
2025-05-02,362.1,365.15,356.15,360.45,267287,52.51
2025-05-05,362.45,371.7,356.95,364.45,300155,45.14
2025-05-06,363.2,371.3,360.0,365.2,281398,43.75
2025-05-07,366.65,387.0,366.65,375.65,979499,22.34
2025-05-08,381.15,388.6,372.9,382.05,1095468,52.18
2025-05-09,366.1,376.0,366.1,371.2,362769,47.54
2025-05-12,384.0,388.0,375.0,385.15,436246,57.42
2025-05-13,388.0,398.0,380.0,392.05,868521,60.97
2025-05-14,394.95,402.0,388.0,399.0,688265,61.92
2025-05-15,399.0,404.0,374.0,380.55,2316797,42.27
2025-05-16,384.75,385.8,374.8,378.95,1670685,77.34
2025-05-19,381.9,401.8,381.35,389.7,1234200,45.37
2025-05-20,390.9,395.5,381.2,383.8,406772,46.56
2025-05-21,383.8,387.85,377.4,379.7,420564,56.74
2025-05-22,381.55,383.9,372.1,374.75,248533,41.29
2025-05-23,376.85,376.9,365.5,366.15,384595,62.09
2025-05-26,367.0,369.85,350.5,354.6,768119,54.16
2025-05-27,355.3,365.4,355.3,363.2,554910,62.68
2025-05-28,364.95,364.95,359.05,363.5,220825,48.1
2025-05-29,365.0,366.8,359.0,361.75,214658,49.82
2025-05-30,361.0,363.25,356.75,357.9,221206,52.09
2025-06-02,354.25,357.95,350.05,350.65,289616,58.43
2025-06-03,349.55,354.35,347.05,348.85,278622,39.54
2025-06-04,348.95,364.0,348.0,353.15,743486,31.98
2025-06-05,354.6,356.8,349.05,350.3,183978,49.46
2025-06-06,350.5,358.4,347.55,356.6,305390,48.46
2025-06-09,358.4,365.55,356.6,358.8,470165,61.5
2025-06-10,360.25,370.5,359.2,367.15,470431,62.8
2025-06-11,367.8,369.45,360.0,362.85,227058,57.5
2025-06-12,363.95,365.7,351.65,353.05,274214,52.58
2025-06-13,347.5,354.7,347.05,351.9,305104,43.3
2025-06-16,352.9,356.0,343.2,346.65,489645,62.79
2025-06-17,348.5,351.7,345.9,346.55,222755,53.53
2025-06-18,345.9,347.2,337.3,338.15,318734,53.23
2025-06-19,336.15,341.85,335.5,340.15,263407,48.42
2025-06-20,338.0,352.3,331.05,349.7,748248,57.85
2025-06-23,346.0,355.6,341.3,354.55,290747,44.12
2025-06-24,356.9,358.45,349.45,350.35,422003,60.33
2025-06-25,351.15,355.1,346.6,354.65,291012,53.18
2025-06-26,361.45,362.75,352.65,353.55,267105,50.29
2025-06-27,354.0,358.8,352.5,354.7,200919,40.92
2025-06-30,354.7,356.45,349.2,352.8,224894,57.95
2025-07-01,352.8,353.45,347.15,351.0,258011,46.86
2025-07-02,350.5,353.9,348.05,350.05,169655,51.37
2025-07-03,350.0,353.25,347.45,348.5,180387,57.43
2025-07-04,347.05,353.0,347.05,349.95,167238,48.7
2025-07-07,350.95,351.6,344.5,346.45,296873,82.9
2025-07-08,353.0,356.8,340.15,347.2,1485755,34.64
2025-07-09,346.9,350.2,343.25,344.1,215587,48.39
2025-07-10,344.0,346.55,341.1,343.35,143550,48.05
2025-07-11,342.0,343.7,335.75,336.25,189883,54.85
2025-07-14,336.0,339.0,332.5,338.6,138687,46.29
2025-07-15,337.15,343.25,335.55,341.25,245917,48.4
2025-07-16,340.05,345.1,338.4,344.05,241037,54.55
2025-07-17,342.75,348.75,342.0,346.7,152924,50.45
2025-07-18,347.0,347.95,340.35,342.1,120005,51.27
2025-07-21,340.7,342.5,339.15,341.05,111884,44.07
2025-07-22,341.0,345.0,337.75,338.65,118057,50.71
2025-07-23,338.4,340.25,334.55,336.65,178134,44.99
2025-07-24,337.8,349.3,337.05,340.5,456309,40.83
2025-07-25,343.6,347.9,332.8,336.05,481638,37.09
2025-07-28,334.5,336.4,328.65,335.3,419744,56.46
2025-07-29,341.8,352.95,327.0,331.5,1636710,22.96
2025-07-30,332.3,333.7,324.4,330.95,713285,50.36
2025-07-31,320.0,324.7,314.4,316.05,522489,44.51
2025-08-01,316.05,319.0,309.2,315.55,468087,44.02
2025-08-04,317.85,318.95,313.0,315.9,258599,62.96
2025-08-05,317.8,320.4,310.65,313.7,433421,52.92
2025-08-06,316.45,316.45,303.0,309.1,342291,42.83
2025-08-07,304.45,307.2,296.7,301.5,546550,46.21
2025-08-08,300.2,306.55,295.85,298.8,867607,57.71
2025-08-11,296.85,298.8,292.75,296.05,299561,47.16
2025-08-12,296.0,299.35,292.0,292.65,347685,42.44
2025-08-13,293.8,296.45,290.1,291.65,186042,40.88
2025-08-14,291.0,292.95,286.05,287.05,136999,41.25
2025-08-18,291.2,298.0,290.4,293.25,230124,38.76
2025-08-19,293.7,306.0,293.25,304.85,328275,41.03
2025-08-20,305.85,310.9,304.4,305.35,243601,42.99
2025-08-21,305.35,307.65,300.0,301.55,304315,64.87
2025-08-22,300.9,303.1,293.1,294.05,148431,50.29
2025-08-25,296.0,296.65,291.6,292.55,153162,40.73
2025-08-26,291.8,291.8,281.75,283.0,422448,61.4
2025-08-28,279.95,285.95,274.8,284.65,489080,23.53
2025-08-29,283.0,287.35,280.05,280.85,179480,34.85
2025-09-01,283.65,286.5,278.95,285.6,432063,47.41
2025-09-02,289.0,295.15,285.85,288.85,340964,35.96
2025-09-03,291.0,291.95,285.0,289.9,249827,43.27
2025-09-04,294.0,296.0,288.05,294.45,267357,55.35
2025-09-05,295.4,295.5,288.0,289.0,181223,43.83
2025-09-08,288.95,296.9,287.4,295.55,189737,47.31
2025-09-09,295.65,301.0,293.1,298.95,214777,43.84
2025-09-10,306.0,313.9,302.05,312.65,672870,47.34
2025-09-11,311.5,340.6,310.35,335.85,1435321,34.39
2025-09-12,332.05,335.65,323.35,326.8,453332,32.83
2025-09-15,326.8,330.0,322.2,327.35,194544,39.67
2025-09-16,326.0,333.85,322.1,323.8,298313,46.38
2025-09-17,326.4,339.6,326.35,335.2,439953,38.66
2025-09-18,336.0,336.7,326.15,327.55,228194,50.41
2025-09-19,327.0,327.25,316.65,319.5,509934,60.23
2025-09-22,319.45,323.95,314.0,315.85,212657,45.17
2025-09-23,314.15,316.8,308.35,315.05,220627,41.96
2025-09-24,315.0,319.0,310.0,316.95,197628,34.42
2025-09-25,316.95,319.8,311.3,314.55,222426,37.12
2025-09-26,311.4,315.8,305.0,306.15,184784,34.58
2025-09-29,306.65,308.8,300.65,301.65,150441,47.46
2025-09-30,300.4,305.0,299.7,303.85,135407,31.19
2025-10-01,302.35,307.95,296.1,297.9,610910,54.22
2025-10-03,297.15,301.3,297.15,300.35,123843,49.65
2025-10-06,300.35,300.7,292.3,294.15,171807,42.54
2025-10-07,294.2,298.7,294.0,297.1,101127,39.47
2025-10-08,296.65,296.7,287.0,287.9,328538,53.74
2025-10-09,288.0,288.95,285.05,286.35,286213,56.69
2025-10-10,287.0,287.1,278.9,279.6,525576,62.89
2025-10-13,280.2,292.9,277.9,284.8,645598,43.37
2025-10-14,287.1,288.7,281.05,286.25,779006,68.99
2025-10-15,287.0,301.0,284.5,297.15,453450,50.18
2025-10-16,299.55,311.0,295.0,308.65,494276,46.56
2025-10-17,308.65,309.7,301.15,307.5,226688,42.84
2025-10-20,308.0,308.0,302.1,307.4,148585,35.94
2025-10-21,307.4,309.25,305.55,306.95,29957,63.37
2025-10-22,307.4,309.25,305.55,306.95,29957,63.37
2025-10-23,314.05,333.0,312.85,321.85,1541362,32.65
2025-10-24,320.0,325.5,315.35,323.2,426209,35.12
2025-10-27,323.2,327.6,316.35,326.15,279673,50.5
2025-10-28,326.15,326.15,321.0,322.2,149808,52.93
2025-10-29,325.0,330.15,321.6,327.4,195055,36.46
2025-10-30,327.0,327.05,320.2,322.55,158014,45.13
2025-10-31,321.05,324.45,316.1,318.8,162476,48.42
2025-11-03,317.25,324.2,317.25,320.1,129777,50.33
2025-11-04,320.0,323.2,315.0,316.45,638255,85.91
2025-11-05,320.0,323.2,315.0,316.45,638255,85.91
2025-11-06,317.4,319.85,308.4,309.95,259812,56.71
2025-11-07,308.7,333.0,299.2,328.3,3334495,16.82
2025-11-10,333.1,340.0,320.7,331.35,656334,28.23
2025-11-11,332.0,333.3,320.0,325.1,793900,59.29
2025-11-12,325.8,333.9,325.8,332.55,336967,46.18
2025-11-13,333.2,349.9,331.1,344.2,972054,42.55
2025-11-14,344.0,347.4,335.0,336.4,317680,43.08
2025-11-17,337.9,340.95,334.35,335.05,238479,45.69
2025-11-18,336.0,347.9,331.6,346.35,768444,53.85
2025-11-19,352.5,358.0,345.2,356.95,1257929,37.61
2025-11-20,359.0,360.0,353.1,358.5,542096,47.19
2025-11-21,355.0,355.9,347.05,347.9,260239,48.17
2025-11-24,348.0,361.0,346.4,359.5,563320,55.86
2025-11-25,361.0,362.0,353.65,357.05,238622,49.13
2025-11-26,357.05,361.6,353.6,359.9,285274,56.42
2025-11-27,361.0,362.9,350.15,355.95,927426,85.06
2025-11-28,355.5,356.9,350.7,352.5,361609,77.05
2025-12-01,352.95,354.9,341.8,345.45,221778,45.53
2025-12-02,344.5,348.3,339.15,341.4,284886,45.89
2025-12-03,341.0,344.0,338.8,342.35,337669,69.81
2025-12-04,341.0,344.25,337.4,337.9,160287,47.36
2025-12-05,337.95,338.95,327.35,331.8,238929,47.45
2025-12-08,333.45,333.45,318.25,324.35,254093,47.95
2025-12-09,324.35,329.4,316.75,327.25,233490,45.21
2025-12-10,329.0,332.2,322.2,323.55,217622,46.13
2025-12-11,323.95,328.0,321.05,325.25,114777,44.56
2025-12-12,326.0,327.05,315.15,318.15,516963,45.13
2025-12-15,318.15,325.7,316.2,322.0,254159,46.24
2025-12-16,322.0,323.0,313.75,317.5,348494,52.93
2025-12-17,317.0,319.4,313.45,315.05,101194,45.67
2025-12-18,314.0,315.0,307.95,308.85,160893,41.89
2025-12-19,311.65,322.0,310.65,319.7,398353,50.68
2025-12-22,321.9,321.9,316.0,319.95,292415,41.52
2025-12-23,321.15,322.05,316.5,317.85,144759,43.08
2025-12-24,317.8,318.95,313.0,313.9,245529,51.11
2025-12-25,317.8,318.95,313.0,313.9,245529,51.11
2025-12-26,316.95,316.95,309.25,310.5,246771,51.92
2025-12-29,309.1,311.35,306.85,308.75,174831,51.75
2025-12-30,307.5,317.15,306.05,312.85,268736,45.55
2025-12-31,312.2,318.3,312.0,317.05,280163,62.61
2026-01-01,316.4,319.9,315.8,318.65,86972,48.24
2026-01-02,318.15,320.25,316.5,318.35,108491,50.6
2026-01-05,319.0,320.95,315.75,317.75,197822,57.54
2026-01-06,317.1,317.7,310.0,311.5,174000,54.16
2026-01-07,310.0,315.45,308.4,309.8,156342,52.16
2026-01-08,310.0,317.9,298.3,300.35,548778,44.93
2026-01-09,299.0,302.0,290.8,296.0,400841,47.21
2026-01-12,296.7,299.3,286.0,292.85,232009,40.43
2026-01-13,295.8,303.4,290.4,301.65,306145,39.14
2026-01-14,300.1,305.9,297.15,305.05,147559,47.06
2026-01-15,300.1,305.9,297.15,305.05,147559,47.06
2026-01-16,305.0,306.6,295.3,298.6,124441,45.84
2026-01-19,296.0,299.0,292.2,294.35,141363,46.32
2026-01-20,294.1,298.1,291.35,292.65,375874,68.46
2026-01-21,290.0,308.2,289.35,306.6,494648,39.11
2026-01-22,310.0,312.8,300.6,302.4,362075,40.42
2026-01-23,305.15,306.0,295.05,298.15,613273,75.66
2026-01-26,305.15,306.0,295.05,298.15,613273,75.66
2026-01-27,304.8,313.85,296.65,298.65,1174231,48.25
2026-01-28,308.75,314.5,295.7,298.05,1108881,49.07
2026-01-29,300.9,301.9,292.3,297.25,406493,46.13
2026-01-30,297.05,321.2,294.4,312.35,2455366,26.84
2026-02-02,333.0,333.7,318.95,326.4,497796,35.56
2026-02-03,384.0,389.0,354.15,359.45,3922837,33.2
2026-02-04,360.9,378.0,352.15,371.65,1484462,27.49
2026-02-05,369.95,379.1,366.35,374.65,1007261,33.18
2026-02-06,370.15,381.7,362.75,368.15,959934,42.96
2026-02-09,370.7,393.9,370.7,387.6,1687420,44.83
2026-02-10,382.0,382.0,365.0,368.7,1289152,42.16
2026-02-11,365.45,370.05,356.3,359.0,656425,43.34
2026-02-12,359.0,371.5,356.05,366.15,809483,36.38
