DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,336.05,349.95,321.65,337.45,20645,47.39
2025-04-15,342.0,362.95,342.0,348.3,14400,59.15
2025-04-16,341.3,359.8,341.3,352.35,8476,51.43
2025-04-17,349.0,382.6,349.0,365.25,22629,57.96
2025-04-21,365.0,375.0,357.0,362.35,13767,58.63
2025-04-22,365.35,376.45,361.6,372.4,10415,53.13
2025-04-23,376.45,384.0,370.0,373.6,11419,49.81
2025-04-24,376.4,379.05,359.95,364.75,13887,67.16
2025-04-25,363.4,368.95,348.1,352.2,23701,82.49
2025-04-28,350.35,353.7,345.5,346.7,4891,77.55
2025-04-29,350.7,350.7,340.1,341.5,5088,75.43
2025-04-30,346.25,346.25,338.0,341.85,5376,65.55
2025-05-02,344.6,367.85,342.6,361.4,11717,56.21
2025-05-05,360.0,378.85,357.35,374.55,12503,62.64
2025-05-06,378.8,378.8,355.0,357.0,6875,62.53
2025-05-07,356.55,386.6,350.0,373.4,9039,47.11
2025-05-08,365.05,428.9,365.05,402.4,383302,27.15
2025-05-09,400.1,434.0,388.35,428.6,154785,45.58
2025-05-12,433.0,491.95,432.95,469.4,251181,27.88
2025-05-13,465.55,477.95,450.2,464.05,197730,54.59
2025-05-14,461.0,464.35,434.55,452.85,89631,55.32
2025-08-18,325.9,328.7,290.0,298.5,33435,54.83
2025-08-19,300.75,308.9,293.2,300.9,16556,61.05
2025-08-20,302.8,319.5,299.05,313.9,23237,77.56
2025-08-21,312.2,319.0,310.45,317.6,8376,74.56
2025-08-22,322.3,322.3,305.0,307.45,9045,78.01
2025-08-25,307.0,309.9,302.05,303.2,8166,81.1
2025-08-26,304.25,304.85,297.0,299.25,4235,58.77
2025-08-28,292.5,299.85,290.1,290.65,8458,74.78
2025-08-29,290.0,300.5,289.15,299.65,3198,65.95
2025-09-01,301.2,309.9,299.7,303.55,9033,82.95
2025-09-02,301.2,312.8,301.2,310.0,4112,70.72
2025-09-03,307.25,313.5,307.25,309.25,4042,81.57
2025-09-04,310.0,313.45,289.05,291.0,38546,74.16
2025-09-05,294.0,299.8,294.0,295.45,4392,80.85
2025-09-08,295.0,295.45,286.5,290.15,13612,86.23
2025-09-09,291.3,292.4,284.25,286.4,8331,74.53
2025-09-10,284.2,293.25,283.0,287.45,11461,68.49
2025-09-11,291.0,292.0,285.0,286.45,21380,87.62
2025-09-12,290.75,293.35,284.9,287.05,23889,87.49
2025-09-15,289.0,289.4,273.95,280.25,38607,61.89
2025-09-16,284.45,296.5,282.55,287.1,11599,59.26
2025-09-17,286.0,291.4,280.1,281.6,13665,78.55
2025-09-18,285.8,293.45,282.05,282.5,10945,68.66
2025-09-19,286.75,286.75,282.5,283.35,4874,90.56
2025-09-22,281.0,291.5,280.05,284.1,9523,51.71
2025-09-23,286.4,289.85,284.05,288.05,5864,69.95
2025-09-24,282.2,294.25,281.05,283.6,9616,81.85
2025-09-25,284.55,289.0,279.15,285.8,14612,50.96
2025-09-26,289.95,289.95,281.25,286.55,5848,69.61
2025-09-29,286.55,290.6,275.25,277.85,10871,55.61
2025-09-30,281.1,281.1,275.25,277.55,3301,49.47
2025-10-01,279.85,280.3,275.25,276.55,3766,69.38
2025-10-03,278.8,285.35,277.0,281.65,3907,45.41
2025-10-06,282.0,305.0,279.2,299.8,57536,37.64
2025-10-07,302.8,302.8,288.2,289.9,7555,71.44
2025-10-08,290.05,290.05,283.55,285.9,5248,67.53
2025-10-09,290.0,290.0,285.25,285.8,2678,81.37
2025-10-10,287.45,289.45,278.0,279.0,11781,82.82
2025-10-13,282.9,282.9,268.4,269.65,17717,80.41
2025-10-14,270.5,272.0,260.0,261.4,14696,80.31
2025-10-15,265.25,278.0,265.25,274.55,10424,70.73
2025-10-16,278.7,284.3,271.3,273.9,14475,70.12
2025-10-17,277.6,284.2,268.0,269.75,21657,64.39
2025-10-20,266.2,282.0,266.2,276.7,11585,48.58
2025-10-21,271.0,283.0,271.0,282.3,4749,87.11
2025-10-22,271.0,283.0,271.0,282.3,4749,87.11
2025-10-23,286.5,286.5,274.0,275.8,12439,71.34
2025-10-24,275.8,282.95,273.0,275.65,7862,63.28
2025-10-27,275.85,281.95,275.85,279.1,4451,69.67
2025-10-28,281.7,286.5,274.2,285.1,13348,71.38
2025-10-29,285.3,293.75,282.6,288.65,29689,84.86
2025-10-30,291.95,291.95,281.35,284.55,8272,83.09
2025-10-31,285.7,288.25,272.25,275.55,8687,63.64
2025-11-03,277.05,284.8,277.05,283.45,8911,66.93
2025-11-04,284.9,285.25,277.2,278.6,7125,64.07
2025-11-05,284.9,285.25,277.2,278.6,7125,64.07
2025-11-06,278.0,278.0,270.05,272.2,6777,73.69
2025-11-07,273.7,273.7,268.65,271.25,2716,66.75
2025-11-10,275.0,275.0,263.25,265.5,7684,64.17
2025-11-11,266.7,268.0,245.5,254.5,27161,52.61
2025-11-12,256.9,271.95,255.0,262.25,29792,64.76
2025-11-13,262.75,262.75,256.2,260.25,9791,79.74
2025-11-14,263.0,265.95,261.1,264.65,4973,83.11
2025-11-17,264.65,265.5,259.0,262.6,16693,82.68
2025-11-18,257.7,263.3,257.7,258.65,12182,85.52
2025-11-19,260.7,260.7,257.0,257.1,4528,86.17
2025-11-20,258.5,264.0,256.2,260.0,4888,67.88
2025-11-21,260.85,261.95,256.55,258.2,2145,86.53
2025-11-24,269.0,269.0,247.4,249.05,4475,60.96
2025-11-25,246.0,249.05,243.95,247.0,6345,79.64
2025-11-26,255.95,263.0,249.65,254.5,11757,75.02
2025-11-27,259.45,259.45,252.5,258.3,8447,80.41
2025-11-28,260.75,268.0,253.4,265.35,8072,74.23
2025-12-01,267.9,267.9,257.55,258.1,2663,69.51
2025-12-02,265.35,265.35,254.0,257.55,5428,71.83
2025-12-03,262.05,262.05,255.6,256.85,2202,70.48
2025-12-04,260.7,260.7,255.1,255.8,1156,75.78
2025-12-05,253.05,257.0,252.0,255.75,1058,71.46
2025-12-08,256.0,257.9,246.2,248.35,5801,85.4
2025-12-09,245.4,252.45,245.4,246.55,6797,89.91
2025-12-10,248.45,249.0,245.6,246.15,2139,76.62
2025-12-11,246.95,250.0,244.0,247.0,4845,80.93
2025-12-12,247.05,252.0,247.0,250.8,5824,86.37
2025-12-15,268.0,268.0,255.0,259.8,6559,76.11
2025-12-16,260.65,311.75,257.45,311.75,183979,48.23
2025-12-17,332.95,338.6,285.95,289.55,288080,32.26
2025-12-18,292.95,297.5,275.0,283.3,35742,51.02
2025-12-19,278.2,293.2,274.7,284.15,28620,50.14
2025-12-22,284.2,299.0,266.0,271.35,60579,61.82
2025-12-23,272.0,277.15,267.05,269.4,13814,68.68
2025-12-24,270.0,274.0,270.0,272.8,5142,72.5
2025-12-25,270.0,274.0,270.0,272.8,5142,72.5
2025-12-26,272.8,285.0,270.0,270.7,10515,71.06
2025-12-29,270.7,272.45,261.2,264.1,11867,68.25
2025-12-30,269.0,269.0,255.4,256.15,14571,57.72
2025-12-31,260.0,270.95,259.05,266.5,10539,49.31
2026-01-01,269.3,272.65,260.05,262.2,8046,63.61
2026-01-02,260.5,268.1,259.0,260.95,7079,61.99
2026-01-05,265.85,265.9,258.0,260.1,4328,71.65
2026-01-06,264.8,266.05,255.85,260.0,6096,81.14
2026-01-07,259.95,266.95,252.0,253.55,24069,64.58
2026-01-08,257.95,257.95,251.0,252.0,6362,55.27
2026-01-09,251.2,252.6,243.15,244.65,6345,67.66
2026-01-12,241.0,246.35,235.0,239.65,5466,61.91
2026-01-13,240.1,243.9,240.1,241.95,5933,85.88
2026-01-14,241.85,242.0,235.0,239.3,7849,64.96
2026-01-15,241.85,242.0,235.0,239.3,7849,64.96
2026-01-16,241.95,246.6,239.4,241.15,5510,66.15
2026-01-19,240.5,240.5,231.5,234.55,8282,62.85
2026-01-20,241.8,241.8,231.8,232.4,5028,78.82
2026-01-21,241.95,241.95,220.0,222.85,14921,69.35
2026-01-22,228.0,235.5,225.65,231.6,3229,51.1
2026-01-23,233.3,239.6,226.45,235.55,5000,71.5
2026-01-26,233.3,239.6,226.45,235.55,5000,71.5
2026-01-27,230.85,234.2,223.65,226.9,7283,69.89
2026-01-28,228.2,234.65,228.2,229.35,3673,60.82
2026-01-29,236.95,236.95,218.55,220.25,13101,64.48
2026-01-30,222.15,225.0,216.35,223.95,7699,63.92
2026-02-02,225.99,225.99,212.2,213.96,9437,82.37
2026-02-03,234.99,234.99,223.4,224.46,13467,70.92
2026-02-04,225.9,239.14,225.66,234.28,10737,48.64
2026-02-05,237.0,238.45,228.25,233.84,19626,35.51
2026-02-06,231.0,236.35,225.0,226.11,13917,44.54
2026-02-09,226.0,237.85,224.6,230.67,22463,39.3
2026-02-10,237.99,240.99,235.1,238.37,8447,56.08
2026-02-11,236.01,237.89,230.36,232.92,13719,52.13
2026-02-12,234.52,235.25,231.12,233.65,4541,67.85
2026-02-13,233.7,237.25,221.1,226.74,14265,62.66
2026-02-16,229.31,229.31,221.3,224.81,6831,50.78
2026-02-17,232.0,232.0,223.0,224.8,2482,46.41
2026-02-18,224.0,231.98,221.21,222.48,5437,49.84
2026-02-19,225.6,225.6,220.0,221.31,2458,70.02
2026-02-20,222.88,223.98,217.3,219.33,2713,76.93
2026-02-23,219.33,229.0,216.81,224.61,7160,68.55
2026-02-24,216.02,222.74,211.22,214.62,12302,57.79
2026-02-25,216.9,218.04,207.0,210.57,3818,76.79
2026-02-26,215.79,216.0,209.24,215.23,5118,59.32
2026-02-27,218.6,228.48,211.13,224.61,9488,75.99
2026-03-02,219.85,224.0,213.98,219.84,23480,86.29
2026-03-03,219.85,224.0,213.98,219.84,23480,86.29
2026-03-04,219.01,219.01,215.51,218.24,6706,70.4
2026-03-05,217.89,229.92,215.97,225.28,14470,66.5
2026-03-06,227.53,227.53,219.1,219.99,17502,89.75
2026-03-09,220.0,220.0,211.0,214.72,20220,79.55
2026-03-10,216.4,220.52,214.04,214.64,10845,36.04
2026-03-11,214.64,219.0,195.0,196.05,55409,73.74
2026-03-12,195.9,195.9,188.1,188.74,58468,73.95
2026-03-13,190.0,190.0,179.64,182.78,32915,73.65
2026-03-16,183.0,189.75,181.0,187.28,38632,68.31
2026-03-17,189.46,193.0,185.11,190.75,23335,62.11
