DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,274.25,276.7,262.7,265.05,132697,41.62
2025-04-15,270.0,276.0,268.0,270.15,142742,47.09
2025-04-16,272.6,274.75,267.8,270.7,98861,56.38
2025-04-17,272.0,277.9,268.15,270.15,90748,50.43
2025-04-21,269.5,273.0,261.25,262.6,182587,59.06
2025-04-22,265.3,269.95,263.5,264.85,82975,42.02
2025-04-23,266.4,270.8,261.25,263.85,123926,53.05
2025-04-24,264.0,271.0,264.0,265.75,109619,47.16
2025-04-25,266.45,271.4,260.0,262.1,120299,52.38
2025-04-28,262.1,269.85,260.0,261.75,103053,45.0
2025-04-29,263.8,273.2,262.65,269.45,138672,44.2
2025-04-30,270.0,273.2,265.5,267.05,75004,55.3
2025-05-02,268.0,273.05,264.0,264.95,66102,53.67
2025-05-05,266.5,270.85,266.5,269.65,37409,52.86
2025-05-06,269.65,273.25,265.5,267.1,65335,50.62
2025-05-07,265.0,270.55,254.55,258.7,218035,63.83
2025-05-08,260.3,265.55,250.3,251.8,148919,54.22
2025-05-09,252.9,267.0,247.8,264.9,198899,42.82
2025-05-12,266.95,271.8,265.65,268.35,96653,43.3
2025-05-13,269.9,275.0,267.0,268.55,79135,49.87
2025-05-14,268.55,281.9,268.55,279.2,91455,57.2
2025-05-15,282.8,282.8,274.5,276.0,44392,64.81
2025-05-16,277.7,286.3,276.85,284.6,70338,50.55
2025-05-19,285.15,291.65,282.55,285.15,53028,52.47
2025-05-20,287.1,292.2,282.55,290.55,71519,53.35
2025-05-21,288.05,299.9,284.5,297.95,105210,57.72
2025-05-22,298.2,301.0,293.4,298.5,74865,52.01
2025-05-23,295.2,304.95,295.2,300.35,75095,46.81
2025-05-26,303.0,303.0,297.0,299.55,53295,67.09
2025-05-27,300.9,302.2,294.45,301.25,39221,60.29
2025-05-28,296.0,307.9,295.25,304.5,45579,48.49
2025-05-29,308.4,314.65,304.65,311.2,72610,50.34
2025-05-30,310.0,325.0,307.8,321.4,112071,46.1
2025-06-02,307.55,321.8,307.15,313.2,107867,58.17
2025-06-03,317.6,323.55,311.6,315.1,57631,48.64
2025-06-04,315.1,323.5,312.8,320.1,33919,53.71
2025-06-05,322.5,328.75,318.0,324.4,51375,57.03
2025-06-06,327.7,336.55,323.7,334.25,90684,49.6
2025-06-09,339.25,354.9,335.9,352.4,158635,51.12
2025-06-10,354.9,360.0,350.0,356.55,99333,58.59
2025-06-11,358.25,359.95,347.65,357.5,67029,53.89
2025-06-12,357.5,360.45,352.7,354.25,93293,63.16
2025-06-13,350.0,356.0,344.95,352.55,53423,58.6
2025-06-16,352.55,376.15,344.2,363.15,117031,40.49
2025-06-17,365.0,367.95,347.4,352.05,53139,43.02
2025-06-18,348.55,357.7,348.55,350.4,40570,49.08
2025-06-19,353.5,358.7,340.6,341.9,66300,48.66
2025-06-20,344.65,353.7,341.5,344.4,79372,48.55
2025-06-23,339.95,347.15,334.25,343.1,60280,53.13
2025-06-24,347.4,355.8,341.9,343.9,59823,40.73
2025-06-25,337.45,351.75,335.45,349.85,153790,46.79
2025-06-26,349.85,354.45,343.35,346.45,123369,59.84
2025-06-27,349.8,353.75,347.75,349.75,56858,65.56
2025-06-30,352.0,352.8,343.75,345.65,62015,70.11
2025-07-01,347.9,352.25,345.6,349.1,34032,58.49
2025-07-02,352.3,355.0,344.75,347.6,49373,51.32
2025-07-03,347.6,349.05,336.85,339.2,55038,59.81
2025-07-04,342.6,343.8,336.95,340.6,37252,55.08
2025-07-07,343.9,344.8,335.25,337.15,25189,61.41
2025-07-08,338.5,342.25,332.0,337.8,32924,59.49
2025-07-09,337.8,339.45,330.2,332.2,27649,56.53
2025-07-10,335.3,335.9,328.05,330.8,24727,53.32
2025-07-11,333.8,335.0,327.1,331.2,28748,61.95
2025-07-14,335.0,348.7,328.1,332.1,232870,17.26
2025-07-15,331.0,340.6,329.9,334.55,47544,40.49
2025-07-16,334.2,337.35,332.45,333.9,20375,47.3
2025-07-17,336.25,338.15,328.6,330.0,36946,56.98
2025-07-18,332.9,332.9,326.6,329.0,19613,56.9
2025-07-21,329.0,330.05,323.25,325.5,23524,62.63
2025-07-22,328.75,329.55,323.15,324.75,17235,59.15
2025-07-23,323.95,333.7,321.4,328.25,51685,37.05
2025-07-24,328.9,331.85,320.0,325.0,39480,56.27
2025-07-25,324.8,324.8,314.3,316.4,29646,57.61
2025-07-28,319.0,324.2,313.0,314.1,30842,43.23
2025-07-29,318.8,318.8,309.45,316.9,28533,42.58
2025-07-30,314.95,321.55,314.95,320.05,14127,61.81
2025-07-31,313.0,322.9,313.0,316.4,29226,61.72
2025-08-01,316.0,328.4,315.45,323.05,36605,56.49
2025-08-04,329.0,330.0,315.65,319.45,37089,51.43
2025-08-05,318.0,319.85,315.55,316.9,21918,70.35
2025-08-06,320.1,328.8,314.6,317.2,21335,39.0
2025-08-07,317.9,317.9,306.4,310.3,35034,68.56
2025-08-08,311.95,315.8,310.0,313.25,23693,48.52
2025-08-11,308.0,316.1,301.5,306.9,32721,36.5
2025-08-12,306.0,316.0,306.0,311.2,27974,52.29
2025-08-13,315.9,323.55,308.0,309.55,38887,39.21
2025-08-14,314.15,319.7,310.35,315.95,31864,56.5
2025-08-18,318.2,321.0,301.35,302.6,105958,53.65
2025-08-19,305.0,311.4,301.0,305.15,44243,54.8
2025-08-20,305.15,310.95,305.15,307.9,23631,55.0
2025-08-21,309.9,313.65,307.95,312.8,25772,60.87
2025-08-22,309.65,317.75,309.65,313.1,25059,35.12
2025-08-25,313.1,313.95,308.0,310.7,27392,67.32
2025-08-26,309.05,336.0,308.6,322.95,401581,12.39
2025-08-28,318.0,321.1,313.15,315.7,38688,47.96
2025-08-29,313.7,315.65,307.65,310.95,32510,50.78
2025-09-01,308.2,316.45,306.6,310.5,35827,60.01
2025-09-02,309.0,318.0,308.3,314.25,26227,52.52
2025-09-03,312.55,315.15,310.0,311.5,48129,80.51
2025-09-04,314.3,318.0,308.65,314.9,29392,46.74
2025-09-05,312.15,316.15,310.05,313.55,36351,61.61
2025-09-08,314.95,315.0,311.0,312.9,11947,54.93
2025-09-09,314.95,315.0,308.6,311.25,14822,65.25
2025-09-10,313.2,314.4,311.0,312.05,17963,66.79
2025-09-11,314.0,314.0,310.0,311.3,23981,68.14
2025-09-12,311.65,316.2,310.0,313.5,19094,66.5
2025-09-15,314.9,315.1,306.35,309.45,48850,63.25
2025-09-16,311.2,316.0,309.3,312.1,17842,62.31
2025-09-17,314.05,314.6,310.75,311.9,15575,57.21
2025-09-18,311.9,314.0,306.1,309.2,40844,53.09
2025-09-19,310.05,312.9,304.0,310.3,70986,67.63
2025-09-22,308.15,313.15,306.0,308.75,40441,45.15
2025-09-23,308.25,310.3,306.9,308.6,13849,41.75
2025-09-24,308.6,310.4,300.6,302.6,37266,65.08
2025-09-25,303.0,305.8,298.0,299.05,41430,61.98
2025-09-26,300.9,300.9,292.0,295.55,23749,64.75
2025-09-29,295.55,296.8,288.05,292.55,43199,46.67
2025-09-30,294.4,300.75,291.05,299.35,16366,51.02
2025-10-01,299.8,307.7,297.65,303.65,23326,43.86
2025-10-03,306.65,306.65,299.0,302.25,20903,55.68
2025-10-06,302.3,303.9,298.0,298.45,15865,74.52
2025-10-07,298.45,305.2,298.0,298.65,19503,49.15
2025-10-08,299.25,300.6,294.2,296.25,19028,45.92
2025-10-09,296.65,303.7,292.8,297.4,18009,53.48
2025-10-10,298.0,300.75,296.05,297.45,17796,55.57
2025-10-13,298.0,298.0,294.0,294.85,14370,72.76
2025-10-14,297.0,297.0,289.35,290.0,22402,69.35
2025-10-15,287.0,298.8,281.35,289.5,75308,45.72
2025-10-16,290.65,297.7,285.65,294.1,19635,54.39
2025-10-17,293.9,301.7,290.0,299.3,18106,49.97
2025-10-20,302.05,302.9,288.1,290.95,52763,45.14
2025-10-21,290.95,294.95,290.95,293.2,8284,69.1
2025-10-22,290.95,294.95,290.95,293.2,8284,69.1
2025-10-23,295.0,301.95,286.0,287.3,43661,60.04
2025-10-24,290.0,290.2,280.35,281.85,29237,70.44
2025-10-27,281.9,286.7,278.35,281.7,33102,45.36
2025-10-28,281.1,284.25,275.85,276.9,41572,69.72
2025-10-29,276.9,285.0,276.55,284.2,36997,75.97
2025-10-30,284.75,287.85,280.35,282.4,24295,50.42
2025-10-31,283.45,285.1,280.0,282.15,25096,41.78
2025-11-03,284.4,290.3,280.0,284.3,36409,59.86
2025-11-04,284.0,287.4,278.0,280.85,27022,70.59
2025-11-05,284.0,287.4,278.0,280.85,27022,70.59
2025-11-06,279.9,285.0,276.1,281.55,43156,62.03
2025-11-07,280.5,281.0,270.85,274.4,35841,55.02
2025-11-10,274.3,279.3,270.6,273.0,27588,54.71
2025-11-11,273.0,282.5,269.45,280.7,27229,69.39
2025-11-12,283.75,293.2,282.55,288.95,52596,74.57
2025-11-13,305.0,313.95,287.0,289.8,268499,24.85
2025-11-14,289.8,295.95,287.95,295.5,51354,73.24
2025-11-17,296.1,296.7,290.0,293.1,55647,71.58
2025-11-18,290.0,294.15,290.0,291.85,70874,74.6
2025-11-19,288.0,299.75,288.0,295.85,66811,70.0
2025-11-20,295.2,302.25,293.0,298.95,47153,47.94
2025-11-21,301.95,302.1,297.25,300.2,23480,72.3
2025-11-24,300.2,304.55,296.8,301.85,33594,66.46
2025-11-25,301.55,303.05,300.0,301.55,27133,65.99
2025-11-26,298.0,304.3,298.0,301.65,19868,67.55
2025-11-27,304.4,304.4,298.0,300.1,34276,75.12
2025-11-28,300.4,308.6,298.0,300.65,27471,57.26
2025-12-01,303.95,303.95,296.35,299.75,39755,66.79
2025-12-02,300.8,301.9,293.95,297.6,38048,62.79
2025-12-03,299.85,299.85,295.0,296.9,31036,69.08
2025-12-04,297.2,299.5,295.0,297.6,12862,66.32
2025-12-05,300.0,307.95,295.15,302.1,37920,54.31
2025-12-08,302.1,304.35,285.7,294.5,48823,60.19
2025-12-09,293.45,296.35,290.75,293.35,22868,38.42
2025-12-10,292.5,298.6,290.65,293.8,28693,47.64
2025-12-11,293.9,298.0,288.6,295.55,22622,47.88
2025-12-12,295.95,299.0,290.15,291.95,18262,51.47
2025-12-15,290.85,294.55,288.0,289.95,15879,50.71
2025-12-16,291.6,291.6,284.6,287.3,19721,53.5
2025-12-17,287.3,296.6,283.8,291.75,31051,49.32
2025-12-18,288.85,300.25,286.25,292.95,37900,57.51
2025-12-19,292.45,296.9,289.2,295.45,20278,63.17
2025-12-22,294.15,299.5,292.05,295.4,22853,53.84
2025-12-23,295.7,298.9,293.15,295.35,13066,63.29
2025-12-24,295.45,297.05,292.65,293.85,13726,70.04
2025-12-25,295.45,297.05,292.65,293.85,13726,70.04
2025-12-26,294.15,297.55,291.15,294.55,18619,51.59
2025-12-29,291.7,295.0,284.35,288.25,48729,56.0
2025-12-30,286.3,288.0,280.3,282.7,24380,53.69
2025-12-31,283.0,289.55,281.35,288.35,27582,64.67
2026-01-01,290.85,290.85,280.35,283.05,39696,66.21
2026-01-02,284.4,289.1,282.2,286.0,17502,45.48
2026-01-05,283.0,287.1,280.05,282.7,26140,55.17
2026-01-06,282.7,289.85,281.15,283.35,16998,59.71
2026-01-07,282.25,286.5,280.1,284.65,22150,49.85
2026-01-08,282.65,285.9,280.0,284.45,26022,63.43
2026-01-09,285.4,289.0,280.65,286.4,35059,58.78
2026-01-12,283.0,285.45,272.25,282.4,64189,51.1
2026-01-13,282.5,292.9,281.8,291.5,45055,58.07
2026-01-14,287.25,293.2,287.05,290.35,25466,70.78
2026-01-15,287.25,293.2,287.05,290.35,25466,70.78
2026-01-16,290.3,295.4,290.0,294.75,25233,67.89
2026-01-19,294.75,304.0,293.05,294.4,77154,59.56
2026-01-20,294.7,298.8,289.0,292.4,50285,63.17
2026-01-21,290.2,301.0,290.1,299.9,54870,58.34
2026-01-22,299.0,300.55,290.35,291.95,41813,54.17
2026-01-23,291.95,294.2,280.05,284.35,85692,50.11
2026-01-26,291.95,294.2,280.05,284.35,85692,50.11
2026-01-27,284.35,288.3,277.0,279.9,119258,56.48
