DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-04-20,372.0,394.0,368.5,382.25,115746,23.41
2026-04-21,388.65,402.8,388.65,398.55,68815,66.57
2026-04-22,404.0,405.95,391.15,394.9,47018,27.88
2026-04-23,392.8,402.0,383.6,397.4,95529,43.39
2026-04-24,400.65,404.0,390.0,395.2,160066,44.42
2026-04-27,404.9,404.9,390.0,399.55,138056,43.37
2026-04-28,397.4,399.85,383.6,394.3,112466,76.75
2026-04-29,400.05,403.0,390.1,392.55,99558,23.72
2026-04-30,396.5,399.95,390.5,397.1,56137,67.06
2026-05-01,396.5,399.95,390.5,397.1,56137,67.06
2026-05-04,405.8,405.8,389.0,394.75,44455,64.47
2026-05-05,393.1,396.7,388.0,390.1,26998,55.46
2026-05-06,394.05,399.0,386.0,388.95,98558,51.0
2026-05-07,396.7,396.7,389.3,392.35,27290,61.15
2026-05-08,394.05,410.95,388.8,396.55,83492,77.54
2026-05-11,400.85,401.0,392.85,394.95,29692,63.27
2026-05-12,396.9,398.15,364.0,380.75,26461,77.07
2026-05-13,391.0,391.0,353.7,375.95,88195,71.26
2026-05-14,371.0,391.15,366.8,386.25,75907,27.66
2026-05-15,383.05,394.2,383.0,384.85,229547,5.23
2026-05-18,389.9,390.0,375.15,380.55,191331,25.77
2026-05-19,386.0,386.0,375.2,379.8,107817,10.07
2026-05-20,379.95,389.4,374.45,382.65,122393,4.8
2026-05-21,379.0,385.9,379.0,380.45,137907,7.97
2026-05-22,384.8,386.75,366.1,372.8,150514,11.82
2026-05-25,374.2,375.0,361.0,363.0,159922,9.79
2026-05-26,363.45,367.5,351.7,356.05,139667,13.2
2026-05-27,355.95,357.8,350.75,353.1,109381,3.23
2026-05-28,355.95,357.8,350.75,353.1,109381,3.23
2026-05-29,356.65,356.8,348.0,348.95,315502,55.32
2026-06-01,353.25,358.0,339.95,351.75,97144,21.82
2026-06-02,352.0,367.2,350.05,364.9,146370,6.78
2026-06-03,366.75,369.7,354.4,358.95,170960,15.68
2026-06-04,358.9,366.1,357.25,359.85,86378,6.5
2026-06-05,359.85,365.55,359.2,362.75,107834,7.57
2026-06-08,360.0,389.7,355.3,376.7,205285,21.41
2026-06-09,381.55,382.0,362.95,373.95,90293,15.55
2026-06-10,375.8,389.7,371.5,375.8,126417,33.7
2026-06-11,376.05,376.65,367.1,371.45,74878,10.63
2026-06-12,374.85,381.2,368.9,378.55,165103,16.22
2026-06-15,379.9,400.0,376.7,390.45,121147,29.94
2026-06-16,390.95,396.95,385.8,391.9,53998,30.24
2026-06-17,393.55,413.1,391.55,399.35,155280,32.83
2026-06-18,402.8,409.0,397.0,403.15,160643,36.03
2026-06-19,403.15,405.45,396.15,398.7,150400,38.01
2026-06-22,405.5,405.5,397.0,398.7,124181,24.03
2026-06-23,399.05,403.55,388.0,392.85,128162,61.5
2026-06-24,392.0,400.5,391.9,394.3,133349,16.25
2026-06-25,391.6,429.9,383.35,385.6,652666,14.44
2026-06-26,391.6,429.9,383.35,385.6,652666,14.44
2026-06-29,387.5,390.4,370.05,374.0,117786,30.94
2026-06-30,376.8,388.25,375.8,381.75,113529,19.87
2026-07-01,384.5,386.95,375.55,377.45,114041,14.77
2026-07-02,377.0,394.4,365.9,390.25,240020,37.12
2026-07-03,390.15,398.0,390.15,396.25,142745,35.91
2026-07-06,392.0,408.0,392.0,403.7,209036,43.82
2026-07-07,409.05,409.05,400.15,403.95,179117,35.16
2026-07-08,404.0,408.45,391.1,392.85,123607,30.46
2026-07-09,393.15,399.9,392.2,395.1,98315,17.1
2026-07-10,403.0,403.0,397.0,399.2,212622,37.32
2026-07-13,400.2,406.0,398.05,399.35,208492,53.17
2026-07-14,395.15,402.0,391.8,397.6,192594,33.97
2026-07-15,398.8,410.0,392.2,398.25,240960,46.09
2026-07-16,400.0,406.95,400.0,402.0,215853,60.86
