DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,424.95,424.95,403.55,407.6,77758,38.93
2025-04-15,417.9,431.4,414.0,429.45,92355,48.02
2025-04-16,425.05,437.5,422.3,434.15,50033,54.67
2025-04-17,434.15,434.15,418.55,424.3,87828,48.81
2025-04-21,431.8,445.55,423.55,434.95,120459,55.05
2025-04-22,442.0,445.3,431.2,440.85,205612,37.23
2025-04-23,441.7,442.7,426.2,436.25,178248,49.16
2025-04-24,436.25,438.2,428.0,430.8,81173,58.97
2025-04-25,428.05,431.95,404.1,408.25,225114,63.0
2025-04-28,407.25,415.0,403.1,406.05,146122,56.34
2025-04-29,406.95,414.5,406.95,410.05,105298,59.54
2025-04-30,411.9,412.0,393.3,399.65,149166,58.75
2025-05-02,394.6,404.2,383.35,390.8,176291,49.84
2025-05-05,393.0,408.2,385.2,407.05,109458,54.89
2025-05-06,407.05,416.0,400.0,403.3,153432,52.71
2025-05-07,403.0,419.95,401.0,418.7,132237,50.8
2025-05-08,414.95,430.45,414.9,419.65,107879,50.01
2025-05-09,405.0,416.4,404.95,414.55,66735,48.42
2025-05-12,423.7,440.0,423.05,436.65,153497,65.83
2025-05-13,443.5,443.5,433.4,437.7,106144,55.26
2025-05-14,445.0,458.0,440.05,443.95,695759,31.1
2025-05-15,444.9,452.85,438.6,439.5,169572,43.39
2025-05-16,439.5,447.45,432.7,434.15,135273,58.78
2025-05-19,434.05,445.0,434.05,441.95,109014,53.48
2025-05-20,444.0,445.2,433.45,438.05,84283,51.81
2025-05-21,433.8,438.65,425.55,428.85,119202,60.4
2025-05-22,428.85,442.7,426.55,438.0,118352,57.67
2025-05-23,440.0,442.75,433.5,439.3,97737,61.18
2025-05-26,439.8,441.7,436.0,437.05,47115,57.94
2025-05-27,437.5,440.9,434.0,435.35,86931,48.26
2025-05-28,433.3,437.0,425.8,427.7,90211,63.43
2025-05-29,432.0,470.45,429.9,442.5,480290,35.76
