DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-07-14,4.67,4.67,4.26,4.41,21664,63.76
2026-07-15,4.39,4.57,4.3,4.41,32859,59.78
2026-07-16,4.4,4.74,4.4,4.71,31393,94.46
2026-07-17,4.89,4.95,4.62,4.74,32534,72.25
2026-07-20,4.92,4.92,4.55,4.74,6339,74.22
2026-07-21,4.76,4.87,4.75,4.78,12852,94.54
2026-07-22,4.77,4.95,4.77,4.92,33926,72.82
2026-07-23,5.04,5.04,4.75,4.83,11953,69.24
2026-07-24,4.82,4.95,4.73,4.8,4331,44.77
2026-07-27,4.71,4.88,4.7,4.74,16484,81.24
2026-07-28,4.74,4.9,4.67,4.85,21205,78.0
2026-07-29,4.72,4.85,4.72,4.74,16600,90.58
2026-07-30,4.66,4.75,4.52,4.55,9022,93.43
