DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-07-14,19.16,20.6,18.97,19.74,474841,70.8
2025-07-15,19.93,21.7,18.5,19.65,1368755,44.01
2025-07-16,19.65,20.45,19.3,19.74,467861,76.16
2025-07-17,19.74,20.02,19.1,19.13,121813,60.93
2025-07-18,19.25,19.39,18.58,19.14,137425,62.9
2025-07-21,19.06,19.39,18.24,18.5,218865,58.98
2025-07-22,18.55,18.89,18.29,18.35,132342,64.32
2025-07-23,18.15,18.6,17.0,18.06,535216,52.16
2025-07-24,18.0,18.8,17.81,18.07,131234,64.6
2025-07-25,17.7,18.59,17.6,18.28,98074,57.91
2025-07-28,18.45,18.74,17.18,17.31,232326,70.49
2025-07-29,17.3,18.0,17.0,17.65,356649,83.76
2025-07-30,17.9,19.41,17.73,18.71,427413,43.87
2025-07-31,18.3,19.25,17.5,18.73,625120,70.0
2025-08-01,18.73,19.5,18.12,18.25,322762,77.57
2025-08-04,18.05,18.46,17.5,17.71,197292,73.11
2025-08-05,18.29,19.0,17.81,18.55,268188,57.32
2025-08-06,18.9,19.0,17.75,18.41,433111,49.83
2025-08-07,18.41,18.41,17.61,17.79,326891,77.0
2025-08-08,18.01,18.48,17.8,17.83,147836,72.99
2025-08-11,18.04,19.0,17.57,18.61,263613,78.46
2025-08-12,18.61,19.0,18.27,18.47,80300,69.34
2025-08-13,18.47,18.99,18.1,18.7,92802,80.13
2025-08-14,18.7,18.96,18.13,18.25,69772,70.55
2025-08-18,18.34,19.29,18.25,18.87,147597,68.91
2025-08-19,18.78,18.97,18.34,18.52,118041,75.49
2025-08-20,18.5,19.9,18.5,19.84,923552,73.46
2025-08-21,19.9,22.22,19.54,20.48,4971271,44.48
2025-08-22,20.66,21.5,20.02,20.27,1241710,52.58
2025-08-25,20.27,21.35,20.27,20.66,495498,54.92
2025-08-26,20.74,21.13,19.2,19.57,491432,57.7
2025-08-28,19.3,19.75,19.25,19.49,385420,62.13
2025-08-29,19.31,19.69,19.01,19.21,94696,70.16
2025-09-01,19.12,19.95,19.01,19.3,268983,70.6
2025-09-02,19.22,19.68,19.0,19.09,139746,72.87
2025-09-03,19.22,19.35,18.9,19.0,104707,74.95
2025-09-04,19.3,20.0,18.87,18.93,406847,56.56
2025-09-05,19.07,19.5,18.61,19.43,292014,71.79
2025-09-08,19.43,19.75,18.97,19.06,140182,71.16
2025-09-09,19.4,22.18,19.0,21.74,1665650,63.46
2025-09-10,22.51,23.9,20.92,21.55,1405143,45.55
2025-09-11,21.53,21.99,20.91,21.52,602428,58.48
2025-09-12,21.51,22.0,21.1,21.59,347550,74.73
2025-09-15,21.57,21.8,20.09,20.37,468427,65.76
2025-09-16,20.19,20.79,20.19,20.54,173988,65.73
2025-09-17,20.35,20.72,20.26,20.32,191971,81.87
2025-09-18,20.36,20.75,19.91,20.2,319454,66.53
2025-09-19,20.11,20.59,19.9,20.31,173673,59.91
2025-09-22,20.31,20.67,19.72,19.83,348039,66.76
2025-09-23,19.71,20.11,19.45,19.48,244340,63.28
2025-09-24,19.8,19.8,19.25,19.33,171436,70.86
2025-09-25,19.33,19.63,18.95,19.09,280664,59.58
2025-09-26,19.09,19.57,18.54,18.7,413792,51.14
2025-09-29,18.7,19.05,18.36,18.61,396199,57.81
2025-09-30,18.53,18.8,18.13,18.19,230635,71.14
2025-10-01,18.21,19.08,18.21,18.9,168185,60.81
2025-10-03,18.96,18.96,18.51,18.78,110425,64.86
2025-10-06,18.88,19.15,18.35,18.99,324781,64.06
2025-10-07,18.55,19.28,18.55,19.04,315776,75.4
2025-10-08,19.26,19.28,19.0,19.19,128608,73.86
2025-10-09,19.18,19.31,18.91,19.19,164384,72.52
2025-10-10,19.09,19.3,18.93,19.01,132285,66.53
2025-10-13,18.84,18.88,18.57,18.62,144144,75.01
2025-10-14,18.85,18.85,17.64,17.9,520050,74.08
2025-10-15,17.9,18.8,17.85,18.58,179807,60.96
2025-10-16,18.26,18.57,18.08,18.19,84142,79.94
2025-10-17,18.45,18.45,17.86,17.94,176599,87.16
2025-10-20,18.28,18.3,17.7,17.83,119495,63.32
2025-10-21,17.83,18.51,17.83,18.16,52826,74.5
2025-10-22,17.83,18.51,17.83,18.16,52826,74.5
2025-10-23,18.21,18.48,17.86,17.98,162233,79.52
2025-10-24,17.8,18.09,17.25,17.85,167984,70.94
2025-10-27,17.5,18.13,17.16,17.58,142048,53.24
2025-10-28,17.59,17.89,17.5,17.66,80046,70.08
2025-10-29,17.66,17.81,17.4,17.61,103903,54.83
2025-10-30,17.55,17.9,17.36,17.6,144790,65.71
2025-10-31,17.55,18.0,17.2,17.27,154720,69.11
2025-11-03,17.25,17.79,17.2,17.44,114841,61.29
2025-11-04,17.7,17.99,17.26,17.45,72828,81.62
2025-11-05,17.7,17.99,17.26,17.45,72828,81.62
2025-11-06,17.79,17.79,17.12,17.45,104063,78.56
2025-11-07,17.13,18.5,17.08,17.71,136425,68.01
2025-11-10,18.09,18.09,17.16,17.2,120519,73.67
2025-11-11,17.24,17.28,16.9,16.95,149200,78.7
2025-11-12,17.2,17.31,16.25,16.69,384185,67.51
2025-11-13,16.85,17.55,16.84,17.21,465596,67.12
2025-11-14,17.5,19.68,17.26,18.68,1066642,63.35
2025-11-17,18.64,19.9,17.93,18.51,1136481,48.57
2025-11-18,18.49,18.72,18.03,18.37,169919,73.79
2025-11-19,18.37,18.93,18.3,18.53,194230,74.57
2025-11-20,18.89,19.2,18.23,18.86,190624,78.22
2025-11-21,19.03,19.19,18.45,18.72,170701,53.75
2025-11-24,18.72,18.79,17.65,17.92,224636,64.09
2025-11-25,18.0,19.05,17.72,18.5,566707,59.4
2025-11-26,18.16,19.0,18.1,18.19,186258,56.63
2025-11-27,18.25,18.58,17.98,18.07,367527,17.78
2025-11-28,18.11,18.49,17.8,17.9,380895,20.18
2025-12-01,17.9,18.4,17.79,17.89,348411,19.8
2025-12-02,17.81,18.26,17.66,17.68,404402,30.8
2025-12-03,17.52,18.04,16.97,17.04,247553,56.63
2025-12-04,17.48,17.48,17.0,17.11,328546,17.56
2025-12-05,17.49,17.49,17.0,17.03,317759,13.11
2025-12-08,17.1,17.16,16.78,16.94,114792,83.13
2025-12-09,17.0,17.0,16.5,16.72,152678,73.74
2025-12-10,17.1,17.1,15.93,16.14,221464,71.38
2025-12-11,16.01,16.5,16.01,16.19,121258,72.54
2025-12-12,16.19,16.46,16.0,16.08,113730,78.38
2025-12-15,16.0,16.39,15.9,16.05,148321,71.55
2025-12-16,16.0,16.78,15.8,15.97,93537,82.11
2025-12-17,15.9,15.97,15.1,15.22,293504,60.7
2025-12-18,15.31,16.9,15.0,16.77,417216,57.32
2025-12-19,17.05,17.7,16.96,17.4,667373,57.41
2025-12-22,17.4,18.6,17.4,18.44,918290,70.89
2025-12-23,18.44,19.15,18.27,19.03,389919,76.2
2025-12-24,19.0,19.6,18.52,19.11,593605,58.98
2025-12-25,19.0,19.6,18.52,19.11,593605,58.98
2025-12-26,18.8,19.24,18.56,18.59,120594,78.38
2025-12-29,18.13,19.92,18.13,18.8,485695,61.87
2025-12-30,18.9,19.39,18.35,18.72,209583,55.69
2025-12-31,18.55,19.19,18.34,18.74,200009,27.34
2026-01-01,18.75,18.96,18.36,18.69,152772,43.6
2026-01-02,18.55,18.99,18.51,18.65,112619,77.66
2026-01-05,18.45,18.99,18.0,18.19,215324,42.16
2026-01-06,18.73,18.73,18.21,18.34,295031,78.02
2026-01-07,18.3,20.39,18.07,19.39,1843154,54.0
2026-01-08,19.75,20.1,18.3,18.38,446612,59.9
2026-01-09,18.71,19.0,17.38,17.81,223959,39.23
2026-01-12,17.84,18.37,17.12,17.27,286984,51.78
2026-01-13,17.25,17.99,17.25,17.73,93291,46.66
2026-01-14,17.56,18.1,17.26,17.4,193558,43.18
2026-01-15,17.56,18.1,17.26,17.4,193558,43.18
2026-01-16,17.4,17.99,17.02,17.41,297128,30.9
2026-01-19,17.31,17.63,17.0,17.29,267610,61.06
2026-01-20,17.2,17.34,16.21,16.46,309224,74.23
2026-01-21,16.35,17.37,16.02,16.17,250972,49.33
2026-01-22,16.41,16.98,15.83,16.11,295846,38.73
2026-01-23,16.06,16.7,15.27,15.77,271202,32.23
2026-01-26,16.06,16.7,15.27,15.77,271202,32.23
2026-01-27,16.0,16.0,15.1,15.58,557737,51.35
2026-01-28,15.6,16.23,15.27,15.53,235648,69.08
2026-01-29,15.6,15.94,14.8,15.05,619424,57.09
2026-01-30,15.1,15.38,14.82,15.11,170585,61.03
2026-02-02,14.82,15.5,14.6,14.87,94896,55.11
2026-02-03,15.35,15.8,14.7,14.8,132845,84.04
2026-02-04,15.0,15.15,14.6,14.84,172007,73.63
2026-02-05,14.9,15.13,14.52,14.71,132561,51.16
2026-02-06,14.98,14.99,14.5,14.55,96156,55.35
2026-02-09,14.79,15.07,14.62,14.96,148059,84.87
2026-02-10,15.1,15.27,14.78,14.84,133197,62.89
2026-02-11,14.62,15.3,14.62,15.01,118476,73.61
2026-02-12,15.08,15.24,14.6,14.69,182092,74.05
2026-02-13,14.38,15.15,13.86,15.06,250495,53.77
2026-02-16,15.4,15.75,15.21,15.72,270742,63.35
2026-02-17,15.72,15.99,14.15,14.9,259159,49.57
2026-02-18,15.19,15.32,14.67,14.87,61197,58.02
2026-02-19,14.85,15.2,14.56,14.63,148172,70.79
2026-02-20,14.89,15.33,14.71,14.96,101488,43.23
2026-02-23,15.3,15.4,14.91,15.08,142261,48.86
2026-02-24,15.35,15.35,14.84,15.14,138450,47.25
2026-02-25,15.0,15.31,14.88,15.01,113269,69.66
2026-02-26,15.21,15.21,14.7,14.76,158205,80.62
2026-02-27,15.0,15.01,14.51,14.6,77956,72.16
2026-03-02,13.81,14.59,13.21,13.88,413172,45.92
2026-03-03,13.81,14.59,13.21,13.88,413172,45.92
2026-03-04,13.53,13.99,13.25,13.72,271358,35.09
2026-03-05,13.72,15.15,13.72,14.8,300785,63.43
2026-03-06,14.22,14.84,13.9,14.1,159398,35.45
2026-03-09,14.4,14.4,13.64,13.86,64966,52.61
2026-03-10,13.87,14.49,13.65,13.72,113343,29.87
2026-03-11,14.22,14.3,13.5,13.72,91478,42.66
2026-03-12,13.72,13.73,12.25,12.56,893608,61.09
2026-03-13,12.6,12.95,11.4,11.65,793698,64.54
2026-03-16,11.9,12.19,11.75,11.97,535324,76.55
2026-03-17,12.0,12.44,11.47,12.19,525510,76.19
2026-03-18,12.25,13.02,12.2,12.89,206195,61.76
2026-03-19,13.1,14.25,12.14,12.43,333383,19.52
2026-03-20,12.44,12.85,12.01,12.08,256713,46.35
2026-03-23,12.4,12.4,11.17,11.4,317520,56.94
2026-03-24,11.97,11.97,11.34,11.49,325902,48.09
2026-03-25,12.01,12.49,11.57,11.69,929426,68.24
2026-03-26,12.01,12.49,11.57,11.69,929426,68.24
2026-03-27,11.92,11.99,10.91,11.0,430060,65.7
2026-03-30,11.0,11.31,10.0,10.14,591979,49.89
2026-03-31,11.0,11.31,10.0,10.14,591979,49.89
2026-04-01,11.25,11.55,10.93,11.41,183231,41.65
2026-04-02,11.41,11.61,10.8,10.86,302937,69.15
2026-04-03,11.41,11.61,10.8,10.86,302937,69.15
2026-04-06,11.4,11.78,11.0,11.71,287575,47.34
2026-04-07,11.71,12.1,11.37,11.74,104500,40.82
2026-04-08,12.15,12.49,12.1,12.45,131996,80.89
2026-04-09,12.49,12.88,11.65,11.89,1069180,81.73
2026-04-10,12.3,12.45,12.0,12.37,145852,51.41
2026-04-13,12.0,12.29,11.41,11.96,404028,53.09
2026-04-14,12.0,12.29,11.41,11.96,404028,53.09
2026-04-15,12.49,13.19,12.36,12.98,213422,62.95
2026-04-16,13.35,13.66,12.51,12.85,361043,42.7
2026-04-17,13.2,13.2,12.5,12.98,295710,54.44
2026-04-20,13.39,13.39,12.06,12.28,778149,57.17
2026-04-21,12.97,12.97,11.83,12.47,580213,64.75
2026-04-22,12.75,12.75,12.13,12.3,128476,56.25
2026-04-23,12.46,12.69,12.18,12.4,177688,74.38
2026-04-24,12.69,12.7,12.01,12.22,196220,75.15
2026-04-27,12.22,12.49,12.16,12.35,63473,63.91
2026-04-28,12.35,12.96,12.27,12.84,163609,62.25
2026-04-29,13.09,13.09,12.06,12.29,182270,66.02
2026-04-30,12.29,12.5,12.09,12.36,128636,49.54
2026-05-01,12.29,12.5,12.09,12.36,128636,49.54
2026-05-04,12.36,12.45,12.14,12.2,137793,69.86
2026-05-05,12.21,12.39,12.06,12.27,53896,75.33
2026-05-06,12.45,12.75,11.88,12.16,475735,49.16
2026-05-07,12.33,12.39,12.1,12.2,96751,65.46
2026-05-08,12.07,12.32,12.07,12.16,126669,67.12
2026-05-11,12.43,12.43,11.81,11.89,136577,64.46
2026-05-12,12.0,12.16,10.72,11.06,411298,52.08
2026-05-13,11.16,11.85,11.16,11.47,224348,25.21
2026-05-14,11.97,11.97,11.11,11.63,241085,37.01
2026-05-15,11.51,11.54,10.96,11.02,291223,56.95
