DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,225.44,229.95,215.0,216.47,32138,61.67
2025-04-15,217.0,226.99,215.65,217.58,65085,33.47
2025-04-16,215.01,222.58,210.0,218.32,70549,59.98
2025-04-17,219.96,229.23,210.0,229.21,86947,50.95
2025-04-21,229.21,239.58,225.0,229.2,49055,40.48
2025-04-22,226.2,232.98,222.06,224.11,19234,58.24
2025-04-23,226.61,226.61,216.9,218.59,22530,62.38
2025-04-24,222.64,222.64,210.2,212.19,30415,63.63
2025-04-25,207.0,212.14,201.6,203.17,42977,56.52
2025-04-28,202.0,213.3,198.1,211.53,24994,51.14
2025-04-29,215.8,215.8,203.65,204.53,31736,74.68
2025-04-30,207.48,207.48,200.0,200.51,18520,70.7
2025-05-02,199.06,210.53,199.06,208.3,31700,42.15
2025-05-05,207.49,218.71,205.51,208.68,30458,33.22
2025-05-06,208.01,210.01,202.0,203.24,12972,60.01
2025-05-07,200.0,209.5,200.0,204.8,12903,39.55
2025-05-08,204.23,215.04,203.66,212.01,42788,50.44
2025-05-09,212.01,216.48,204.0,207.99,20844,47.44
2025-05-12,206.0,211.2,205.02,206.4,48186,62.97
2025-05-13,205.36,216.5,203.0,213.91,34889,58.93
2025-05-14,217.0,218.98,214.51,215.42,13290,68.65
2025-05-15,216.71,216.71,207.01,209.76,12983,67.55
2025-05-16,207.5,210.0,205.5,208.64,18441,70.5
2025-05-19,201.02,211.92,201.02,209.19,19413,65.56
2025-05-20,206.9,212.0,206.61,209.97,22134,92.12
2025-05-21,211.01,212.38,206.12,207.67,4578,65.71
2025-05-22,208.69,209.01,197.3,200.2,37385,73.43
2025-05-23,196.25,207.52,196.25,199.8,21090,59.3
2025-05-26,203.0,203.0,196.65,199.13,14445,68.0
2025-05-27,199.69,206.09,199.13,204.59,11349,78.61
2025-05-28,204.0,214.81,202.97,214.81,20823,80.14
2025-05-29,219.4,221.42,212.13,217.47,23633,70.06
2025-05-30,214.99,228.34,213.91,228.34,52418,73.91
