DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,525.15,538.0,507.95,509.9,148932,52.82
2025-04-15,520.05,529.35,509.9,513.6,230877,51.14
2025-04-16,516.9,556.0,508.9,551.85,431085,22.5
2025-04-17,561.0,568.0,541.0,544.05,323368,28.42
2025-04-21,544.5,551.25,536.2,547.75,104889,42.92
2025-04-22,549.0,564.2,547.75,560.75,123722,47.91
2025-04-23,565.2,569.0,552.6,567.3,98254,31.05
2025-04-24,565.85,579.95,563.5,576.25,101229,38.4
2025-04-25,575.0,576.35,546.8,553.6,89955,43.37
2025-04-28,553.0,560.5,544.15,558.4,45238,35.94
2025-04-29,559.0,565.4,554.1,560.15,34476,40.11
2025-04-30,562.6,562.6,541.4,545.1,75967,51.77
2025-05-02,553.3,553.3,531.7,537.1,53501,40.72
2025-05-05,537.1,548.95,530.2,546.25,47027,33.85
2025-05-06,550.4,553.45,535.15,537.35,31778,44.24
2025-05-07,528.0,547.2,524.1,544.9,41310,35.11
2025-05-08,545.85,556.85,536.0,539.8,32571,41.67
2025-05-09,520.0,533.85,520.0,529.9,42030,35.83
2025-05-12,540.05,624.35,535.0,610.2,2216897,9.51
2025-05-13,616.0,628.9,605.25,610.7,537562,24.99
2025-05-14,608.05,649.1,605.0,636.25,440845,28.19
2025-05-15,635.0,662.7,635.0,656.4,210435,32.08
2025-05-16,659.7,680.7,654.85,672.1,196282,28.49
2025-05-19,675.45,679.0,657.7,666.3,142564,33.39
2025-05-20,672.0,686.4,662.5,667.85,150717,33.47
2025-05-21,670.5,670.5,645.55,662.2,171967,27.78
2025-05-22,660.0,667.35,656.15,662.5,32224,33.49
2025-05-23,665.3,673.35,657.55,665.2,45757,34.26
2025-05-26,673.0,681.0,667.05,678.05,48736,49.8
2025-05-27,678.4,689.0,668.95,682.35,85173,43.86
2025-05-28,685.0,687.0,666.6,669.75,153913,77.34
2025-05-29,671.25,678.0,669.05,675.25,46359,31.01
2025-05-30,678.8,698.15,670.0,686.7,196906,45.39
2025-06-02,686.45,688.4,670.3,672.6,41031,47.17
2025-06-03,672.6,674.3,651.0,655.6,47275,41.23
2025-06-04,652.5,657.75,646.3,653.45,36490,42.67
2025-06-05,655.0,663.25,649.0,651.0,42511,32.59
2025-06-06,651.25,657.95,646.15,653.7,32229,37.81
2025-06-09,656.05,667.2,656.05,662.15,37783,41.24
2025-06-10,663.0,664.15,655.1,662.2,37644,44.84
2025-06-11,665.45,679.9,665.45,674.2,87373,47.13
2025-06-12,674.0,682.15,666.05,674.95,51154,48.28
2025-06-13,665.0,669.45,650.55,657.0,37158,38.55
2025-06-16,653.75,661.9,641.05,653.45,69672,47.55
2025-06-17,650.4,676.75,650.2,667.35,120545,20.4
2025-06-18,672.0,675.35,655.15,664.2,40212,43.19
2025-06-19,661.2,680.0,652.1,660.25,64635,39.01
2025-06-20,656.95,671.35,654.1,668.75,29706,32.83
2025-06-23,664.8,674.6,655.55,670.3,35531,42.7
2025-06-24,670.0,704.85,669.4,679.35,189844,26.64
2025-06-25,682.9,693.2,681.0,685.45,79293,34.47
2025-06-26,688.4,690.5,671.0,679.15,70760,27.28
2025-06-27,682.3,688.15,677.9,685.1,44704,40.01
2025-06-30,688.45,690.5,671.4,688.5,60736,31.85
2025-07-01,691.3,695.0,667.0,670.35,240262,63.96
2025-07-02,673.05,673.05,660.0,668.35,49706,34.52
2025-07-03,671.6,690.35,661.75,685.85,98092,51.75
2025-07-04,681.0,711.0,680.5,689.65,117164,29.85
2025-07-07,695.3,695.3,680.45,689.6,44856,32.55
2025-07-08,687.0,696.0,677.3,684.95,43608,31.1
2025-07-09,689.5,691.5,678.0,681.5,29958,34.54
2025-07-10,686.5,686.5,674.1,681.6,20136,42.76
2025-07-11,675.4,681.55,663.4,667.95,30263,48.5
2025-07-14,671.5,671.5,662.65,666.6,20721,34.88
2025-07-15,673.2,693.0,669.95,676.5,64983,30.89
2025-07-16,680.0,682.95,674.55,680.55,22429,41.17
2025-07-17,682.9,688.0,679.25,682.55,19207,36.42
2025-07-18,683.0,685.45,670.0,675.0,23688,52.29
2025-07-21,678.0,678.0,667.5,669.45,16658,50.88
2025-07-22,673.0,673.0,650.0,653.8,57801,52.18
2025-07-23,657.2,662.1,652.85,655.05,22586,40.54
2025-07-24,657.6,659.65,650.15,654.65,31114,48.13
2025-07-25,651.75,652.75,640.0,642.45,23739,57.34
2025-07-28,642.45,645.95,620.0,625.4,49988,59.92
2025-07-29,620.0,626.45,612.6,621.9,40390,46.54
2025-07-30,621.95,634.5,621.95,628.45,37831,40.37
2025-07-31,616.2,627.45,610.0,618.1,39815,46.38
2025-08-01,621.4,628.0,607.6,611.5,21388,56.41
2025-08-04,614.3,619.0,604.05,615.7,31898,41.72
2025-08-05,615.0,620.0,602.15,606.3,36298,50.1
2025-08-06,606.3,611.55,590.85,595.85,32906,51.62
2025-08-07,595.0,629.0,570.2,614.95,342345,14.45
2025-08-08,609.0,609.0,578.8,584.4,69092,33.91
2025-08-11,584.4,584.4,565.0,568.2,56982,40.29
2025-08-12,568.2,598.0,562.0,574.55,119026,19.76
2025-08-13,577.6,577.95,568.2,571.3,49353,55.51
2025-08-14,572.4,574.9,561.05,565.0,40514,43.86
2025-08-18,568.0,585.0,568.0,578.1,56446,44.48
2025-08-19,580.0,600.0,577.9,595.75,49631,38.01
2025-08-20,599.95,602.05,590.0,594.05,35607,53.0
2025-08-21,592.0,598.45,591.5,594.2,21849,38.99
2025-08-22,594.2,595.1,583.0,584.15,26374,42.99
2025-08-25,584.95,593.65,579.6,589.75,17142,51.71
2025-08-26,588.0,588.05,571.3,574.05,165057,74.65
2025-08-28,568.8,575.1,565.2,573.2,13736,50.04
2025-08-29,570.0,578.8,566.55,569.05,18356,43.5
2025-09-01,567.05,575.0,567.05,570.95,23207,57.48
2025-09-02,570.95,578.45,570.0,571.65,56624,63.73
2025-09-03,571.5,584.7,571.5,574.8,77450,63.93
2025-09-04,590.0,590.45,568.85,572.8,151795,51.67
2025-09-05,574.6,574.6,566.0,568.9,37637,50.69
2025-09-08,571.45,571.45,561.35,564.95,27411,57.59
2025-09-09,565.05,570.0,565.05,568.2,31278,62.75
2025-09-10,570.0,620.0,567.0,585.85,852002,29.58
2025-09-11,587.7,592.45,575.5,585.85,295777,75.31
2025-09-12,586.0,593.6,580.2,587.7,53634,44.94
2025-09-15,590.0,591.7,580.55,588.3,56331,58.23
2025-09-16,588.2,602.45,586.45,592.4,78942,49.71
2025-09-17,592.4,609.0,591.75,604.85,99292,47.99
2025-09-18,610.0,610.0,594.85,597.3,45594,44.96
2025-09-19,599.95,599.95,586.2,589.7,114147,63.89
2025-09-22,618.05,618.05,580.2,583.55,109053,37.02
2025-09-23,586.2,586.2,574.1,577.1,43240,50.34
2025-09-24,606.0,653.8,576.35,589.75,14561036,9.97
2025-09-25,586.85,589.9,560.6,564.95,790209,27.02
2025-09-26,564.9,564.9,537.1,543.35,476231,24.44
2025-09-29,544.7,575.0,534.0,554.95,745274,29.59
2025-09-30,545.0,550.0,540.05,545.05,184138,22.51
2025-10-01,545.05,550.0,542.0,547.85,125651,24.94
2025-10-03,549.0,550.7,541.45,544.0,144820,42.61
2025-10-06,545.05,547.85,540.4,542.45,133183,29.41
2025-10-07,544.55,544.55,534.0,537.2,120081,44.56
2025-10-08,540.0,541.35,530.55,534.8,122598,32.95
2025-10-09,537.6,539.4,531.7,538.25,84527,40.79
2025-10-10,538.25,547.75,535.65,543.1,105351,38.4
2025-10-13,546.0,547.1,536.0,544.95,92102,37.68
2025-10-14,545.5,554.75,539.1,547.95,133724,39.83
2025-10-15,547.0,549.15,544.0,548.0,66649,49.45
2025-10-16,550.9,560.95,537.0,543.1,301686,46.2
2025-10-17,543.5,546.3,536.25,539.75,100240,41.59
2025-10-20,540.9,542.6,535.0,538.35,99504,39.07
2025-10-21,538.35,543.75,538.35,542.2,14201,58.21
2025-10-22,538.35,543.75,538.35,542.2,14201,58.21
2025-10-23,545.6,546.0,530.7,533.05,130379,46.97
2025-10-24,535.05,535.1,525.0,525.55,126657,54.55
2025-10-27,525.95,532.2,524.15,529.5,73261,50.26
2025-10-28,531.55,535.25,527.4,529.25,72150,40.53
2025-10-29,532.0,532.0,526.0,529.85,68672,53.84
2025-10-30,529.95,534.3,522.55,528.15,205642,66.47
2025-10-31,532.0,548.5,506.1,513.75,836750,19.28
2025-11-03,513.8,515.8,501.4,503.8,216756,47.49
2025-11-04,508.0,512.1,502.0,505.15,169549,54.91
2025-11-05,508.0,512.1,502.0,505.15,169549,54.91
2025-11-06,506.95,506.95,495.1,503.85,90653,45.53
2025-11-07,505.0,505.0,495.45,498.2,71916,42.39
2025-11-10,500.0,502.15,496.05,500.65,54218,40.08
2025-11-11,502.5,507.45,496.8,505.4,70703,47.17
2025-11-12,508.1,512.0,502.3,506.65,77417,44.06
2025-11-13,507.5,510.5,501.0,503.55,40606,41.59
2025-11-14,504.2,511.4,501.6,507.0,29555,47.32
2025-11-17,509.3,512.7,501.0,502.7,71012,53.31
2025-11-18,503.0,504.7,495.55,497.9,54208,58.76
2025-11-19,498.1,500.05,492.0,493.55,135327,79.44
2025-11-20,495.0,499.3,493.2,495.55,28907,46.32
2025-11-21,495.55,496.1,484.7,487.35,76360,62.77
2025-11-24,488.7,530.0,480.75,488.1,2226900,15.63
2025-11-25,488.05,492.75,484.0,488.8,127499,28.8
2025-11-26,491.4,492.7,486.95,488.3,108880,35.67
2025-11-27,488.9,491.3,483.4,484.4,69974,49.78
2025-11-28,485.2,485.65,478.5,481.35,140650,50.74
2025-12-01,483.0,491.0,482.0,483.8,67636,37.7
2025-12-02,484.0,485.95,480.5,483.6,45766,38.4
2025-12-03,485.0,485.95,481.0,483.2,30745,39.75
2025-12-04,480.0,483.9,478.35,479.2,29573,57.69
2025-12-05,479.25,483.55,475.1,481.1,58914,39.39
2025-12-08,484.0,484.0,474.45,480.4,79735,52.32
2025-12-09,476.0,477.0,458.15,472.45,371464,57.2
2025-12-10,472.45,479.9,468.0,474.35,126088,53.22
2025-12-11,474.0,477.4,470.0,475.25,41692,46.93
2025-12-12,475.25,478.45,471.9,476.4,46806,50.53
2025-12-15,484.95,484.95,476.35,477.15,86642,54.05
2025-12-16,477.15,479.45,472.75,478.0,71698,80.32
2025-12-17,478.5,482.3,476.25,479.0,85826,60.76
2025-12-18,480.95,482.65,472.75,479.0,96525,54.31
2025-12-19,481.0,481.25,471.05,479.7,64421,43.33
2025-12-22,482.0,486.0,480.1,485.2,35862,54.29
2025-12-23,485.2,490.0,482.1,485.0,42939,37.49
2025-12-24,485.0,488.25,479.0,485.35,103360,54.63
2025-12-25,485.0,488.25,479.0,485.35,103360,54.63
2025-12-26,486.6,489.9,481.4,482.5,32684,30.34
2025-12-29,485.0,485.0,478.5,483.7,39436,57.44
2025-12-30,483.6,484.0,472.0,473.45,30021,45.66
2025-12-31,473.4,481.0,473.1,477.25,28223,47.13
2026-01-01,476.0,479.7,473.3,474.7,26416,40.88
2026-01-02,474.9,480.0,473.0,479.35,32039,37.44
2026-01-05,482.1,482.1,473.6,477.2,36497,55.65
2026-01-06,475.2,476.15,471.0,471.7,49271,54.73
2026-01-07,470.05,479.75,466.5,475.25,82534,31.23
2026-01-08,477.45,477.8,468.0,469.0,54636,50.0
2026-01-09,469.0,469.2,459.35,461.35,85057,46.14
2026-01-12,458.0,458.75,440.2,446.55,126056,37.88
2026-01-13,446.6,452.5,433.35,436.15,101953,53.9
2026-01-14,435.4,440.65,432.5,435.55,49433,44.83
2026-01-15,435.4,440.65,432.5,435.55,49433,44.83
2026-01-16,436.05,439.1,430.1,434.25,39245,48.77
2026-01-19,430.0,433.4,420.75,422.3,65092,48.28
2026-01-20,422.45,468.0,387.3,410.1,14839329,6.45
2026-01-21,392.4,404.4,382.9,393.55,1696389,16.91
2026-01-22,397.8,404.0,389.25,393.2,301274,24.95
2026-01-23,392.0,399.0,384.5,392.55,210544,31.4
2026-01-26,392.0,399.0,384.5,392.55,210544,31.4
2026-01-27,395.0,395.0,384.55,386.6,145456,31.92
2026-01-28,385.1,398.6,385.1,397.7,128550,42.25
2026-01-29,396.0,397.7,386.2,387.95,98122,31.41
2026-01-30,387.7,427.0,385.0,414.55,886349,14.61
2026-02-02,405.9,405.9,392.5,396.85,95165,42.06
2026-02-03,404.0,442.0,403.0,416.7,538922,15.91
2026-02-04,415.95,419.95,412.2,415.3,86026,37.39
2026-02-05,413.0,423.25,409.3,414.7,96235,39.63
2026-02-06,412.15,414.1,406.75,412.7,55059,34.41
2026-02-09,417.95,430.0,389.0,408.6,2110577,10.82
2026-02-10,403.8,404.95,387.9,399.95,1535102,62.11
2026-02-11,404.0,404.05,386.3,389.75,731213,66.38
2026-02-12,389.05,391.3,382.1,384.4,188067,40.85
2026-02-13,384.4,384.4,375.0,376.85,268050,59.71
2026-02-16,378.05,381.95,373.6,379.15,93982,34.24
2026-02-17,377.05,385.5,376.75,384.45,69455,38.96
2026-02-18,384.5,388.75,378.0,383.9,121718,38.51
2026-02-19,383.9,391.95,381.25,383.05,109055,35.74
2026-02-20,381.05,388.1,377.9,384.55,81275,36.19
2026-02-23,384.0,387.75,378.25,380.05,54898,42.4
2026-02-24,379.6,379.65,368.0,370.0,175602,56.23
2026-02-25,373.45,373.75,367.7,368.6,91311,47.36
2026-02-26,369.1,375.0,368.85,372.6,67526,40.64
2026-02-27,372.6,374.0,361.15,364.8,116489,52.22
2026-03-02,348.8,362.8,348.8,361.25,95470,54.27
2026-03-03,348.8,362.8,348.8,361.25,95470,54.27
2026-03-04,360.0,360.35,350.5,358.05,70462,46.13
2026-03-05,358.05,360.3,353.0,356.5,48774,49.0
2026-03-06,353.5,361.9,353.5,355.95,66114,38.53
2026-03-09,354.25,359.95,341.55,354.95,142001,45.87
2026-03-10,358.0,383.9,352.5,377.1,226343,27.35
2026-03-11,380.85,388.65,372.7,380.15,306156,27.52
2026-03-12,385.0,411.5,376.5,383.3,2414989,10.3
2026-03-13,384.15,389.8,364.7,372.75,259683,30.43
2026-03-16,368.7,368.7,353.85,360.9,212959,33.56
2026-03-17,368.0,398.0,336.9,342.45,4941526,10.51
2026-03-18,342.45,351.0,339.45,348.3,430074,25.56
2026-03-19,346.0,346.0,335.05,337.55,289243,26.64
