DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,69.45,69.45,66.75,67.76,93661,70.49
2025-04-15,67.56,68.7,66.51,66.96,57639,54.9
2025-04-16,67.65,67.65,65.6,66.1,44856,59.49
2025-04-17,67.1,67.19,63.85,64.61,140357,37.08
2025-04-21,65.6,66.1,63.5,63.9,126593,50.07
2025-04-22,64.43,64.43,61.11,61.87,170843,40.04
2025-04-23,62.55,63.64,61.21,62.19,132968,29.58
2025-04-24,62.99,62.99,58.5,60.27,566376,58.79
2025-04-25,60.98,61.09,57.0,58.37,174540,27.88
2025-04-28,59.54,61.0,57.1,57.7,144910,35.95
2025-04-29,58.26,58.46,56.6,56.96,52238,50.23
2025-04-30,56.96,57.08,55.0,55.16,114677,34.36
2025-05-02,55.35,56.78,53.81,54.63,83459,39.93
2025-05-05,55.04,55.73,53.28,53.97,87769,69.24
2025-05-06,54.49,54.54,52.5,52.81,65054,57.26
2025-05-07,52.1,53.53,51.51,52.97,58716,48.34
2025-05-08,53.02,54.8,52.2,52.69,55896,52.96
2025-05-09,51.64,52.69,51.31,52.27,23497,47.53
2025-05-12,56.0,56.69,53.6,55.93,123155,80.48
2025-05-13,55.1,57.9,55.0,55.98,56103,61.33
2025-05-14,57.1,57.44,54.85,55.0,124576,74.57
2025-05-15,56.1,56.83,54.5,54.71,109268,56.96
2025-05-16,55.8,55.8,54.1,54.42,129444,66.38
2025-05-19,54.42,57.92,54.4,54.78,185527,64.65
2025-05-20,55.88,55.88,53.22,53.63,107946,64.96
2025-05-21,54.0,54.64,52.7,52.83,88330,67.3
2025-05-22,53.7,54.3,52.62,52.73,75648,51.76
2025-05-23,53.0,53.75,52.3,52.98,58455,68.95
2025-05-26,54.3,54.75,52.7,52.98,67688,59.11
2025-05-27,52.98,53.12,51.8,51.98,174620,76.91
2025-05-28,53.6,53.6,50.61,50.97,193595,68.72
2025-05-29,51.9,51.9,49.62,49.97,228712,76.51
2025-05-30,50.48,50.69,49.2,49.99,239996,58.27
2025-06-02,51.34,57.24,51.34,53.04,1097784,47.09
2025-06-03,53.5,55.48,51.5,52.35,549479,71.17
2025-06-04,52.5,54.1,50.66,50.98,189251,74.81
2025-06-05,52.9,52.9,50.82,51.03,121891,56.1
2025-06-06,51.1,52.24,51.02,51.95,116657,38.96
2025-06-09,52.9,57.5,52.8,54.85,1030771,55.56
2025-06-10,56.85,63.9,54.6,54.94,2570835,40.17
2025-06-11,56.45,56.9,54.35,54.49,905286,67.05
2025-06-12,54.9,55.64,52.61,52.93,352360,57.14
2025-06-13,51.5,53.79,50.0,51.99,305447,55.74
2025-06-16,52.01,53.01,49.76,49.95,1149671,66.95
2025-06-17,49.95,51.95,49.7,49.98,692259,67.71
2025-06-18,50.46,50.46,49.54,49.96,127369,52.7
2025-06-19,50.0,50.35,48.73,49.4,155586,56.33
2025-06-20,49.41,50.89,48.8,50.27,122195,51.95
2025-06-23,50.6,50.79,48.86,49.76,164318,47.73
2025-06-24,50.4,51.16,49.99,50.16,116730,53.52
2025-06-25,50.16,51.1,49.86,49.95,219548,67.8
2025-06-26,50.45,50.45,49.7,49.98,115334,64.33
2025-06-27,50.15,54.7,49.95,50.05,1129624,31.15
2025-06-30,50.55,52.5,49.72,50.02,1498606,47.45
2025-07-01,49.71,50.67,49.71,50.01,699291,80.34
2025-07-02,50.4,51.61,48.53,49.07,619690,52.3
2025-07-03,49.55,50.16,48.63,48.87,856755,74.29
2025-07-04,49.3,49.6,48.66,49.35,156533,35.44
2025-07-07,49.75,49.75,48.8,48.97,108459,58.99
2025-07-08,48.62,50.33,48.62,50.06,305018,53.09
2025-07-09,50.1,51.1,49.91,49.97,254903,50.08
2025-07-10,50.48,50.54,49.53,49.86,739869,82.44
2025-07-11,50.1,50.3,48.85,48.99,869889,79.86
2025-07-14,49.4,49.44,48.73,49.03,301449,80.48
2025-07-15,49.27,49.54,48.77,48.89,277433,61.98
2025-07-16,48.8,49.4,48.8,49.05,81211,47.0
2025-07-17,49.5,49.5,48.85,48.91,105648,59.89
2025-07-18,49.4,50.6,48.75,49.01,399829,48.99
2025-07-21,49.2,50.0,48.82,49.01,204918,55.18
2025-07-22,49.5,49.5,48.75,48.92,474337,88.39
2025-07-23,48.95,49.31,48.9,49.03,116848,60.53
2025-07-24,49.2,49.45,48.75,48.9,144665,52.07
2025-07-25,48.66,49.16,48.66,48.79,109629,55.02
2025-07-28,48.85,52.5,48.4,48.62,734236,48.68
2025-07-29,48.41,49.33,47.75,47.85,233886,50.16
2025-07-30,47.64,48.9,47.64,47.94,125623,46.0
2025-07-31,46.5,48.4,46.19,47.88,167781,49.83
2025-08-01,47.4,48.35,47.1,47.36,101164,44.39
2025-08-04,47.11,47.64,46.4,46.72,93864,55.97
2025-08-05,46.41,48.0,46.21,47.2,147540,48.17
2025-08-06,46.5,48.38,44.41,47.65,533121,45.65
2025-08-07,46.5,46.84,45.5,45.81,77695,53.35
2025-08-08,45.16,46.19,42.56,43.67,491016,66.52
2025-08-11,49.0,52.0,47.1,49.1,1847768,22.33
2025-08-12,49.0,49.92,47.5,48.57,266171,22.31
2025-08-13,49.05,49.65,48.0,48.75,98937,54.3
2025-08-14,48.24,48.77,47.57,47.71,65705,70.28
2025-08-18,48.15,49.14,47.92,47.98,65688,59.94
2025-08-19,48.34,48.5,47.5,47.64,87768,78.98
2025-08-20,47.15,48.25,47.15,47.77,57895,61.88
2025-08-21,47.3,49.65,47.3,47.95,152313,58.21
2025-08-22,47.41,49.23,46.5,46.77,356241,36.06
2025-08-25,47.0,47.88,46.5,46.87,165846,51.77
2025-08-26,47.02,47.19,45.5,45.66,116180,31.04
2025-08-28,46.94,46.94,45.49,45.61,115063,25.91
2025-08-29,45.49,46.85,45.18,45.85,129977,13.44
2025-09-01,46.62,46.79,45.51,45.79,131689,21.08
2025-09-02,45.7,46.76,45.7,45.81,107350,24.55
2025-09-03,46.15,46.49,45.82,46.12,87184,29.34
2025-09-04,46.12,46.89,46.02,46.5,109882,43.2
2025-09-05,46.65,47.87,46.25,46.85,127713,29.58
2025-09-08,47.75,47.75,46.5,46.88,62626,32.79
2025-09-09,47.3,47.4,45.91,46.01,102195,62.33
2025-09-10,46.45,47.2,45.21,45.48,192392,71.54
2025-09-11,45.48,46.45,44.55,44.97,182322,58.51
2025-09-12,45.1,46.01,44.98,45.5,86527,39.75
2025-09-15,45.98,45.98,45.0,45.29,52950,46.78
2025-09-16,45.84,46.29,45.41,46.05,96744,73.26
2025-09-17,46.49,46.68,45.8,46.2,74669,62.69
2025-09-18,46.6,46.6,45.81,46.04,42287,49.56
2025-09-19,46.39,47.26,45.84,46.77,133668,44.28
2025-09-22,47.71,47.71,46.81,47.01,65094,56.86
2025-09-23,47.6,47.71,44.53,44.84,227257,65.62
