DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,3760.0,3760.0,3700.0,3709.9,378,50.0
2025-04-15,3700.1,3897.0,3700.0,3853.1,1032,44.48
2025-04-16,3900.0,3900.0,3775.0,3799.5,700,73.57
2025-04-17,3814.0,3814.0,3706.0,3742.5,215,71.16
2025-04-21,3701.3,3889.6,3700.0,3788.6,1877,53.12
2025-04-22,3748.2,3840.5,3729.2,3802.9,438,45.43
2025-04-23,3848.4,3897.0,3816.1,3879.8,1535,51.99
2025-04-24,3915.0,4211.0,3879.8,4135.8,9668,44.52
2025-04-25,4175.0,4209.1,4024.8,4109.8,3798,47.34
2025-04-28,4109.8,4140.0,4054.1,4101.9,1717,59.87
2025-04-29,4120.6,4250.0,4118.2,4125.2,1164,54.12
2025-04-30,4133.0,4171.9,3950.1,4107.7,17011,89.87
2025-05-02,4159.9,4400.0,4100.0,4115.7,4758,31.48
2025-05-05,4115.7,4167.1,4110.0,4146.3,1076,45.17
2025-05-06,4153.9,4159.7,4001.3,4060.8,1478,58.46
2025-05-07,3999.9,4130.0,3880.1,3907.4,1735,49.86
2025-05-08,3907.4,4064.5,3907.4,4000.7,1304,78.14
2025-05-09,3994.1,4150.0,3900.0,3908.0,12121,86.35
2025-05-12,3906.1,4025.0,3900.0,3968.0,1612,52.48
2025-05-13,3972.7,4100.0,3929.8,4096.7,1895,69.02
2025-05-14,4100.0,4143.9,3971.0,4015.4,2231,52.31
2025-05-15,4030.0,4319.9,4015.4,4292.9,3016,60.58
2025-05-16,4292.0,4444.0,4251.0,4303.1,2306,41.89
2025-05-19,4367.6,4403.9,4210.9,4299.1,1611,49.66
2025-05-20,4356.0,4390.0,4275.2,4310.8,1265,49.96
2025-05-21,4351.7,4373.8,4236.4,4290.7,906,47.02
2025-05-22,4259.3,4347.0,4246.1,4321.7,629,64.07
2025-05-23,4350.0,4350.0,4273.3,4307.8,643,45.1
2025-05-26,4307.8,4345.9,4252.1,4268.9,616,56.01
2025-05-27,4276.0,4319.9,4215.6,4264.0,737,48.44
2025-05-28,4262.7,4350.0,4191.9,4257.6,980,57.45
2025-05-29,4316.0,4350.0,4211.0,4258.0,424,46.23
2025-05-30,4254.4,4289.6,4140.0,4189.1,505,53.86
2025-06-02,4172.0,4201.2,4025.1,4050.7,1438,58.76
2025-06-03,4104.0,4132.5,3900.0,3942.9,1541,60.87
2025-06-04,3905.0,4031.9,3900.0,3915.2,2366,43.83
2025-06-05,3954.4,4000.0,3900.0,3905.6,5420,78.76
2025-06-06,3950.0,3975.8,3925.1,3944.4,719,42.14
2025-06-09,3989.8,4056.0,3966.5,4000.3,10093,75.15
2025-06-10,4041.6,4173.9,3964.2,4087.7,3613,63.49
2025-06-11,4141.5,4141.5,4016.1,4056.2,9022,84.85
2025-06-12,4096.8,4100.0,3900.0,3913.0,4197,62.09
