DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-07-21,21.45,22.87,21.22,21.25,7372,90.68
2026-07-22,21.04,21.08,20.83,20.95,1410,99.93
2026-07-23,21.37,24.9,20.53,24.9,1705,37.07
2026-07-24,21.7,21.77,20.17,20.97,82583,81.1
2026-07-27,20.97,20.98,20.75,20.87,14201,99.92
2026-07-28,20.65,21.33,20.5,20.73,18109,72.79
2026-07-29,20.81,20.98,20.79,20.92,5786,83.13
2026-07-30,21.19,21.19,20.71,21.03,1806,86.38
2026-07-31,21.03,21.03,20.8,20.98,933,98.82
2026-08-03,20.98,21.15,20.82,20.82,5999,79.75
2026-08-04,20.99,21.09,20.76,20.79,4192,99.0
