DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,520.99,524.88,517.01,522.84,806992,51.63
2025-04-15,528.01,537.1,526.39,536.28,1026742,62.09
2025-04-16,536.29,544.2,536.09,543.8,1490564,62.09
2025-04-17,543.81,557.0,543.38,555.79,3106846,71.56
2025-04-21,558.11,567.65,555.79,566.23,2111190,58.12
2025-04-22,566.23,574.01,565.61,570.48,1870294,50.75
2025-04-23,572.68,574.69,565.0,567.42,1680911,70.29
2025-04-24,566.0,568.98,564.4,565.1,652143,57.23
2025-04-25,566.24,567.2,555.01,559.55,1508062,56.69
2025-04-28,562.99,569.0,556.41,567.68,1000861,43.32
2025-04-29,567.68,573.0,566.0,566.83,602431,43.3
2025-04-30,571.98,571.98,562.82,564.06,617636,46.15
2025-05-02,572.0,572.0,563.05,564.11,793604,50.26
2025-05-05,568.99,568.99,561.21,562.35,429473,36.94
2025-05-06,565.98,565.98,555.0,555.36,625452,59.26
2025-05-07,555.15,559.95,551.9,558.51,873719,39.04
2025-05-08,560.38,562.48,554.0,556.76,828561,67.72
2025-05-09,554.0,554.5,548.01,549.13,697207,65.74
2025-05-12,556.0,569.2,556.0,567.97,1209442,53.99
2025-05-13,566.0,568.22,562.0,563.24,594110,62.34
2025-05-14,563.91,565.9,558.35,561.43,671655,51.33
2025-05-15,563.04,568.0,558.0,566.7,1042600,39.14
2025-05-16,567.99,568.49,565.71,567.6,1174088,68.78
2025-05-19,569.0,571.25,567.0,568.28,1245002,59.71
2025-05-20,568.28,570.74,563.35,564.01,717966,68.74
2025-05-21,564.01,567.3,561.06,564.6,703293,62.91
2025-05-22,564.89,564.99,559.7,563.21,1292006,75.63
2025-05-23,563.21,568.42,562.5,567.95,373606,64.36
2025-05-26,570.0,572.9,567.07,569.8,559703,55.88
2025-05-27,569.79,572.55,564.87,568.23,786219,42.87
2025-05-28,568.78,569.38,567.0,568.2,357580,60.26
2025-05-29,569.0,572.58,565.65,569.64,836021,53.16
2025-05-30,572.0,572.47,568.12,572.1,932822,66.4
2025-06-02,572.1,573.98,569.01,573.52,1049632,64.99
2025-06-03,574.0,578.0,569.01,569.94,1456915,81.29
2025-06-04,571.44,571.7,568.22,570.86,510424,52.01
2025-06-05,570.86,574.19,570.0,571.78,939189,68.57
2025-06-06,573.99,582.4,569.91,581.94,2928026,60.43
2025-06-09,585.5,585.74,582.13,584.42,581396,55.38
2025-06-10,585.88,585.88,580.5,581.09,660841,69.46
2025-06-11,583.99,583.99,579.0,579.35,1074224,62.2
2025-06-12,579.36,581.07,574.4,575.33,774218,71.65
2025-06-13,570.99,571.43,567.68,569.14,1152460,52.66
