DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,4430.0,4635.95,4410.4,4486.05,41748,41.38
2025-04-15,4580.0,4587.0,4470.0,4543.6,20817,40.61
2025-04-16,4566.3,4631.0,4518.0,4526.2,19342,37.2
2025-04-17,4528.0,4590.5,4458.0,4469.8,23652,51.94
2025-04-21,4469.8,4681.0,4426.3,4657.5,45006,38.82
2025-04-22,4700.0,4751.2,4640.4,4659.1,31154,39.39
2025-04-23,4700.0,4727.2,4590.0,4600.4,21422,49.61
2025-04-24,4624.0,4696.7,4587.6,4615.1,17499,47.25
2025-04-25,4623.0,4640.5,4450.2,4524.9,18448,37.56
2025-04-28,4512.0,4531.2,4460.0,4489.4,13770,37.02
2025-04-29,4511.8,4553.9,4451.8,4471.5,8912,41.55
2025-04-30,4493.0,4493.0,4351.3,4391.2,22865,62.0
2025-05-02,4390.0,4390.0,4290.0,4298.8,22518,50.31
2025-05-05,4333.9,4380.0,4271.0,4376.4,12226,40.69
2025-05-06,4396.0,4403.3,4301.3,4319.4,11105,55.83
2025-05-07,4205.1,4369.0,4205.0,4360.7,14614,42.51
2025-05-08,4381.8,4525.9,4300.0,4328.1,21582,26.42
2025-05-09,4300.0,4344.0,4228.6,4330.2,7737,40.64
2025-05-12,4470.0,4520.0,4400.0,4496.8,18783,48.17
2025-05-13,4510.0,4620.0,4480.1,4565.7,24187,43.22
2025-05-14,4605.1,4665.7,4360.0,4475.9,123140,26.31
2025-05-15,4425.0,4519.0,4352.0,4506.2,33837,46.08
2025-05-16,4500.0,4699.0,4471.2,4572.6,48817,41.33
2025-05-19,4572.7,4955.0,4563.3,4902.9,138035,32.04
2025-05-20,5150.0,5424.0,5052.0,5304.3,887083,11.22
2025-05-21,5300.0,5300.0,5131.0,5205.7,90158,32.05
2025-05-22,5205.7,5324.9,5158.0,5195.2,52172,30.96
2025-05-23,5196.4,5255.0,5121.1,5168.3,24654,28.83
2025-05-26,5192.5,5389.0,5136.5,5336.0,79485,30.13
2025-05-27,5370.0,5390.0,5220.1,5240.6,38766,40.85
2025-05-28,5278.0,5388.4,5229.8,5323.4,55361,31.48
2025-05-29,5374.0,5400.0,5259.0,5268.2,37696,46.93
2025-05-30,5268.0,5315.9,5191.1,5212.6,27106,51.7
2025-06-02,5205.0,5257.5,5155.5,5168.5,21049,43.82
2025-06-03,5208.0,5300.0,5163.0,5196.5,23302,31.04
2025-06-04,5204.0,5234.5,5160.5,5174.5,12471,53.66
2025-06-05,5194.5,5210.0,5101.0,5115.5,18211,51.71
2025-06-06,5066.5,5112.0,4959.0,4994.0,37153,52.66
2025-06-09,4999.0,5085.0,4975.0,5023.0,23422,45.55
2025-06-10,5050.0,5087.5,4965.0,4998.0,18156,43.47
2025-06-11,5024.0,5030.5,4952.0,4994.0,15508,45.66
2025-06-12,5019.5,5218.0,4970.0,4998.5,72265,25.45
2025-06-13,4949.0,5073.0,4910.0,4998.5,21180,31.81
2025-06-16,4998.5,5104.5,4915.5,5079.5,20435,38.29
2025-06-17,5108.0,5158.0,5047.5,5083.0,28234,38.29
2025-06-18,5110.0,5125.0,5007.0,5027.0,11821,43.03
2025-06-19,5025.0,5049.5,4888.0,4910.5,20697,40.27
2025-06-20,4902.0,4938.5,4864.0,4899.0,13483,44.23
2025-06-23,4920.0,4936.5,4860.0,4924.5,12557,33.14
