DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,1245.0,1249.0,1232.1,1241.85,118164,59.28
2025-04-15,1255.0,1255.9,1227.5,1229.8,124053,43.56
2025-04-16,1232.4,1243.4,1228.5,1234.3,69240,39.83
2025-04-17,1234.0,1244.0,1221.0,1224.5,142466,52.47
2025-04-21,1225.0,1232.5,1200.1,1203.2,327255,57.59
2025-04-22,1209.2,1233.4,1206.1,1227.0,244250,46.61
2025-04-23,1234.8,1235.0,1216.1,1231.8,123622,40.46
2025-04-24,1232.5,1237.6,1217.9,1224.8,123479,45.52
2025-04-25,1225.0,1232.3,1207.0,1210.8,90065,42.43
2025-04-28,1212.9,1226.1,1204.5,1219.5,102209,58.98
2025-04-29,1226.0,1229.0,1210.0,1211.7,74759,53.9
2025-04-30,1214.8,1215.0,1199.6,1208.4,146934,59.08
2025-05-02,1210.9,1218.8,1190.1,1197.5,225981,51.41
2025-05-05,1200.9,1209.6,1200.9,1206.2,39893,44.81
2025-05-06,1210.0,1220.0,1202.5,1207.0,84133,51.41
2025-05-07,1198.5,1215.0,1194.7,1212.7,68136,38.63
2025-05-08,1211.0,1230.1,1200.0,1203.1,175372,60.5
2025-05-09,1190.0,1200.0,1185.0,1195.8,51791,41.52
2025-05-12,1226.0,1227.0,1202.8,1214.9,117413,43.69
2025-05-13,1219.0,1234.7,1200.0,1202.8,256341,48.6
2025-05-14,1210.0,1218.0,1202.0,1210.4,233326,51.63
2025-05-15,1212.0,1239.0,1206.5,1236.0,204930,62.45
2025-05-16,1240.0,1278.9,1240.0,1248.5,166535,44.16
2025-05-19,1258.5,1259.0,1240.3,1244.8,114834,47.23
2025-05-20,1244.8,1253.0,1211.6,1215.9,112488,50.61
2025-05-21,1219.0,1263.7,1212.8,1258.6,251868,34.45
2025-05-22,1252.5,1264.9,1242.5,1261.0,438276,86.35
2025-05-23,1262.0,1278.0,1257.5,1275.7,141231,46.95
2025-05-26,1275.7,1300.7,1273.3,1285.1,161428,53.56
2025-05-27,1290.0,1290.0,1266.6,1278.7,73024,48.2
2025-05-28,1279.9,1281.9,1260.1,1276.8,101887,41.19
2025-05-29,1260.0,1294.2,1246.6,1259.4,277303,40.85
2025-05-30,1259.4,1267.0,1251.1,1263.8,286925,79.7
2025-06-02,1263.8,1272.9,1251.3,1261.1,75922,47.54
2025-06-03,1260.2,1263.3,1226.0,1228.2,133364,47.07
2025-06-04,1233.9,1237.5,1220.3,1222.6,79568,43.76
2025-06-05,1222.6,1231.1,1200.0,1210.2,200790,42.57
2025-06-06,1210.5,1222.1,1208.9,1218.9,77202,47.36
2025-06-09,1228.9,1230.6,1217.5,1218.8,136643,56.29
2025-06-10,1221.9,1224.0,1216.5,1220.1,70957,56.89
2025-06-11,1226.0,1226.0,1213.3,1220.2,102373,52.86
2025-06-12,1220.2,1231.9,1210.8,1214.1,98032,47.3
2025-06-13,1206.0,1220.1,1205.0,1214.1,58602,42.63
2025-06-16,1215.9,1219.9,1203.3,1216.8,52912,39.68
2025-06-17,1217.0,1226.6,1212.3,1218.4,58384,48.98
2025-06-18,1218.4,1222.1,1207.1,1210.4,40915,45.58
2025-06-19,1213.0,1215.8,1201.0,1203.4,34659,45.28
2025-06-20,1206.0,1209.8,1196.1,1199.5,67016,51.12
2025-06-23,1195.0,1212.9,1193.5,1197.1,65106,40.33
2025-06-24,1206.2,1209.0,1199.2,1201.7,63380,42.04
2025-06-25,1207.8,1220.0,1202.6,1215.0,62381,47.46
2025-06-26,1218.8,1224.9,1205.2,1223.1,108979,44.89
2025-06-27,1226.5,1234.8,1219.5,1231.2,87493,56.28
2025-06-30,1236.0,1243.5,1218.0,1221.2,139106,53.77
2025-07-01,1221.9,1235.0,1220.0,1232.0,62902,46.06
2025-07-02,1235.0,1236.9,1223.2,1229.4,60087,44.69
2025-07-03,1234.0,1245.0,1227.0,1231.1,104015,47.8
2025-07-04,1233.0,1243.2,1232.3,1238.8,64545,48.32
