DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,4768.0,4894.9,4738.1,4826.9,26414,54.1
2025-04-15,4884.0,4884.0,4780.6,4798.4,25265,67.36
2025-04-16,4800.0,4880.0,4798.6,4860.0,61296,72.26
2025-04-17,4899.5,5095.0,4822.9,4997.5,50041,47.59
2025-04-21,5005.1,5027.3,4878.0,4897.2,22656,59.2
2025-04-22,4917.2,4970.0,4881.0,4893.8,24216,56.13
2025-04-23,4901.0,4994.0,4856.9,4950.7,32623,65.1
2025-04-24,4968.0,5038.5,4934.0,4981.2,16776,49.12
2025-04-25,5020.9,5020.9,4783.5,4897.4,32902,67.65
2025-04-28,4897.0,4897.0,4764.9,4793.8,18810,54.45
2025-04-29,4810.0,4898.0,4750.7,4767.2,18479,49.61
2025-04-30,4773.4,4793.5,4679.7,4690.4,15958,52.15
2025-05-02,4670.0,4759.9,4400.0,4677.8,23158,49.93
2025-05-05,4723.9,4723.9,4601.6,4655.1,29892,50.96
2025-05-06,4657.8,4779.0,4657.8,4687.4,19862,34.49
2025-05-07,4690.0,4712.1,4610.0,4677.2,37087,53.55
2025-05-08,4718.7,4718.7,4594.0,4614.6,20463,48.39
2025-05-09,4510.0,4636.0,4509.3,4617.9,9736,44.93
2025-05-12,4700.0,4786.2,4686.1,4774.1,23576,64.3
2025-05-13,4795.0,4803.0,4701.0,4766.3,47026,64.59
2025-05-14,4808.7,4901.0,4752.2,4884.7,34562,49.84
2025-05-15,4889.0,5030.0,4863.4,4965.3,26684,52.24
2025-05-16,5026.0,5059.8,4933.0,5040.7,21617,51.43
2025-05-19,5064.9,5143.6,5005.0,5079.8,35122,63.33
2025-05-20,5079.8,5134.2,4979.1,5107.4,46620,71.46
2025-05-21,5107.4,5199.0,5070.0,5148.3,37716,48.74
2025-05-22,5150.0,5175.8,5041.4,5056.9,16269,56.62
2025-05-23,5065.0,5090.5,4965.0,4989.2,17620,64.59
2025-05-26,5053.1,5151.0,5020.0,5130.8,53931,63.88
2025-05-27,5598.9,5857.9,5500.0,5674.0,1587717,12.29
2025-05-28,5704.0,5750.0,5606.6,5715.5,127721,26.99
2025-05-29,5720.0,5848.0,5654.0,5693.0,94566,30.76
2025-05-30,5731.5,5731.5,5560.0,5678.3,38630,50.87
2025-06-02,5561.0,5682.0,5561.0,5617.0,26735,54.37
2025-06-03,5660.0,5717.0,5580.5,5628.0,38020,59.71
2025-06-04,5747.0,5769.5,5550.0,5599.5,49218,31.31
2025-06-05,5600.0,5637.0,5544.0,5575.0,25725,43.89
2025-06-06,5575.0,5600.5,5472.5,5498.0,17366,49.39
2025-06-09,5460.5,5529.0,5438.5,5493.0,25411,50.66
2025-06-10,5519.5,5539.5,5420.0,5429.0,18089,50.75
2025-06-11,5449.5,5533.0,5425.0,5450.0,21182,41.06
2025-06-12,5450.0,5515.0,5378.5,5387.0,17011,49.09
2025-06-13,5320.0,5509.5,5315.0,5451.0,27278,43.0
2025-06-16,5426.0,5585.5,5401.0,5501.5,27576,42.28
2025-06-17,5509.5,5671.5,5457.5,5654.5,34261,51.29
2025-06-18,5654.5,5681.5,5590.5,5659.5,20299,51.33
2025-06-19,5678.0,5749.0,5570.5,5594.5,40201,33.95
2025-06-20,5590.5,5635.0,5496.5,5550.5,52876,74.39
2025-06-23,5551.0,5578.5,5485.0,5511.0,11466,43.85
2025-06-24,5574.0,5726.0,5500.0,5654.5,30120,43.84
2025-06-25,5645.0,5757.5,5621.0,5750.0,36366,59.59
2025-06-26,5750.5,5968.5,5712.0,5911.0,59847,48.57
2025-06-27,5914.0,6187.0,5900.0,6114.0,197557,75.12
2025-06-30,6148.0,6393.5,6070.5,6294.5,128839,59.01
2025-07-01,6270.0,6387.0,6229.0,6361.0,90213,69.25
2025-07-02,6369.0,6484.0,6318.5,6386.5,116349,72.7
2025-07-03,6399.0,6451.0,6353.0,6405.5,40808,66.15
2025-07-04,6388.0,6474.0,6376.5,6435.5,45583,72.93
2025-07-07,6477.5,6511.0,6351.0,6438.0,36241,70.64
2025-07-08,6437.0,6498.0,6348.0,6482.5,57710,76.05
2025-07-09,6492.0,6500.0,6423.0,6443.0,30902,76.65
2025-07-10,6425.0,6437.0,6190.0,6282.0,42439,42.93
2025-07-11,6282.0,6282.0,6135.0,6196.0,42710,67.71
2025-07-14,6180.0,6239.5,6164.5,6224.5,25130,72.12
2025-07-15,6282.5,6410.0,6209.0,6359.0,70614,73.32
2025-07-16,6360.0,6374.5,6229.0,6340.0,35659,71.12
2025-07-17,6343.0,6386.5,6308.0,6354.5,15113,74.37
2025-07-18,6303.0,6385.0,6250.0,6347.5,25168,62.32
2025-07-21,6348.0,6348.0,6266.5,6288.0,7783,55.35
2025-07-22,6341.5,6370.0,6209.0,6280.5,10420,54.73
2025-07-23,6245.0,6422.0,6245.0,6353.5,21831,60.5
2025-07-24,6388.0,6414.0,6332.0,6364.0,24133,67.56
2025-07-25,6356.5,6360.0,6210.5,6336.0,27768,66.44
2025-07-28,6326.0,6491.0,6253.5,6327.5,37725,57.92
2025-07-29,6330.0,6445.0,6302.5,6352.0,20187,63.66
2025-07-30,6383.5,6509.5,6250.0,6335.0,64578,53.44
2025-07-31,6320.0,6450.5,6290.0,6322.5,23099,54.22
2025-08-01,6405.0,6429.0,6110.5,6254.5,29477,54.24
2025-08-04,6255.0,6334.0,6191.5,6251.0,27187,55.69
2025-08-05,6298.5,6325.0,6210.5,6281.0,32963,67.5
2025-08-06,6343.0,6415.0,5930.0,6019.0,180726,31.37
2025-08-07,5990.0,6019.0,5611.5,5677.5,129955,40.84
2025-08-08,5655.0,5735.0,5485.5,5572.5,34360,46.8
2025-08-11,5540.0,5695.0,5512.5,5631.0,17643,40.04
2025-08-12,5674.0,5700.0,5580.0,5642.0,20256,40.71
2025-08-13,5620.0,5669.0,5589.0,5652.5,13338,49.64
2025-08-14,5670.0,5673.5,5563.5,5649.5,15509,49.76
2025-08-18,5649.5,5706.0,5500.5,5521.5,35451,58.54
2025-08-19,5529.5,5577.0,5461.5,5564.0,15107,43.59
2025-08-20,5598.0,5620.0,5558.5,5582.5,12879,50.52
2025-08-21,5630.0,5649.5,5580.0,5594.5,7939,56.2
2025-08-22,5597.0,5620.0,5500.0,5519.0,21970,66.65
2025-08-25,5542.0,5590.0,5485.5,5501.0,14967,65.01
2025-08-26,5515.0,5525.0,5310.0,5331.0,26673,70.95
2025-08-28,5331.0,5367.0,5258.5,5269.0,20770,52.58
2025-08-29,5253.5,5280.0,5194.0,5231.5,20747,68.49
2025-09-01,5294.5,5294.5,5200.0,5214.0,17857,63.83
2025-09-02,5235.5,5297.5,5175.5,5202.5,19449,44.2
2025-09-03,5227.0,5240.0,5151.0,5176.0,36202,66.29
2025-09-04,5230.0,5255.0,5100.0,5112.0,28723,55.04
2025-09-05,5133.0,5177.0,5061.0,5082.5,13820,53.39
2025-09-08,5078.5,5169.0,5030.0,5057.0,18722,60.73
2025-09-09,5096.5,5130.0,5034.5,5103.0,21210,45.96
2025-09-10,5124.0,5175.0,5078.5,5109.5,18489,43.19
2025-09-11,5125.0,5158.5,5103.5,5114.5,15903,56.0
2025-09-12,5174.5,5185.0,5056.0,5102.0,33093,64.58
2025-09-15,5102.0,5136.5,5060.0,5107.5,17389,61.94
2025-09-16,5129.0,5265.5,5105.0,5220.0,51229,49.94
2025-09-17,5230.0,5247.0,5151.0,5195.0,24755,44.86
2025-09-18,5199.0,5265.0,5156.5,5197.5,16489,51.04
2025-09-19,5200.0,5489.0,5179.0,5347.0,168651,69.62
2025-09-22,5346.0,5346.0,5218.0,5245.0,18880,39.15
2025-09-23,5250.0,5250.5,5048.0,5072.0,34850,61.21
2025-09-24,5050.0,5095.5,4991.0,5033.5,22444,50.53
2025-09-25,5049.0,5057.5,4945.0,4985.0,16217,59.64
2025-09-26,4969.5,5066.0,4900.5,5049.0,25501,52.08
2025-09-29,5089.0,5089.0,4870.0,4924.0,21487,60.82
2025-09-30,4924.0,4924.0,4792.0,4810.5,27309,65.4
2025-10-01,4810.0,4947.0,4791.0,4912.9,21727,48.42
2025-10-03,4922.0,5082.0,4902.8,5054.9,15757,58.43
2025-10-06,5075.0,5075.0,4980.0,4997.3,32408,70.13
2025-10-07,4997.3,5016.9,4967.3,4991.5,17401,57.96
2025-10-08,5010.9,5010.9,4966.3,4995.3,8489,56.11
2025-10-09,5005.0,5085.0,4946.6,5057.6,11518,41.84
2025-10-10,5074.0,5074.0,4977.1,5007.1,13426,53.76
2025-10-13,5001.5,5036.5,4970.0,5005.8,21790,59.64
2025-10-14,4975.0,5019.0,4955.1,4973.5,13774,58.15
2025-10-15,4980.0,5123.8,4956.8,5066.3,12731,56.96
2025-10-16,5097.0,5129.0,5034.7,5113.2,16234,61.37
2025-10-17,5149.9,5149.9,5001.0,5023.4,15301,57.0
2025-10-20,5055.6,5055.6,4961.0,4996.5,27374,49.95
2025-10-21,5040.0,5040.0,4998.1,5009.4,2069,67.57
2025-10-22,5040.0,5040.0,4998.1,5009.4,2069,67.57
2025-10-23,5010.0,5050.0,4969.0,4999.6,10646,57.34
2025-10-24,4988.0,5032.9,4975.2,5019.7,7777,52.96
2025-10-27,5069.0,5069.0,5013.1,5034.3,60069,88.9
2025-10-28,5058.8,5058.8,4940.0,4949.3,16802,68.47
2025-10-29,4925.0,4982.5,4540.0,4854.5,62518,44.55
2025-10-30,4940.0,5020.0,4870.7,4925.7,29614,24.96
2025-10-31,4900.1,4949.0,4870.0,4884.6,13502,56.3
2025-11-03,4884.6,4915.0,4860.0,4871.7,15239,65.82
2025-11-04,4871.0,4891.8,4799.0,4835.6,23304,54.43
2025-11-05,4871.0,4891.8,4799.0,4835.6,23304,54.43
2025-11-06,4825.0,4835.0,4725.0,4744.7,17129,77.61
2025-11-07,4744.7,4748.4,4584.5,4591.9,36965,58.45
2025-11-10,4600.4,4660.0,4578.0,4642.7,41457,59.23
2025-11-11,4622.0,4639.8,4489.0,4499.8,56460,71.67
2025-11-12,4510.6,4534.6,4431.0,4506.0,133028,72.27
2025-11-13,4545.9,4567.2,4497.0,4521.9,32409,53.55
2025-11-14,4452.1,4520.0,4434.8,4476.2,38442,59.28
2025-11-17,4488.0,4574.0,4460.7,4558.4,37804,57.32
2025-11-18,4579.0,4588.0,4500.0,4553.5,35549,72.21
2025-11-19,4553.5,4573.1,4516.7,4557.9,20576,42.21
2025-11-20,4570.0,4601.8,4506.1,4576.2,21063,47.83
2025-11-21,4551.0,4581.6,4522.0,4544.6,13079,49.3
2025-11-24,4544.6,4555.9,4500.0,4535.2,18057,39.5
2025-11-25,4558.0,4700.0,4510.9,4607.5,20992,41.74
2025-11-26,4624.9,4624.9,4571.9,4587.5,21457,59.84
2025-11-27,4775.0,4785.1,4438.0,4572.4,213098,30.22
2025-11-28,4552.0,4677.3,4504.5,4658.4,66966,38.14
2025-12-01,4640.0,4673.9,4560.0,4607.8,26533,43.04
2025-12-02,4600.0,4640.0,4579.0,4606.2,20731,43.57
2025-12-03,4610.0,4620.1,4500.0,4507.3,25766,58.27
2025-12-04,4512.0,4598.0,4490.1,4506.0,29368,33.71
2025-12-05,4506.0,4537.0,4467.3,4495.1,25290,53.38
2025-12-08,4488.0,4501.1,4422.0,4435.6,33272,63.8
2025-12-09,4435.6,4464.7,4385.5,4389.7,22152,67.14
2025-12-10,4407.0,4487.1,4391.8,4401.6,33952,52.14
2025-12-11,4395.0,4416.2,4385.0,4394.1,9584,70.01
2025-12-12,4403.0,4434.0,4390.0,4408.8,12510,55.61
2025-12-15,4424.8,4434.0,4380.1,4388.7,11926,66.12
2025-12-16,4408.8,4418.0,4360.3,4374.9,11415,65.93
2025-12-17,4375.0,4399.0,4330.0,4349.3,10076,65.01
2025-12-18,4358.1,4358.1,4282.0,4289.7,16249,73.08
2025-12-19,4292.1,4365.0,4275.2,4301.4,143667,88.06
2025-12-22,4350.0,4375.9,4329.0,4364.0,99197,92.4
2025-12-23,4387.8,4472.0,4372.4,4456.6,27068,56.53
2025-12-24,4469.0,4550.6,4455.6,4526.9,25153,54.22
2025-12-25,4469.0,4550.6,4455.6,4526.9,25153,54.22
2025-12-26,4546.9,4562.0,4390.0,4550.7,23427,38.54
2025-12-29,4589.0,4619.0,4500.0,4537.0,51463,40.69
2025-12-30,4515.0,4571.0,4464.9,4514.1,92192,53.57
2025-12-31,4559.2,4573.0,4510.6,4558.0,17316,39.44
2026-01-01,4558.0,4576.7,4525.1,4543.2,6730,45.13
2026-01-02,4564.0,4585.6,4529.9,4546.7,24554,52.52
2026-01-05,4535.0,4572.0,4521.0,4562.7,19666,65.74
2026-01-06,4560.5,4560.5,4491.0,4508.1,18416,63.02
2026-01-07,4501.0,4540.0,4500.9,4535.9,7830,56.73
2026-01-08,4542.4,4557.0,4481.0,4495.7,17748,64.26
2026-01-09,4495.7,4504.0,4457.6,4469.0,10809,62.25
2026-01-12,4475.0,4485.0,4370.1,4425.5,18691,56.64
2026-01-13,4425.0,4471.9,4410.0,4427.8,12318,58.79
2026-01-14,4427.5,4451.1,4383.8,4412.3,18240,63.32
2026-01-15,4427.5,4451.1,4383.8,4412.3,18240,63.32
2026-01-16,4448.0,4448.0,4381.0,4398.7,17599,56.13
2026-01-19,4398.7,4417.8,4359.4,4386.3,12317,50.67
2026-01-20,4385.0,4405.0,4273.0,4385.0,24228,50.84
2026-01-21,4399.4,4408.0,4302.0,4399.8,19343,50.77
2026-01-22,4410.0,4466.9,4351.2,4365.7,21182,48.04
2026-01-23,4385.0,4400.0,4365.0,4385.2,11425,55.68
2026-01-26,4385.0,4400.0,4365.0,4385.2,11425,55.68
2026-01-27,4385.2,4418.8,4319.1,4355.3,12868,53.95
2026-01-28,4339.0,4398.0,4339.0,4374.7,13720,72.35
2026-01-29,4394.0,4394.0,4327.0,4362.3,13549,56.47
2026-01-30,4333.6,4484.4,4333.6,4466.2,23391,61.01
2026-02-02,4395.0,4444.0,4332.2,4424.7,20619,47.12
2026-02-03,4500.0,4503.5,4400.0,4428.0,27696,46.52
2026-02-04,4428.0,4496.7,4420.0,4489.3,10223,49.72
2026-02-05,4459.3,4517.0,4440.0,4458.1,15513,41.87
2026-02-06,4474.0,4499.0,4421.0,4489.9,15483,44.62
2026-02-09,4489.0,4651.6,4481.0,4637.0,36170,47.41
2026-02-10,4639.8,4748.6,4601.0,4696.4,45965,46.37
2026-02-11,4712.0,4788.5,4670.9,4762.4,30183,47.35
2026-02-12,4880.0,4966.8,4700.0,4832.9,116797,24.32
2026-02-13,4808.7,4808.7,4715.8,4791.2,21617,56.32
2026-02-16,4791.2,4814.2,4665.1,4680.2,11018,51.88
2026-02-17,4660.0,4765.0,4640.0,4754.3,12525,58.11
2026-02-18,4770.0,4845.0,4750.0,4830.3,25943,67.99
2026-02-19,4830.3,4830.3,4723.5,4774.9,19071,48.12
2026-02-20,4800.0,4809.0,4732.7,4800.0,13324,59.31
2026-02-23,4800.0,4829.6,4761.6,4789.0,11196,53.42
2026-02-24,4797.0,4797.0,4693.0,4711.3,12545,52.18
2026-02-25,4738.0,4749.7,4695.0,4727.9,7342,56.18
2026-02-26,4751.5,4765.5,4656.0,4667.6,8415,58.63
2026-02-27,4653.0,4697.3,4653.0,4672.4,10022,61.65
2026-03-02,4601.8,4649.1,4502.1,4554.1,10483,46.44
2026-03-03,4601.8,4649.1,4502.1,4554.1,10483,46.44
2026-03-04,4508.0,4562.0,4483.3,4552.7,13267,61.97
2026-03-05,4600.0,4600.0,4432.1,4513.9,15770,55.28
2026-03-06,4500.0,4609.9,4490.6,4601.1,18801,70.27
2026-03-09,4555.2,4557.1,4442.1,4463.9,9773,58.1
2026-03-10,4485.0,4624.0,4485.0,4604.3,15166,56.01
2026-03-11,4604.3,4639.7,4489.1,4520.6,25854,66.12
2026-03-12,4480.0,4529.1,4456.6,4502.5,41072,87.47
2026-03-13,4522.5,4552.8,4445.0,4506.1,17148,59.22
2026-03-16,4469.9,4565.0,4323.0,4516.7,21695,51.93
2026-03-17,4544.9,4544.9,4404.1,4487.6,29354,64.7
2026-03-18,4499.0,4535.0,4473.4,4485.8,19353,69.27
2026-03-19,4415.6,4560.0,4415.6,4468.0,32647,56.42
2026-03-20,4515.0,4782.0,4450.2,4717.5,115147,59.74
2026-03-23,4688.0,4688.0,4401.0,4488.8,25601,42.3
2026-03-24,4549.9,4598.8,4498.0,4571.6,35391,71.74
2026-03-25,4571.6,4613.9,4491.0,4501.4,19249,60.68
2026-03-26,4571.6,4613.9,4491.0,4501.4,19249,60.68
2026-03-27,4460.0,4531.8,4407.0,4506.3,20650,49.78
2026-03-30,4500.1,4676.7,4398.8,4645.6,42184,33.08
2026-03-31,4500.1,4676.7,4398.8,4645.6,42184,33.08
2026-04-01,4674.9,4768.8,4594.7,4743.5,22717,39.65
2026-04-02,4699.0,4790.0,4584.0,4759.9,20589,44.27
2026-04-03,4699.0,4790.0,4584.0,4759.9,20589,44.27
2026-04-06,4779.9,4779.9,4660.1,4673.7,9033,42.38
2026-04-07,4670.0,4681.9,4625.0,4651.2,5692,55.76
2026-04-08,4744.0,4820.0,4700.0,4811.1,26273,61.42
2026-04-09,4800.1,4875.0,4752.0,4808.9,72771,84.2
2026-04-10,4751.8,4850.0,4751.7,4805.3,16436,54.87
2026-04-13,4778.0,4952.0,4745.1,4893.0,42247,52.43
2026-04-14,4778.0,4952.0,4745.1,4893.0,42247,52.43
