DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,3063.7,3063.7,2970.55,3034.75,323640,23.28
2025-04-15,3062.5,3147.9,3055.0,3085.4,325012,33.49
2025-04-16,3094.0,3188.9,3073.5,3116.5,499155,27.24
2025-04-17,3120.0,3168.4,3096.1,3109.6,220973,27.24
2025-04-21,3129.8,3168.0,3101.6,3130.9,216770,28.15
2025-04-22,3147.0,3222.0,3125.3,3171.8,409528,29.21
2025-04-23,3188.0,3219.9,3105.0,3170.0,258611,22.05
2025-04-24,3165.0,3209.1,3140.0,3166.3,258410,23.95
2025-04-25,3178.4,3186.9,3014.9,3049.9,375284,26.4
2025-04-28,3037.0,3140.0,3007.4,3107.8,307872,22.11
2025-04-29,3116.2,3254.0,3116.1,3211.2,781280,26.72
2025-04-30,3219.0,3245.7,3131.0,3164.0,312816,29.69
2025-05-02,3180.0,3269.0,3100.4,3201.8,488960,30.92
2025-05-05,3217.0,3258.3,3193.3,3232.8,264881,31.96
2025-05-06,3235.0,3280.0,3000.0,3109.6,416409,30.9
2025-05-07,3050.1,3148.8,3036.3,3128.1,283341,20.79
2025-05-08,3139.0,3195.0,2984.5,3014.0,311330,25.01
2025-05-09,2915.0,3071.9,2915.0,3059.0,373658,21.3
2025-05-12,3159.3,3219.8,3132.1,3202.5,354623,35.01
2025-05-13,3201.0,3361.2,3158.0,3327.4,897476,32.28
2025-05-14,3336.0,3482.0,3321.6,3389.8,1054052,28.52
2025-05-15,3394.2,3415.0,3338.0,3393.0,441929,26.69
2025-05-16,3410.4,3684.9,3393.0,3654.1,1963661,25.9
2025-05-19,3697.0,3850.0,3676.1,3701.6,1207889,27.35
2025-05-20,3719.0,3746.1,3545.0,3555.0,566676,29.19
2025-05-21,3555.0,3685.0,3518.7,3640.2,573418,22.83
2025-05-22,3640.2,3670.0,3590.0,3624.4,404917,26.02
2025-05-23,3639.0,3789.9,3611.0,3717.9,1328194,14.15
2025-05-26,3728.0,4380.0,3697.4,4279.7,8489083,11.34
2025-05-27,4294.6,4430.4,4262.0,4327.6,3399365,13.19
2025-05-28,4329.0,4352.0,4194.8,4237.4,1020588,20.72
2025-05-29,4258.0,4389.9,4201.5,4226.0,829007,23.14
2025-05-30,4239.9,4342.6,4206.0,4230.1,776693,19.85
2025-06-02,4234.0,4255.0,4165.0,4230.5,360011,30.05
2025-06-03,4248.0,4448.6,4222.0,4333.0,2076135,21.58
2025-06-04,4359.0,4510.0,4333.4,4373.7,1400257,20.01
2025-06-05,4397.5,4488.0,4340.0,4435.3,832596,22.57
2025-06-06,4470.0,4569.0,4370.2,4396.8,795239,23.83
2025-06-09,4415.0,4460.0,4321.0,4361.8,550432,23.06
2025-06-10,4385.0,4454.0,4355.0,4369.8,404643,22.08
2025-06-11,4390.0,4406.9,4242.0,4300.0,374742,31.21
2025-06-12,4286.0,4356.0,4190.0,4206.6,319875,26.05
2025-06-13,4101.0,4425.0,4100.0,4302.7,1139388,16.91
2025-06-16,4310.0,4390.0,4215.9,4380.0,463194,21.59
2025-06-17,4380.0,4475.0,4345.7,4378.3,840594,20.85
2025-06-18,4377.8,4519.9,4295.0,4464.2,1434669,22.98
2025-06-19,4463.0,4564.0,4273.4,4287.8,1341549,21.06
2025-06-20,4291.5,4728.4,4261.0,4639.5,4561774,15.44
2025-06-23,4650.5,4874.8,4600.0,4788.7,3007552,12.61
2025-06-24,4801.0,4822.3,4413.8,4443.1,2106151,31.38
2025-06-25,4470.0,4531.0,4401.0,4447.5,1092279,16.99
2025-06-26,4458.1,4550.0,4423.0,4448.4,624303,16.07
2025-06-27,4463.5,4521.0,4406.8,4425.9,488160,22.28
