DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,70.1,72.5,68.21,69.62,22652,46.73
2025-04-15,71.7,73.1,70.26,72.76,29926,50.74
2025-04-16,72.19,73.5,70.11,71.92,45329,53.39
2025-04-17,72.4,73.3,70.51,72.7,69085,42.89
2025-04-21,73.8,76.7,73.25,74.75,40668,63.6
2025-04-22,76.5,78.0,74.31,76.41,52769,58.97
2025-04-23,75.02,77.0,75.02,76.12,30571,56.49
2025-04-24,77.3,79.4,76.12,77.23,69218,58.07
2025-04-25,77.01,77.45,72.77,73.42,55295,64.16
2025-04-28,72.0,72.98,71.24,71.97,49851,56.71
2025-04-29,72.1,72.1,70.6,70.96,30952,62.53
2025-04-30,70.73,70.78,70.0,70.29,17255,57.26
2025-05-02,70.2,70.2,68.8,69.04,26624,66.22
2025-05-05,70.1,71.58,70.01,71.01,20950,56.22
2025-05-06,72.0,72.02,67.44,68.15,52142,52.73
2025-05-07,66.55,69.72,66.55,68.06,37304,29.89
2025-05-08,68.67,70.75,65.0,66.45,37468,56.04
2025-05-09,66.04,68.08,65.81,67.49,27299,56.7
2025-05-12,69.9,72.55,68.92,71.94,42930,58.87
2025-05-13,72.99,73.99,72.11,73.4,29809,64.84
2025-05-14,74.0,75.95,73.54,74.25,32503,66.27
2025-05-15,75.93,77.65,74.01,75.12,81462,63.47
2025-05-16,75.82,76.7,73.36,75.42,76376,51.31
2025-05-19,75.88,78.8,75.88,77.18,56387,62.08
2025-05-20,78.9,79.58,75.25,76.7,66842,44.04
2025-05-21,77.14,84.0,77.14,81.06,166887,53.46
2025-05-22,81.15,84.63,79.5,81.25,112259,53.9
2025-05-23,81.25,81.96,79.51,80.45,43743,55.01
2025-05-26,80.0,82.0,80.0,80.72,32973,69.74
2025-05-27,80.0,82.0,79.0,80.08,31240,61.8
2025-05-28,81.0,81.89,77.42,78.74,57424,51.89
2025-05-29,78.47,79.74,78.06,78.81,17074,58.69
2025-05-30,79.51,79.59,76.5,77.31,56458,61.63
2025-06-02,77.31,79.18,76.61,78.85,18265,61.53
2025-06-03,79.0,80.94,78.5,79.06,23059,48.4
2025-06-04,78.94,80.08,78.61,79.43,9893,49.26
2025-06-05,80.89,81.92,78.8,79.33,46357,59.19
2025-06-06,78.8,81.0,78.55,78.92,30103,49.54
2025-06-09,79.9,82.4,79.02,80.62,38102,64.51
2025-06-10,81.5,81.5,80.01,80.47,21019,72.61
2025-06-11,81.03,82.48,78.56,79.35,34326,60.14
2025-06-12,78.6,80.39,78.0,78.33,30798,50.8
2025-06-13,77.76,79.0,76.11,77.38,17609,53.26
2025-06-16,78.8,79.01,76.0,76.45,34957,68.14
2025-06-17,76.53,77.89,75.12,75.39,50235,60.77
2025-06-18,75.39,76.97,74.1,74.36,18542,55.1
2025-06-19,75.1,75.1,70.21,71.05,42632,61.35
2025-06-20,71.41,79.42,70.72,78.47,97421,42.87
2025-06-23,82.0,86.0,81.0,82.8,514665,32.42
2025-06-24,82.3,83.36,81.01,81.9,52298,34.51
2025-06-25,81.9,83.08,81.21,82.31,30577,65.41
2025-06-26,82.19,84.0,79.35,80.19,102376,67.97
2025-06-27,80.63,82.94,79.22,80.02,68253,58.15
2025-06-30,81.8,81.8,78.91,79.86,36036,59.22
2025-07-01,79.86,81.79,77.5,78.88,46425,64.46
2025-07-02,79.98,80.0,76.84,78.5,49855,52.03
2025-07-03,78.99,80.69,78.2,79.1,31619,48.08
2025-07-04,79.39,82.4,78.1,79.24,75010,29.78
2025-07-07,79.24,81.19,78.0,80.0,63953,28.88
2025-07-08,80.3,80.81,79.6,80.25,15202,53.59
2025-07-09,81.99,83.04,79.4,79.63,63439,35.22
2025-07-10,78.32,88.0,78.32,85.48,311177,54.61
2025-07-11,85.89,86.84,83.0,83.29,84755,50.79
2025-07-14,83.8,88.5,80.74,86.77,119637,67.69
2025-07-15,86.77,88.76,86.2,88.14,88768,55.49
2025-07-16,88.25,92.4,87.57,89.27,181942,50.78
2025-07-17,89.65,94.68,89.59,93.98,217721,63.21
2025-07-18,94.7,111.11,94.44,106.41,1065776,36.46
2025-07-21,107.0,109.6,99.45,100.95,373234,27.61
2025-07-22,103.0,115.9,100.6,108.12,2176420,29.71
2025-07-23,110.0,111.8,104.9,106.4,405128,43.92
2025-07-24,103.3,105.84,100.11,102.1,288952,56.15
2025-10-27,118.0,120.33,116.0,120.33,1846199,36.61
2025-10-28,121.9,136.19,121.0,126.56,4256646,28.32
2025-10-29,125.0,148.95,122.21,139.57,3314009,27.02
2025-10-30,140.12,145.9,135.6,141.73,1026140,35.62
2025-10-31,140.0,144.8,133.8,136.4,411279,52.97
2025-11-03,136.0,143.88,131.25,139.17,482233,50.81
2025-11-04,138.0,143.0,135.2,139.04,284970,50.67
2025-11-05,138.0,143.0,135.2,139.04,284970,50.67
2025-11-06,139.04,143.85,125.13,126.25,553562,53.33
2025-11-07,128.0,137.9,124.2,136.08,469440,41.43
2025-11-10,138.45,141.3,136.74,137.47,235947,55.85
2025-11-11,139.97,143.99,137.01,139.6,404800,42.96
2025-11-12,143.4,143.4,135.7,138.36,178669,50.47
2025-11-13,139.05,146.51,137.6,139.7,579221,39.45
2025-11-14,140.0,153.67,140.0,153.67,1185733,43.76
2025-11-17,165.4,167.4,155.23,161.5,1732544,40.27
2025-11-18,161.51,164.0,156.0,159.21,352184,50.78
2026-02-23,161.0,162.0,152.01,152.94,162320,54.61
2026-02-24,150.25,154.0,144.99,147.91,158452,56.02
2026-02-25,149.99,155.0,148.3,152.03,98297,53.09
2026-02-26,153.95,157.4,150.0,151.11,80816,51.99
2026-02-27,151.0,152.75,148.8,149.9,59405,64.14
2026-03-02,145.01,164.89,142.9,164.86,774177,42.24
2026-03-03,145.01,164.89,142.9,164.86,774177,42.24
2026-03-04,162.7,169.8,157.51,163.42,466187,35.19
2026-03-05,166.49,169.0,157.0,161.41,238973,42.86
2026-03-06,160.02,165.0,156.5,160.65,130100,51.27
2026-03-09,157.01,157.01,152.0,155.62,158655,59.7
2026-03-10,155.62,170.6,155.62,165.71,304101,46.47
2026-03-11,163.91,170.65,160.0,161.11,110459,44.03
2026-03-12,160.0,160.0,155.4,157.7,176368,54.47
2026-03-13,157.85,158.11,143.97,144.63,297171,58.54
2026-03-16,143.65,146.62,138.5,144.4,149830,45.34
2026-03-17,145.49,149.17,143.41,147.69,79466,46.34
2026-03-18,150.74,152.23,148.58,151.0,90886,53.2
2026-03-19,148.0,149.7,144.02,145.18,60036,57.8
2026-03-20,146.1,148.49,143.74,145.83,52469,63.37
2026-03-23,145.0,145.0,135.0,136.09,114711,49.74
2026-03-24,139.44,149.0,136.0,146.43,134274,48.96
2026-03-25,148.9,152.04,145.9,146.98,99886,53.65
2026-03-26,148.9,152.04,145.9,146.98,99886,53.65
2026-03-27,144.0,146.87,142.2,143.26,76477,56.69
2026-03-30,139.0,143.69,136.4,137.71,158745,54.82
2026-03-31,139.0,143.69,136.4,137.71,158745,54.82
2026-04-01,140.99,151.48,140.99,151.06,147194,52.61
2026-04-02,151.39,153.41,145.02,152.2,107669,41.67
2026-04-03,151.39,153.41,145.02,152.2,107669,41.67
2026-04-06,150.0,155.0,148.55,152.69,116800,40.0
2026-04-07,152.69,158.1,149.99,154.99,123527,54.33
2026-04-08,161.0,168.0,159.32,161.74,209608,53.89
2026-04-09,160.01,194.08,160.01,184.97,2389704,23.84
2026-04-10,188.0,191.0,181.3,182.19,328075,30.52
2026-04-13,181.0,192.6,174.41,185.09,417843,33.57
2026-04-14,181.0,192.6,174.41,185.09,417843,33.57
2026-04-15,198.0,207.39,190.34,192.63,1556261,29.79
2026-04-16,195.0,207.79,192.0,205.05,588762,39.65
2026-04-17,212.8,218.0,207.01,211.96,868437,35.5
2026-04-20,209.0,218.0,206.1,214.79,431096,50.96
2026-04-21,214.0,222.0,206.01,214.72,497716,45.36
2026-04-22,219.29,220.0,208.38,210.57,255537,54.61
2026-04-23,209.02,219.77,208.56,216.11,244849,52.17
2026-04-24,220.0,222.0,214.0,219.34,391083,48.17
2026-04-27,231.41,255.99,223.0,249.26,1052812,51.83
2026-04-28,250.1,285.49,250.1,278.67,2053019,28.21
2026-04-29,273.0,279.6,255.65,270.52,775516,32.67
