DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,386.05,409.7,382.2,396.3,86267,50.26
2025-04-15,404.85,409.95,391.35,399.65,97419,59.48
2025-04-16,410.0,410.85,398.0,402.15,207063,85.16
2025-04-17,398.0,406.0,391.5,400.35,76260,66.51
2025-04-21,399.95,403.0,387.85,399.65,111449,74.64
2025-04-22,409.1,409.1,397.0,398.55,60253,69.79
2025-04-23,399.85,438.4,396.25,432.6,671032,55.13
2025-04-24,425.1,453.05,413.0,427.3,237899,31.19
2025-04-25,428.0,434.95,397.35,406.75,163658,53.8
2025-04-28,406.75,407.9,397.05,404.0,160576,80.1
2025-04-29,408.0,443.1,405.95,424.45,207903,32.41
2025-04-30,420.2,439.0,418.15,425.75,105206,35.95
2025-05-02,428.0,429.9,395.4,421.4,479998,58.19
2025-05-05,418.0,429.55,418.0,422.4,66645,57.51
2025-05-06,416.1,424.0,407.95,418.2,162630,70.6
2025-05-07,403.0,423.95,403.0,418.25,57857,57.18
2025-05-08,419.7,430.0,409.2,415.7,130883,61.55
2025-05-09,401.0,415.65,398.0,406.3,71232,57.42
2025-05-12,419.0,438.0,418.5,431.15,146162,72.3
2025-05-13,431.0,460.9,430.95,442.5,215480,57.91
2025-05-14,450.0,454.35,436.55,451.95,106212,58.48
2025-05-15,458.9,474.7,455.95,469.9,215506,60.24
2025-05-16,477.65,483.05,448.1,456.8,120912,41.23
2025-05-19,447.0,481.6,442.9,477.45,318081,61.96
2025-05-20,481.0,525.15,481.0,486.55,496648,46.36
2025-05-21,486.0,490.0,465.2,474.2,388768,68.22
2025-05-22,494.7,494.7,451.15,457.9,155427,51.85
2025-05-23,460.0,473.0,451.2,455.1,186494,59.46
2025-05-26,460.85,472.15,456.1,464.7,1069550,82.81
2025-05-27,468.85,476.0,451.6,460.0,599862,70.83
2025-05-28,490.0,491.0,439.3,446.5,842248,40.51
2025-05-29,451.4,458.05,434.0,438.3,453806,64.03
2025-05-30,445.0,450.0,432.5,440.1,482118,61.91
2025-06-02,440.9,440.9,431.6,437.65,327693,71.64
2025-06-03,423.1,451.9,420.0,444.55,25679545,70.47
2025-06-04,445.0,456.9,436.35,442.7,1322945,53.05
2025-06-05,443.0,447.7,432.0,435.15,557109,63.71
2025-06-06,435.1,443.95,427.0,440.1,847856,67.65
2025-06-09,442.7,463.2,438.35,460.15,1253313,56.93
2025-06-10,462.6,470.8,452.8,454.85,910598,51.14
2025-06-11,454.9,479.8,453.7,464.65,961374,42.55
2025-06-12,462.05,467.15,446.6,450.35,478249,49.19
2025-06-13,440.0,453.45,440.0,445.05,444883,68.06
2025-06-16,445.9,449.45,431.55,443.15,578001,59.9
2025-06-17,446.35,455.6,438.05,439.9,630082,60.88
2025-06-18,442.05,443.85,422.2,427.0,476716,65.4
2025-06-19,425.0,439.0,425.0,434.1,532472,60.09
2025-06-20,431.55,436.25,429.6,430.1,228188,50.14
2025-06-23,431.6,437.95,426.35,435.1,321734,62.1
2025-06-24,437.95,447.75,434.3,438.6,231773,42.81
2025-06-25,443.1,443.1,436.0,437.9,231624,62.14
2025-06-26,440.0,440.0,428.05,430.15,415148,66.93
2025-06-27,437.0,440.55,430.65,436.0,410486,55.57
2025-06-30,437.0,449.9,430.0,436.0,1416987,69.07
2025-07-01,436.0,445.0,432.0,433.9,381751,49.42
2025-07-02,434.9,437.7,429.6,430.35,211345,65.36
2025-07-03,430.0,433.85,428.25,430.4,135706,59.34
2025-07-04,430.0,440.1,430.0,434.45,1006084,39.47
2025-07-07,435.95,443.3,429.8,430.45,721687,82.67
2025-07-08,432.15,441.5,432.15,436.4,194143,48.34
2025-07-09,438.0,441.6,434.2,437.5,153048,60.67
2025-07-10,439.4,447.0,436.85,442.2,782575,66.18
2025-07-11,444.4,444.4,432.1,436.55,185201,58.43
2025-07-14,437.0,441.95,433.05,438.15,207405,59.18
2025-07-15,440.5,448.8,439.0,444.95,563650,68.63
2025-07-16,446.5,463.4,439.2,453.25,1074161,59.15
2025-07-17,455.0,455.0,435.1,439.8,468881,50.87
2025-07-18,440.3,446.05,434.0,440.0,220130,50.88
2025-07-21,440.0,442.95,430.15,432.25,174439,48.82
2025-07-22,436.45,438.55,428.7,431.8,344612,68.86
2025-07-23,434.15,447.0,432.05,443.4,212600,61.39
2025-07-24,445.6,457.6,442.55,444.4,423974,56.89
2025-07-25,448.0,468.0,445.95,464.95,1173347,70.09
2025-07-28,464.95,475.8,458.1,468.55,927923,46.93
2025-07-29,462.5,476.0,462.5,468.4,873831,74.52
2025-07-30,468.4,476.0,456.85,463.0,312033,41.48
2025-07-31,458.0,470.25,453.35,466.05,263482,54.83
2025-08-01,464.25,464.25,432.55,447.15,597003,52.02
2025-08-04,456.0,474.4,453.05,470.05,548810,49.52
2025-08-05,472.4,515.0,455.65,485.25,2758230,56.33
2025-08-06,500.55,574.2,500.55,561.25,21156743,12.41
2025-08-07,563.7,572.5,498.1,517.05,13902723,25.38
2025-08-08,521.15,554.0,508.05,521.45,6786283,20.95
2025-08-11,532.0,548.4,521.05,534.0,2677778,35.1
2025-08-12,534.0,551.65,514.05,520.15,1610988,35.95
2025-08-13,522.75,563.6,503.95,553.35,9587417,42.98
2025-08-14,559.0,569.0,524.2,544.1,7390552,40.19
2025-08-18,553.0,589.8,550.35,577.0,4198545,39.12
2025-08-19,586.5,595.15,570.0,583.65,2722275,44.84
2025-08-20,584.65,593.5,565.15,585.8,1787331,47.9
2025-08-21,588.0,637.5,583.65,618.55,6441370,28.94
2025-08-22,617.35,649.9,606.2,644.2,2756794,33.98
2025-08-25,643.95,665.0,627.05,650.3,1952040,26.97
2025-08-26,648.45,669.9,635.95,641.75,3112682,43.93
2025-08-28,640.75,641.0,609.05,615.6,786409,31.9
2025-08-29,613.4,651.6,609.0,636.75,1510128,33.59
2025-09-01,636.75,648.25,574.5,633.4,1284591,32.45
2025-09-02,636.0,667.75,602.7,611.8,1941247,28.4
2025-09-03,619.0,620.65,582.55,589.35,1299688,38.97
2025-09-04,596.65,601.7,585.5,598.65,737830,45.9
2025-09-05,597.05,597.05,571.55,588.95,1231854,64.59
2025-09-08,592.45,611.0,592.45,604.9,1227787,70.01
2025-09-09,608.0,625.5,596.05,620.7,866902,52.71
2025-09-10,626.0,626.0,605.25,620.0,513319,43.92
2025-09-11,620.05,630.0,610.3,624.25,523244,49.88
2025-09-12,630.35,630.35,618.0,624.65,319964,65.01
2025-09-15,623.95,638.5,614.0,630.05,958589,69.11
2025-09-16,630.0,631.65,603.0,607.25,640654,49.64
2025-09-17,608.4,620.05,585.5,606.1,584452,43.87
2025-09-18,608.8,615.35,587.65,594.55,1109390,62.37
2025-09-19,593.5,601.0,590.4,598.2,328369,45.26
2025-09-22,598.1,598.1,583.0,588.35,375949,43.62
2025-09-23,588.35,614.1,583.05,590.7,2408277,53.73
2025-09-24,587.9,605.5,587.9,599.85,469381,51.67
2025-09-25,599.85,628.25,598.4,612.05,1072686,42.93
2025-09-26,614.65,622.0,603.0,613.4,686485,49.03
2025-09-29,613.25,636.75,604.2,633.3,1573805,49.79
2025-09-30,633.4,642.2,617.0,622.9,1368489,47.86
2025-10-01,618.0,652.75,616.9,633.65,1187121,37.02
2025-10-03,630.0,636.4,610.0,622.9,910457,48.45
2025-10-06,626.2,626.2,586.35,600.9,1513977,42.27
2025-10-07,602.65,623.9,601.65,621.55,541575,41.51
2025-10-08,618.25,630.0,614.4,624.3,510170,54.26
2025-10-09,620.95,688.8,618.3,679.15,4863350,37.96
2025-10-10,679.0,694.4,667.5,685.5,1575276,39.23
2025-10-13,670.05,720.5,666.0,708.95,2104373,26.24
2025-10-14,708.95,717.85,686.5,697.8,942294,30.0
2025-10-15,698.0,699.4,676.0,691.15,674642,48.21
2025-10-16,692.0,709.0,686.1,692.5,1147041,51.73
2025-10-17,690.0,697.9,686.45,694.35,499254,61.5
2025-10-20,692.4,722.9,678.65,691.3,1455887,34.64
2025-10-21,699.5,748.0,699.5,733.5,1169763,20.46
2025-10-22,699.5,748.0,699.5,733.5,1169763,20.46
2025-10-23,733.5,733.5,682.0,689.2,1567531,45.33
2025-10-24,690.0,690.25,655.55,659.25,986068,45.29
2025-10-27,659.25,687.2,659.25,667.8,1084482,43.51
2025-10-28,666.0,669.1,634.1,650.45,1146364,43.1
2025-10-29,651.45,682.0,649.2,672.55,1173018,43.79
2025-10-30,675.65,692.25,666.2,683.3,820082,49.68
2025-10-31,680.95,689.95,670.5,684.4,900770,57.99
2025-11-03,684.0,701.0,681.1,684.25,1275589,62.35
2025-11-04,683.0,690.0,646.05,653.85,1780240,43.47
2025-11-05,683.0,690.0,646.05,653.85,1780240,43.47
2025-11-06,676.55,720.0,656.6,667.3,4781496,27.65
2025-11-07,668.7,673.2,655.95,668.35,713154,33.34
2025-11-10,669.7,669.7,648.05,650.75,782578,43.17
2025-11-11,649.45,662.0,642.0,657.8,720208,51.93
2025-11-12,659.0,703.7,658.15,693.0,1430245,43.44
2025-11-13,692.9,707.0,688.1,699.2,968215,54.17
2025-11-14,690.1,708.0,690.1,699.0,1616434,77.96
2025-11-17,700.7,700.7,678.1,683.15,610964,58.77
2025-11-18,688.0,702.0,660.7,689.45,2873565,46.91
2025-11-19,690.05,693.9,647.05,653.1,1100887,54.14
2025-11-20,653.2,659.95,643.35,653.15,907464,57.72
2025-11-21,652.0,653.15,621.1,640.65,1233906,53.51
2025-11-24,639.0,682.0,615.8,662.25,4128522,61.71
2025-11-25,670.0,671.0,658.05,662.5,704925,60.78
2025-11-26,662.25,681.25,659.45,678.1,604770,53.07
2025-11-27,675.05,680.5,666.5,676.3,502574,52.31
2025-11-28,676.25,676.25,661.7,667.75,271860,49.5
2025-12-01,674.15,674.15,660.2,667.85,276864,49.78
2025-12-02,666.9,667.85,643.5,658.2,933940,56.67
2025-12-03,660.0,669.3,655.75,665.0,481469,47.71
2025-12-04,668.55,668.55,651.5,661.8,1025153,77.35
2025-12-05,663.65,663.65,619.2,630.7,842710,56.3
2025-12-08,632.0,640.75,621.15,630.15,675225,49.5
2025-12-09,623.5,634.4,606.0,626.15,830923,43.85
2025-12-10,624.0,652.2,622.0,640.8,685007,38.7
2025-12-11,634.05,653.3,626.85,646.85,353296,36.24
2025-12-12,651.8,661.9,644.9,653.7,443429,46.56
2025-12-15,644.95,651.3,638.0,645.5,219819,47.33
2025-12-16,641.25,641.95,625.1,633.35,503177,53.72
2025-12-17,636.5,636.5,622.2,626.0,201961,60.27
2025-12-18,624.0,637.9,620.45,636.5,343314,58.02
2025-12-19,636.5,638.25,624.25,630.55,320509,62.24
2025-12-22,632.8,649.8,627.2,637.1,496336,51.68
2025-12-23,635.0,647.55,630.8,642.6,403963,54.01
2025-12-24,641.85,675.45,636.5,670.7,993126,45.86
2025-12-25,641.85,675.45,636.5,670.7,993126,45.86
2025-12-26,669.95,678.75,656.7,662.75,368431,47.38
2025-12-29,661.0,665.0,650.1,659.9,630536,71.78
2025-12-30,659.9,679.0,654.95,668.25,574231,44.23
2025-12-31,678.25,684.0,663.65,679.75,579508,56.71
2026-01-01,681.0,687.5,671.3,674.55,163949,48.3
2026-01-02,674.55,707.0,672.05,699.1,1745713,55.46
2026-01-05,704.95,707.4,691.55,698.25,440052,57.36
2026-01-06,695.75,701.3,663.8,684.5,711503,49.58
2026-01-07,684.5,699.0,674.15,690.85,313558,44.73
2026-01-08,691.4,694.7,664.2,667.1,289694,46.04
2026-01-09,663.8,680.6,642.5,649.25,375374,46.96
2026-01-12,636.95,657.65,614.5,642.0,888260,46.79
2026-01-13,647.75,671.0,643.25,657.75,794894,61.78
2026-01-14,657.05,657.05,636.8,641.7,589299,63.52
2026-01-15,657.05,657.05,636.8,641.7,589299,63.52
2026-01-16,636.0,639.8,621.55,625.45,472780,64.48
2026-01-19,625.45,625.45,599.95,604.0,494227,59.13
2026-01-20,605.15,607.6,568.2,575.2,1376660,60.72
2026-01-21,575.0,575.25,549.05,560.45,1867966,60.42
2026-01-22,571.0,578.1,550.8,556.0,665873,46.46
2026-01-23,560.55,566.45,527.8,536.0,757150,51.59
2026-01-26,560.55,566.45,527.8,536.0,757150,51.59
2026-01-27,536.0,558.9,524.6,551.9,994294,57.38
2026-01-28,552.0,565.0,527.65,559.65,732932,43.71
2026-01-29,558.0,565.55,552.7,559.0,588054,54.85
2026-01-30,554.4,561.95,543.1,560.05,703486,72.97
2026-02-02,549.8,553.25,530.25,550.3,490157,51.93
2026-02-03,575.0,641.4,556.1,624.75,2204962,29.39
2026-02-04,606.65,629.9,602.0,621.85,612501,28.15
2026-02-05,618.0,645.0,597.7,606.4,1541675,27.61
2026-02-06,608.75,632.0,604.2,623.55,1569526,57.9
2026-02-09,620.0,629.8,613.05,625.35,426820,36.71
2026-02-10,627.95,648.0,622.5,626.5,1596717,73.07
2026-02-11,627.95,631.5,608.3,613.0,976003,67.22
2026-02-12,609.1,638.2,596.3,636.0,802983,45.7
2026-02-13,635.0,640.4,623.05,634.9,478144,49.9
