DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-06-10,249.0,251.5,236.2,247.71,467809,53.16
2025-06-11,247.71,252.0,235.0,236.77,472240,50.47
2025-06-12,237.0,238.39,227.01,229.31,274649,44.53
2025-06-13,222.0,235.0,218.25,233.08,401796,25.83
2025-06-16,239.01,239.44,228.5,233.74,190574,31.85
2025-06-17,234.5,235.03,225.65,226.53,166120,39.53
2025-06-18,227.0,229.0,221.79,223.57,104102,53.3
2025-06-19,224.68,226.9,217.39,221.4,209493,38.43
2025-06-20,219.7,222.53,217.5,218.11,273027,72.79
2025-06-23,217.0,226.7,217.0,223.93,527036,21.47
2025-06-24,226.05,227.04,219.36,220.23,171896,65.45
2025-06-25,220.05,224.9,219.0,219.93,305750,56.94
2025-06-26,220.0,223.55,218.81,219.79,166110,56.18
2025-06-27,221.0,221.98,218.51,219.09,126006,70.05
2025-06-30,219.99,221.0,218.5,219.13,75963,46.98
2025-07-01,221.0,222.0,217.3,218.0,221823,69.89
2025-07-02,219.59,230.2,218.73,221.12,732386,15.21
2025-07-03,222.0,225.5,221.21,222.86,125837,39.87
2025-07-04,222.1,224.0,220.25,221.34,71061,43.88
2025-07-07,223.4,226.5,220.0,220.84,178101,42.59
2025-07-08,221.5,229.9,221.5,226.92,384133,42.75
2025-07-09,225.0,236.99,224.9,233.82,657181,35.58
2025-07-10,235.0,235.0,225.0,225.95,277200,47.63
2025-07-11,225.5,229.88,222.0,227.62,224556,27.92
2025-07-14,227.0,231.65,225.0,227.05,164250,42.45
2025-07-15,227.1,230.01,225.22,228.64,106650,46.36
2025-07-16,230.95,244.79,229.11,236.31,831616,34.5
2025-07-17,241.09,245.0,235.0,236.6,360990,24.34
2025-07-18,238.6,240.17,233.28,237.91,310946,24.81
2025-07-21,238.08,239.71,226.5,227.82,208569,51.57
2025-07-22,227.82,235.18,227.1,227.67,198637,44.15
2025-07-23,228.04,229.32,224.0,225.61,127637,52.14
