DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,85.5,88.0,85.5,86.79,9108,48.69
2025-04-15,87.5,92.89,86.57,90.34,35424,23.05
2025-04-16,90.66,96.89,90.66,91.67,38552,27.62
2025-04-17,92.88,94.54,90.7,92.32,32624,18.23
2025-04-21,92.35,95.83,91.61,93.73,48420,52.27
2025-04-22,95.89,95.89,93.21,94.04,13688,30.18
2025-04-23,95.04,96.7,92.0,92.29,20578,36.5
2025-04-24,92.85,94.5,92.03,93.07,12817,32.3
2025-04-25,93.98,95.0,88.05,89.69,17924,62.82
2025-04-28,87.22,92.5,87.22,90.85,5144,58.32
2025-04-29,88.05,91.75,88.05,89.15,6348,52.5
2025-04-30,90.96,90.96,86.16,87.95,3741,55.15
2025-05-02,88.0,88.57,86.25,86.89,4002,53.25
2025-05-05,85.92,88.99,84.15,85.33,10597,49.39
2025-05-06,85.36,90.0,82.2,83.57,10155,52.47
2025-05-07,83.57,85.0,81.6,82.42,6924,49.65
2025-05-08,84.56,85.61,81.0,82.19,9735,42.64
2025-05-09,78.21,85.03,77.47,80.01,17191,23.84
2025-05-12,82.0,84.58,77.79,82.9,21966,41.58
2025-05-13,83.79,84.53,82.01,83.28,3382,40.18
2025-05-14,84.95,85.5,83.71,84.15,7696,62.89
2025-05-15,85.38,86.46,84.1,84.78,6472,39.22
2025-05-16,85.4,95.79,83.75,94.63,85506,35.55
2025-05-19,97.99,98.0,92.36,94.46,18087,53.45
2025-05-20,94.9,103.6,93.01,98.17,151687,28.78
2025-05-21,96.19,99.94,95.0,95.7,24674,40.46
2025-05-22,94.27,98.29,94.13,96.85,17816,38.71
2025-05-23,95.24,107.0,95.24,104.42,194722,29.22
2025-05-26,105.0,105.52,98.73,101.66,24122,48.59
2025-05-27,102.65,104.89,100.02,102.08,11992,48.81
2025-05-28,102.08,102.08,98.11,98.7,15112,71.89
2025-09-09,44.7,44.7,42.1,42.83,14207,55.0
2025-09-10,43.41,44.0,42.59,43.18,6233,77.57
2025-09-11,43.18,44.34,42.81,44.12,5575,83.43
2025-09-12,44.0,44.0,41.91,43.48,20261,72.53
2025-09-15,45.43,45.65,43.0,44.94,54178,52.58
2025-09-16,44.95,45.29,44.1,44.51,20980,64.9
2025-09-17,45.0,45.59,42.61,43.39,101543,37.02
2025-09-18,43.0,43.99,42.69,43.09,11337,71.06
2025-09-19,43.4,44.7,42.25,44.37,25075,69.08
2025-09-22,44.4,45.49,44.0,44.22,22783,60.75
2025-09-23,44.18,44.69,43.0,43.63,11149,58.96
2025-09-24,44.5,44.51,43.1,44.18,8547,63.57
2025-09-25,44.2,45.4,42.01,42.24,29190,49.35
2025-09-26,42.03,42.98,40.33,40.93,14886,62.35
2025-09-29,41.0,42.19,38.9,39.24,18207,54.78
2025-09-30,40.95,40.95,37.5,37.63,28823,59.27
2025-10-01,37.03,38.0,36.06,36.58,21877,84.55
2025-10-03,36.5,38.39,36.12,36.94,32602,62.33
2025-10-06,38.78,38.78,38.78,38.78,8296,100.0
2025-10-07,40.71,40.71,40.71,40.71,3796,100.0
2025-10-08,42.74,42.74,42.74,42.74,2575,100.0
2025-10-09,44.87,44.87,44.87,44.87,2846,100.0
2025-10-10,30.91,30.91,30.91,30.91,7679,100.0
2025-10-13,32.0,32.45,32.0,32.45,142217,57.17
2025-10-14,34.07,34.07,30.82,30.82,207673,49.62
2025-10-15,30.0,31.0,29.35,29.89,58550,47.67
2025-10-16,29.8,30.5,28.9,29.22,16839,77.02
2025-10-17,29.5,29.5,28.0,28.79,19687,70.89
2025-10-20,29.75,29.75,27.35,27.47,86298,49.25
2025-10-21,26.6,28.1,26.2,26.4,18565,64.72
2025-10-22,26.6,28.1,26.2,26.4,18565,64.72
2025-10-23,27.4,27.4,25.26,25.79,62950,62.04
2025-10-24,25.97,25.97,24.5,24.58,40407,72.29
2025-10-27,24.5,25.0,23.51,24.06,25884,55.91
2025-10-28,24.06,25.26,24.06,25.26,47255,98.79
2025-10-29,26.0,26.52,26.0,26.52,62565,76.84
2025-10-30,27.84,27.84,27.84,27.84,18033,99.99
2025-10-31,29.2,29.23,27.91,29.23,120011,62.19
2025-11-03,29.23,29.5,27.76,27.76,79853,64.95
2025-11-04,27.29,27.3,26.37,26.37,40792,61.11
2025-11-05,27.29,27.3,26.37,26.37,40792,61.11
2025-11-06,25.85,27.6,25.73,26.88,49266,60.7
2025-11-07,28.21,28.21,25.7,25.95,21670,45.04
2025-11-10,26.45,26.45,24.65,24.84,96370,73.45
2025-11-11,23.7,24.7,23.59,23.68,69237,63.03
2025-11-12,23.68,24.17,22.49,22.94,60341,68.58
2025-11-13,21.79,21.79,21.79,21.79,61215,99.18
2025-11-14,20.7,20.7,20.7,20.7,27669,100.0
2025-11-17,19.66,19.66,19.66,19.66,20130,100.0
2025-11-18,18.67,18.67,18.67,18.67,12838,100.0
2025-11-19,17.73,17.73,17.73,17.73,13847,100.0
2025-11-20,16.84,16.84,16.84,16.84,14560,100.0
2025-11-21,15.99,15.99,15.99,15.99,14791,100.0
2025-11-24,15.19,15.19,15.19,15.19,18819,100.0
2025-11-25,14.43,14.43,14.43,14.43,32061,100.0
2025-11-26,13.7,15.15,13.7,13.7,3048232,40.09
2025-11-27,13.49,13.9,13.02,13.16,524211,68.7
2025-11-28,13.49,13.81,13.25,13.36,539957,48.2
2025-12-01,13.13,13.5,12.81,12.94,126771,78.27
2025-12-02,13.09,13.09,12.29,12.29,314215,55.99
2025-12-03,11.75,12.31,11.67,11.67,214674,69.51
2025-12-04,11.16,11.99,11.08,11.33,212355,54.94
2025-12-05,11.59,11.89,11.29,11.89,86281,76.07
2025-12-08,12.1,12.48,11.42,11.72,300351,73.03
2025-12-09,12.19,12.19,11.15,11.83,72886,78.43
2025-12-10,12.24,12.24,11.59,11.74,112177,69.24
2025-12-11,11.6,11.99,11.49,11.72,32209,81.47
2025-12-12,12.15,12.15,11.65,11.68,100254,93.3
2025-12-15,12.09,12.09,11.5,11.53,42790,80.62
2025-12-16,11.91,12.1,11.16,12.08,138159,86.05
2025-12-17,12.19,12.59,12.05,12.31,141883,51.63
2025-12-18,12.59,12.59,11.71,11.87,46089,82.69
2025-12-19,12.34,12.34,11.79,12.19,41059,69.07
2025-12-22,12.45,12.79,12.37,12.78,132705,84.03
2025-12-23,13.15,13.41,12.85,13.41,72085,89.0
2025-12-24,13.8,14.08,13.67,14.06,293385,72.95
2025-12-25,13.8,14.08,13.67,14.06,293385,72.95
2025-12-26,14.06,14.3,13.36,13.91,272142,69.62
2025-12-29,14.15,14.15,13.35,13.58,56223,68.83
2025-12-30,13.74,13.74,13.31,13.4,60339,60.44
2025-12-31,13.87,13.87,13.02,13.14,57009,63.97
2026-01-01,13.14,13.25,12.49,12.49,111666,66.94
2026-01-02,12.46,13.11,12.01,12.9,220212,73.47
2026-01-05,13.11,13.48,13.01,13.42,53951,84.69
2026-01-06,13.47,13.85,13.22,13.5,47307,73.46
2026-01-07,13.95,13.95,13.38,13.6,24565,76.82
2026-01-08,13.39,13.66,13.15,13.27,54269,80.22
2026-01-09,13.54,13.54,12.67,13.02,55481,55.09
2026-01-12,13.28,13.28,12.37,12.45,70673,87.21
2026-01-13,12.4,12.88,12.06,12.83,41307,62.44
2026-01-14,13.38,13.45,12.31,13.36,25567,92.52
2026-01-15,13.38,13.45,12.31,13.36,25567,92.52
2026-01-16,13.65,13.85,12.9,13.68,103858,68.96
2026-01-19,13.31,14.36,13.31,14.36,385341,68.7
2026-01-20,15.07,15.07,14.38,14.99,527356,79.53
2026-01-21,15.29,15.73,14.36,15.73,455459,74.5
2026-01-22,16.51,16.51,15.73,16.51,151510,91.4
2026-01-23,17.33,17.33,16.3,16.97,476137,60.45
2026-01-26,17.33,17.33,16.3,16.97,476137,60.45
2026-01-27,17.55,17.55,16.13,16.13,194520,76.1
2026-01-28,15.76,15.76,15.33,15.33,68120,77.99
2026-01-29,14.57,14.57,14.57,14.57,10192,100.0
2026-01-30,13.85,15.13,13.85,14.57,338704,51.87
2026-02-02,13.72,14.8,13.72,14.49,89047,62.41
2026-02-03,14.51,15.09,14.41,14.86,159329,64.04
2026-02-04,15.0,15.59,14.9,15.5,112909,83.36
2026-02-05,15.6,15.97,15.01,15.41,42304,63.68
2026-02-06,14.87,15.58,14.87,15.15,55870,62.94
2026-02-09,15.05,15.88,14.46,14.74,98667,69.41
2026-02-10,15.05,15.09,14.5,14.81,30273,74.67
2026-02-11,15.25,15.25,14.22,14.55,38515,66.29
2026-02-12,15.0,15.14,13.9,13.97,40965,75.35
2026-02-13,13.98,14.5,13.8,13.97,38698,87.16
2026-02-16,14.4,14.4,13.37,13.45,50174,65.42
2026-02-17,14.12,14.12,13.25,13.28,44869,66.85
2026-02-18,13.89,13.9,13.37,13.6,36116,82.99
2026-02-19,14.0,14.0,13.1,13.49,31429,76.28
2026-02-20,13.95,13.95,13.1,13.21,53291,62.51
2026-02-23,13.1,13.87,13.01,13.33,36643,75.66
2026-02-24,13.82,13.82,12.85,13.07,34821,79.16
2026-02-25,13.57,13.57,12.7,12.75,36915,77.32
2026-02-26,12.87,13.38,12.76,13.12,30701,88.55
2026-02-27,13.36,13.36,12.56,12.96,26988,70.19
2026-03-02,12.36,12.94,12.32,12.44,58600,90.58
2026-03-03,12.36,12.94,12.32,12.44,58600,90.58
2026-03-04,11.9,12.92,11.82,12.08,35207,72.36
2026-03-05,11.61,12.65,11.61,12.25,22921,80.2
2026-07-13,12.3,12.95,12.3,12.65,15472,84.35
2026-07-14,12.65,12.77,12.62,12.64,5891,96.98
2026-07-15,12.7,12.74,12.61,12.63,4828,100.0
2026-07-16,12.63,13.26,12.0,12.7,19309,50.15
2026-07-17,12.7,13.33,12.7,13.33,92471,95.58
2026-07-20,13.59,13.99,12.87,13.98,130265,85.48
