DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,530.0,537.65,517.0,523.75,1915047,68.01
2025-04-15,530.0,550.85,526.0,545.35,188877,48.19
2025-04-16,545.0,563.95,543.65,562.05,199965,46.36
2025-04-17,579.0,603.45,570.4,590.95,1168984,28.15
2025-04-21,598.0,598.0,581.55,584.3,155437,48.77
2025-04-22,587.05,593.85,578.05,584.85,141595,46.73
2025-04-23,585.55,588.55,575.3,581.65,89026,46.92
2025-04-24,578.6,587.05,576.15,582.9,97295,44.49
2025-04-25,580.1,584.95,558.0,563.05,336287,68.04
2025-04-28,563.05,565.95,553.75,559.75,72618,44.79
2025-04-29,558.0,565.2,555.55,558.0,60460,49.61
2025-04-30,555.0,557.05,546.85,549.7,135068,59.0
2025-05-02,549.7,556.45,540.45,541.15,101231,54.74
2025-05-05,539.0,573.0,536.35,568.3,187244,45.86
2025-05-06,570.0,580.8,549.7,552.7,103111,42.61
2025-05-07,540.0,557.9,535.6,554.45,92028,23.67
2025-05-08,554.9,568.05,536.3,537.9,179103,60.12
2025-05-09,535.0,538.4,527.0,534.35,187160,56.33
2025-05-12,557.0,565.0,549.65,558.65,140852,47.64
2025-05-13,558.65,572.0,556.4,569.0,108591,46.53
2025-05-14,571.3,588.0,568.95,586.2,175543,57.53
2025-05-15,593.5,602.0,590.0,598.35,181493,56.76
2025-05-16,603.0,607.0,590.1,600.2,121272,55.54
2025-05-19,602.05,626.1,599.0,621.4,248335,48.83
2025-05-20,621.6,634.45,600.5,603.85,247173,51.41
2025-05-21,601.4,615.45,594.85,606.8,116058,37.29
2025-05-22,608.45,619.0,603.55,613.8,180938,44.3
2025-05-23,619.95,619.95,608.6,614.3,150620,50.43
2025-05-26,620.0,630.35,607.2,623.15,223290,45.71
2025-05-27,624.35,638.0,617.1,630.5,139924,42.24
2025-05-28,634.0,634.45,620.0,622.5,84092,40.94
2025-05-29,621.5,647.0,621.5,641.5,211676,39.47
2025-05-30,641.9,648.0,612.7,616.05,396583,66.89
2025-06-02,616.05,629.15,613.0,624.5,118920,38.8
2025-06-03,625.1,625.1,599.0,601.1,236714,63.74
2025-06-04,604.0,605.5,591.6,601.9,128939,44.26
2025-06-05,605.9,611.95,603.05,606.65,76230,50.2
2025-06-06,608.8,616.0,604.2,610.9,62335,65.11
2025-06-09,616.05,618.1,608.15,611.1,91313,59.59
2025-06-10,611.95,623.0,611.95,621.2,92324,53.23
2025-06-11,621.2,631.0,621.2,624.75,95380,45.97
2025-06-12,624.8,626.95,606.05,608.6,70349,45.61
2025-06-13,596.45,610.95,591.55,600.45,70054,42.25
2025-06-16,600.0,611.8,595.1,606.6,79762,41.98
2025-06-17,610.95,610.95,596.5,598.9,44772,58.99
2025-06-18,603.0,607.7,595.05,603.4,45803,40.44
2025-06-19,601.0,605.9,582.1,584.2,72221,51.08
2025-06-20,585.0,591.65,566.65,571.25,458381,61.29
2025-06-23,565.0,580.35,564.0,577.2,87964,53.03
2025-06-24,580.0,587.7,570.3,573.75,130355,60.78
2025-06-25,579.45,587.45,575.4,580.2,97604,50.51
2025-06-26,581.3,614.1,581.3,606.15,515905,29.58
2025-06-27,609.8,613.7,595.55,601.65,173001,51.23
2025-06-30,605.0,612.0,600.75,610.25,91636,51.15
2025-07-01,609.0,611.9,594.0,605.6,182803,56.31
2025-07-02,603.75,611.0,599.2,607.95,67522,59.52
2025-07-03,607.95,627.9,600.95,620.9,270707,40.46
2025-07-04,620.9,655.0,616.6,641.4,857133,27.23
2025-07-07,641.4,650.7,628.9,647.95,238003,47.87
2025-07-08,649.0,651.25,636.05,642.75,90041,41.95
2025-07-09,642.35,647.3,631.9,635.2,61621,43.48
2025-07-10,639.8,641.95,627.5,638.65,71034,47.26
2025-07-11,636.15,637.35,623.05,625.65,56566,49.67
2025-07-14,625.7,631.6,623.3,627.05,149967,58.71
2025-07-15,625.0,643.0,625.0,638.4,71144,50.08
2025-07-16,637.0,642.9,624.85,627.55,144012,68.11
2025-07-17,627.55,643.7,624.15,632.75,111586,49.14
2025-07-18,635.9,637.3,618.05,620.95,80369,56.08
2025-07-21,623.0,627.05,610.95,612.9,81900,53.99
2025-07-22,613.1,618.8,608.2,609.9,42786,58.44
2025-07-23,611.4,612.45,602.95,604.65,61577,59.46
2025-07-24,604.7,613.15,604.7,608.55,46017,54.0
2025-07-25,612.95,612.95,587.35,595.35,189797,59.1
2025-07-28,598.55,600.35,587.5,590.55,99491,48.58
2025-07-29,594.95,598.0,586.0,592.1,181651,80.08
2025-07-30,594.85,600.0,588.95,591.3,50060,44.48
2025-07-31,589.9,595.9,580.7,594.85,149745,76.18
2025-08-01,592.0,599.65,590.1,591.85,65605,66.77
2025-08-04,592.1,594.05,579.0,580.35,100938,66.46
2025-08-05,580.4,585.3,576.8,580.5,45282,57.85
2025-08-06,583.95,586.9,570.0,573.8,53408,44.53
2025-08-07,570.0,579.9,566.55,578.05,54037,54.79
2025-08-08,575.0,578.2,567.5,570.45,49603,51.62
2025-08-11,569.7,571.0,556.0,569.1,87159,42.81
2025-08-12,567.0,568.35,551.95,563.35,109362,41.31
2025-08-13,564.75,568.05,538.3,541.9,281270,51.68
2025-08-14,544.85,545.7,528.05,530.4,335516,63.18
2025-08-18,538.35,540.0,527.2,529.75,313887,61.95
2025-08-19,530.95,541.65,527.95,539.4,317420,58.85
2025-08-20,540.95,563.0,540.95,549.3,429529,41.62
2025-08-21,555.3,555.3,539.15,541.8,169093,64.84
2025-08-22,544.05,547.2,538.0,539.6,112514,59.77
2025-08-25,545.0,550.5,533.55,535.45,167294,60.8
2025-08-26,534.3,550.0,523.1,543.35,417464,69.01
2025-08-28,543.35,547.0,534.55,536.0,164695,58.38
2025-08-29,532.5,542.2,532.5,539.45,98091,55.98
2025-09-01,540.6,545.4,531.6,535.0,130924,57.31
2025-09-02,538.0,573.95,531.5,568.75,891948,39.32
2025-09-03,569.9,579.7,561.3,575.85,228645,50.96
2025-09-04,585.0,593.5,578.8,584.55,420326,56.01
2025-09-05,585.05,610.9,585.0,604.0,520794,48.48
2025-09-08,610.0,623.95,605.0,613.45,297650,49.54
2025-09-09,621.0,621.05,604.0,606.35,638061,78.15
2025-09-10,612.35,619.9,605.6,615.1,198836,61.13
2025-09-11,612.35,629.45,612.35,626.4,240442,57.6
2025-09-12,629.0,629.9,617.3,623.7,187877,52.75
2025-09-15,624.0,638.7,623.05,634.5,167117,57.13
2025-09-16,638.8,642.0,623.35,626.15,143144,54.49
2025-09-17,626.05,629.0,615.2,624.75,166096,53.17
2025-09-18,628.5,628.5,617.6,624.25,101753,50.94
2025-09-19,623.25,624.8,610.0,611.7,175967,51.28
2025-09-22,612.0,622.9,611.9,618.05,126101,53.07
2025-09-23,619.0,619.0,609.25,611.95,72657,48.13
2025-09-24,610.05,611.95,596.2,597.85,102158,62.6
2025-09-25,595.0,599.15,583.1,586.15,144614,67.72
2025-09-26,585.0,587.95,565.55,566.5,175054,64.66
2025-09-29,566.5,580.5,562.1,568.05,153434,47.96
2025-09-30,570.0,580.0,567.0,576.0,84410,55.06
2025-10-01,576.0,578.3,569.6,574.5,42754,60.16
2025-10-03,576.9,598.75,569.1,596.7,351387,43.29
2025-10-06,596.75,599.4,578.35,583.6,105491,53.5
2025-10-07,583.95,597.8,581.65,593.25,117124,55.86
2025-10-08,595.95,596.5,583.4,592.15,73353,49.34
2025-10-09,591.1,605.75,584.8,602.25,268950,54.41
2025-10-10,602.0,613.0,596.3,600.1,209779,58.67
2025-10-13,600.5,624.0,600.5,603.6,440018,42.41
2025-10-14,608.0,608.0,595.0,603.75,121846,50.11
2025-10-15,603.75,613.5,597.5,604.95,89030,56.26
2025-10-16,604.0,609.1,598.0,602.05,88703,57.3
2025-10-17,602.05,611.0,595.0,600.85,99738,54.69
2025-10-20,604.55,615.85,595.3,611.3,95627,63.19
2025-10-21,611.05,619.05,610.3,614.85,68425,74.97
2025-10-22,611.05,619.05,610.3,614.85,68425,74.97
2025-10-23,619.0,641.9,604.0,629.6,641587,43.94
2025-10-24,632.0,645.0,625.05,630.7,437136,50.59
2025-10-27,635.0,652.0,629.5,646.35,941194,60.19
2025-10-28,645.0,648.9,619.05,623.75,431880,57.29
2025-10-29,625.8,668.0,624.0,660.6,1822361,43.06
2025-10-30,666.75,673.8,655.0,659.3,701061,44.81
2025-10-31,661.0,663.5,652.3,654.65,272980,54.46
2025-11-03,654.95,664.2,643.6,648.1,207869,50.33
2025-11-04,647.0,647.7,630.45,636.9,194250,46.74
2025-11-05,647.0,647.7,630.45,636.9,194250,46.74
2025-11-06,636.9,656.7,630.65,643.2,421624,43.51
2025-11-07,641.0,644.45,625.4,635.3,693140,65.56
2025-11-10,638.45,651.2,617.05,631.9,402009,39.36
2025-11-11,595.0,621.0,582.05,618.05,768468,60.36
2025-11-12,621.45,625.0,605.15,611.3,299334,54.32
2025-11-13,613.95,630.9,612.2,623.8,457382,60.68
2025-11-14,620.15,627.95,612.05,625.4,138308,53.47
2025-11-17,625.4,630.9,613.9,615.35,139462,58.5
2025-11-18,622.3,622.3,610.05,611.65,101628,47.65
2025-11-19,609.15,612.65,598.65,602.45,124545,55.27
2025-11-20,605.25,607.95,592.0,594.2,90758,54.78
2025-11-21,590.0,601.0,589.85,598.9,115016,58.32
2025-11-24,598.9,598.95,584.0,587.35,110607,64.86
2025-11-25,590.4,592.95,585.0,589.3,100031,41.66
2025-11-26,590.0,602.35,585.55,598.95,90555,55.33
2025-11-27,598.95,606.0,591.5,604.3,93079,53.2
2025-11-28,608.0,608.65,594.3,596.0,127253,56.84
2025-12-01,594.6,603.9,583.5,586.25,74709,56.4
2025-12-02,586.25,586.25,575.0,577.0,101400,48.25
2025-12-03,579.0,581.2,569.95,573.45,76154,61.34
2025-12-04,570.8,573.95,565.0,565.8,69457,54.38
2025-12-05,565.8,568.7,560.0,561.85,69543,44.56
2025-12-08,557.65,559.0,544.3,546.5,114639,63.09
2025-12-09,541.1,548.0,534.0,539.55,391530,69.88
2025-12-10,541.6,556.3,540.4,546.3,291804,72.9
2025-12-11,546.35,560.3,539.85,554.6,100473,54.32
2025-12-12,560.4,575.0,554.55,570.9,108662,62.33
2025-12-15,570.9,575.1,564.8,571.3,70308,69.17
2025-12-16,566.3,567.85,555.0,556.45,91538,50.86
2025-12-17,555.1,556.0,545.4,549.75,102062,57.26
2025-12-18,549.85,551.05,538.0,541.8,65864,54.18
2025-12-19,541.85,555.25,536.1,552.3,112361,57.31
2025-12-22,552.25,556.7,548.8,551.65,83665,64.64
2025-12-23,552.75,553.6,546.05,550.65,45333,48.46
2025-12-24,553.35,554.75,546.0,547.85,44687,58.23
2025-12-25,553.35,554.75,546.0,547.85,44687,58.23
2025-12-26,549.45,549.45,539.6,540.8,47357,62.99
2025-12-29,540.8,548.1,539.0,540.85,59351,38.19
