DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-07-01,681.0,722.7,623.1,668.1,4174258,30.23
2026-07-02,680.0,734.9,680.0,734.9,1484942,28.82
2026-07-03,780.0,808.35,780.0,808.35,3220957,17.33
2026-07-06,793.0,819.5,737.0,765.9,2069250,26.84
2026-07-07,766.0,832.8,766.0,791.9,1610610,17.6
2026-07-08,783.55,849.0,777.45,821.5,1562217,28.32
2026-07-09,827.05,903.65,818.65,858.25,2222732,15.33
2026-07-10,870.0,884.7,836.5,862.1,1444566,15.18
2026-07-13,855.05,884.95,841.15,854.45,493372,26.45
2026-07-14,850.05,854.2,810.2,823.55,434765,25.43
2026-07-15,827.0,835.95,802.1,808.85,216302,32.08
2026-07-16,812.85,828.9,795.85,817.65,301718,25.97
2026-07-17,819.95,840.8,811.8,825.65,304022,29.73
2026-07-20,829.0,849.0,818.1,841.5,224730,39.89
2026-07-21,848.95,925.65,845.0,906.55,1565010,19.36
2026-07-22,904.0,923.9,886.25,912.6,672518,20.06
2026-07-23,890.0,890.0,821.35,826.65,716857,32.06
2026-07-24,823.0,825.0,801.1,806.4,262312,28.8
2026-07-27,820.5,840.7,812.0,820.7,182658,27.86
2026-07-28,820.7,822.05,800.0,804.2,81709,42.24
2026-07-29,804.0,817.9,797.15,806.2,109234,34.2
2026-07-30,799.1,805.05,784.15,787.15,109049,43.39
2026-07-31,785.0,826.0,782.0,820.8,299657,21.2
2026-08-03,830.0,831.9,801.1,806.75,128243,38.48
2026-08-04,809.0,837.0,806.55,819.65,111499,36.64
2026-08-05,825.9,837.0,816.55,831.05,130316,39.48
2026-08-07,846.35,849.0,820.6,841.15,132672,39.01
2026-08-10,840.0,858.4,830.4,841.15,133671,54.05
2026-08-11,845.0,877.45,810.0,833.75,359200,35.37
2026-08-12,833.75,837.5,818.45,825.5,82363,49.05
