DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-07-16,100.91,109.8,100.9,106.24,646568,40.82
2026-07-17,105.3,108.26,102.8,103.92,480585,56.32
2026-07-20,102.8,103.92,98.76,99.33,644722,45.05
2026-07-21,99.01,105.65,98.98,102.6,375404,25.91
2026-07-22,103.7,103.71,96.5,98.11,334746,46.25
2026-07-23,98.49,98.9,95.65,96.99,305284,60.89
2026-07-24,97.22,102.0,95.1,99.62,490228,61.5
2026-07-27,99.62,100.5,99.0,99.54,178019,76.06
2026-07-28,99.5,105.95,99.0,100.6,354740,49.43
2026-07-29,100.0,101.88,94.27,96.14,713856,60.29
2026-07-30,98.99,101.61,95.17,100.2,764907,44.89
2026-07-31,98.02,108.0,98.02,104.78,1167576,55.84
2026-08-03,102.52,108.2,101.1,104.88,1147334,32.33
2026-08-04,104.77,104.77,99.31,100.38,173715,60.0
2026-08-05,101.99,102.0,100.09,100.94,134754,70.77
2026-08-07,102.58,103.64,101.0,102.12,238195,73.82
2026-08-10,101.41,106.5,100.25,105.5,680461,54.67
2026-08-11,105.24,105.5,101.55,102.72,274370,68.12
2026-08-12,101.84,102.88,101.11,101.79,149206,67.46
2026-08-13,101.24,102.68,99.18,100.2,114008,44.2
2026-08-14,100.94,102.48,100.0,100.71,219390,77.41
2026-08-17,98.71,101.09,96.0,100.37,144197,50.18
2026-08-18,100.88,100.89,99.66,100.19,75667,62.45
2026-08-19,102.0,102.0,96.11,99.25,516095,58.13
2026-08-20,99.25,100.0,97.32,99.37,285697,62.35
2026-08-21,99.37,100.0,98.81,99.55,259489,83.81
2026-08-24,99.55,99.87,97.3,98.59,365203,54.13
2026-08-25,98.0,98.5,97.25,97.56,58968,50.76
2026-08-26,97.24,98.79,96.11,96.85,305370,89.64
2026-08-27,96.85,97.6,96.21,97.14,96576,66.29
2026-08-28,97.2,98.0,96.61,97.4,40209,42.15
2026-08-31,97.4,98.47,95.71,96.79,71259,45.87
2026-09-01,96.35,96.79,93.21,94.49,121136,53.6
2026-09-02,94.49,96.3,93.12,95.94,130639,36.88
2026-09-03,96.0,96.42,93.2,94.0,52817,55.06
2026-09-04,93.99,94.78,93.4,94.36,80421,72.97
2026-09-07,94.0,95.0,92.67,93.57,104718,57.43
2026-09-08,95.0,95.24,93.0,94.13,51809,44.17
2026-09-09,94.95,94.95,92.8,93.31,46723,45.39
2026-09-10,92.85,97.64,92.28,94.96,892772,40.43
2026-09-11,101.15,101.15,76.26,83.44,2772772,25.4
2026-09-14,101.15,101.15,76.26,83.44,2772772,25.4
2026-09-15,83.44,95.0,81.59,89.85,1303153,17.91
2026-09-16,91.99,103.45,88.68,96.22,6076531,10.37
2026-09-17,98.9,103.9,96.32,102.64,1734949,24.36
