DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,81.2,84.29,80.62,83.56,31597,61.5
2025-04-15,84.4,86.98,83.04,85.31,27452,44.48
2025-04-16,86.6,87.39,79.35,80.71,172005,54.65
2025-04-17,82.73,83.84,80.15,81.21,52188,55.78
2025-04-21,82.0,85.59,82.0,83.44,68223,56.4
2025-04-22,84.8,85.25,80.2,81.64,61781,56.22
2025-04-23,82.9,83.85,79.6,81.19,94901,57.29
2025-04-24,79.3,82.06,79.0,80.42,45530,51.87
2025-04-25,81.0,81.0,76.6,77.87,79662,50.69
2025-04-28,77.87,79.5,76.42,77.97,34742,46.94
2025-04-29,78.57,79.33,76.53,76.95,19586,62.43
2025-04-30,78.14,78.14,73.7,73.9,42196,62.9
2025-05-02,73.0,76.03,73.0,74.42,22939,56.27
2025-05-05,75.1,78.2,74.0,74.46,21357,68.56
2025-05-06,76.12,76.12,69.83,70.44,54032,56.43
2025-05-07,70.44,71.5,68.91,69.76,28236,48.46
2025-05-08,70.0,73.5,70.0,71.5,26192,55.71
2025-05-09,71.5,72.25,67.11,68.55,35035,54.65
2025-05-12,70.0,75.4,70.0,75.4,36160,67.2
2025-05-13,78.0,82.92,77.1,81.86,110764,57.25
2025-05-14,83.2,86.52,82.38,84.94,63916,55.98
2025-05-15,86.8,89.0,83.0,88.09,126957,70.22
2025-05-16,95.99,96.89,91.31,92.78,676701,49.87
2025-05-19,92.78,95.88,88.14,94.57,282386,42.83
2025-05-20,96.5,96.5,92.11,94.95,66589,62.71
2025-05-21,94.95,97.0,94.94,95.96,73878,65.3
2025-05-22,95.96,95.96,91.25,92.1,62078,72.06
2025-05-23,92.0,92.97,91.39,92.01,31437,65.17
2025-05-26,93.64,94.37,91.0,92.6,41285,67.31
2025-05-27,93.99,93.99,91.2,93.07,39346,73.9
2025-05-28,93.5,94.98,91.94,93.77,36472,67.35
2025-05-29,94.47,95.25,92.95,93.48,34731,71.03
2025-05-30,92.61,95.0,92.61,94.28,25975,53.19
2025-06-02,94.98,96.0,92.56,94.83,64380,62.83
2025-06-03,94.06,98.0,93.6,94.98,94279,59.44
2025-06-04,95.01,97.0,94.11,96.06,42711,55.98
2025-06-05,97.98,100.86,97.31,98.24,142794,59.33
2025-06-06,98.24,107.9,98.0,107.56,209603,56.91
2025-06-09,109.7,115.0,109.33,112.83,208619,56.34
2025-06-10,115.09,119.75,112.83,116.74,218007,50.97
2025-06-11,118.4,119.06,113.41,115.26,116314,54.85
