DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,200.0,208.1,196.11,203.95,972832,22.54
2025-04-15,206.0,211.49,204.63,209.88,221278,36.78
2025-04-16,209.3,212.5,205.97,207.47,224718,45.49
2025-04-17,207.55,212.0,206.33,210.31,252952,46.49
2025-04-21,210.8,211.5,207.72,210.73,169522,50.46
2025-04-22,213.9,217.99,211.9,212.6,269194,39.94
2025-04-23,213.2,216.2,208.5,208.92,367997,57.99
2025-04-24,208.92,218.79,208.02,215.43,492120,33.82
2025-04-25,216.0,216.0,203.25,206.12,345420,46.23
2025-04-28,206.12,208.85,202.0,203.53,204333,50.14
2025-04-29,203.9,206.92,201.58,202.66,203157,49.79
2025-04-30,202.66,204.87,191.36,193.07,310498,51.15
2025-05-02,195.0,197.57,191.88,193.06,186731,39.01
2025-05-05,193.3,194.78,190.99,193.41,164292,46.26
2025-05-06,193.85,194.89,182.0,183.42,339412,53.63
2025-05-07,178.0,188.8,178.0,186.67,199573,39.5
2025-05-08,187.0,194.0,183.0,184.79,286907,41.44
2025-05-09,180.0,186.54,180.0,185.07,110496,43.34
2025-05-12,191.9,198.0,191.9,195.33,235983,57.67
2025-05-13,194.0,215.0,194.0,208.65,1014871,28.16
2025-05-14,208.7,214.79,205.36,212.93,328026,52.11
2025-05-15,211.5,216.99,211.2,215.61,258300,53.4
2025-05-16,215.6,218.55,213.5,214.37,229752,58.46
2025-05-19,214.9,222.0,213.99,216.63,514975,57.31
2025-05-20,217.64,220.8,214.0,218.29,214610,41.63
2025-05-21,219.0,220.9,217.25,220.04,311751,59.21
2025-05-22,229.4,254.0,229.4,245.24,7518050,18.48
2025-05-23,246.2,253.2,240.06,252.07,1152606,31.55
2025-05-26,254.0,277.0,254.0,271.88,1843996,28.75
2025-05-27,268.1,269.44,262.18,266.81,528321,30.64
2025-05-28,267.9,272.2,263.13,267.39,309684,43.73
2025-05-29,268.0,271.0,261.58,265.77,305692,35.15
2025-05-30,266.63,277.5,262.8,266.32,644463,43.54
2025-06-02,266.15,277.0,263.35,269.95,361219,53.99
2025-06-03,270.95,274.5,264.45,270.3,299594,37.02
2025-06-04,270.0,277.7,262.5,264.75,496612,44.09
2025-06-05,268.0,284.2,267.65,273.4,1842639,31.54
2025-06-06,275.4,279.8,266.05,268.1,774517,38.86
2025-06-09,269.0,278.0,266.6,274.1,447943,48.45
2025-06-10,277.4,283.8,272.0,275.4,613395,33.59
2025-06-11,276.0,290.45,274.8,288.6,1310012,43.73
2025-06-12,290.0,291.5,278.15,281.95,618392,43.91
2025-06-13,274.5,281.0,271.0,279.55,1327573,43.61
2025-06-16,277.85,283.5,270.0,274.3,484758,49.95
2025-09-09,282.0,286.75,270.0,280.25,270975,58.74
2025-09-10,281.65,284.95,270.25,271.75,132914,72.57
2025-09-11,272.5,272.5,264.15,267.6,137128,66.03
2025-09-12,268.45,273.9,261.2,263.75,158154,66.38
2025-09-15,263.35,273.75,262.45,267.6,167600,62.27
2025-09-16,270.4,273.5,266.0,266.8,140095,64.58
2025-09-17,267.0,280.1,267.0,278.15,715315,64.35
2025-09-18,284.8,288.8,275.9,286.45,583268,66.72
2025-09-19,287.45,300.75,286.45,300.45,2640861,48.87
2025-09-22,307.0,315.45,305.0,314.4,1587540,62.88
2025-09-23,317.0,321.95,301.6,307.0,1018130,56.26
2025-09-24,308.0,309.0,297.8,300.6,339169,51.87
2025-09-25,300.7,305.5,294.4,295.3,154041,51.21
2025-09-26,287.95,293.25,280.55,281.25,577778,51.62
2025-09-29,280.0,282.75,268.55,270.25,503356,64.1
2025-09-30,270.75,278.9,266.6,275.6,254882,59.52
2025-10-01,276.15,279.0,272.5,276.4,127909,55.21
2025-10-03,278.9,285.9,276.3,284.05,175498,62.29
2025-10-06,282.0,293.1,282.0,287.75,242231,62.99
2025-10-07,291.4,302.1,282.15,295.55,449267,65.03
2025-10-08,304.0,306.0,284.05,286.5,325856,57.24
2025-10-09,289.95,292.4,282.5,283.5,167428,58.59
2025-10-10,281.1,300.0,281.0,293.9,497878,52.43
2025-10-13,289.9,303.0,286.55,292.45,344889,46.91
2025-10-14,292.5,295.5,278.0,279.05,226540,57.53
2025-10-15,278.85,296.45,275.35,289.9,427047,50.57
2025-10-16,290.2,293.05,283.05,286.85,134110,57.68
2025-10-17,286.85,287.65,273.95,278.4,177684,55.99
2025-10-20,279.5,284.2,273.85,282.1,146585,46.24
2025-10-21,283.7,291.75,282.0,289.35,89556,75.36
2025-10-22,283.7,291.75,282.0,289.35,89556,75.36
2025-10-23,291.0,293.4,283.1,285.4,121711,50.77
2025-10-24,282.85,289.25,282.05,283.9,89788,53.27
2025-10-27,285.05,296.0,284.2,293.35,160946,56.08
2025-10-28,293.95,299.0,291.4,295.25,211613,56.69
2025-10-29,295.5,299.7,291.85,293.0,189283,54.28
2025-10-30,293.0,296.4,288.3,293.15,129311,58.15
2025-10-31,294.8,303.0,290.3,291.8,350217,45.32
2025-11-03,292.0,294.3,285.0,292.2,142735,53.36
2025-11-04,292.2,302.9,286.35,297.6,388554,62.49
2025-11-05,292.2,302.9,286.35,297.6,388554,62.49
2025-11-06,291.0,291.0,267.85,267.85,847884,57.3
2025-11-07,262.05,262.05,242.55,248.85,1165453,44.62
2025-11-10,250.0,254.5,243.0,249.3,265231,56.82
2025-11-11,250.0,250.05,244.05,246.8,116862,52.3
2025-11-12,246.0,257.95,246.0,256.35,255626,51.48
2025-11-13,256.5,256.5,242.1,245.95,196471,58.08
2025-11-14,245.0,252.45,243.55,249.2,174020,55.68
2025-11-17,249.7,252.9,246.15,251.75,175286,52.61
2025-11-18,251.45,251.45,247.35,248.65,101227,59.13
2025-11-19,248.6,248.6,241.0,242.35,185359,53.23
2025-11-20,243.0,247.2,238.7,246.15,117365,46.97
2025-11-21,246.15,246.15,235.7,237.95,175433,64.48
2025-11-24,236.15,240.2,228.0,231.45,425333,71.6
2025-11-25,231.0,242.15,230.0,240.0,196358,58.59
2025-11-26,239.0,244.9,237.05,244.2,108870,51.53
2025-11-27,245.5,246.3,238.05,240.15,91101,56.85
2025-11-28,239.1,244.0,237.95,239.2,133070,61.24
2025-12-01,240.65,247.22,236.5,238.33,171868,58.52
2025-12-02,238.33,240.73,235.95,236.35,104819,59.93
2025-12-03,236.6,237.2,231.76,236.7,106303,55.34
2025-12-04,235.2,235.9,226.35,228.56,103991,61.6
2025-12-05,227.02,233.0,221.73,222.8,154314,56.62
2025-12-08,222.81,224.26,211.55,220.44,202930,52.53
2025-12-09,218.25,226.94,214.99,223.7,405723,74.31
2025-12-10,221.45,228.38,217.25,220.21,77656,45.54
2025-12-11,220.45,221.91,216.45,219.82,132435,51.4
2025-12-12,220.55,225.01,217.4,219.68,203203,56.7
2025-12-15,218.69,227.7,218.69,224.62,246001,42.45
2025-12-16,224.62,232.0,223.65,230.62,212761,59.76
2025-12-17,231.0,274.3,230.62,264.95,2126221,28.15
2025-12-18,261.52,261.52,237.35,242.11,741816,27.5
2025-12-19,242.12,247.5,240.03,242.96,219164,32.95
2025-12-22,245.45,257.5,241.79,255.74,297181,35.68
2025-12-23,255.0,258.0,249.31,255.68,188998,37.62
2025-12-24,254.12,261.0,253.1,254.8,104231,52.02
