DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,264.95,264.95,256.3,262.1,75635,52.91
2025-04-15,269.0,289.8,264.0,287.6,293358,51.26
2025-04-16,288.0,293.0,281.25,288.25,146159,37.43
2025-04-17,292.0,298.0,285.1,293.05,112470,45.23
2025-04-21,295.9,295.9,288.45,290.0,60983,54.06
2025-04-22,290.0,307.45,286.55,294.5,231336,34.24
2025-04-23,297.4,302.15,287.95,294.35,99449,42.11
2025-04-24,291.4,301.95,289.2,290.95,90220,36.96
2025-04-25,292.0,293.05,268.3,271.75,278220,46.63
2025-04-28,271.75,276.45,267.6,272.2,50933,41.36
2025-04-29,271.75,276.35,260.95,262.5,126370,60.39
2025-04-30,260.25,263.9,251.35,254.7,51272,49.46
2025-05-02,254.7,260.75,252.1,253.85,52800,39.47
2025-05-05,258.95,265.0,256.25,258.05,45691,61.19
2025-05-06,260.1,260.35,245.6,247.0,85872,55.46
2025-05-07,242.7,255.0,242.0,250.2,66538,49.77
2025-05-08,250.25,261.2,248.5,250.45,56482,52.95
2025-05-09,246.7,251.7,239.8,249.05,79367,46.45
2025-05-12,256.5,270.6,256.5,266.85,112749,43.82
2025-05-13,270.85,276.0,264.1,274.25,89912,51.45
2025-05-14,277.4,291.0,273.75,287.55,151801,70.39
2025-05-15,291.85,316.0,289.7,312.45,540015,46.77
2025-05-16,299.0,301.0,273.7,276.3,838845,50.21
2025-05-19,276.3,279.7,267.2,268.25,255997,59.32
2025-05-20,269.95,269.95,261.65,264.15,160508,59.83
2025-05-21,261.6,268.05,260.2,264.8,179013,55.83
2025-05-22,266.85,272.95,261.85,270.8,154570,48.93
2025-05-23,271.7,273.3,266.6,268.55,96340,40.65
2025-05-26,269.85,273.0,265.05,265.85,113266,65.14
2025-05-27,266.0,268.45,262.5,266.95,64850,51.56
2025-05-28,267.7,273.0,266.05,270.0,118012,56.13
2025-05-29,272.0,278.7,269.1,277.4,182130,52.22
2025-05-30,279.75,281.35,273.05,275.45,114709,46.68
2025-06-02,277.9,277.9,270.8,274.3,100532,47.77
2025-06-03,273.5,282.0,271.95,277.35,93346,48.77
2025-06-04,276.95,278.75,271.15,276.55,83651,55.89
2025-06-05,279.3,279.8,272.95,274.5,66361,43.52
2025-06-06,275.0,278.8,270.1,272.35,105563,41.65
2025-06-09,273.3,291.85,273.3,282.95,332721,44.69
2025-06-10,284.9,302.0,280.0,294.85,401467,35.49
2025-06-11,297.45,299.45,287.5,289.95,216456,56.8
2025-06-12,292.85,293.85,285.2,287.1,98870,48.29
2025-06-13,275.05,288.35,274.1,277.65,151220,44.11
2025-06-16,276.05,280.45,274.0,278.6,77123,64.12
2025-06-17,278.7,289.0,272.1,274.8,69263,49.13
2025-06-18,274.5,280.0,268.9,274.3,447329,88.65
2025-06-19,276.0,277.8,269.1,270.9,68441,55.73
2025-06-20,269.5,275.5,267.0,272.45,70212,51.75
2025-06-23,265.1,271.0,265.1,267.7,49705,52.75
2025-06-24,270.5,274.9,269.25,270.55,50970,40.82
2025-06-25,274.55,275.0,272.0,274.05,35312,56.92
2025-06-26,276.05,276.95,270.0,271.15,73234,51.98
2025-06-27,273.85,276.7,269.75,270.85,119995,57.98
2025-06-30,270.9,276.5,268.35,271.0,131416,53.58
2025-07-01,270.4,273.0,267.25,268.6,65320,59.05
2025-07-02,269.9,269.95,262.0,263.5,125608,63.13
2025-07-03,263.0,269.7,263.0,265.2,82603,46.68
2025-07-04,266.0,269.2,261.85,266.5,98195,47.96
2025-07-07,268.0,272.55,266.1,268.8,94002,56.29
2025-07-08,271.35,271.35,258.65,260.45,200434,62.49
2025-07-09,262.4,266.95,259.7,261.25,114006,50.43
2025-07-10,263.7,265.3,256.7,258.2,137160,59.67
2025-07-11,261.7,268.5,258.75,266.3,144930,57.28
2025-07-14,268.4,312.95,264.3,294.05,3705771,19.49
2025-07-15,298.8,305.5,294.6,301.7,506342,26.14
2025-07-16,301.0,330.7,296.8,312.9,1603847,29.77
2025-07-17,315.15,329.0,309.1,316.25,404583,38.76
2025-07-18,319.4,328.2,316.25,322.8,392317,45.34
2025-07-21,323.8,325.65,314.35,315.8,153151,51.14
2025-07-22,317.8,319.9,307.5,308.45,160016,56.06
2025-07-23,308.0,328.9,307.55,324.85,785555,48.16
2025-07-24,326.0,337.5,320.1,323.1,519329,43.43
2025-07-25,323.95,323.95,309.0,310.65,169117,49.26
2025-07-28,311.0,315.5,300.15,302.7,136966,54.32
2025-07-29,303.0,311.4,302.35,306.3,91336,47.99
2025-07-30,307.5,308.4,302.0,306.6,55195,52.05
2025-07-31,300.65,303.8,295.0,297.1,250847,59.03
2025-08-01,295.2,306.0,292.4,294.1,75779,58.59
2025-08-04,294.1,298.7,281.9,295.85,81420,50.08
2025-08-05,299.0,300.4,290.75,292.3,59200,48.89
2025-08-06,290.75,293.7,286.35,287.4,52798,52.19
2025-08-07,287.4,288.95,275.5,281.1,105584,47.16
2025-08-08,284.95,294.45,282.75,286.95,147100,44.06
2025-08-11,289.85,294.8,278.05,285.3,124238,54.78
2025-08-12,300.0,320.5,294.75,315.6,1407014,28.56
2025-08-13,317.8,328.45,316.05,325.15,559629,46.35
2025-08-14,329.4,330.2,316.35,318.7,212172,39.29
2025-08-18,325.9,335.45,322.45,329.35,239302,47.12
2025-08-19,331.9,334.8,323.6,326.1,110377,55.61
2025-08-20,325.6,329.3,322.45,324.4,75992,61.76
2025-08-21,324.55,339.0,321.0,321.95,253215,40.7
2025-08-22,321.1,327.5,319.8,325.05,147457,56.21
2025-08-25,328.5,329.5,315.55,317.75,144662,57.38
