DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,737.15,750.0,730.0,743.65,9294,54.92
2025-04-15,745.65,775.0,732.1,761.7,20536,44.03
2025-04-16,770.15,770.2,750.3,760.8,11229,47.72
2025-04-17,760.8,796.0,753.55,791.65,15513,58.63
2025-04-21,798.6,808.4,780.1,789.4,22073,43.51
2025-04-22,795.8,808.6,769.8,781.95,31709,47.31
2025-04-23,790.1,793.2,769.95,780.15,18041,56.15
2025-04-24,773.85,808.0,773.8,787.05,25109,43.01
2025-04-25,794.3,806.45,769.05,780.55,24635,54.09
2025-04-28,771.2,780.2,759.55,778.7,8482,54.44
2025-04-29,785.0,801.65,781.5,784.85,11380,56.57
2025-04-30,786.35,786.35,769.8,778.55,4670,71.69
2025-05-02,778.55,796.65,773.4,787.9,12517,56.76
2025-05-05,780.0,789.95,780.0,784.1,6608,58.46
2025-05-06,790.0,792.1,771.0,772.05,25548,70.1
2025-05-07,756.4,786.8,755.9,780.55,10253,66.43
2025-05-08,786.6,786.6,750.55,754.3,19228,72.44
2025-05-09,745.1,747.6,726.35,738.7,23802,69.43
2025-05-12,759.0,770.0,751.3,765.8,11540,55.7
2025-05-13,761.8,784.4,761.8,771.75,8795,51.42
2025-05-14,774.6,795.95,765.05,787.7,17953,60.7
2025-05-15,782.85,805.05,782.35,785.9,10945,64.94
2025-05-16,792.0,794.6,772.5,783.0,11978,72.83
2025-05-19,794.75,810.0,776.5,785.4,48798,80.25
2025-05-20,792.3,799.95,781.85,789.35,31799,78.34
2025-05-21,791.0,799.0,778.05,781.0,29435,83.66
2025-05-22,781.0,788.95,764.9,777.55,30912,72.4
2025-05-23,772.1,807.0,772.1,784.35,23635,59.14
2025-05-26,780.0,788.25,748.5,754.65,34468,69.85
2025-05-27,750.2,825.0,743.8,762.05,135008,32.45
2025-05-28,760.05,771.5,760.05,768.55,100408,86.95
2025-05-29,765.1,768.55,751.25,754.4,33052,78.46
2025-05-30,754.4,758.7,725.6,729.55,40445,66.97
2025-06-02,729.55,729.55,709.9,719.05,29699,61.35
2025-06-03,716.05,724.55,715.4,718.5,30467,70.64
2025-06-04,722.0,723.3,710.0,713.85,8231,65.91
2025-06-05,718.2,720.0,705.45,714.2,10581,75.48
2025-06-06,717.75,729.95,717.15,722.0,7575,51.64
2025-06-09,726.35,741.65,720.05,733.7,17664,46.93
2025-06-10,738.3,739.3,715.3,726.5,34857,50.87
2025-06-11,723.0,740.4,723.0,733.85,15002,54.93
2025-06-12,733.85,737.55,728.0,732.0,12783,63.25
2025-06-13,733.7,743.35,719.9,736.9,9392,48.99
2025-06-16,735.0,740.6,718.0,731.25,9915,53.62
2025-06-17,730.1,736.3,725.0,726.3,9875,59.63
2025-06-18,723.65,737.0,718.85,734.05,4474,42.87
2025-06-19,728.95,795.8,728.8,740.45,87703,38.5
2025-06-20,738.75,767.05,730.0,736.35,103728,50.99
2025-06-23,735.0,804.7,735.0,798.35,324607,41.93
2025-06-24,797.75,823.95,794.5,818.25,105646,46.29
2025-06-25,823.95,899.5,817.1,894.1,331368,39.79
2025-06-26,895.9,937.3,887.55,898.85,203875,35.69
2025-06-27,890.0,932.95,883.7,923.65,183266,54.65
2025-06-30,913.15,929.75,891.25,917.15,34773,48.18
2025-07-01,910.0,948.0,902.0,923.6,105034,41.57
2025-07-02,923.6,926.95,900.05,909.4,96291,64.0
2025-07-03,910.0,933.4,905.7,908.5,63530,59.5
2025-07-04,911.85,919.35,903.0,907.95,59949,64.45
2025-07-07,901.05,920.45,877.6,881.05,70213,60.44
2025-07-08,880.0,888.95,862.85,872.7,48234,56.44
2025-07-09,872.6,898.5,862.2,885.6,40639,40.68
2025-07-10,882.0,898.15,875.55,877.75,17987,44.06
2025-07-11,875.0,891.45,874.3,876.7,26536,44.06
2025-07-14,876.3,887.95,853.05,856.85,39969,45.74
2025-07-15,856.95,905.0,856.95,895.85,87832,62.78
2025-07-16,905.0,1075.0,901.35,1075.0,1198308,34.72
2025-07-17,1023.4,1095.0,1023.4,1063.95,861942,27.98
2025-07-18,1065.0,1109.3,1051.1,1093.0,285230,40.02
2025-07-21,1051.0,1084.9,1051.0,1062.05,83854,42.88
2025-07-22,1070.5,1090.8,1053.05,1067.65,121489,49.94
2025-07-23,1078.5,1078.5,1038.3,1064.9,87586,45.75
2025-07-24,1056.0,1075.0,1039.75,1047.4,71344,56.58
2025-07-25,1074.0,1094.0,1040.3,1056.85,140030,36.15
2025-07-28,1056.0,1072.7,1021.0,1026.45,65940,52.46
2025-07-29,1055.0,1055.0,1011.1,1037.55,48286,42.23
2025-07-30,1040.15,1067.0,1035.0,1043.05,70757,42.97
2025-07-31,1043.05,1079.4,1022.95,1055.85,139533,54.25
2025-08-01,1064.0,1068.0,1008.0,1012.5,60211,56.23
2025-08-04,1012.3,1050.0,1002.9,1038.4,67535,43.53
2025-08-05,1030.0,1063.0,1030.0,1050.6,71571,56.35
2025-08-06,1054.9,1061.9,1027.0,1043.5,92789,65.1
2025-08-07,1043.0,1067.4,1026.1,1056.7,81484,60.18
2025-08-08,1070.0,1073.9,1043.0,1048.1,44238,66.78
2025-08-11,1050.0,1060.4,1024.3,1052.7,53438,47.2
2025-08-12,1055.2,1099.9,1041.5,1060.5,149231,31.62
2025-08-13,1090.4,1090.4,1045.6,1069.6,103532,49.94
2025-08-14,1066.5,1067.7,1037.0,1047.6,52783,63.22
2025-08-18,1075.0,1075.0,1025.1,1040.7,68802,66.53
2025-08-19,1052.5,1062.9,1020.1,1055.1,46940,50.68
2025-08-20,1065.0,1087.8,1042.0,1051.7,65879,55.27
2025-08-21,1052.2,1084.2,1049.8,1062.2,75360,61.64
2025-08-22,1072.2,1090.0,1048.0,1052.7,103539,39.39
2025-08-25,1061.1,1099.7,1047.2,1077.5,107538,48.83
2025-08-26,1070.2,1074.9,1031.4,1044.9,90186,57.45
2025-08-28,1035.0,1046.9,1013.9,1021.1,52200,56.05
2025-08-29,1015.3,1039.9,1003.3,1010.4,51191,52.33
2025-09-01,1014.4,1082.0,1011.9,1074.6,154597,46.7
2025-09-02,1072.1,1090.0,1062.3,1086.1,56565,70.97
2025-09-03,1089.4,1150.0,1075.0,1104.2,258353,44.26
2025-09-04,1124.0,1129.9,1083.6,1090.5,63329,46.16
2025-09-05,1084.6,1116.3,1070.3,1082.2,76751,48.09
2025-09-08,1104.0,1104.0,1061.5,1080.7,43208,46.44
2025-09-09,1072.2,1088.4,1060.6,1081.2,23694,54.9
2025-09-10,1081.2,1127.9,1081.2,1113.6,139645,60.51
2025-09-11,1127.0,1164.9,1096.4,1113.8,212776,48.45
2025-09-12,1111.0,1122.0,1062.0,1070.8,138231,56.8
2025-09-15,1065.0,1104.4,1060.7,1079.8,66145,55.52
2025-09-16,1084.4,1090.0,1073.8,1077.9,15908,51.92
2025-09-17,1100.0,1123.0,1077.1,1112.2,107414,54.88
2025-09-18,1112.2,1134.5,1100.0,1108.3,73554,48.54
2025-09-19,1113.4,1128.4,1100.0,1121.0,54832,55.2
2025-09-22,1130.0,1150.6,1115.8,1130.3,139325,58.44
2025-09-23,1135.4,1142.9,1085.7,1097.3,106658,40.02
2025-09-24,1101.0,1149.7,1095.0,1139.8,168247,59.25
2025-09-25,1150.0,1158.0,1111.7,1121.6,98166,46.02
2025-09-26,1120.5,1133.1,1075.0,1085.0,183487,57.81
2025-09-29,1093.7,1098.0,1067.8,1085.1,71047,59.19
2025-09-30,1082.5,1128.3,1076.9,1106.1,91755,51.84
2025-10-01,1102.0,1124.3,1085.0,1088.5,78088,53.06
2025-10-03,1085.1,1102.2,1075.7,1081.6,54604,65.3
2025-10-06,1100.0,1100.0,1026.8,1040.5,143153,59.42
2025-10-07,1040.5,1053.8,1037.1,1042.0,24663,51.19
2025-10-08,1042.0,1050.3,1031.8,1035.5,27966,50.78
2025-10-09,1035.5,1044.8,1004.8,1012.0,75564,59.57
2025-10-10,1020.0,1021.0,984.6,998.6,53668,49.26
2025-10-13,1001.2,1038.0,1001.2,1014.5,115341,33.54
2025-10-14,1014.0,1022.6,989.5,992.3,38021,67.85
2025-10-15,992.3,1022.0,992.3,1015.0,34599,49.89
2025-10-16,1020.0,1098.0,1010.1,1075.2,178491,50.81
2025-10-17,1075.1,1088.8,1038.1,1044.4,77130,60.22
2025-10-20,1044.4,1050.9,1013.5,1031.8,39563,57.08
2025-10-21,1031.8,1093.0,1031.8,1046.2,20571,53.56
2025-10-22,1031.8,1093.0,1031.8,1046.2,20571,53.56
2025-10-23,1056.0,1066.4,1039.5,1048.1,43032,64.31
2025-10-24,1046.1,1056.9,1022.3,1029.5,40464,68.12
2025-10-27,1036.2,1036.2,1015.3,1023.7,23612,64.75
2025-10-28,1032.9,1055.1,1025.0,1034.1,26805,58.38
2025-10-29,1034.1,1041.2,1023.9,1032.9,11001,58.32
2025-10-30,1032.9,1063.1,1032.9,1044.2,41870,59.55
2025-10-31,1046.3,1048.0,1030.2,1035.2,19853,64.66
2025-11-03,1035.2,1039.4,1026.3,1031.6,12013,64.5
2025-11-04,1030.1,1038.9,1025.1,1032.1,10226,62.51
2025-11-05,1030.1,1038.9,1025.1,1032.1,10226,62.51
2025-11-06,1026.0,1035.7,1007.2,1016.4,27147,60.83
2025-11-07,1008.7,1028.6,1005.0,1012.7,14841,62.8
2025-11-10,1006.3,1016.5,977.5,984.1,43471,63.48
2025-11-11,980.2,1055.0,973.0,995.5,102540,24.98
2025-11-12,1003.0,1035.3,991.4,1016.3,39285,64.39
2025-11-13,1016.3,1023.6,1003.2,1009.2,5346,59.47
2025-11-14,1005.1,1023.6,997.5,1001.4,13456,72.9
2025-11-17,1007.2,1019.1,873.0,883.3,346165,55.92
2025-11-18,868.1,868.1,826.8,835.7,284259,53.85
2025-11-19,838.0,874.0,831.0,861.0,106003,48.31
2025-11-20,861.0,866.4,836.4,842.4,50893,68.03
2025-11-21,846.7,854.4,830.0,844.1,19946,29.0
2025-11-24,840.0,840.0,783.1,792.0,59992,59.21
2025-11-25,792.1,807.6,757.5,760.5,72861,67.86
2025-11-26,769.0,769.0,750.0,756.0,79579,50.2
2025-11-27,757.5,783.0,747.6,762.0,47280,42.54
2025-11-28,760.3,786.8,757.4,779.6,64609,40.28
2025-12-01,779.6,781.45,760.1,765.65,18039,61.2
