DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,249.45,249.45,242.05,246.95,5351397,43.68
2025-04-15,249.9,259.4,247.35,258.6,5989813,50.88
2025-04-16,258.6,263.7,257.2,263.05,3579086,52.97
2025-04-17,263.0,282.8,262.2,281.05,17063440,23.73
2025-04-21,285.0,293.5,284.0,292.0,8984493,28.77
2025-04-22,292.95,303.5,292.5,294.0,7295416,25.79
2025-04-23,298.0,304.25,292.2,302.8,5647213,29.01
2025-04-24,303.0,303.5,297.25,300.7,2708140,32.07
2025-04-25,300.7,307.0,297.55,304.9,9317417,40.3
2025-04-28,308.5,309.9,299.05,304.35,4789531,37.31
2025-04-29,305.5,312.5,305.0,309.85,3788079,42.68
2025-04-30,309.85,310.8,304.75,305.55,2052252,51.86
2025-05-02,306.9,310.2,305.5,307.35,1812528,54.27
2025-05-05,307.1,309.0,304.0,305.65,1515769,48.3
2025-05-06,305.65,309.0,301.3,302.1,2944422,71.03
2025-05-07,298.0,308.8,298.0,304.5,2823501,50.6
2025-05-08,304.05,307.5,295.4,301.3,5785763,74.45
2025-05-09,295.5,303.6,295.5,300.2,3413184,65.9
2025-05-12,304.05,312.0,304.05,311.0,2658126,45.16
2025-05-13,312.0,320.4,311.25,318.7,2906144,44.03
2025-05-14,319.1,326.75,318.3,323.95,3166485,66.32
2025-05-15,324.45,326.9,322.15,324.1,2293265,62.46
2025-05-16,326.9,328.15,320.05,320.85,2114291,30.73
2025-05-19,335.85,367.7,332.3,351.25,44159054,13.74
2025-05-20,352.0,359.6,346.5,349.55,8770759,24.49
2025-05-21,350.45,352.55,340.55,348.1,2867468,18.2
2025-05-22,345.3,354.15,344.9,350.9,2255677,34.74
2025-05-23,350.9,362.8,347.75,354.5,3896077,41.17
2025-05-26,356.9,363.0,353.45,362.55,3205936,51.05
2025-05-27,364.0,370.0,360.6,363.05,3847695,37.25
2025-05-28,363.05,365.4,357.1,358.55,1802299,44.15
2025-05-29,359.9,362.0,358.1,360.15,963864,40.36
2025-05-30,361.75,373.55,356.9,358.0,4070536,40.13
2025-06-02,358.1,369.8,354.75,366.6,2986711,52.69
2025-06-03,368.7,375.7,367.15,369.7,3054798,46.9
2025-06-04,369.1,370.0,362.7,369.4,880400,29.12
2025-06-05,369.95,374.7,368.05,369.25,2064164,60.77
2025-06-06,370.25,373.75,365.0,367.05,1224117,51.53
2025-06-09,367.05,377.0,366.1,371.85,3064717,60.27
2025-06-10,373.0,374.65,365.6,366.5,1155614,52.88
2025-06-11,367.0,370.0,361.6,365.4,1584094,51.19
2025-06-12,365.0,369.45,356.05,357.6,2230187,51.65
2025-06-13,350.0,361.15,343.5,360.05,2074928,52.43
2025-06-16,360.1,365.7,353.65,365.3,1270461,41.71
2025-06-17,365.3,366.0,357.15,358.75,767727,40.91
2025-06-18,360.95,368.25,357.55,365.35,5011004,39.09
2025-06-19,365.8,366.5,352.75,355.25,1263970,38.04
2025-06-20,351.0,359.0,342.85,357.85,2845844,28.56
2025-06-23,355.15,362.55,355.1,360.55,1621291,40.23
2025-06-24,362.95,379.85,362.3,377.05,5337639,26.03
2025-06-25,380.65,392.0,380.25,388.15,6953356,37.55
2025-06-26,391.75,393.6,381.0,384.8,3051419,33.72
2025-06-27,389.5,390.7,381.25,382.65,3036867,51.67
2025-06-30,382.65,386.95,381.85,382.8,1926845,61.0
2025-07-01,384.25,385.8,380.85,383.95,1004697,54.11
2025-07-02,383.95,388.9,378.45,386.35,3494807,58.12
2025-07-03,386.4,394.4,384.7,388.85,2716340,48.47
2025-07-04,389.0,392.0,387.55,390.1,1304996,63.88
2025-07-07,389.7,397.6,388.6,396.1,1750206,54.47
2025-07-08,398.0,410.5,393.45,408.8,5250563,53.65
2025-07-09,412.8,424.1,409.15,421.3,9609855,51.04
2025-07-10,421.8,426.3,414.15,415.1,2592665,46.27
2025-07-11,414.0,415.6,407.65,411.25,3185846,65.44
2025-07-14,410.0,411.95,404.05,406.35,2160696,59.25
2025-07-15,405.0,418.5,404.8,417.55,2303665,59.1
2025-07-16,418.6,422.5,416.05,421.15,1243552,44.5
2025-07-17,420.0,426.5,417.3,425.3,1682721,56.11
2025-07-18,425.35,437.95,424.5,425.45,5440709,41.55
2025-07-21,425.45,433.9,422.25,433.1,1243336,51.14
2025-07-22,434.5,439.9,431.55,436.85,2920726,55.03
2025-07-23,436.85,445.8,435.05,444.2,2826300,50.78
2025-07-24,444.0,449.45,436.75,437.85,2222322,54.53
2025-07-25,435.5,440.6,424.35,425.35,2805781,56.08
2025-07-28,425.35,435.0,422.55,428.85,2621869,59.79
2025-07-29,428.75,430.55,413.85,421.95,2667730,43.36
2025-07-30,421.0,421.0,407.0,409.15,1742813,38.96
2025-07-31,406.95,429.25,404.1,425.25,6815743,34.05
2025-08-01,427.0,437.75,424.5,429.85,3932117,29.76
2025-08-04,440.0,463.95,440.0,461.6,24276110,18.91
2025-08-05,460.45,463.8,450.7,458.05,4729040,31.25
2025-08-06,458.7,465.85,452.9,454.8,2975433,29.58
2025-08-07,455.0,468.0,454.75,465.75,3974066,37.66
2025-08-08,466.05,467.95,461.25,464.65,2754570,50.95
2025-08-11,464.65,470.8,462.0,467.95,1969339,43.26
2025-08-12,469.0,469.2,462.15,463.6,1037660,51.73
2025-08-13,463.6,468.0,458.55,467.1,3126875,66.53
2025-08-14,468.2,474.1,460.65,464.1,1766754,49.3
2025-08-18,469.05,469.95,458.75,465.2,3466020,65.02
2025-08-19,465.2,473.4,464.35,471.7,2390920,48.86
2025-08-20,472.95,477.75,470.0,471.1,1943419,47.01
2025-08-21,471.0,474.0,463.45,471.95,3408989,60.53
