DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-09-08,58.92,60.84,56.5,58.33,8717,67.5
2025-09-09,58.79,61.24,57.81,58.44,22672,72.32
2025-09-10,58.51,59.5,57.55,58.24,3905,78.16
2025-09-11,58.24,59.5,57.62,58.87,12422,79.99
2025-09-12,58.99,59.0,56.0,56.71,66912,70.9
2025-09-15,57.0,59.54,57.0,59.03,18563,71.42
2025-09-16,59.04,59.67,56.07,57.08,36801,63.35
2025-09-17,59.2,59.2,57.1,57.67,7049,51.33
2025-09-18,57.5,58.79,54.78,55.53,141201,68.91
2025-09-19,55.5,56.5,55.49,56.23,13601,89.48
2025-09-22,57.8,59.0,54.32,57.26,67074,34.32
2025-09-23,57.88,57.88,55.7,56.11,19066,65.96
2025-09-24,57.5,57.5,55.5,56.25,6164,89.58
2025-09-25,57.9,57.9,55.11,55.52,10991,78.5
2025-09-26,56.49,56.49,53.16,53.42,18167,65.05
2025-09-29,53.42,53.43,51.7,52.39,8578,67.0
2025-09-30,53.59,53.6,51.4,52.27,4565,67.73
2025-10-01,52.01,53.4,50.67,52.58,1968,81.3
2025-10-03,52.6,52.95,51.0,52.27,21964,83.75
2025-10-06,52.9,52.97,50.68,51.17,11582,73.17
2025-10-07,52.7,52.7,50.5,51.18,12878,75.83
2025-10-08,51.19,52.49,51.19,52.1,20598,93.01
2025-10-09,52.7,53.2,51.99,52.12,5852,80.76
2025-10-10,52.26,52.8,51.0,51.01,17892,93.7
2025-10-13,51.1,52.49,51.1,51.6,6687,94.08
2025-10-14,52.4,52.4,50.05,50.82,9534,93.65
2025-10-15,52.5,52.5,50.2,50.52,19179,69.41
2025-10-16,50.52,51.65,50.1,50.11,7551,93.1
2025-10-17,51.69,51.7,49.0,49.91,15247,80.1
2025-10-20,50.15,51.9,49.1,49.26,3345,72.97
2025-10-21,51.25,51.25,49.5,50.04,4425,96.88
2025-10-22,51.25,51.25,49.5,50.04,4425,96.88
2025-10-23,51.9,51.9,48.9,51.03,7893,79.92
2025-10-24,51.8,51.9,50.5,51.36,5297,79.38
2025-10-27,51.99,52.4,50.51,51.23,11698,74.49
2025-10-28,50.7,54.6,50.7,53.54,14371,78.67
2025-10-29,54.0,56.15,52.9,53.5,17453,69.29
2025-10-30,54.3,54.77,52.83,53.48,10805,72.46
2025-10-31,52.6,53.87,52.0,53.65,6875,67.3
2025-11-03,53.0,53.64,51.5,51.72,23068,92.83
2025-11-04,52.02,52.5,51.07,51.6,2051,87.32
2025-11-05,52.02,52.5,51.07,51.6,2051,87.32
2025-11-06,51.01,52.35,49.6,50.34,7873,73.77
2025-11-07,51.0,51.0,49.2,49.64,8477,67.11
2025-11-10,49.12,52.9,49.12,51.56,20918,65.69
2025-11-11,51.56,51.56,49.8,50.15,4043,78.53
2025-11-12,50.16,51.69,49.5,50.65,4767,60.14
2025-11-13,50.01,51.69,49.05,50.43,15921,55.69
2025-11-14,48.6,51.9,47.98,50.97,13056,61.49
2025-11-17,52.7,52.7,48.3,50.76,11558,33.54
2025-11-18,50.16,51.24,49.51,50.03,2976,67.94
2025-11-19,51.69,51.75,49.23,50.39,14474,87.64
2025-11-20,50.0,50.5,49.5,49.55,3057,76.87
2025-11-21,49.01,50.25,48.52,49.32,2292,76.96
2025-11-24,49.33,49.79,48.5,48.53,1175,66.04
2025-11-25,47.76,49.5,46.6,47.28,7538,79.66
2025-11-26,47.5,50.99,47.5,49.86,5546,67.47
2025-11-27,50.1,51.0,48.5,48.73,17581,53.48
2025-11-28,48.1,49.79,48.1,48.78,2970,59.73
2025-12-01,48.0,53.33,47.1,51.69,185908,35.24
2025-12-02,53.4,53.4,48.61,49.66,25141,67.23
2025-12-03,50.5,50.5,48.01,48.4,7130,73.41
2025-12-04,48.01,49.0,47.42,48.11,74828,98.57
2025-12-05,49.97,49.97,47.66,47.67,8005,86.17
2025-12-08,49.46,49.46,47.02,48.31,42227,84.58
2025-12-09,48.97,50.4,47.13,48.53,9137,80.42
2025-12-10,50.37,50.37,47.7,48.04,12105,68.72
2025-12-11,49.6,49.6,48.0,48.22,9455,75.22
2025-12-12,48.99,48.99,47.11,47.64,14448,75.87
2025-12-15,48.0,48.9,47.51,48.27,3145,64.1
2025-12-16,48.39,53.88,47.27,52.28,146827,44.66
2025-12-17,52.24,52.48,49.12,49.79,38539,38.17
2025-12-18,50.5,56.99,49.17,51.06,503358,15.01
2025-12-19,50.51,52.0,49.6,50.18,34484,68.79
2025-12-22,49.92,52.0,47.9,48.44,54076,72.4
2025-12-23,48.69,49.7,47.99,48.09,10750,80.79
2025-12-24,49.2,49.2,47.6,48.41,23403,95.77
2025-12-25,49.2,49.2,47.6,48.41,23403,95.77
2025-12-26,49.3,49.5,47.2,48.09,7288,65.5
2025-12-29,47.67,48.74,47.25,47.62,14602,68.11
2025-12-30,47.37,47.85,46.81,47.17,21636,87.19
2025-12-31,47.41,48.2,46.61,47.89,9943,92.33
2026-01-01,47.9,48.99,47.04,48.08,7278,80.94
2026-01-02,46.71,48.96,46.5,47.25,6517,70.83
2026-01-05,48.8,48.8,46.51,46.9,6714,72.37
2026-01-06,47.5,47.94,43.3,45.15,27193,71.82
2026-01-07,46.8,46.8,45.0,45.46,12181,93.29
2026-01-08,45.87,45.88,41.34,43.18,121988,93.07
2026-01-09,44.01,45.9,42.21,43.93,82401,26.78
2026-01-12,45.3,46.5,42.53,45.36,50186,54.0
2026-01-13,46.21,47.3,43.7,44.95,8906,61.32
2026-01-14,44.95,44.95,43.11,43.82,3094,57.76
2026-01-15,44.95,44.95,43.11,43.82,3094,57.76
2026-01-16,43.82,44.77,43.0,43.67,9148,51.85
2026-01-19,44.49,44.49,42.0,42.43,27987,66.89
2026-01-20,41.99,44.0,40.51,42.27,65403,14.81
2026-01-21,41.0,42.69,41.0,41.49,4908,61.67
2026-01-22,42.35,42.35,41.1,41.67,1732,74.88
2026-01-23,41.97,41.98,41.0,41.76,1692,82.51
2026-01-26,41.97,41.98,41.0,41.76,1692,82.51
2026-01-27,41.76,42.0,38.1,38.77,23192,64.74
2026-01-28,38.07,40.0,38.0,39.01,80931,97.79
2026-01-29,39.01,39.52,37.2,37.94,17133,48.95
2026-01-30,37.95,38.7,37.25,37.56,58712,99.01
2026-02-02,39.15,39.15,35.31,35.6,12027,73.25
2026-02-03,37.84,37.89,34.5,35.11,27726,66.71
2026-02-04,34.55,36.97,34.55,36.06,42036,84.16
2026-02-05,36.75,36.95,34.0,34.41,17007,65.3
2026-02-06,35.71,35.71,34.5,34.55,7354,89.46
2026-02-09,35.25,36.9,34.0,34.96,26004,68.67
2026-02-10,36.4,36.4,33.52,34.31,36210,77.05
2026-02-11,35.87,35.87,33.55,33.86,11115,66.56
2026-02-12,35.38,35.38,28.65,29.32,250642,81.48
2026-02-13,29.1,29.1,24.5,28.43,543272,67.12
2026-02-16,26.5,28.06,24.0,24.65,282619,57.78
2026-02-17,25.9,25.9,24.13,24.74,208381,38.19
2026-02-18,24.74,25.5,23.98,24.57,43194,67.01
2026-02-19,25.8,25.99,24.0,24.54,75046,64.8
2026-02-20,24.85,26.99,22.22,25.98,141217,40.25
2026-02-23,26.5,28.0,25.36,26.9,93174,52.23
2026-02-24,28.29,28.29,26.31,26.98,48834,65.82
2026-02-25,27.5,28.89,27.0,27.87,108591,66.9
2026-02-26,27.87,29.3,25.5,27.24,166011,55.56
2026-02-27,28.48,28.48,27.1,27.71,41188,62.47
2026-03-02,25.75,30.48,25.75,30.48,178410,37.61
2026-03-03,25.75,30.48,25.75,30.48,178410,37.61
2026-03-04,31.55,32.9,29.51,31.14,121262,52.87
2026-03-05,32.8,33.0,30.23,32.15,44352,53.42
