DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,1084.3,1178.0,1070.3,1163.55,198336,61.97
2025-04-15,1225.0,1269.0,1183.0,1253.3,443168,54.49
2025-04-16,1254.9,1295.7,1250.0,1268.6,289995,56.95
2025-04-17,1279.8,1279.8,1225.3,1257.1,136222,44.32
2025-04-21,1286.0,1286.0,1243.2,1250.1,158719,58.53
2025-04-22,1257.0,1281.0,1228.0,1238.0,104366,65.51
2025-04-23,1245.5,1245.5,1204.3,1215.3,82975,56.47
2025-04-24,1220.0,1264.0,1214.9,1239.1,144604,51.54
2025-04-25,1248.7,1248.7,1191.1,1222.6,165900,51.98
2025-04-28,1230.3,1248.0,1205.0,1223.5,107423,55.57
2025-04-29,1235.8,1245.6,1212.8,1219.9,56477,50.82
2025-04-30,1211.0,1244.6,1205.0,1210.6,123607,53.34
2025-05-02,1222.2,1238.0,1201.1,1213.0,177898,53.1
2025-05-05,1219.1,1245.1,1201.2,1208.9,40231,46.75
2025-05-06,1181.0,1218.0,1179.8,1195.6,141608,31.62
2025-05-07,1152.0,1189.9,1131.4,1144.9,119075,44.89
2025-05-08,1144.5,1151.1,1078.0,1103.5,116611,56.49
2025-05-09,1056.0,1087.0,1042.7,1064.2,121479,47.32
2025-05-12,1100.0,1148.8,1100.0,1125.9,76267,38.99
2025-05-13,1137.2,1188.5,1120.5,1178.2,108802,61.42
2025-05-14,1181.1,1185.1,1156.0,1175.2,52240,56.34
2025-05-15,1184.2,1190.0,1164.2,1172.2,36216,51.46
2025-05-16,1154.7,1189.0,1154.5,1169.8,46260,57.38
2025-05-19,1176.0,1235.5,1169.7,1224.5,154646,53.48
2025-05-20,1223.0,1223.0,1149.9,1158.4,75874,57.05
2025-05-21,1164.8,1185.0,1154.6,1164.9,30588,50.51
2025-05-22,1156.6,1177.7,1152.1,1169.0,23290,49.77
2025-05-23,1174.9,1182.0,1136.3,1147.6,100575,81.76
2025-05-26,1142.0,1175.9,1142.0,1147.7,46088,68.55
2025-05-27,1150.1,1162.5,1130.6,1154.6,26380,36.54
2025-05-28,1158.3,1160.9,1136.3,1141.0,19336,53.06
2025-05-29,1141.0,1148.9,1111.0,1114.7,34582,66.57
2025-05-30,1111.2,1134.4,1101.0,1120.2,34969,60.55
2025-06-02,1140.0,1180.0,1111.6,1140.2,123398,68.71
2025-06-03,1130.6,1147.3,1125.7,1139.2,46670,57.15
2025-06-04,1136.0,1136.8,1112.0,1115.7,34476,50.63
2025-06-05,1115.7,1140.0,1106.6,1115.5,51140,43.3
2025-06-06,1110.0,1130.0,1101.0,1119.2,54639,57.66
2025-06-09,1119.1,1136.9,1110.2,1118.8,36623,60.55
2025-06-10,1114.0,1134.0,1111.0,1117.9,30940,55.15
2025-06-11,1119.4,1122.3,1102.0,1107.4,61191,57.62
2025-06-12,1118.0,1118.0,1086.0,1090.4,49170,63.93
2025-06-13,1090.0,1095.2,1069.6,1090.3,26341,51.95
2025-06-16,1073.2,1110.0,1073.0,1105.7,27969,55.4
2025-06-17,1105.0,1105.0,1080.0,1081.2,30270,50.47
2025-06-18,1075.0,1093.6,1071.8,1082.6,70037,65.4
2025-06-19,1086.7,1087.0,1052.2,1061.0,19584,61.98
2025-06-20,1042.0,1068.2,1011.0,1013.9,133905,62.02
2025-06-23,1013.9,1041.8,975.1,992.0,213016,62.62
2025-06-24,998.0,1031.4,991.2,1001.7,142812,52.82
2025-06-25,1002.0,1069.1,1000.0,1049.4,143177,55.66
2025-06-26,1050.0,1068.0,1023.9,1034.8,56486,51.2
2025-06-27,1030.0,1053.3,1028.1,1031.4,69211,61.76
2025-06-30,1037.8,1069.0,1022.0,1054.0,85750,57.06
2025-07-01,1055.0,1060.0,1016.0,1021.5,51713,64.51
2025-07-02,1019.0,1053.5,1016.2,1031.2,101217,46.62
2025-07-03,1041.5,1041.5,1023.7,1028.8,47829,52.01
2025-07-04,1022.1,1034.3,1021.0,1027.4,40623,59.8
2025-07-07,1033.6,1047.0,1018.0,1026.8,57792,55.82
2025-07-08,1027.0,1056.9,1024.4,1047.1,60033,56.53
2025-07-09,1038.6,1089.0,1037.5,1081.4,92197,51.15
2025-07-10,1073.8,1101.9,1071.7,1095.3,36087,59.03
2025-07-11,1093.0,1099.5,1055.1,1070.7,22107,55.39
2025-07-14,1070.7,1086.0,1050.0,1068.6,24897,50.76
2025-07-15,1079.3,1101.6,1070.0,1093.3,34286,53.32
2025-07-16,1104.2,1104.2,1067.0,1070.6,17340,51.7
2025-07-17,1071.0,1075.6,1042.6,1048.4,45625,70.42
2025-07-18,1048.4,1073.3,1044.9,1062.6,43447,60.91
2025-07-21,1051.8,1080.7,1038.0,1045.4,39238,52.93
2025-07-22,1038.2,1058.5,1032.5,1036.7,18383,59.2
2025-07-23,1044.0,1047.0,1026.7,1032.6,15503,54.25
2025-07-24,1045.5,1048.0,999.4,1010.2,55711,63.46
2025-07-25,1011.9,1013.5,986.1,995.2,30939,63.33
2025-07-28,972.0,1078.3,952.0,1036.1,117565,43.11
2025-07-29,1020.0,1032.8,973.8,1004.8,92449,42.21
2025-07-30,1005.0,1020.0,991.2,994.0,34514,62.92
2025-07-31,977.0,1007.5,961.9,972.1,91581,40.2
2025-08-01,974.0,989.65,957.6,965.15,77403,45.83
2025-08-04,978.95,986.95,934.1,940.05,34784,46.77
2025-08-05,947.2,964.6,906.0,923.95,170838,40.3
2025-08-06,924.9,945.55,922.95,927.95,35313,40.16
2025-08-07,923.1,933.0,907.0,913.35,26452,36.7
2025-08-08,923.0,923.0,905.5,907.6,11955,48.66
2025-08-11,901.0,920.0,900.25,913.5,11825,37.34
2025-08-12,913.5,918.8,889.2,893.65,21879,55.08
2025-08-13,890.4,938.65,890.4,928.6,60236,48.58
2025-08-14,930.0,943.6,910.0,915.15,65800,55.72
2025-08-18,935.0,944.35,900.9,919.95,59005,62.53
2025-08-19,926.9,936.95,913.55,920.65,76068,60.33
2025-08-20,920.0,940.0,917.95,922.2,44785,51.0
2025-08-21,928.3,928.3,909.7,912.9,28512,66.35
2025-08-22,907.3,923.9,905.65,914.0,18639,53.11
2025-08-25,910.0,926.0,909.95,922.0,35471,68.54
2025-08-26,924.95,926.55,900.0,909.6,46219,66.42
2025-08-28,909.6,921.05,898.95,900.65,45862,66.89
2025-08-29,905.85,917.4,894.4,910.9,32655,57.15
2025-09-01,912.7,936.05,912.7,926.75,62599,69.28
