DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,6.0,6.05,5.8,5.89,228609,59.3
2025-04-15,5.9,6.03,5.9,5.94,384098,76.37
2025-04-16,5.94,6.06,5.91,5.98,541247,65.49
2025-04-17,6.08,6.1,5.92,5.96,301333,56.69
2025-04-21,6.14,7.05,5.97,6.35,2917022,33.06
2025-04-22,6.49,6.68,6.12,6.22,874389,47.67
2025-04-23,6.3,6.4,6.08,6.2,746254,61.98
2025-04-24,6.1,6.42,6.1,6.25,409065,54.4
2025-04-25,6.17,6.28,5.81,5.97,633266,51.07
2025-04-28,5.97,6.05,5.86,5.92,319437,60.7
2025-04-29,5.94,6.06,5.85,5.86,323484,67.44
2025-04-30,5.88,6.34,5.87,6.01,635842,54.95
2025-05-02,6.0,6.03,5.86,5.87,183295,66.5
2025-05-05,6.0,6.09,5.89,6.03,326194,67.32
2025-05-06,6.01,6.12,5.6,5.67,357295,65.07
2025-05-07,5.62,5.72,5.4,5.47,939208,54.65
2025-05-08,5.51,5.8,5.26,5.4,599902,46.38
2025-05-09,5.4,5.6,5.18,5.47,591110,47.5
2025-05-12,5.6,5.99,5.6,5.77,557110,43.51
2025-05-13,5.9,6.07,5.76,6.02,815515,69.15
2025-05-14,6.12,6.5,6.02,6.22,1263811,46.49
2025-05-15,6.25,6.33,6.11,6.17,484037,53.84
2025-05-16,6.13,6.27,6.08,6.1,404932,61.51
2025-05-19,6.1,6.21,5.99,6.03,665339,59.69
2025-05-20,6.08,6.12,5.91,5.92,292305,57.37
2025-05-21,5.87,6.15,5.87,6.11,532789,61.56
2025-05-22,6.14,6.15,6.04,6.07,174438,67.87
2025-05-23,6.07,6.16,5.97,6.0,146967,71.08
2025-05-26,6.01,6.84,6.01,6.04,1743141,32.38
2025-05-27,6.02,6.13,6.01,6.08,200671,69.95
2025-05-28,6.16,6.69,6.1,6.45,1635765,50.31
