DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,1531.2,1531.2,1485.0,1492.94,14197,87.22
2025-04-15,1495.0,1496.35,1488.0,1493.85,19369,72.55
2025-04-16,1494.99,1494.99,1489.05,1490.63,9801,82.91
2025-04-17,1535.35,1535.35,1490.64,1493.33,65378,72.68
2025-04-21,1448.55,1514.69,1448.55,1494.24,12373,76.14
2025-04-22,1496.51,1499.99,1495.01,1499.1,14920,79.91
2025-04-23,1501.5,1501.99,1498.51,1501.82,13132,60.87
2025-04-24,1546.87,1546.87,1499.31,1502.35,12708,95.11
2025-04-25,1467.0,1503.6,1467.0,1501.88,118014,95.76
2025-04-28,1530.0,1530.0,1496.11,1499.74,14313,72.84
2025-04-29,1499.74,1544.73,1468.3,1504.98,14201,89.74
2025-04-30,1520.74,1520.74,1500.1,1504.43,18198,88.84
2025-05-02,1459.3,1508.0,1459.3,1503.16,21110,91.79
2025-05-05,1505.0,1505.97,1500.0,1502.24,21551,70.05
2025-05-06,1505.0,1505.0,1500.2,1501.24,16073,72.05
2025-05-07,1499.1,1503.99,1499.1,1501.26,18453,89.3
2025-05-08,1504.5,1504.5,1500.5,1501.51,13060,60.56
2025-05-09,1540.0,1540.0,1479.45,1503.8,18317,94.88
2025-05-12,1505.0,1505.0,1458.69,1500.32,20418,86.67
2025-05-13,1504.8,1504.8,1500.11,1503.16,18206,61.69
2025-05-14,1507.0,1509.09,1500.32,1508.2,14737,75.16
2025-05-15,1510.0,1510.0,1505.18,1507.24,11634,89.25
2025-05-16,1509.7,1509.7,1505.0,1508.27,6963,70.56
2025-05-19,1514.0,1514.0,1506.02,1511.08,9878,65.82
2025-05-20,1516.0,1517.68,1508.95,1516.47,24253,72.2
2025-05-21,1517.98,1518.89,1513.0,1518.42,9401,60.19
2025-05-22,1550.0,1550.0,1515.51,1517.1,26390,89.39
2025-05-23,1562.61,1562.61,1514.02,1517.66,16479,89.57
2025-05-26,1521.5,1521.5,1514.0,1518.71,18937,87.08
2025-05-27,1564.27,1564.27,1518.71,1519.76,18609,80.86
2025-05-28,1544.0,1544.0,1518.4,1520.08,22280,88.93
2025-05-29,1524.99,1525.0,1519.73,1520.51,20347,87.66
2025-05-30,1524.99,1525.0,1519.49,1521.59,21042,74.1
2025-06-02,1567.24,1567.24,1475.94,1521.77,9959,71.45
2025-06-03,1567.42,1567.42,1520.49,1522.69,26549,87.4
2025-06-04,1560.75,1560.75,1520.63,1521.87,13221,85.25
2025-06-05,1524.0,1525.59,1521.01,1522.52,9517,64.87
2025-06-06,1525.0,1525.0,1519.9,1521.88,42850,92.91
2025-06-09,1531.0,1531.0,1519.0,1526.5,44730,97.71
2025-06-10,1531.0,1531.0,1525.16,1527.57,27261,87.23
2025-06-11,1481.74,1551.8,1481.74,1522.07,94525,94.33
2025-06-12,1488.45,1526.0,1488.45,1519.02,14350,73.32
2025-06-13,1542.95,1542.95,1513.92,1516.56,11120,79.9
2025-06-16,1562.51,1562.51,1513.99,1519.57,33467,71.53
2025-06-17,1473.98,1523.6,1473.98,1517.6,14492,87.81
2025-06-18,1523.97,1523.97,1517.96,1520.15,6346,96.64
2025-06-19,1565.75,1565.75,1474.55,1518.32,10152,96.82
2025-06-20,1524.22,1524.22,1517.54,1519.33,21627,93.75
2025-06-23,1496.86,1542.45,1496.86,1521.45,36340,91.57
2025-06-24,1518.56,1522.26,1517.06,1518.25,20138,81.65
2025-06-25,1517.99,1522.24,1516.99,1518.42,69801,96.85
2025-06-26,1518.42,1522.94,1516.15,1517.07,14284,92.4
2025-06-27,1480.0,1522.49,1471.56,1518.14,14857,91.56
2025-06-30,1522.0,1523.99,1517.03,1518.4,16431,95.25
2025-07-01,1563.95,1563.95,1482.8,1518.95,11877,88.36
2025-07-02,1523.5,1523.5,1490.0,1520.3,19226,92.78
2025-07-03,1525.5,1525.5,1520.85,1522.81,110354,96.83
2025-07-04,1519.0,1527.49,1477.13,1526.54,21350,85.24
2025-07-07,1522.72,1534.17,1480.74,1526.31,8807,86.57
2025-07-08,1524.1,1530.99,1524.1,1529.07,8430,74.89
2025-07-09,1536.72,1536.72,1526.03,1529.16,12611,90.26
2025-07-10,1529.49,1530.44,1524.0,1524.11,48857,70.47
2025-07-11,1531.0,1531.0,1523.81,1526.16,11903,88.79
2025-07-14,1522.34,1530.0,1522.34,1526.3,75571,93.8
2025-07-15,1533.93,1535.0,1523.0,1525.3,8696,78.01
2025-07-16,1521.49,1532.93,1494.8,1528.87,18256,88.46
2025-07-17,1536.51,1536.51,1525.52,1528.78,5255,82.06
2025-07-18,1536.42,1536.42,1526.02,1528.85,34594,92.52
2025-07-21,1533.0,1533.0,1526.0,1528.99,22578,98.42
2025-07-22,1532.5,1532.5,1526.54,1528.85,6689,90.51
2025-07-23,1518.0,1533.0,1482.98,1530.87,4169,67.98
2025-07-24,1533.99,1534.0,1529.03,1530.41,2207,66.02
2025-07-25,1532.99,1533.0,1529.53,1530.64,33559,65.24
2025-07-28,1526.81,1533.99,1510.36,1530.53,3125,82.05
2025-07-29,1530.53,1533.0,1527.02,1530.84,5640,71.29
2025-07-30,1533.0,1533.82,1528.0,1528.13,13074,83.83
2025-07-31,1533.0,1533.0,1526.0,1528.41,3632,92.79
2025-08-01,1536.05,1536.05,1528.41,1532.57,10225,73.7
2025-08-04,1540.6,1544.3,1508.11,1531.84,20997,92.12
2025-08-05,1539.5,1543.3,1530.01,1533.01,13124,95.27
2025-08-06,1535.5,1535.5,1529.19,1532.95,6199,86.51
2025-08-07,1535.0,1535.0,1527.83,1531.29,11123,73.6
2025-08-08,1534.99,1535.47,1530.5,1533.24,8767,86.14
2025-08-11,1579.24,1579.24,1531.01,1531.58,14301,80.78
2025-08-12,1539.24,1539.24,1527.72,1528.11,9766,82.48
2025-08-13,1535.75,1573.95,1525.46,1528.56,25767,66.2
2025-08-14,1524.74,1532.0,1524.0,1529.65,8238,86.51
2025-08-18,1525.83,1537.3,1500.0,1528.36,32393,87.74
2025-08-19,1532.68,1532.68,1524.27,1531.09,5510,85.86
2025-08-20,1538.75,1577.02,1527.0,1527.63,8971,60.86
2025-08-21,1523.35,1530.99,1523.35,1528.02,9635,64.6
2025-08-22,1529.95,1529.95,1527.19,1528.49,8064,57.32
2025-08-25,1536.13,1536.13,1521.0,1521.77,72348,91.96
2025-08-26,1529.0,1531.87,1525.03,1529.14,4671,81.31
2025-08-28,1536.79,1536.79,1525.1,1526.6,8108,83.2
2025-08-29,1522.33,1534.22,1232.0,1526.57,19846,83.36
2025-09-01,1524.0,1532.0,1524.0,1528.5,24357,88.32
2025-09-02,1524.22,1532.0,1524.22,1528.98,12584,84.94
2025-09-03,1532.0,1532.0,1524.7,1528.96,22125,62.41
2025-09-04,1538.4,1541.8,1527.01,1530.84,11992,74.47
2025-09-05,1569.11,1569.11,1522.54,1530.29,5743,88.26
2025-09-08,1537.94,1538.0,1516.66,1531.72,11931,84.45
2025-09-09,1534.0,1534.0,1529.27,1531.18,51115,97.97
2025-09-10,1538.0,1538.0,1516.62,1531.72,7204,89.81
2025-09-11,1527.43,1538.0,1527.43,1534.02,14988,62.23
2025-09-12,1529.72,1535.94,1529.0,1534.83,11231,57.55
2025-09-15,1542.5,1555.36,1530.51,1530.98,21322,86.4
2025-09-16,1534.89,1536.36,1532.26,1535.99,4978,79.15
2025-09-17,1535.0,1536.98,1531.08,1531.89,34051,82.71
2025-09-18,1501.89,1537.0,1501.89,1533.38,18648,98.01
2025-09-19,1579.38,1579.38,1532.28,1534.35,11208,97.31
2025-09-22,1530.0,1535.79,1530.0,1534.58,5998,90.88
2025-09-23,1543.8,1543.8,1528.77,1533.32,30761,61.85
2025-09-24,1535.36,1538.99,1535.0,1535.41,3451,88.93
2025-09-25,1538.98,1539.42,1533.0,1535.89,62197,95.13
2025-09-26,1544.8,1544.8,1535.16,1537.59,13388,93.79
2025-09-29,1533.28,1545.28,1520.0,1539.2,7899,83.21
2025-09-30,1539.65,1541.45,1536.97,1538.63,3557,76.19
2025-10-01,1539.62,1542.82,1536.6,1537.11,50370,97.09
2025-10-03,1544.91,1545.0,1537.0,1540.0,55255,88.82
2025-10-06,1547.7,1586.2,1520.0,1544.29,32726,70.25
2025-10-07,1548.94,1548.94,1543.11,1546.25,6882,59.39
2025-10-08,1539.45,1549.8,1521.14,1544.06,23847,92.85
2025-10-09,1547.49,1547.49,1544.53,1545.34,7676,89.08
2025-10-10,1553.07,1553.07,1542.01,1545.99,9549,87.43
2025-10-13,1551.58,1551.58,1546.0,1547.71,22438,72.25
2025-10-14,1555.45,1555.45,1541.67,1550.62,20132,88.78
2025-10-15,1544.57,1558.37,1535.36,1550.31,9576,74.21
2025-10-16,1544.26,1552.79,1536.3,1551.13,18592,61.7
2025-10-17,1545.08,1553.49,1545.08,1548.06,63560,97.88
2025-10-20,1555.8,1559.0,1549.48,1553.94,7192,74.36
2025-10-21,1547.88,1568.83,1547.88,1555.36,2999,87.46
2025-10-22,1547.88,1568.83,1547.88,1555.36,2999,87.46
2025-10-23,1549.29,1557.96,1549.29,1553.53,11920,60.89
