DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,176.9,179.28,175.01,176.19,24389,82.13
2025-04-15,180.01,189.99,178.5,182.82,30371,67.25
2025-04-16,190.01,190.05,180.77,183.74,25050,63.9
2025-04-17,192.0,192.0,181.47,183.47,23296,74.61
2025-04-21,181.05,188.47,181.05,184.65,26648,68.42
2025-04-22,186.51,189.99,185.1,188.63,120489,82.8
2025-04-23,187.13,204.3,183.1,197.29,122044,84.94
2025-04-24,199.01,218.8,196.81,215.85,63600,59.87
2025-04-25,219.9,220.47,207.79,216.04,48215,57.7
2025-04-28,216.05,220.48,212.2,214.82,39631,61.99
2025-04-29,215.08,221.36,214.0,220.4,48039,56.61
2025-04-30,220.4,229.0,218.41,222.86,49137,64.07
2025-05-02,222.86,224.9,216.0,218.52,37162,84.19
2025-05-05,214.54,224.8,212.11,221.45,42417,62.39
2025-05-06,223.52,223.52,219.01,219.81,42295,67.28
2025-05-07,220.01,222.65,218.0,220.14,36093,77.31
2025-05-08,220.15,224.65,216.97,222.37,43784,74.33
2025-05-09,225.38,225.38,211.51,214.51,41291,58.66
2025-05-12,214.52,222.45,214.52,217.32,18502,84.81
2025-05-13,223.0,223.0,216.47,221.87,32789,70.73
2025-05-14,221.88,223.99,219.01,220.77,20354,86.0
2025-05-15,220.78,223.49,216.6,218.77,24626,78.55
2025-05-16,218.33,219.85,216.71,217.34,30890,64.96
2025-05-19,217.35,218.16,210.41,212.43,23069,86.42
2025-05-20,208.59,214.37,208.59,211.09,18488,76.06
2025-05-21,211.1,215.87,209.63,212.08,19213,77.94
2025-05-22,212.09,219.9,210.2,213.11,24202,80.68
2025-05-23,211.0,216.95,210.0,213.06,36718,63.85
2025-05-26,216.98,218.99,214.01,217.11,27805,79.4
2025-05-27,223.0,223.0,216.24,218.31,33431,72.96
2025-05-28,218.32,232.39,217.02,225.04,74551,78.88
2025-05-29,225.04,225.3,220.05,220.98,29895,87.49
2025-05-30,220.99,228.0,218.51,219.74,43222,58.35
2025-06-02,219.75,223.0,216.24,216.74,37429,71.93
2025-06-03,216.75,224.0,212.55,215.25,37982,62.66
2025-06-04,215.26,220.49,210.06,211.07,31010,69.72
2025-06-05,211.08,226.34,210.17,225.11,31901,80.56
2025-06-06,226.24,226.25,219.0,221.41,43970,91.49
2025-06-09,226.0,226.0,219.0,220.58,29433,76.0
2025-06-10,220.59,225.28,219.01,221.55,29966,81.1
2025-06-11,221.56,223.96,216.05,216.88,29262,78.15
2025-06-12,216.89,222.0,215.08,217.85,27459,79.38
2025-06-13,217.86,220.15,215.5,216.19,29224,84.82
2025-06-16,216.2,222.01,216.2,219.39,30874,75.49
2025-06-17,219.4,223.84,215.1,217.59,25141,84.18
2025-06-18,217.6,221.01,215.06,216.31,25145,79.78
2025-06-19,216.32,217.9,213.22,214.26,26338,75.31
2025-06-20,215.01,220.08,212.55,214.05,27549,76.64
2025-06-23,214.06,217.86,213.0,214.53,24424,75.34
2025-06-24,215.5,224.5,213.76,214.74,25303,70.3
2025-06-25,214.75,218.0,214.75,216.6,22877,81.61
2025-06-26,216.61,224.69,213.02,215.63,28030,82.88
2025-06-27,215.64,220.01,214.12,216.69,25721,83.78
2025-06-30,216.7,260.02,216.7,258.61,389415,28.54
2025-07-01,262.6,262.6,243.15,248.25,89885,41.47
2025-07-02,248.3,292.05,246.4,263.55,271639,30.41
2025-07-03,265.0,273.35,255.35,257.25,47168,48.4
2025-07-04,257.0,264.4,249.6,251.75,19986,56.67
2025-07-07,253.75,288.9,252.3,270.7,149602,32.54
2025-07-08,272.0,274.0,257.25,268.65,78264,64.11
2025-07-09,284.4,285.0,264.5,266.45,60771,73.09
2025-10-13,253.0,253.0,229.9,236.37,27957,64.8
2025-10-14,236.0,249.33,222.89,226.26,31391,44.83
2025-10-15,240.99,240.99,225.15,227.57,15788,77.26
2025-10-16,222.0,230.0,215.05,217.35,27160,24.82
2025-10-17,227.5,230.0,214.1,223.82,16081,63.02
2025-10-20,225.0,240.9,216.61,235.17,34106,54.28
2025-10-21,237.97,239.99,229.0,235.87,2430,45.19
2025-10-22,237.97,239.99,229.0,235.87,2430,45.19
2025-10-23,246.0,246.0,227.26,232.24,33846,42.62
2025-10-24,238.0,238.0,225.0,226.0,23140,67.67
2025-10-27,232.0,232.0,225.18,229.92,18958,75.07
2025-10-28,230.16,235.0,222.37,232.59,23038,61.65
2025-10-29,231.01,233.99,227.18,231.98,20551,69.69
2025-10-30,232.84,233.23,226.25,228.03,18701,76.08
2025-10-31,228.04,232.78,227.1,229.32,23331,73.63
2025-11-03,232.01,232.6,227.0,229.24,19923,73.66
2025-11-04,229.14,232.0,228.0,230.47,16827,83.7
2025-11-05,229.14,232.0,228.0,230.47,16827,83.7
2025-11-06,229.84,232.5,228.0,228.77,16858,86.41
2025-11-07,230.85,231.0,227.2,229.78,17875,90.47
2025-11-10,229.79,232.0,227.0,227.59,24307,59.09
2025-11-11,228.39,230.8,227.01,228.16,17794,90.32
2025-11-12,228.17,231.03,226.0,228.96,20697,70.49
2025-11-13,230.36,235.0,227.03,230.58,21778,74.26
2025-11-14,230.01,231.0,226.27,229.32,18903,79.84
2025-11-17,227.96,230.99,227.02,228.2,21835,70.55
2025-11-18,228.65,230.25,226.17,228.05,20230,84.57
2025-11-19,228.06,230.94,227.01,227.3,23381,68.18
2025-11-20,227.3,232.33,227.26,228.88,22837,74.9
2025-11-21,228.09,233.6,226.36,227.87,22219,75.31
2025-11-24,226.74,230.5,225.0,225.04,20017,91.37
2025-11-25,225.05,232.7,223.0,223.73,29747,56.06
2025-11-26,223.74,229.89,221.01,221.89,22628,71.04
2025-11-27,221.9,227.5,212.0,213.8,25625,68.84
2025-11-28,213.81,223.4,207.55,212.11,23622,73.18
2025-12-01,212.12,221.57,212.1,214.1,11511,4.39
2025-12-02,214.11,222.91,210.77,213.0,21505,72.86
2025-12-03,213.01,218.63,211.0,215.75,20767,84.53
2025-12-04,216.78,218.63,213.22,216.82,19171,79.88
2025-12-05,215.27,218.0,210.61,213.22,23029,70.8
2025-12-08,213.23,216.5,209.0,209.12,21845,84.07
2025-12-09,209.13,212.8,204.98,208.43,37182,85.09
2025-12-10,208.44,212.02,205.47,206.79,19705,91.09
2025-12-11,206.8,211.15,205.56,207.32,31742,71.08
2025-12-12,208.01,233.99,206.49,229.7,31933,56.02
2025-12-15,226.83,249.0,223.99,242.87,47042,72.91
2025-12-16,242.87,252.0,238.42,241.55,30910,91.46
2025-12-17,241.56,245.07,233.21,236.14,39390,63.76
2025-12-18,236.15,244.1,231.38,236.41,30659,72.04
2025-12-19,236.42,243.5,234.98,237.3,31991,72.4
2025-12-22,237.31,260.94,237.31,249.0,65641,62.31
2025-12-23,249.01,258.56,245.1,246.56,50977,68.36
