DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,430.0,438.0,418.4,436.05,359717,38.16
2025-04-15,450.0,466.0,442.65,463.15,594114,37.0
2025-04-16,467.45,475.7,462.05,464.45,469602,36.38
2025-04-17,464.3,476.0,461.95,470.25,577164,54.38
2025-04-21,473.95,498.5,468.75,496.25,798040,47.99
2025-04-22,500.0,519.85,488.6,512.35,1424967,42.39
2025-04-23,517.0,529.0,502.0,526.4,1436125,40.76
2025-04-24,527.75,555.55,519.1,540.3,5954157,20.55
2025-04-25,549.0,553.0,505.45,517.75,2393920,27.99
2025-04-28,520.0,548.0,512.25,541.1,1837763,27.34
2025-04-29,540.9,563.0,538.35,560.25,1467933,37.99
2025-04-30,559.0,572.55,540.5,544.85,1150462,40.72
2025-05-02,544.9,581.45,542.55,574.8,2330185,26.91
2025-05-05,577.9,585.4,565.2,578.9,743853,34.78
2025-05-06,577.0,605.2,574.5,593.6,2069224,28.6
2025-05-07,593.0,623.65,583.3,616.1,1547676,26.57
2025-05-08,616.1,648.8,606.15,617.8,2274818,35.11
2025-05-09,600.0,631.05,599.25,622.1,978294,22.66
2025-05-12,636.65,646.85,632.7,643.1,790295,37.38
2025-05-13,641.0,677.7,630.05,668.95,1353546,44.04
2025-05-14,669.0,671.95,643.0,655.2,1023864,35.35
2025-05-15,654.95,682.85,648.65,679.8,1100403,41.9
2025-05-16,682.75,687.0,653.2,663.25,834103,41.09
2025-05-19,663.7,685.8,663.7,674.2,619903,47.46
2025-05-20,674.0,678.0,654.05,655.9,328302,48.99
2025-05-21,655.9,683.5,654.3,680.55,908172,46.51
2025-05-22,678.95,695.3,674.5,676.75,663979,43.05
2025-05-23,685.0,698.0,678.05,681.15,518280,44.57
2025-05-26,685.0,689.4,669.1,673.3,543404,54.88
2025-05-27,673.3,691.05,670.05,685.85,405549,43.19
2025-05-28,689.8,701.5,669.05,677.65,815383,51.23
2025-05-29,682.0,690.0,676.05,679.15,381894,54.84
2025-05-30,685.7,689.85,661.3,664.0,557867,51.74
2025-06-02,664.0,703.0,664.0,699.9,1030332,41.31
2025-06-03,705.0,716.25,686.05,689.55,927662,40.64
2025-06-04,693.8,709.0,686.55,705.4,535385,39.87
2025-06-05,705.45,715.0,689.1,692.4,454937,45.95
2025-06-06,695.0,698.95,682.4,694.3,629564,47.93
2025-06-09,695.0,704.5,683.55,686.35,506189,46.15
2025-06-10,693.8,704.0,686.05,691.8,554587,45.55
2025-06-11,697.65,697.65,672.6,682.35,368386,47.62
2025-06-12,686.7,688.95,667.1,669.5,502430,54.05
2025-06-13,650.0,677.05,641.8,669.7,516654,46.48
2025-06-16,668.1,676.25,651.1,669.85,340787,43.27
2025-06-17,669.45,670.8,648.0,650.55,330205,49.93
2025-06-18,645.0,660.3,636.35,638.95,392730,51.29
2025-06-19,640.0,647.2,628.9,631.85,522977,33.52
2025-06-20,629.0,644.55,626.3,633.0,489038,47.45
2025-06-23,626.6,638.0,625.7,635.8,244926,45.48
2025-06-24,642.0,649.45,624.1,627.3,623259,54.42
2025-06-25,632.7,653.0,632.5,639.1,580955,40.71
2025-06-26,642.3,647.0,625.0,626.4,652723,57.6
2025-06-27,630.0,660.8,626.0,653.35,2259974,26.35
2025-06-30,657.0,672.0,638.05,654.7,723885,39.2
2025-07-01,658.0,661.0,632.0,633.75,678288,58.04
2025-07-02,636.0,663.0,632.2,650.85,1166775,27.67
2025-07-03,651.0,652.4,640.1,642.25,265155,52.23
2025-07-04,644.15,650.95,640.45,646.1,282213,38.24
2025-07-07,648.2,656.5,638.85,646.6,280128,35.95
2025-07-08,648.0,650.9,630.0,640.25,320772,46.15
2025-07-09,644.0,665.0,636.3,660.35,618159,50.52
2025-07-10,675.0,677.55,643.0,648.7,1276958,43.08
2025-07-11,647.0,683.0,614.9,619.3,5927118,20.59
2025-07-14,622.5,637.85,622.5,627.35,967561,28.87
2025-07-15,629.0,634.0,621.3,624.35,575239,47.81
2025-07-16,626.0,626.55,603.2,606.95,947540,45.64
2025-07-17,611.8,621.5,605.6,607.35,494278,45.4
2025-07-18,609.75,614.0,595.35,601.0,476966,51.94
2025-07-21,601.0,602.8,592.0,599.4,292058,39.83
2025-07-22,601.0,608.45,594.1,597.3,262248,51.03
2025-07-23,600.0,612.15,589.0,594.8,542548,38.58
2025-07-24,594.0,597.0,585.1,588.8,314282,57.47
2025-07-25,588.1,588.75,575.0,577.05,338034,52.63
2025-07-28,577.05,578.45,560.0,563.9,520643,46.6
2025-07-29,567.3,584.65,563.6,578.05,603319,29.3
2025-07-30,581.55,587.2,578.0,579.15,246156,52.21
2025-07-31,570.1,577.45,566.0,570.25,240227,44.97
2025-08-01,569.8,574.8,561.35,563.65,192049,48.73
2025-08-04,562.6,576.0,558.4,572.95,287071,41.5
2025-08-05,562.2,578.7,561.8,572.7,221462,43.88
2025-08-06,571.0,577.8,558.7,561.9,216925,51.2
2025-08-07,560.0,561.35,548.0,553.5,308066,49.15
2025-08-08,554.0,559.3,535.0,541.05,241455,50.18
2025-08-11,535.0,545.7,535.0,541.6,252375,44.75
2025-08-12,544.9,547.1,538.0,545.45,207486,54.36
2025-08-13,545.45,571.5,545.15,567.8,482985,39.91
2025-08-14,569.95,570.35,550.0,552.5,209367,49.0
2025-08-18,559.0,564.95,550.25,562.5,246542,48.59
2025-08-19,562.5,576.45,557.7,575.3,359233,41.69
2025-08-20,575.3,583.55,569.4,577.3,261755,46.56
2025-08-21,578.95,579.75,563.35,564.1,210069,53.04
2025-08-22,563.7,568.2,555.05,556.15,135169,54.23
2025-08-25,558.05,577.3,555.05,574.4,336244,45.82
2025-08-26,574.0,574.0,552.05,555.55,317459,59.46
2025-08-28,555.6,557.45,536.0,538.65,270327,53.26
2025-08-29,538.65,557.1,538.2,552.3,196038,43.08
2025-09-01,560.0,561.95,552.0,554.95,167475,39.33
2025-09-02,555.0,565.35,552.3,558.9,216279,45.88
2025-09-03,560.0,572.0,556.8,562.8,142232,41.69
2025-09-04,565.0,567.3,551.05,553.3,149124,50.19
2025-09-05,554.0,556.95,549.6,553.8,160364,52.4
2025-09-08,553.8,573.8,553.8,569.3,354714,43.38
2025-09-09,569.5,569.5,557.15,559.9,190191,54.4
2025-09-10,561.0,614.6,561.0,600.8,5550329,12.25
2025-09-11,603.8,604.35,583.15,590.0,597168,39.55
2025-09-12,591.0,605.0,584.0,600.5,512670,38.6
2025-09-15,600.5,610.8,595.5,602.55,397732,46.1
2025-09-16,603.0,626.85,599.7,624.5,1164527,40.63
2025-09-17,628.05,633.35,623.0,628.3,430968,48.45
2025-09-18,630.7,631.75,618.95,622.5,237220,57.67
2025-09-19,621.0,634.9,617.8,621.5,380071,50.75
2025-09-22,621.5,628.15,607.75,613.45,264714,46.52
2025-09-23,613.9,615.3,600.55,605.4,245177,50.16
2025-09-24,603.0,606.45,591.0,595.85,292520,52.75
2025-09-25,594.8,594.8,580.1,584.45,235025,42.73
2025-09-26,583.05,584.0,563.45,565.7,281316,54.34
2025-09-29,565.7,574.2,555.65,557.9,243608,51.42
2025-09-30,558.8,571.65,558.5,567.9,229324,43.7
2025-10-01,568.0,592.85,567.9,586.85,664853,31.58
2025-10-03,586.85,591.6,578.0,584.55,317683,55.5
2025-10-06,584.55,604.8,581.15,602.5,522396,43.91
2025-10-07,608.4,626.0,596.6,619.65,1019426,37.93
2025-10-08,622.7,623.0,604.0,606.7,489437,56.25
2025-10-09,610.0,616.3,601.55,603.85,399395,43.84
2025-10-10,607.0,608.85,543.2,556.85,3780036,22.19
2025-10-13,550.0,555.35,547.15,551.75,611560,34.58
2025-10-14,551.95,558.15,527.9,531.4,720145,46.59
2025-10-15,531.6,544.0,528.3,542.25,341798,39.1
