DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,6.19,6.33,6.12,6.27,266598,68.91
2025-04-15,6.49,6.49,6.31,6.4,315938,63.15
2025-04-16,6.49,6.49,6.34,6.36,403755,66.33
2025-04-17,6.45,6.53,6.22,6.32,539431,49.72
2025-04-21,6.49,6.5,6.3,6.48,334287,61.83
2025-04-22,6.58,6.75,6.47,6.73,622057,60.66
2025-04-23,6.85,6.88,6.56,6.66,533129,51.34
2025-04-24,6.66,6.86,6.11,6.44,730845,53.93
2025-04-25,6.44,6.6,6.27,6.34,329108,57.14
2025-04-28,6.36,6.4,6.2,6.29,259650,47.9
2025-04-29,6.29,6.39,6.21,6.25,246039,67.19
2025-04-30,6.32,6.32,6.1,6.13,227992,44.13
2025-05-02,6.2,6.27,6.03,6.06,300114,50.85
2025-05-05,6.07,6.26,6.05,6.21,316176,60.3
2025-05-06,6.21,6.26,6.01,6.02,219111,56.64
2025-05-07,5.99,6.08,5.87,5.97,510287,56.21
2025-05-08,6.18,6.19,5.85,5.92,188103,62.4
2025-05-09,5.91,6.18,5.78,5.99,263768,65.81
2025-05-12,6.16,6.32,6.02,6.19,786891,72.74
2025-05-13,6.29,6.29,6.15,6.19,153950,65.52
2025-05-14,6.42,6.7,6.3,6.41,278221,67.95
2025-05-15,6.5,6.5,6.31,6.33,293622,65.18
2025-05-16,6.37,6.6,6.36,6.5,508660,60.14
2025-05-19,6.5,6.79,6.45,6.59,553706,57.62
2025-05-20,6.68,6.68,6.26,6.37,486690,49.41
2025-05-21,6.41,6.98,6.38,6.72,430806,36.65
2025-05-22,6.71,6.71,6.52,6.56,215001,67.73
2025-05-23,6.65,6.72,6.52,6.56,251760,53.35
2025-05-26,7.24,7.87,7.08,7.87,2818943,54.23
2025-05-27,8.5,8.69,7.82,8.28,4755081,39.05
2025-05-28,8.4,8.4,8.0,8.04,578241,65.98
2025-05-29,8.15,8.15,7.81,8.06,773059,55.05
2025-05-30,8.19,8.19,7.83,7.95,663564,81.46
2025-06-02,7.98,8.28,7.95,8.25,520895,74.64
2025-06-03,8.37,8.73,7.75,7.94,4372555,55.08
2025-06-04,7.97,9.4,7.97,8.98,3300200,45.09
2025-06-05,9.09,9.62,9.05,9.37,3629927,45.64
2025-06-06,9.37,9.51,8.9,9.12,1340821,59.81
2025-06-09,9.12,9.41,9.12,9.17,935310,67.73
2025-06-10,9.19,9.6,9.17,9.42,4307522,80.35
2025-06-11,10.44,10.95,10.01,10.37,8215406,52.02
2025-06-12,10.49,10.74,9.92,10.12,2214656,47.9
2025-06-13,10.0,10.45,9.64,9.94,1767475,50.7
2025-09-15,8.4,9.62,8.27,8.89,4904312,39.74
2025-09-16,9.28,9.44,8.95,9.06,1842111,65.87
2025-09-17,9.13,9.28,9.02,9.08,414850,64.71
2025-09-18,9.12,9.27,9.02,9.03,332676,65.18
2025-09-19,9.03,9.24,9.0,9.08,953441,86.89
2025-09-22,9.04,9.08,8.7,8.73,252242,76.04
2025-09-23,8.75,8.92,8.55,8.79,301944,71.97
2025-09-24,8.84,8.93,8.41,8.55,332289,73.88
2025-09-25,8.49,8.7,8.44,8.53,149354,69.8
2025-09-26,8.44,8.46,8.05,8.18,216055,76.24
2025-09-29,8.34,8.49,8.03,8.1,240453,65.65
2025-09-30,8.1,8.38,8.0,8.13,156841,69.08
